Date,Close,COF
26/06/2007,78.81,-0.007458476
25/06/2007,79.4,-0.007903196
22/06/2007,80.03,-0.01081226
21/06/2007,80.9,0.00532938
20/06/2007,80.47,-0.014434894
19/06/2007,81.64,-0.002568966
18/06/2007,81.85,0.013530342
15/06/2007,80.75,0.004095061
14/06/2007,80.42,-0.002731903
13/06/2007,80.64,0.011725219
12/06/2007,79.7,-0.010856786
11/06/2007,80.57,0.007224745
08/06/2007,79.99,0.00501317
07/06/2007,79.59,-0.000251256
06/06/2007,79.61,-0.003385795
05/06/2007,79.88,-0.000250344
04/06/2007,79.9,-0.003124026
01/06/2007,80.15,0.004627033
31/05/2007,79.78,-0.002753788
30/05/2007,80,0.002879141
29/05/2007,79.77,0.012488336
25/05/2007,78.78,0.002796493
24/05/2007,78.56,-0.01528483
23/05/2007,79.77,0.014521374
22/05/2007,78.62,0.008943461
21/05/2007,77.92,0.006179216
18/05/2007,77.44,0.007257678
17/05/2007,76.88,-0.001299883
16/05/2007,76.98,0.002471225
15/05/2007,76.79,-0.00376942
14/05/2007,77.08,-0.001555613
11/05/2007,77.2,0.013694378
10/05/2007,76.15,0.011092151
09/05/2007,75.31,-0.001061712
08/05/2007,75.39,0.001061712
07/05/2007,75.31,0.011753842
04/05/2007,74.43,-0.000940039
03/05/2007,74.5,0.004709057
02/05/2007,74.15,0.005544676
01/05/2007,73.74,-0.007027056
30/04/2007,74.26,-0.008714944
27/04/2007,74.91,-0.007712804
26/04/2007,75.49,0.020611008
25/04/2007,73.95,0.027139824
24/04/2007,71.97,0.024046719
23/04/2007,70.26,-0.035513308
20/04/2007,72.8,-0.060495331
19/04/2007,77.34,-0.004386538
18/04/2007,77.68,0.007235174
17/04/2007,77.12,0.010558659
16/04/2007,76.31,0.016516198
13/04/2007,75.06,0.016522641
12/04/2007,73.83,-0.001218274
11/04/2007,73.92,-0.001216792
10/04/2007,74.01,0.007867648
09/04/2007,73.43,0.000953744
05/04/2007,73.36,0.001091108
04/04/2007,73.28,-0.014630442
03/04/2007,74.36,0.010680829
02/04/2007,73.57,-0.025365381
30/03/2007,75.46,-0.002514726
29/03/2007,75.65,0.002117243
28/03/2007,75.49,-0.015118937
27/03/2007,76.64,-0.010384309
26/03/2007,77.44,-0.005794132
23/03/2007,77.89,0.001670415
22/03/2007,77.76,-0.0039787
21/03/2007,78.07,0.024113172
20/03/2007,76.21,0.007507444
19/03/2007,75.64,0.009164019
16/03/2007,74.95,-0.013254004
15/03/2007,75.95,0.009791028
14/03/2007,75.21,0.006134989
13/03/2007,74.75,-0.018949749
12/03/2007,76.18,-0.010706461
09/03/2007,77,0.004555817
08/03/2007,76.65,0.024298039
07/03/2007,74.81,-0.01393797
06/03/2007,75.86,0.019836902
05/03/2007,74.37,-0.031891555
02/03/2007,76.78,-0.004807389
01/03/2007,77.15,0.001556622
28/02/2007,77.03,-0.001297354
27/02/2007,77.13,-0.040526346
26/02/2007,80.32,-0.00199005
23/02/2007,80.48,-0.022483901
22/02/2007,82.31,0.000243013
21/02/2007,82.29,0.001824485
20/02/2007,82.14,0.000852567
16/02/2007,82.07,-0.003405915
15/02/2007,82.35,0.005845833
14/02/2007,81.87,0.001099908
13/02/2007,81.78,0.003429695
12/02/2007,81.5,-0.006238171
09/02/2007,82.01,-0.009345295
08/02/2007,82.78,-0.009976644
07/02/2007,83.61,0.011064454
06/02/2007,82.69,0.012779338
05/02/2007,81.64,0.010218618
02/02/2007,80.81,0.013580225
01/02/2007,79.72,-0.008493681
31/01/2007,80.4,0.003114297
30/01/2007,80.15,0.017621601
29/01/2007,78.75,-0.009101314
26/01/2007,79.47,0.009990598
25/01/2007,78.68,-0.01963315
24/01/2007,80.24,0.002370704
23/01/2007,80.05,0.013330177
22/01/2007,78.99,0.001393552
19/01/2007,78.88,0.0395656
18/01/2007,75.82,-0.009320711
17/01/2007,76.53,0.0044526
16/01/2007,76.19,-0.010834908
12/01/2007,77.02,0.013463376
11/01/2007,75.99,0.003823592
10/01/2007,75.7,-0.012210485
09/01/2007,76.63,-0.010385657
08/01/2007,77.43,0.003493114
05/01/2007,77.16,0
04/01/2007,77.16,-0.001165728
03/01/2007,77.25,0.005581893
29/12/2006,76.82,-0.016268919
28/12/2006,78.08,-0.001919264
27/12/2006,78.23,0.002688002
26/12/2006,78.02,0.007978423
22/12/2006,77.4,-0.001549187
21/12/2006,77.52,0.002066116
20/12/2006,77.36,0.008177085
19/12/2006,76.73,-0.003772362
18/12/2006,77.02,0.005337512
15/12/2006,76.61,-0.008319299
14/12/2006,77.25,0.002203072
13/12/2006,77.08,0.008468554
12/12/2006,76.43,-0.001176855
11/12/2006,76.52,0.004453184
08/12/2006,76.18,-0.004975786
07/12/2006,76.56,-0.013234915
06/12/2006,77.58,-0.004372997
05/12/2006,77.92,-0.003075348
04/12/2006,78.16,0.006675249
01/12/2006,77.64,-0.003086422
30/11/2006,77.88,0.007216526
29/11/2006,77.32,0.025012762
28/11/2006,75.41,0.003054654
27/11/2006,75.18,-0.002922037
24/11/2006,75.4,-0.002913523
22/11/2006,75.62,0.008499387
21/11/2006,74.98,0.000133378
20/11/2006,74.97,-0.007044623
17/11/2006,75.5,-0.001323627
16/11/2006,75.6,-0.019517287
15/11/2006,77.09,0.000519009
14/11/2006,77.05,-0.005823375
13/11/2006,77.5,-0.000258031
10/11/2006,77.52,0.014291526
09/11/2006,76.42,-0.014033494
08/11/2006,77.5,-0.000902818
07/11/2006,77.57,-0.014208239
06/11/2006,78.68,0.027314246
03/11/2006,76.56,-0.001305313
02/11/2006,76.66,-0.002605525
01/11/2006,76.86,-0.031630782
31/10/2006,79.33,-0.023422025
30/10/2006,81.21,-0.005525894
27/10/2006,81.66,-0.012897125
26/10/2006,82.72,0.003633285
25/10/2006,82.42,0.021709321
24/10/2006,80.65,-0.003342208
23/10/2006,80.92,-0.003946724
20/10/2006,81.24,-0.008091254
19/10/2006,81.9,0.022098301
18/10/2006,80.11,-0.006842099
17/10/2006,80.66,-0.011096156
16/10/2006,81.56,-0.000735384
13/10/2006,81.62,0.004789693
12/10/2006,81.23,0.022030887
11/10/2006,79.46,-0.010515871
10/10/2006,80.3,0.012027206
09/10/2006,79.34,0.009243497
06/10/2006,78.61,-0.00570814
05/10/2006,79.06,-0.002904959
04/10/2006,79.29,0.012692136
03/10/2006,78.29,0.012596568
02/10/2006,77.31,-0.017311454
29/09/2006,78.66,-0.018141087
28/09/2006,80.1,0.021834653
27/09/2006,78.37,0.008972119
26/09/2006,77.67,0.00103053
25/09/2006,77.59,0.008282693
22/09/2006,76.95,0.00534238
21/09/2006,76.54,-0.004952441
20/09/2006,76.92,0.024078527
19/09/2006,75.09,-0.009542816
18/09/2006,75.81,-0.00368664
15/09/2006,76.09,0.02152049
14/09/2006,74.47,-0.016645967
13/09/2006,75.72,-0.003032903
12/09/2006,75.95,0.055216298
11/09/2006,71.87,-0.008175754
08/09/2006,72.46,0.001519232
07/09/2006,72.35,-0.00647519
06/09/2006,72.82,-0.021465299
05/09/2006,74.4,0.012714901
01/09/2006,73.46,0.004912674
31/08/2006,73.1,-0.003823052
30/08/2006,73.38,0.018846421
29/08/2006,72.01,0.014406851
28/08/2006,70.98,0.015618662
25/08/2006,69.88,-0.015900392
24/08/2006,71,-0.013152561
23/08/2006,71.94,-0.002221606
22/08/2006,72.1,-0.013363842
21/08/2006,73.07,-0.016558467
18/08/2006,74.29,-0.009645085
17/08/2006,75.01,0.007762352
16/08/2006,74.43,0.007146258
15/08/2006,73.9,0.013898575
14/08/2006,72.88,0.014651264
11/08/2006,71.82,-0.021760947
10/08/2006,73.4,-0.017020538
09/08/2006,74.66,-0.034620108
08/08/2006,77.29,-0.01476942
07/08/2006,78.44,-0.009010785
04/08/2006,79.15,-0.020013176
03/08/2006,80.75,0.015852544
02/08/2006,79.48,0.009862262
01/08/2006,78.7,0.017302578
31/07/2006,77.35,-0.004385972
28/07/2006,77.69,0.02647693
27/07/2006,75.66,-0.039266463
26/07/2006,78.69,0.004585411
25/07/2006,78.33,0.007818047
24/07/2006,77.72,0.000257367
21/07/2006,77.7,-0.103466832
20/07/2006,86.17,0.003487565
19/07/2006,85.87,0.035199463
18/07/2006,82.9,-0.002048564
17/07/2006,83.07,-0.001323308
14/07/2006,83.18,-0.005395373
13/07/2006,83.63,-0.013421426
12/07/2006,84.76,-0.003415585
11/07/2006,85.05,0.000823384
10/07/2006,84.98,0.003064233
07/07/2006,84.72,0.005681833
06/07/2006,84.24,-0.000474721
05/07/2006,84.28,-0.021597084
03/07/2006,86.12,0.007810263
30/06/2006,85.45,-0.016135935
29/06/2006,86.84,0.022711044
28/06/2006,84.89,0.005788899
27/06/2006,84.4,-0.017616427
26/06/2006,85.9,0.005954831
23/06/2006,85.39,0.00504844
22/06/2006,84.96,-0.001998942
21/06/2006,85.13,0.013362701
20/06/2006,84,-0.001665279
19/06/2006,84.14,0.003810436
16/06/2006,83.82,0.001074306
15/06/2006,83.73,0.014072034
14/06/2006,82.56,0.000727008
13/06/2006,82.5,-0.007126064
12/06/2006,83.09,-0.001443175
09/06/2006,83.21,-0.00204094
08/06/2006,83.38,0.002401538
07/06/2006,83.18,0.0060292
06/06/2006,82.68,0.008258488
05/06/2006,82,-0.020639197
02/06/2006,83.71,0.002152596
01/06/2006,83.53,0.009140172
31/05/2006,82.77,0.003024989
30/05/2006,82.52,-0.012404567
26/05/2006,83.55,0.003356915
25/05/2006,83.27,0.016467257
24/05/2006,81.91,-0.006328365
23/05/2006,82.43,0.006206287
22/05/2006,81.92,-0.021854175
19/05/2006,83.73,-0.001670645
18/05/2006,83.87,-0.003214097
17/05/2006,84.14,-0.019770001
16/05/2006,85.82,-0.008123522
15/05/2006,86.52,0.006028305
12/05/2006,86,-0.009028884
11/05/2006,86.78,-0.005172128
10/05/2006,87.23,0.003905358
09/05/2006,86.89,0.007045129
08/05/2006,86.28,0.005345742
05/05/2006,85.82,0.007837672
04/05/2006,85.15,-0.004920347
03/05/2006,85.57,0.002340003
02/05/2006,85.37,-0.001521625
01/05/2006,85.5,-0.013245227
28/04/2006,86.64,0.011375631
27/04/2006,85.66,0.005384538
26/04/2006,85.2,0.00435218
25/04/2006,84.83,-0.00856863
24/04/2006,85.56,-0.006175376
21/04/2006,86.09,0.029708657
20/04/2006,83.57,-0.003106335
19/04/2006,83.83,-0.002144901
18/04/2006,84.01,0.007167633
17/04/2006,83.41,-0.005857407
13/04/2006,83.9,0.007777485
12/04/2006,83.25,0.004816385
11/04/2006,82.85,-0.007934641
10/04/2006,83.51,0.005042027
07/04/2006,83.09,0.006156837
06/04/2006,82.58,0.00230345
05/04/2006,82.39,0.002552107
04/04/2006,82.18,0.013229002
03/04/2006,81.1,0.00717736
31/03/2006,80.52,-0.004708223
30/03/2006,80.9,-0.010574302
29/03/2006,81.76,0.00564211
28/03/2006,81.3,-0.014409823
27/03/2006,82.48,0.004617823
24/03/2006,82.1,0.002194855
23/03/2006,81.92,-0.001707526
22/03/2006,82.06,0.013866104
21/03/2006,80.93,-0.000864571
20/03/2006,81,-0.011049836
17/03/2006,81.9,-0.025317808
16/03/2006,84,0.011494379
15/03/2006,83.04,0.008343963
14/03/2006,82.35,-0.009066245
13/03/2006,83.1,-0.078875684
10/03/2006,89.92,0.045736557
09/03/2006,85.9,-0.001512244
08/03/2006,86.03,-0.008910549
07/03/2006,86.8,-0.007803574
06/03/2006,87.48,-0.009896003
03/03/2006,88.35,-0.00912631
02/03/2006,89.16,0.009805658
01/03/2006,88.29,0.007845853
28/02/2006,87.6,-0.013380401
27/02/2006,88.78,-0.000788155
24/02/2006,88.85,0.000675524
23/02/2006,88.79,-0.009973748
22/02/2006,89.68,0.027928776
21/02/2006,87.21,-0.000573164
17/02/2006,87.26,-0.007307637
16/02/2006,87.9,-0.007480484
15/02/2006,88.56,0.019728104
14/02/2006,86.83,0.009721174
13/02/2006,85.99,0.009581751
10/02/2006,85.17,0.012286038
09/02/2006,84.13,0.007995746
08/02/2006,83.46,0.020701665
07/02/2006,81.75,-0.018782739
06/02/2006,83.3,0.000360209
03/02/2006,83.27,0.006868738
02/02/2006,82.7,-0.006868738
01/02/2006,83.27,-0.000360209
31/01/2006,83.3,-0.01169604
30/01/2006,84.28,-0.005443156
27/01/2006,84.74,-0.000707798
26/01/2006,84.8,0.015448911
25/01/2006,83.5,-0.010483775
24/01/2006,84.38,-0.001421128
23/01/2006,84.5,-0.007897725
20/01/2006,85.17,-0.004101008
19/01/2006,85.52,-0.00559703
18/01/2006,86,0
17/01/2006,86,-0.007414306
13/01/2006,86.64,-0.000692281
12/01/2006,86.7,-0.014882931
11/01/2006,88,0.003186891
10/01/2006,87.72,-0.004549598
09/01/2006,88.12,0.01924899
06/01/2006,86.44,0
05/01/2006,86.44,0.000231401
04/01/2006,86.42,-0.006459077
03/01/2006,86.98,0.006690531
30/12/2005,86.4,-0.003581542
29/12/2005,86.71,0.001615882
28/12/2005,86.57,-0.004839834
27/12/2005,86.99,-0.011657275
23/12/2005,88.01,0.00261676
22/12/2005,87.78,0.000797766
21/12/2005,87.71,-0.001594897
20/12/2005,87.85,0.021283518
19/12/2005,86,0.003027835
16/12/2005,85.74,0.000116638
15/12/2005,85.73,0.010789362
14/12/2005,84.81,0.018565332
13/12/2005,83.25,-0.006823514
12/12/2005,83.82,-0.007724799
09/12/2005,84.47,0.020089161
08/12/2005,82.79,-0.009736239
07/12/2005,83.6,-0.013662226
06/12/2005,84.75,0.009246154
05/12/2005,83.97,-0.006646909
02/12/2005,84.53,0.003317932
01/12/2005,84.25,0.014225331
30/11/2005,83.06,-0.008989094
29/11/2005,83.81,0.003107077
28/11/2005,83.55,-0.01649987
25/11/2005,84.94,0.004838624
23/11/2005,84.53,0.001776094
22/11/2005,84.38,0.002373043
21/11/2005,84.18,-0.001898885
18/11/2005,84.34,0.019636646
17/11/2005,82.7,0.011676124
16/11/2005,81.74,0.006012657
15/11/2005,81.25,0.004193395
14/11/2005,80.91,0.001112966
