Date,Close,LMT
08/08/2007,94.67,-0.037219867
07/08/2007,98.26,-0.026017238
06/08/2007,100.85,0.014784007
03/08/2007,99.37,-0.029841124
02/08/2007,102.38,0.006664078
01/08/2007,101.7,0.032173821
31/07/2007,98.48,-0.020304246
30/07/2007,100.5,0.012213587
27/07/2007,99.28,-0.01300929
26/07/2007,100.58,-0.013038509
25/07/2007,101.9,-0.011610453
24/07/2007,103.09,0.035243764
23/07/2007,99.52,0.01651423
20/07/2007,97.89,-0.01107341
19/07/2007,98.98,0.004962789
18/07/2007,98.49,-0.00071048
17/07/2007,98.56,0.018018506
16/07/2007,96.8,-0.00556301
13/07/2007,97.34,-0.000513532
12/07/2007,97.39,0.029171774
11/07/2007,94.59,0.004343917
10/07/2007,94.18,-0.029090678
09/07/2007,96.96,0.00340927
06/07/2007,96.63,-0.00072415
05/07/2007,96.7,0.01280134
03/07/2007,95.47,0.008520538
02/07/2007,94.66,0.005614719
29/06/2007,94.13,0.00778546
28/06/2007,93.4,-0.01086157
27/06/2007,94.42,0.002438896
26/06/2007,94.19,0.001806493
25/06/2007,94.02,0.006723252
22/06/2007,93.39,-0.018039538
21/06/2007,95.09,0
20/06/2007,95.09,-0.017823183
19/06/2007,96.8,0.015407342
18/06/2007,95.32,-0.012821357
15/06/2007,96.55,-0.006812578
14/06/2007,97.21,0.017328579
13/06/2007,95.54,0.003039994
12/06/2007,95.25,-0.010443959
11/06/2007,96.25,-0.006627341
08/06/2007,96.89,0.0170713
07/06/2007,95.25,-0.014591192
06/06/2007,96.65,0.004666848
05/06/2007,96.2,-0.010341354
04/06/2007,97.2,-0.00236346
01/06/2007,97.43,-0.006853195
31/05/2007,98.1,-0.001222494
30/05/2007,98.22,-0.000814167
29/05/2007,98.3,0.013209961
25/05/2007,97.01,0.008280764
24/05/2007,96.21,0.019416048
23/05/2007,94.36,0.001484781
22/05/2007,94.22,-0.047363912
21/05/2007,98.79,0.006397585
18/05/2007,98.16,-0.002950005
17/05/2007,98.45,-0.012014885
16/05/2007,99.64,0.001305549
15/05/2007,99.51,0.003120127
14/05/2007,99.2,0.003635633
11/05/2007,98.84,0.00243112
10/05/2007,98.6,-0.001621403
09/05/2007,98.76,0.005482804
08/05/2007,98.22,0.001528351
07/05/2007,98.07,0.014688775
04/05/2007,96.64,0.002486533
03/05/2007,96.4,0.003429109
02/05/2007,96.07,-0.001664067
01/05/2007,96.23,0.000935697
30/04/2007,96.14,-0.005704522
27/04/2007,96.69,0.033548548
