Date,Close,AMZN
13/11/2007,79.86,0.03646968
12/11/2007,77,-0.024249055
09/11/2007,78.89,-0.05774978
08/11/2007,83.58,-0.040563526
07/11/2007,87.04,-0.002638978
06/11/2007,87.27,0.033794873
05/11/2007,84.37,-0.018902823
02/11/2007,85.98,-0.0192369
01/11/2007,87.65,-0.016968733
31/10/2007,89.15,0.010259969
30/10/2007,88.24,-0.02085979
29/10/2007,90.1,0.001110494
26/10/2007,90,0.020089335
25/10/2007,88.21,-0.005877716
24/10/2007,88.73,-0.127738698
23/10/2007,100.82,0.099295496
22/10/2007,91.29,0.016901811
19/10/2007,89.76,-0.001002171
18/10/2007,89.85,-0.007760571
17/10/2007,90.55,0.01132842
16/10/2007,89.53,-0.011107523
15/10/2007,90.53,-0.020120963
12/10/2007,92.37,0.033352935
11/10/2007,89.34,-0.057842209
10/10/2007,94.66,-0.006948128
09/10/2007,95.32,-0.005544817
08/10/2007,95.85,0.025571977
05/10/2007,93.43,0.012601815
04/10/2007,92.26,-0.00216544
03/10/2007,92.46,0.001082134
02/10/2007,92.36,-0.011304421
01/10/2007,93.41,0.002787309
28/09/2007,93.15,-0.002466092
27/09/2007,93.38,-0.000535303
26/09/2007,93.43,-0.000535017
25/09/2007,93.48,0.009566365
24/09/2007,92.59,0.014030357
21/09/2007,91.3,0.018237588
20/09/2007,89.65,0.00727683
19/09/2007,89,0.002812941
18/09/2007,88.75,0.020950328
17/09/2007,86.91,-0.009846656
14/09/2007,87.77,0.005827589
13/09/2007,87.26,-0.000458295
12/09/2007,87.3,0.011752641
11/09/2007,86.28,0.034669196
10/09/2007,83.34,-0.014059567
07/09/2007,84.52,-0.019797987
06/09/2007,86.21,0.02895001
05/09/2007,83.75,0.012616569
04/09/2007,82.7,0.034318601
31/08/2007,79.91,0.015512008
30/08/2007,78.68,-0.00469157
29/08/2007,79.05,0.036456668
28/08/2007,76.22,-0.031383734
27/08/2007,78.65,-0.007599783
24/08/2007,79.25,0.024913457
23/08/2007,77.3,-0.015404669
22/08/2007,78.5,0.012949729
21/08/2007,77.49,0.036668804
20/08/2007,74.7,-0.004274653
17/08/2007,75.02,0.030176162
16/08/2007,72.79,0.005648565
15/08/2007,72.38,-0.014674884
14/08/2007,73.45,-0.019148374
13/08/2007,74.87,0.001202807
10/08/2007,74.78,0.008999994
09/08/2007,74.11,-0.048333853
08/08/2007,77.78,-0.017334107
07/08/2007,79.14,0.001770583
06/08/2007,79,0.028243212
03/08/2007,76.8,-0.037190408
02/08/2007,79.71,0.030571735
01/08/2007,77.31,-0.015784736
31/07/2007,78.54,-0.051611553
30/07/2007,82.7,-0.016073274
27/07/2007,84.04,0.000357037
26/07/2007,84.01,-0.025502293
25/07/2007,86.18,0.218714987
24/07/2007,69.25,-0.035325327
23/07/2007,71.74,0.001534491
20/07/2007,71.63,-0.023728524
19/07/2007,73.35,0.000409082
18/07/2007,73.32,-0.006389798
17/07/2007,73.79,0.001356116
16/07/2007,73.69,-0.018953454
13/07/2007,75.1,0.031241976
12/07/2007,72.79,0.028708772
11/07/2007,70.73,0.006382548
10/07/2007,70.28,-0.025150606
09/07/2007,72.07,0.043966241
06/07/2007,68.97,0.003485842
05/07/2007,68.73,-0.010421284
03/07/2007,69.45,-0.002301166
02/07/2007,69.61,0.017389222
29/06/2007,68.41,-0.006992017
28/06/2007,68.89,0.010946617
27/06/2007,68.14,0.009733155
26/06/2007,67.48,-0.01733553
25/06/2007,68.66,-0.00290867
22/06/2007,68.86,-0.011694351
21/06/2007,69.67,0.008215078
20/06/2007,69.1,-0.010222535
19/06/2007,69.81,-0.02852495
18/06/2007,71.83,-0.007904083
15/06/2007,72.4,0.006373861
14/06/2007,71.94,0.014703058
13/06/2007,70.89,0.011634637
12/06/2007,70.07,-0.015576639
11/06/2007,71.17,-0.028670338
08/06/2007,73.24,0.016520199
07/06/2007,72.04,-0.003464287
06/06/2007,72.29,-0.018638336
05/06/2007,73.65,0.044846829
04/06/2007,70.42,0.026476367
01/06/2007,68.58,-0.008132487
31/05/2007,69.14,-0.010359805
30/05/2007,69.86,0.00329773
29/05/2007,69.63,0.015632103
25/05/2007,68.55,-0.011602741
24/05/2007,69.35,0.005059642
23/05/2007,69,0.001740644
22/05/2007,68.88,0.008456094
21/05/2007,68.3,0.076024437
18/05/2007,63.3,0.018012761
17/05/2007,62.17,-0.016748139
16/05/2007,63.22,0.042655901
15/05/2007,60.58,-0.018319125
14/05/2007,61.7,0.002271622
11/05/2007,61.56,0.010450781
10/05/2007,60.92,-0.031189407
09/05/2007,62.85,0.016362251
08/05/2007,61.83,0.016470001
07/05/2007,60.82,-0.03886019
04/05/2007,63.23,0.016584657
03/05/2007,62.19,0.016373876
02/05/2007,61.18,-0.013959
01/05/2007,62.04,0.011510219
30/04/2007,61.33,-0.020496158
27/04/2007,62.6,-0.002871273
26/04/2007,62.78,0.099924185
25/04/2007,56.81,0.238620922
24/04/2007,44.75,-0.000446828
23/04/2007,44.77,-0.004012489
20/04/2007,44.95,0.006920443
19/04/2007,44.64,-0.007809925
18/04/2007,44.99,-0.001776594
17/04/2007,45.07,-0.00288025
16/04/2007,45.2,0.063712903
13/04/2007,42.41,0.003306569
12/04/2007,42.27,0.014056217
11/04/2007,41.68,-0.00430932
10/04/2007,41.86,0.004789281
09/04/2007,41.66,-0.000479962
05/04/2007,41.68,0.00360534
04/04/2007,41.53,0.008220549
03/04/2007,41.19,0.018870796
02/04/2007,40.42,0.015709088
30/03/2007,39.79,-0.000502513
29/03/2007,39.81,0.011876324
28/03/2007,39.34,-0.000762292
27/03/2007,39.37,0.009186081
26/03/2007,39.01,0.000769329
23/03/2007,38.98,-0.012998781
22/03/2007,39.49,-0.007819437
21/03/2007,39.8,0.031132905
20/03/2007,38.58,0.003375312
19/03/2007,38.45,0.015727716
16/03/2007,37.85,0.001851118
15/03/2007,37.78,-0.007909348
14/03/2007,38.08,0.006851147
13/03/2007,37.82,-0.025839882
12/03/2007,38.81,-0.000772698
09/03/2007,38.84,0.019236361
08/03/2007,38.1,-0.006800968
07/03/2007,38.36,-0.005718757
06/03/2007,38.58,0.040465656
05/03/2007,37.05,-0.017126456
02/03/2007,37.69,-0.03031327
01/03/2007,38.85,-0.007436885
28/02/2007,39.14,0.007951818
27/02/2007,38.83,-0.051447802
26/02/2007,40.88,0.002449181
23/02/2007,40.78,-0.005380302
22/02/2007,41,-0.006321441
21/02/2007,41.26,-0.006040854
20/02/2007,41.51,0.028838753
16/02/2007,40.33,0.006717279
15/02/2007,40.06,-0.001995013
14/02/2007,40.14,0.020894404
13/02/2007,39.31,0.011770863
12/02/2007,38.85,0.003351814
09/02/2007,38.72,-0.009766205
08/02/2007,39.1,0.003073773
07/02/2007,38.98,0.018382395
06/02/2007,38.27,0.029433385
05/02/2007,37.16,-0.006170375
02/02/2007,37.39,-0.034436311
01/02/2007,38.7,0.026975578
31/01/2007,37.67,0.01659567
30/01/2007,37.05,-0.01020417
29/01/2007,37.43,0.015616903
26/01/2007,36.85,-0.006222122
25/01/2007,37.08,-0.004842624
24/01/2007,37.26,0.022527754
23/01/2007,36.43,-0.014173036
22/01/2007,36.95,-0.00189266
19/01/2007,37.02,0.001081081
18/01/2007,36.98,-0.024046042
17/01/2007,37.88,-0.020382205
16/01/2007,38.66,0.011969958
12/01/2007,38.2,0.021164811
11/01/2007,37.4,0.006706933
10/01/2007,37.15,-0.016816091
09/01/2007,37.78,0.007438929
08/01/2007,37.5,-0.022934971
05/01/2007,38.37,-0.013718346
04/01/2007,38.9,0.005154651
03/01/2007,38.7,-0.019447901
29/12/2006,39.46,-0.01882822
28/12/2006,40.21,-0.001987578
27/12/2006,40.29,0.012236387
26/12/2006,39.8,-0.010994614
22/12/2006,40.24,0.00873586
21/12/2006,39.89,-0.003003757
20/12/2006,40.01,0.014856121
19/12/2006,39.42,0.004067113
18/12/2006,39.26,-0.018923234
15/12/2006,40.01,0.025055088
14/12/2006,39.02,0.013416094
13/12/2006,38.5,0.001039501
12/12/2006,38.46,-0.005962429
11/12/2006,38.69,0.005962429
08/12/2006,38.46,0.008879661
07/12/2006,38.12,-0.020255172
06/12/2006,38.9,-0.002054443
05/12/2006,38.98,-0.003073773
04/12/2006,39.1,-0.007897124
01/12/2006,39.41,-0.023323941
30/11/2006,40.34,-0.007163177
29/11/2006,40.63,-0.007112231
28/11/2006,40.92,0.00171212
