Date,Close,AEP
16/04/2007,49.04,0.007778954
13/04/2007,48.66,0.001233806
12/04/2007,48.6,-0.003491839
11/04/2007,48.77,-0.012430114
10/04/2007,49.38,-0.003840328
09/04/2007,49.57,0.014836163
05/04/2007,48.84,0.000819336
04/04/2007,48.8,-0.012017662
03/04/2007,49.39,-0.008467793
02/04/2007,49.81,0.02151057
30/03/2007,48.75,-0.005727158
29/03/2007,49.03,0.004087478
28/03/2007,48.83,-0.002045827
27/03/2007,48.93,-0.007533376
26/03/2007,49.3,0.002843796
23/03/2007,49.16,0.01599378
22/03/2007,48.38,0.007052508
21/03/2007,48.04,0.016369725
20/03/2007,47.26,0.018364813
19/03/2007,46.4,0.009310449
16/03/2007,45.97,-0.008232282
15/03/2007,46.35,0.016094301
14/03/2007,45.61,0.007482429
13/03/2007,45.27,-0.018602134
12/03/2007,46.12,0.021256416
09/03/2007,45.15,0.000221508
08/03/2007,45.14,-0.000664378
07/03/2007,45.17,-0.003535915
06/03/2007,45.33,0.022984388
05/03/2007,44.3,-0.012784743
02/03/2007,44.87,-0.013283348
01/03/2007,45.47,0.012614973
28/02/2007,44.9,-0.001557806
27/02/2007,44.97,-0.027417004
26/02/2007,46.22,0.010220813
23/02/2007,45.75,0.005040002
22/02/2007,45.52,-0.003946508
21/02/2007,45.7,-0.005455551
20/02/2007,45.95,0.00130662
16/02/2007,45.89,0.003930136
15/02/2007,45.71,-0.005236756
14/02/2007,45.95,0.003706534
13/02/2007,45.78,0.002405687
12/02/2007,45.67,0.004828807
09/02/2007,45.45,0.003305788
08/02/2007,45.3,0.006644543
07/02/2007,45,-0.001110494
06/02/2007,45.05,0.008694738
05/02/2007,44.66,0.008996912
02/02/2007,44.26,0.012733233
01/02/2007,43.7,0.003897747
31/01/2007,43.53,-0.005269803
30/01/2007,43.76,0.0089522
29/01/2007,43.37,0.002539537
26/01/2007,43.26,0.007191772
25/01/2007,42.95,-0.00371834
24/01/2007,43.11,0.011666021
23/01/2007,42.61,0.008484614
22/01/2007,42.25,0.007364328
19/01/2007,41.94,0.000238464
18/01/2007,41.93,-0.003333336
17/01/2007,42.07,-0.000950345
16/01/2007,42.11,0.005954525
12/01/2007,41.86,-0.020336478
11/01/2007,42.72,0.00917114
10/01/2007,42.33,-0.001888129
09/01/2007,42.41,0.009476498
08/01/2007,42.01,-0.000713861
05/01/2007,42.04,-0.0188507
04/01/2007,42.84,-0.000233399
03/01/2007,42.85,0.006320986
29/12/2006,42.58,-0.002345767
28/12/2006,42.68,-0.005607491
27/12/2006,42.92,-0.000232964
26/12/2006,42.93,0.008656037
22/12/2006,42.56,-0.00375235
21/12/2006,42.72,-0.001637236
20/12/2006,42.79,-0.002567396
19/12/2006,42.9,0.01811175
18/12/2006,42.13,-0.007331238
15/12/2006,42.44,-0.002118396
14/12/2006,42.53,0.00235405
13/12/2006,42.43,-0.001883683
12/12/2006,42.51,0.007319121
11/12/2006,42.2,0.007373086
08/12/2006,41.89,0.004785843
07/12/2006,41.69,-0.010736116
06/12/2006,42.14,-0.011091559
05/12/2006,42.61,0.007774807
04/12/2006,42.28,0.005930512
01/12/2006,42.03,0.012449287
30/11/2006,41.51,-0.008874024
29/11/2006,41.88,0.010561788
28/11/2006,41.44,0.006536762
27/11/2006,41.17,-0.010390331
24/11/2006,41.6,0.00168411
22/11/2006,41.53,-0.002885311
21/11/2006,41.65,0.006262063
20/11/2006,41.39,-0.000483092
17/11/2006,41.41,-0.000241458
16/11/2006,41.42,0.007026074
15/11/2006,41.13,-0.005818198
14/11/2006,41.37,-0.001449276
13/11/2006,41.43,-0.001206127
10/11/2006,41.48,0.004348883
09/11/2006,41.3,0.001211387
08/11/2006,41.25,-0.001211387
07/11/2006,41.3,-0.002176806
06/11/2006,41.39,0.010931726
03/11/2006,40.94,-0.001952172
02/11/2006,41.02,-0.021226074
01/11/2006,41.9,0.011280571
31/10/2006,41.43,0.008970844
30/10/2006,41.06,0.001950269
27/10/2006,40.98,-0.002193785
26/10/2006,41.07,-0.017139828
25/10/2006,41.78,0.003356512
24/10/2006,41.64,-0.000480192
23/10/2006,41.66,0.007710882
20/10/2006,41.34,0.005092772
19/10/2006,41.13,-0.001457726
18/10/2006,41.19,0.014920174
17/10/2006,40.58,0.016899011
16/10/2006,39.9,-0.00250313
13/10/2006,40,-0.009950331
12/10/2006,40.4,0.015214161
11/10/2006,39.79,0.012136685
10/10/2006,39.31,0.052485613
09/10/2006,37.3,0.001072961
06/10/2006,37.26,0
05/10/2006,37.26,-0.002680248
04/10/2006,37.36,0.008062393
03/10/2006,37.06,0.006768673
02/10/2006,36.81,0.012025288
29/09/2006,36.37,-0.014196253
28/09/2006,36.89,-0.001354463
27/09/2006,36.94,0.005973409
26/09/2006,36.72,0.002453989
25/09/2006,36.63,0.013467292
22/09/2006,36.14,-0.001382552
21/09/2006,36.19,-0.008255413
20/09/2006,36.49,-0.002463393
19/09/2006,36.58,0.006857797
18/09/2006,36.33,-0.004394404
15/09/2006,36.49,0.007426798
14/09/2006,36.22,-0.00605562
13/09/2006,36.44,0.010760209
12/09/2006,36.05,-0.000277354
11/09/2006,36.06,0.00416841
08/09/2006,35.91,0.001672241
07/09/2006,35.85,-0.003619661
06/09/2006,35.98,-0.004160317
05/09/2006,36.13,-0.016470315
01/09/2006,36.73,0.006829695
31/08/2006,36.48,0.009917437
30/08/2006,36.12,-0.009917437
29/08/2006,36.48,0.00604896
28/08/2006,36.26,0.009420962
25/08/2006,35.92,-0.005552485
24/08/2006,36.12,0.000276893
23/08/2006,36.11,-0.010468415
22/08/2006,36.49,0.001096792
21/08/2006,36.45,0.001372684
18/08/2006,36.4,0.008275909
17/08/2006,36.1,-0.003318587
16/08/2006,36.22,-0.010436788
15/08/2006,36.6,0.009333035
14/08/2006,36.26,-0.001653348
11/08/2006,36.32,-0.005217642
10/08/2006,36.51,0.001370426
09/08/2006,36.46,-0.001644286
08/08/2006,36.52,-0.001094691
07/08/2006,36.56,-0.0122334
04/08/2006,37.01,0.00081092
03/08/2006,36.98,0.003793015
02/08/2006,36.84,0.011740749
01/08/2006,36.41,0.007996734
31/07/2006,36.12,-0.007172445
28/07/2006,36.38,0.013839136
27/07/2006,35.88,-0.005004181
26/07/2006,36.06,0.01031368
25/07/2006,35.69,0.005056191
24/07/2006,35.51,0.005648137
21/07/2006,35.31,0.003688471
20/07/2006,35.18,-0.004537728
19/07/2006,35.34,0.008525201
18/07/2006,35.04,0.006298332
17/07/2006,34.82,0.006916454
14/07/2006,34.58,-0.00404041
13/07/2006,34.72,-0.003737247
12/07/2006,34.85,-0.003723332
11/07/2006,34.98,0.002576214
10/07/2006,34.89,0.005748794
07/07/2006,34.69,0.008394897
06/07/2006,34.4,-0.00290276
05/07/2006,34.5,-0.002894358
03/07/2006,34.6,0.010167117
30/06/2006,34.25,0.006444076
29/06/2006,34.03,0.004712822
28/06/2006,33.87,0.004438534
27/06/2006,33.72,-0.007092228
26/06/2006,33.96,0.001768347
23/06/2006,33.9,-0.000884564
22/06/2006,33.93,-0.003236725
21/06/2006,34.04,-0.001174398
20/06/2006,34.08,0.001762115
19/06/2006,34.02,-0.004106782
