Date,Close,NOV
23/10/2007,74.77,0.072658421
22/10/2007,69.53,-0.004018952
19/10/2007,69.81,-0.095817923
18/10/2007,76.83,0.010072686
17/10/2007,76.06,-0.025442702
16/10/2007,78.02,-0.016020686
15/10/2007,79.28,0.01103442
12/10/2007,78.41,0.017886342
11/10/2007,77.02,-0.005438315
10/10/2007,77.44,0.022064999
09/10/2007,75.75,0.019462091
08/10/2007,74.29,-0.032446732
05/10/2007,76.74,0.02734468
04/10/2007,74.67,0.020019605
03/10/2007,73.19,-0.004090543
02/10/2007,73.49,0.001225407
01/10/2007,73.4,-0.677355572
28/09/2007,144.5,-0.019395461
27/09/2007,147.33,0.00421712
26/09/2007,146.71,0.031223332
25/09/2007,142.2,-0.003369843
24/09/2007,142.68,-0.013505252
21/09/2007,144.62,0.031253641
20/09/2007,140.17,0.028584746
19/09/2007,136.22,0.005151995
18/09/2007,135.52,0.022989518
17/09/2007,132.44,-0.008795396
14/09/2007,133.61,0.00089854
13/09/2007,133.49,-0.019583743
12/09/2007,136.13,-0.005932562
11/09/2007,136.94,0.047097425
10/09/2007,130.64,0.00575751
07/09/2007,129.89,-0.03212154
06/09/2007,134.13,0.020487272
05/09/2007,131.41,-0.007580963
04/09/2007,132.41,0.033872905
31/08/2007,128,0.037085494
30/08/2007,123.34,0.00471354
29/08/2007,122.76,0.043112277
28/08/2007,117.58,-0.021122509
27/08/2007,120.09,-0.007549084
24/08/2007,121,0.035413095
23/08/2007,116.79,0.02875084
22/08/2007,113.48,0.019038027
21/08/2007,111.34,-0.001077199
20/08/2007,111.46,0.025534075
17/08/2007,108.65,0.052238348
16/08/2007,103.12,-0.063040357
15/08/2007,109.83,-0.051375236
14/08/2007,115.62,-0.010325337
13/08/2007,116.82,0.00411735
10/08/2007,116.34,0.047527424
09/08/2007,110.94,-0.028261012
08/08/2007,114.12,-0.028166009
07/08/2007,117.38,0.061396985
06/08/2007,110.39,0.0054501
03/08/2007,109.79,-0.041219037
02/08/2007,114.41,-0.020503335
01/08/2007,116.78,-0.028116167
31/07/2007,120.11,0.001082927
30/07/2007,119.98,0.016301512
27/07/2007,118.04,-0.042379574
26/07/2007,123.15,-0.005990951
25/07/2007,123.89,0.097953107
24/07/2007,112.33,-0.041416494
23/07/2007,117.08,-0.005281552
20/07/2007,117.7,0.004171817
19/07/2007,117.21,0.014610091
18/07/2007,115.51,0.026048392
17/07/2007,112.54,-0.001775569
16/07/2007,112.74,0.007925595
13/07/2007,111.85,0.010154196
12/07/2007,110.72,0.00980222
11/07/2007,109.64,0.006588604
10/07/2007,108.92,-0.008137932
09/07/2007,109.81,-0.002728267
06/07/2007,110.11,0.017313674
05/07/2007,108.22,-0.00846527
03/07/2007,109.14,0.001558847
02/07/2007,108.97,0.044376682
29/06/2007,104.24,0.012841113
28/06/2007,102.91,-0.021057458
27/06/2007,105.1,0.030822207
