Date,Close,FCX
19/07/2007,97.66,0.047817874
18/07/2007,93.1,0.012973155
17/07/2007,91.9,-0.011253094
16/07/2007,92.94,-0.013890596
13/07/2007,94.24,-0.003389834
12/07/2007,94.56,0.038375047
11/07/2007,91,0.026614788
10/07/2007,88.61,-0.003154932
09/07/2007,88.89,0.005414565
06/07/2007,88.41,0.031599113
05/07/2007,85.66,0.006558937
03/07/2007,85.1,0.004947589
02/07/2007,84.68,0.022209868
29/06/2007,82.82,0.006055487
28/06/2007,82.32,0.00304155
27/06/2007,82.07,0.046514213
26/06/2007,78.34,-0.036472493
25/06/2007,81.25,-0.019500923
22/06/2007,82.85,-0.005416805
21/06/2007,83.3,0.024179539
20/06/2007,81.31,-0.018883426
19/06/2007,82.86,-0.007933687
18/06/2007,83.52,-0.010718216
15/06/2007,84.42,0.009162913
14/06/2007,83.65,0.022975618
13/06/2007,81.75,0.034597776
12/06/2007,78.97,0.019564591
11/06/2007,77.44,0.016404482
08/06/2007,76.18,0.021763067
07/06/2007,74.54,-0.021106511
06/06/2007,76.13,-0.026571455
05/06/2007,78.18,-0.014224268
04/06/2007,79.3,-0.002518893
01/06/2007,79.5,0.010113866
31/05/2007,78.7,0.011887403
30/05/2007,77.77,0.025129895
29/05/2007,75.84,0.016351311
25/05/2007,74.61,0.031588739
24/05/2007,72.29,-0.019995188
23/05/2007,73.75,0.033083651
22/05/2007,71.35,-0.014332674
21/05/2007,72.38,0.017139694
18/05/2007,71.15,0.002955875
17/05/2007,70.94,-0.004921616
16/05/2007,71.29,-0.0094933
15/05/2007,71.97,0.004177116
14/05/2007,71.67,-0.0172907
11/05/2007,72.92,0.026260627
10/05/2007,71.03,-0.027357118
09/05/2007,73,0.020342499
08/05/2007,71.53,-0.008630343
07/05/2007,72.15,0.007233305
04/05/2007,71.63,0.013068408
03/05/2007,70.7,0.02913315
02/05/2007,68.67,0.019261053
01/05/2007,67.36,0.002973538
30/04/2007,67.16,-0.012576921
27/04/2007,68.01,-0.00659488
26/04/2007,68.46,-0.022245609
25/04/2007,70,0.00918491
24/04/2007,69.36,-0.014314587
23/04/2007,70.36,0.004986831
20/04/2007,70.01,0.012504654
19/04/2007,69.14,-0.014502372
18/04/2007,70.15,-0.016821373
17/04/2007,71.34,0.003229206
16/04/2007,71.11,-0.000843407
13/04/2007,71.17,0.018721296
12/04/2007,69.85,-0.001144656
11/04/2007,69.93,-0.007550431
10/04/2007,70.46,0.021228565
09/04/2007,68.98,0.02065251
05/04/2007,67.57,-0.000443885
04/04/2007,67.6,0.002962965
03/04/2007,67.4,0.009990391
02/04/2007,66.73,0.008125233
30/03/2007,66.19,0.012771954
29/03/2007,65.35,0.017598478
28/03/2007,64.21,-0.007911311
27/03/2007,64.72,0.000309071
26/03/2007,64.7,0.037799776
23/03/2007,62.3,0.006279708
22/03/2007,61.91,-0.010604212
21/03/2007,62.57,0.003361886
20/03/2007,62.36,-0.001282051
19/03/2007,62.44,0.028097667
16/03/2007,60.71,0.00910075
15/03/2007,60.16,0.064893194
14/03/2007,56.38,0.006405716
13/03/2007,56.02,-0.033699223
12/03/2007,57.94,0.020928563
09/03/2007,56.74,-0.015910817
08/03/2007,57.65,0.025651442
07/03/2007,56.19,0.01343745
06/03/2007,55.44,0.043312768
05/03/2007,53.09,-0.028594596
02/03/2007,54.63,-0.028689383
01/03/2007,56.22,-0.020945939
28/02/2007,57.41,0.029341094
27/02/2007,55.75,-0.104965819
26/02/2007,61.92,0.032999793
23/02/2007,59.91,0.005859228
22/02/2007,59.56,0.018299392
21/02/2007,58.48,0.034621184
20/02/2007,56.49,-0.018764251
16/02/2007,57.56,-0.004852696
15/02/2007,57.84,0.021141698
14/02/2007,56.63,0.007800075
13/02/2007,56.19,0.053741001
12/02/2007,53.25,-0.007483664
09/02/2007,53.65,0.004109083
08/02/2007,53.43,-0.009870645
07/02/2007,53.96,-0.008304929
06/02/2007,54.41,-0.002753053
05/02/2007,54.56,-0.012386315
02/02/2007,55.24,-0.027320689
01/02/2007,56.77,-0.012950829
31/01/2007,57.51,0.017718208
30/01/2007,56.5,0.025272427
29/01/2007,55.09,-0.059887588
26/01/2007,58.49,0.001882434
25/01/2007,58.38,0.035568603
24/01/2007,56.34,0.024617181
23/01/2007,54.97,0.04122381
22/01/2007,52.75,-0.022493919
19/01/2007,53.95,0.025721872
18/01/2007,52.58,-0.017158901
17/01/2007,53.49,0.001683975
16/01/2007,53.4,-0.029704241
12/01/2007,55.01,0.022427411
11/01/2007,53.79,0.011217168
10/01/2007,53.19,0.024551619
09/01/2007,51.9,-0.006721101
08/01/2007,52.25,0.014846508
05/01/2007,51.48,0.010152371
04/01/2007,50.96,0.009265714
03/01/2007,50.49,-0.098743305
29/12/2006,55.73,-0.004118548
28/12/2006,55.96,-0.003033279
27/12/2006,56.13,0.028736052
26/12/2006,54.54,0.012917692
22/12/2006,53.84,-0.018585501
21/12/2006,54.85,-0.062371179
20/12/2006,58.38,-0.029202852
19/12/2006,60.11,0.022885064
18/12/2006,58.75,-0.022385854
15/12/2006,60.08,0.005842601
14/12/2006,59.73,0.015182478
13/12/2006,58.83,-0.010315472
12/12/2006,59.44,-0.031627771
11/12/2006,61.35,-0.007469993
08/12/2006,61.81,-0.001778066
07/12/2006,61.92,-0.001291156
06/12/2006,62,0.004202366
05/12/2006,61.74,0.013206355
04/12/2006,60.93,-0.009311511
01/12/2006,61.5,-0.022031928
30/11/2006,62.87,0.019758092
29/11/2006,61.64,0.013721221
28/11/2006,60.8,-0.010634047
27/11/2006,61.45,-0.006649931
24/11/2006,61.86,0.000970403
22/11/2006,61.8,0.056416256
21/11/2006,58.41,0.048764484
20/11/2006,55.63,-0.031321679
17/11/2006,57.4,0.021839544
16/11/2006,56.16,-0.024449375
15/11/2006,57.55,0.009778321
14/11/2006,56.99,-0.016359571
13/11/2006,57.93,-0.015246548
10/11/2006,58.82,-0.033601155
09/11/2006,60.83,0.029698546
08/11/2006,59.05,-0.028053267
07/11/2006,60.73,-0.00983131
06/11/2006,61.33,0.002939258
03/11/2006,61.15,0.01482729
02/11/2006,60.25,0.00933807
01/11/2006,59.69,-0.01314823
31/10/2006,60.48,0.02139119
30/10/2006,59.2,0.002536999
27/10/2006,59.05,-0.005909684
26/10/2006,59.4,-0.006209636
25/10/2006,59.77,-0.00083619
24/10/2006,59.82,0.021458963
23/10/2006,58.55,0.035817459
20/10/2006,56.49,-0.028446207
19/10/2006,58.12,0.029686133
18/10/2006,56.42,-0.027446876
17/10/2006,57.99,0
16/10/2006,57.99,0.026029944
13/10/2006,56.5,0.026907453
12/10/2006,55,0.026717388
11/10/2006,53.55,-0.015564517
10/10/2006,54.39,0.011836646
09/10/2006,53.75,0.018021888
06/10/2006,52.79,0.022025213
05/10/2006,51.64,0.051660274
04/10/2006,49.04,-0.009336378
03/10/2006,49.5,-0.077148079
02/10/2006,53.47,0.003935169
29/09/2006,53.26,-0.004496074
28/09/2006,53.5,-0.012814736
27/09/2006,54.19,0.012814736
26/09/2006,53.5,0.039265574
25/09/2006,51.44,0.012716595
22/09/2006,50.79,-0.016015967
21/09/2006,51.61,0.017198001
20/09/2006,50.73,-0.010393269
19/09/2006,51.26,-0.041648808
18/09/2006,53.44,0.02539458
15/09/2006,52.1,0.00192123
14/09/2006,52,-0.044200895
13/09/2006,54.35,0.017821151
12/09/2006,53.39,-0.010434229
11/09/2006,53.95,-0.077715914
08/09/2006,58.31,-0.017004321
07/09/2006,59.31,-0.017383022
06/09/2006,60.35,-0.020338572
05/09/2006,61.59,0.036878921
01/09/2006,59.36,0.019563438
31/08/2006,58.21,0.019603369
30/08/2006,57.08,0.001051709
29/08/2006,57.02,0.007569792
28/08/2006,56.59,-0.014212012
25/08/2006,57.4,0.013328854
24/08/2006,56.64,-0.000529521
23/08/2006,56.67,-0.004050371
22/08/2006,56.9,-0.004384049
21/08/2006,57.15,0.046195109
18/08/2006,54.57,0.018308417
17/08/2006,53.58,-0.021053409
16/08/2006,54.72,0.009917437
15/08/2006,54.18,0.019946602
14/08/2006,53.11,-0.007316419
11/08/2006,53.5,-0.013552607
10/08/2006,54.23,-0.004966441
09/08/2006,54.5,0.002020388
08/08/2006,54.39,-0.029171377
07/08/2006,56,0.015657658
04/08/2006,55.13,-0.01172135
03/08/2006,55.78,-0.00963433
02/08/2006,56.32,0.021355679
01/08/2006,55.13,0.010393019
31/07/2006,54.56,0.030897675
28/07/2006,52.9,0.027598532
27/07/2006,51.46,-0.015426453
26/07/2006,52.26,0.003066311
25/07/2006,52.1,0.021339316
24/07/2006,51,0.009852296
21/07/2006,50.5,-0.013961489
20/07/2006,51.21,-0.059509788
19/07/2006,54.35,0.047282562
18/07/2006,51.84,0.005221944
17/07/2006,51.57,-0.053424046
14/07/2006,54.4,0.022681768
13/07/2006,53.18,-0.054344295
12/07/2006,56.15,-0.013092898
11/07/2006,56.89,0.004227591
10/07/2006,56.65,0.009043417
07/07/2006,56.14,-0.024979311
06/07/2006,57.56,0.015053671
05/07/2006,56.7,-0.031765233
03/07/2006,58.53,0.05477936
30/06/2006,55.41,0.002710763
29/06/2006,55.26,0.097230227
28/06/2006,50.14,0.006804109
27/06/2006,49.8,-0.019881371
26/06/2006,50.8,0.019881371
23/06/2006,49.8,0.012324633
22/06/2006,49.19,-0.000812843
21/06/2006,49.23,0.037037439
20/06/2006,47.44,0.009956655
19/06/2006,46.97,-0.027922461
16/06/2006,48.3,-0.015204731
15/06/2006,49.04,0.070537994
14/06/2006,45.7,0.043606685
13/06/2006,43.75,-0.081395638
12/06/2006,47.46,-0.032545105
09/06/2006,49.03,-0.018189669
08/06/2006,49.93,-0.026093594
07/06/2006,51.25,-0.029984949
06/06/2006,52.81,0.017189117
05/06/2006,51.91,-0.08896798
02/06/2006,56.74,0.019217673
01/06/2006,55.66,-0.005911347
31/05/2006,55.99,0.026788932
30/05/2006,54.51,-0.039213657
26/05/2006,56.69,0.012067582
25/05/2006,56.01,0.053730037
24/05/2006,53.08,-0.045123206
23/05/2006,55.53,0.022951827
22/05/2006,54.27,-0.008805781
19/05/2006,54.75,-0.003646312
18/05/2006,54.95,-0.035574401
17/05/2006,56.94,-0.062791738
16/05/2006,60.63,-0.014247355
15/05/2006,61.5,-0.061790847
12/05/2006,65.42,-0.041909755
11/05/2006,68.22,-0.023182725
10/05/2006,69.82,0.005025497
09/05/2006,69.47,0.042040288
08/05/2006,66.61,0.002103998
05/05/2006,66.47,0.004070255
04/05/2006,66.2,0.047484371
03/05/2006,63.13,-0.025337608
02/05/2006,64.75,-0.009529737
01/05/2006,65.37,0.012158672
28/04/2006,64.58,0.020335442
27/04/2006,63.28,-0.035548951
26/04/2006,65.57,-0.018135604
25/04/2006,66.77,0.013115436
24/04/2006,65.9,-0.009063506
21/04/2006,66.5,-0.017588768
20/04/2006,67.68,-0.063124623
19/04/2006,72.09,0.035581898
18/04/2006,69.57,0.065027357
17/04/2006,65.19,0.025479085
13/04/2006,63.55,0.014263316
12/04/2006,62.65,0.016577188
11/04/2006,61.62,-0.007437383
10/04/2006,62.08,0.017550012
07/04/2006,61,-0.052841276
06/04/2006,64.31,0.003270776
05/04/2006,64.1,0.030250149
04/04/2006,62.19,0.011482296
03/04/2006,61.48,0.028208056
31/03/2006,59.77,-0.022825999
30/03/2006,61.15,0.023997842
29/03/2006,59.7,0.05155781
28/03/2006,56.7,0.009035406
27/03/2006,56.19,0.045512041
24/03/2006,53.69,0.017094433
23/03/2006,52.78,0.021061472
22/03/2006,51.68,0.013245227
21/03/2006,51,-0.031460667
20/03/2006,52.63,-0.011147966
17/03/2006,53.22,0.009249712
16/03/2006,52.73,-0.010751778
15/03/2006,53.3,0.026232259
14/03/2006,51.92,0.04229168
13/03/2006,49.77,-0.006808196
10/03/2006,50.11,0.035754367
09/03/2006,48.35,-0.002891369
08/03/2006,48.49,-0.035055763
07/03/2006,50.22,-0.032520006
06/03/2006,51.88,-0.031682437
03/03/2006,53.55,-0.002983407
02/03/2006,53.71,0.031970944
01/03/2006,52.02,0.027083974
28/02/2006,50.63,-0.016260521
27/02/2006,51.46,-0.027031263
24/02/2006,52.87,0.023733171
23/02/2006,51.63,-0.063957295
22/02/2006,55.04,0.011144721
21/02/2006,54.43,0.0275674
17/02/2006,52.95,0.012734183
16/02/2006,52.28,0.039205411
15/02/2006,50.27,-0.043023667
14/02/2006,52.48,0.029587385
13/02/2006,50.95,-0.019051898
10/02/2006,51.93,-0.090167697
09/02/2006,56.83,-0.007537944
08/02/2006,57.26,-0.013185479
07/02/2006,58.02,-0.075977499
06/02/2006,62.6,0.015129856
03/02/2006,61.66,-0.012570673
02/02/2006,62.44,-0.029509044
01/02/2006,64.31,0.000933416
31/01/2006,64.25,0.014896395
30/01/2006,63.3,0.005226907
27/01/2006,62.97,0.018755058
26/01/2006,61.8,0.02175599
25/01/2006,60.47,0.004142851
24/01/2006,60.22,0.03240243
23/01/2006,58.3,0.015906283
20/01/2006,57.38,-0.026654488
19/01/2006,58.93,0.004762724
