Date,Close,VZ
05/01/2007,37.38,-0.01723952
04/01/2007,38.03,0.005537259
03/01/2007,37.82,0.015454611
29/12/2006,37.24,-0.002145924
28/12/2006,37.32,0.00483482
27/12/2006,37.14,0.01055633
26/12/2006,36.75,0.005457039
22/12/2006,36.55,-0.003550461
21/12/2006,36.68,0.006290189
20/12/2006,36.45,-0.005744784
19/12/2006,36.66,0.003278691
18/12/2006,36.54,0.001643386
15/12/2006,36.48,0.010748347
14/12/2006,36.09,0.006114527
13/12/2006,35.87,0.003071341
12/12/2006,35.76,0.001959413
11/12/2006,35.69,0.010704328
08/12/2006,35.31,0.011679381
07/12/2006,34.9,-0.001431639
06/12/2006,34.95,0.010642988
05/12/2006,34.58,-0.007777657
04/12/2006,34.85,0.006044054
01/12/2006,34.64,-0.008623221
30/11/2006,34.94,0.00143205
29/11/2006,34.89,0.014143691
28/11/2006,34.4,0.004662013
27/11/2006,34.24,-0.014785021
24/11/2006,34.75,0
22/11/2006,34.75,-0.010875894
21/11/2006,35.13,0.013180707
20/11/2006,34.67,-0.038754673
17/11/2006,36.04,0.002778551
16/11/2006,35.94,-0.004164937
15/11/2006,36.09,-0.008278193
14/11/2006,36.39,0.012164927
13/11/2006,35.95,0.010064385
10/11/2006,35.59,-0.014505136
09/11/2006,36.11,-0.020557117
08/11/2006,36.86,-0.00027126
07/11/2006,36.87,-0.002979014
06/11/2006,36.98,0.007600471
03/11/2006,36.7,-0.007870851
02/11/2006,36.99,0.000540833
01/11/2006,36.97,-0.00081114
31/10/2006,37,-0.017415042
30/10/2006,37.65,-0.031117689
27/10/2006,38.84,0.002577985
26/10/2006,38.74,0.011422762
25/10/2006,38.3,0.007863736
24/10/2006,38,-0.000526177
23/10/2006,38.02,0.005803234
20/10/2006,37.8,0.01573156
19/10/2006,37.21,0.016802563
18/10/2006,36.59,0
17/10/2006,36.59,-0.012223431
16/10/2006,37.04,-0.000269942
13/10/2006,37.05,0.001620746
12/10/2006,36.99,0.010599365
11/10/2006,36.6,0.001640689
10/10/2006,36.54,-0.004096687
09/10/2006,36.69,-0.002993607
06/10/2006,36.8,-0.002984672
05/10/2006,36.91,-0.024355546
04/10/2006,37.82,0.00929745
03/10/2006,37.47,0.008846057
02/10/2006,37.14,0.000269288
29/09/2006,37.13,0.005130293
28/09/2006,36.94,0.004340756
27/09/2006,36.78,-0.031578755
26/09/2006,37.96,0.012192041
25/09/2006,37.5,0.010723963
22/09/2006,37.1,0.005405419
21/09/2006,36.9,0.006252569
20/09/2006,36.67,0.018440044
19/09/2006,36,0.006688988
18/09/2006,35.76,-0.001397234
15/09/2006,35.81,-0.004736045
14/09/2006,35.98,0.006412959
13/09/2006,35.75,-0.002514319
12/09/2006,35.84,0.008405765
11/09/2006,35.54,0.003947003
08/09/2006,35.4,0.00254561
07/09/2006,35.31,-0.003957043
06/09/2006,35.45,-0.001409444
05/09/2006,35.5,-0.001969889
01/09/2006,35.57,0.011024847
31/08/2006,35.18,-0.005951555
30/08/2006,35.39,0.005951555
29/08/2006,35.18,0.006559271
28/08/2006,34.95,0.007178782
25/08/2006,34.7,0.001441961
24/08/2006,34.65,0.007531901
23/08/2006,34.39,-0.006087858
22/08/2006,34.6,0.002314816
21/08/2006,34.52,0.002901075
18/08/2006,34.42,0.005535338
17/08/2006,34.23,0
16/08/2006,34.23,-0.004663372
15/08/2006,34.39,0.013761014
14/08/2006,33.92,-0.004412421
11/08/2006,34.07,0.003822972
10/08/2006,33.94,0.003246277
09/08/2006,33.83,0.008609226
08/08/2006,33.54,0.007181359
07/08/2006,33.3,-0.014015437
04/08/2006,33.77,0.008325948
03/08/2006,33.49,-0.001193674
02/08/2006,33.53,0.00778447
01/08/2006,33.27,-0.016396253
31/07/2006,33.82,0.002664694
28/07/2006,33.73,0.012229832
27/07/2006,33.32,-0.003295883
26/07/2006,33.43,0.015069604
25/07/2006,32.93,0.010378604
24/07/2006,32.59,0.022340364
21/07/2006,31.87,-0.011852915
20/07/2006,32.25,-0.00216819
19/07/2006,32.32,0.023162225
18/07/2006,31.58,0
17/07/2006,31.58,-0.001265823
14/07/2006,31.62,-0.003787883
13/07/2006,31.74,-0.017489515
