Date,Close,SBUX
18/01/2007,35.77,-0.014432668
17/01/2007,36.29,0.001930769
16/01/2007,36.22,0.008874157
12/01/2007,35.9,0.002510111
11/01/2007,35.81,0.030047612
10/01/2007,34.75,-0.003160468
09/01/2007,34.86,-0.004293695
08/01/2007,35.01,-0.003706348
05/01/2007,35.14,-0.004259555
04/01/2007,35.29,0.001134108
03/01/2007,35.25,-0.004811103
29/12/2006,35.42,-0.008434124
28/12/2006,35.72,-0.001957769
27/12/2006,35.79,0.002797987
26/12/2006,35.69,-0.003914994
22/12/2006,35.83,-0.016057931
21/12/2006,36.41,-0.000274612
20/12/2006,36.42,-0.003015767
19/12/2006,36.53,0.007142888
18/12/2006,36.27,-0.004127121
15/12/2006,36.42,-0.004930166
14/12/2006,36.6,0.014309545
13/12/2006,36.08,-0.005803526
12/12/2006,36.29,-0.009325356
11/12/2006,36.63,0.005749502
08/12/2006,36.42,-0.001646091
07/12/2006,36.48,-0.010362787
06/12/2006,36.86,0.000542741
05/12/2006,36.84,0.030033942
04/12/2006,35.75,0.015504187
01/12/2006,35.2,-0.002553555
30/11/2006,35.29,-0.011551051
29/11/2006,35.7,0.010701313
28/11/2006,35.32,-0.013777808
27/11/2006,35.81,-0.013866001
24/11/2006,36.31,-0.001925988
22/11/2006,36.38,-0.005209059
21/11/2006,36.57,-0.004909993
20/11/2006,36.75,-0.018067095
17/11/2006,37.42,-0.052321627
16/11/2006,39.43,0.011734829
15/11/2006,38.97,0.012653494
14/11/2006,38.48,0.001040042
13/11/2006,38.44,0.017054067
10/11/2006,37.79,0.023291108
09/11/2006,36.92,-0.011043883
08/11/2006,37.33,0.006989276
07/11/2006,37.07,-0.01099944
06/11/2006,37.48,0.027317453
03/11/2006,36.47,-0.023039371
02/11/2006,37.32,-0.007474674
01/11/2006,37.6,-0.003981425
31/10/2006,37.75,-0.010278124
30/10/2006,38.14,0.003151263
27/10/2006,38.02,-0.022110408
26/10/2006,38.87,0.010604005
25/10/2006,38.46,0.006521479
24/10/2006,38.21,-0.002352635
23/10/2006,38.3,0.022710245
20/10/2006,37.44,-0.00904021
19/10/2006,37.78,-0.000264655
18/10/2006,37.79,-0.001850628
17/10/2006,37.86,-0.014162314
16/10/2006,38.4,0.012315104
13/10/2006,37.93,-0.000790618
12/10/2006,37.96,0.014327653
11/10/2006,37.42,-0.016432917
10/10/2006,38.04,-0.009419222
09/10/2006,38.4,-0.000260383
06/10/2006,38.41,-0.007263326
05/10/2006,38.69,0.073173959
04/10/2006,35.96,0.055752611
03/10/2006,34.01,0.011533471
02/10/2006,33.62,-0.012708905
29/09/2006,34.05,-0.004980236
28/09/2006,34.22,-0.007279112
27/09/2006,34.47,0.005819045
26/09/2006,34.27,-0.005238662
25/09/2006,34.45,0.012854398
22/09/2006,34.01,0
21/09/2006,34.01,-0.019508553
20/09/2006,34.68,0.029258963
19/09/2006,33.68,0.001188354
18/09/2006,33.64,-0.006223164
15/09/2006,33.85,0.02452276
14/09/2006,33.03,-0.000302709
13/09/2006,33.04,0.018326719
12/09/2006,32.44,0.029087273
11/09/2006,31.51,0.010207425
08/09/2006,31.19,0.002246831
07/09/2006,31.12,-0.012136847
06/09/2006,31.5,-0.015435808
05/09/2006,31.99,0.007215718
01/09/2006,31.76,0.023897903
31/08/2006,31.01,0.008744995
30/08/2006,30.74,0.012438786
29/08/2006,30.36,-0.00361664
