Date,Close,GS
02/10/2007,228.02,0.022351263
01/10/2007,222.98,0.028383603
28/09/2007,216.74,-0.000184536
27/09/2007,216.78,0.010060587
26/09/2007,214.61,0.01743834
25/09/2007,210.9,0.002231031
24/09/2007,210.43,0.002140768
21/09/2007,209.98,0.031198874
20/09/2007,203.53,-0.00963262
19/09/2007,205.5,0.024631787
18/09/2007,200.5,0.066448907
17/09/2007,187.61,-0.015759184
14/09/2007,190.59,0.011185681
13/09/2007,188.47,0.0320243
12/09/2007,182.53,-0.005300124
11/09/2007,183.5,-0.000599275
10/09/2007,183.61,0.025539875
07/09/2007,178.98,-0.001116819
06/09/2007,179.18,0.007675323
05/09/2007,177.81,-0.016675883
04/09/2007,180.8,0.026850636
31/08/2007,176.01,0.026657498
30/08/2007,171.38,-0.013561494
29/08/2007,173.72,0.016073692
28/08/2007,170.95,-0.040131496
27/08/2007,177.95,-0.009953113
24/08/2007,179.73,0.012485116
23/08/2007,177.5,-0.002194773
22/08/2007,177.89,0.013640305
21/08/2007,175.48,0.015621728
20/08/2007,172.76,-0.012882626
17/08/2007,175,0.029870279
16/08/2007,169.85,0.029576465
15/08/2007,164.9,-0.028987537
14/08/2007,169.75,-0.044643842
13/08/2007,177.5,-0.016760169
10/08/2007,180.5,-0.009648593
09/08/2007,182.25,-0.058864015
08/08/2007,193.3,0.010661914
07/08/2007,191.25,0.018257155
06/08/2007,187.79,0.044146826
03/08/2007,179.68,-0.042387998
02/08/2007,187.46,-0.008181526
01/08/2007,189,0.003498175
31/07/2007,188.34,-0.038538408
30/07/2007,195.74,0.015912177
27/07/2007,192.65,-0.012739683
26/07/2007,195.12,-0.040379092
25/07/2007,203.16,0.024969526
24/07/2007,198.15,-0.034180762
23/07/2007,205.04,-0.004379782
20/07/2007,205.94,-0.027538076
19/07/2007,211.69,-0.015468575
18/07/2007,214.99,-0.020305032
17/07/2007,219.4,-0.004547529
16/07/2007,220.4,-0.008043787
13/07/2007,222.18,0.008543004
12/07/2007,220.29,0.016338662
11/07/2007,216.72,-0.001659751
10/07/2007,217.08,-0.02825021
09/07/2007,223.3,-0.001521457
06/07/2007,223.64,0.010427998
05/07/2007,221.32,-0.014488782
03/07/2007,224.55,0.024205089
02/07/2007,219.18,0.011148694
29/06/2007,216.75,-0.010144449
28/06/2007,218.96,-0.00168838
27/06/2007,219.33,0.023807353
26/06/2007,214.17,-0.011928386
25/06/2007,216.74,-0.025779084
22/06/2007,222.4,-0.020031829
21/06/2007,226.9,0.004461237
20/06/2007,225.89,-0.015724147
19/06/2007,229.47,0.010954452
18/06/2007,226.97,0.003442496
15/06/2007,226.19,0.001947162
14/06/2007,225.75,-0.034353277
13/06/2007,233.64,0.025093951
12/06/2007,227.85,0.003032903
11/06/2007,227.16,0.009287582
08/06/2007,225.06,0.02251224
07/06/2007,220.05,-0.032635887
06/06/2007,227.35,-0.008802141
05/06/2007,229.36,-0.001524822
04/06/2007,229.71,-0.004343867
01/06/2007,230.71,-0.000476675
31/05/2007,230.82,-0.005099186
30/05/2007,232,0.015463778
29/05/2007,228.44,0.012820406
25/05/2007,225.53,-0.000664879
24/05/2007,225.68,-0.012593183
23/05/2007,228.54,-0.009450261
22/05/2007,230.71,0.006435644
21/05/2007,229.23,-0.004830612
18/05/2007,230.34,0.012933852
17/05/2007,227.38,0.001188145
16/05/2007,227.11,0.012093438
15/05/2007,224.38,-0.007990099
14/05/2007,226.18,-0.005819096
11/05/2007,227.5,0.019530137
10/05/2007,223.1,-0.015433847
09/05/2007,226.57,0.007175793
08/05/2007,224.95,-0.010040556
07/05/2007,227.22,-0.000527983
04/05/2007,227.34,0.025753261
03/05/2007,221.56,0.00938676
02/05/2007,219.49,0.004154593
01/05/2007,218.58,-0.00013724
30/04/2007,218.61,-0.025605951
27/04/2007,224.28,-0.00236033
26/04/2007,224.81,-0.003507919
25/04/2007,225.6,0.02186859
24/04/2007,220.72,-0.007672556
23/04/2007,222.42,0.01093994
20/04/2007,220,0.003232492
19/04/2007,219.29,0.011650439
18/04/2007,216.75,0.008571812
17/04/2007,214.9,0.00176983
16/04/2007,214.52,0.038102562
13/04/2007,206.5,-0.002659898
12/04/2007,207.05,0.000579738
11/04/2007,206.93,-0.010192886
10/04/2007,209.05,0.000526328
09/04/2007,208.94,0.004845645
05/04/2007,207.93,-0.004127478
04/04/2007,208.79,-0.004587383
03/04/2007,209.75,0.019740651
02/04/2007,205.65,-0.00475406
30/03/2007,206.63,-0.002754756
29/03/2007,207.2,0.00212581
28/03/2007,206.76,-0.014929591
27/03/2007,209.87,-0.008823587
26/03/2007,211.73,-0.000755394
23/03/2007,211.89,0.008578862
22/03/2007,210.08,-0.004132728
21/03/2007,210.95,0.033501145
20/03/2007,204,0.007676447
19/03/2007,202.44,0.017138722
16/03/2007,199,-0.00945267
15/03/2007,200.89,0.003690409
14/03/2007,200.15,0.005611518
13/03/2007,199.03,-0.017778025
12/03/2007,202.6,0.004452147
09/03/2007,201.7,0.008764123
