Date,Close,DIS
26/10/2006,31.98,0.024692613
25/10/2006,31.2,-0.005752652
24/10/2006,31.38,0.003191832
23/10/2006,31.28,-0.005420067
20/10/2006,31.45,-0.004441632
19/10/2006,31.59,0.000316606
18/10/2006,31.58,0.01531619
17/10/2006,31.1,0.002575661
16/10/2006,31.02,-0.002897153
13/10/2006,31.11,-0.006088787
12/10/2006,31.3,-0.000319438
11/10/2006,31.31,0.001918159
10/10/2006,31.25,-0.004469995
09/10/2006,31.39,0.001594134
06/10/2006,31.34,0.008652514
05/10/2006,31.07,-0.003854807
04/10/2006,31.19,0.006110326
03/10/2006,31,0.015277398
02/10/2006,30.53,-0.012369949
29/09/2006,30.91,-0.000646831
28/09/2006,30.93,-0.003550109
27/09/2006,31.04,-0.000966028
26/09/2006,31.07,0.02972618
25/09/2006,30.16,0.002656044
22/09/2006,30.08,-0.020727835
21/09/2006,30.71,-0.010366144
20/09/2006,31.03,0.018211885
19/09/2006,30.47,0.013547209
18/09/2006,30.06,-0.008282307
15/09/2006,30.31,-0.002635916
14/09/2006,30.39,-0.001972387
13/09/2006,30.45,0.007912999
12/09/2006,30.21,0.01467182
11/09/2006,29.77,0.006402718
08/09/2006,29.58,0.003047234
07/09/2006,29.49,-0.004060919
06/09/2006,29.61,-0.008072698
05/09/2006,29.85,-0.001339136
01/09/2006,29.89,0.008061851
31/08/2006,29.65,0.002701792
30/08/2006,29.57,0.015678576
29/08/2006,29.11,-0.008891987
28/08/2006,29.37,0.014403541
25/08/2006,28.95,0
24/08/2006,28.95,-0.008255981
23/08/2006,29.19,-0.015298616
22/08/2006,29.64,-0.011072081
21/08/2006,29.97,0.002004009
18/08/2006,29.91,0.000334392
17/08/2006,29.9,0.006374791
16/08/2006,29.71,0.002358889
15/08/2006,29.64,0.004056801
14/08/2006,29.52,0.003053437
11/08/2006,29.43,-0.005083895
10/08/2006,29.58,0.025681946
09/08/2006,28.83,-0.005189425
08/08/2006,28.98,-0.014048544
07/08/2006,29.39,-0.017204
04/08/2006,29.9,-0.004671346
03/08/2006,30.04,0.008021433
02/08/2006,29.8,0.015215847
01/08/2006,29.35,-0.011517743
31/07/2006,29.69,-0.000336757
28/07/2006,29.7,0.016635929
27/07/2006,29.21,-0.004440656
26/07/2006,29.34,-0.004760295
25/07/2006,29.48,0.003738322
24/07/2006,29.37,0.031122844
21/07/2006,28.47,-0.022574322
20/07/2006,29.12,-0.004796172
19/07/2006,29.26,0.005483221
18/07/2006,29.1,0.017331456
17/07/2006,28.6,0.003853569
14/07/2006,28.49,-0.007343974
13/07/2006,28.7,-0.04129575
12/07/2006,29.91,-0.011303312
11/07/2006,30.25,0.010969031
10/07/2006,29.92,0.003012555
07/07/2006,29.83,-0.007015228
06/07/2006,30.04,-0.00099817
05/07/2006,30.07,0.001664171
03/07/2006,30.02,0.000666445
30/06/2006,30,0.004008021
29/06/2006,29.88,0.01687519
28/06/2006,29.38,-0.001020582
27/06/2006,29.41,-0.008801682
26/06/2006,29.67,0.018711211
23/06/2006,29.12,-0.005479466
22/06/2006,29.28,0.005136118
21/06/2006,29.13,-0.003427008
20/06/2006,29.23,0.005488865
19/06/2006,29.07,-0.012987196
16/06/2006,29.45,0.008867725
15/06/2006,29.19,0.017277555
14/06/2006,28.69,0.014393789
13/06/2006,28.28,-0.021686754
12/06/2006,28.9,-0.014769288
09/06/2006,29.33,-0.018243749
08/06/2006,29.87,-0.02577803
07/06/2006,30.65,0.003922856
06/06/2006,30.53,-0.006854931
05/06/2006,30.74,0.003911348
02/06/2006,30.62,0
01/06/2006,30.62,0.003926707
31/05/2006,30.5,0.009884759
30/05/2006,30.2,-0.010212574
26/05/2006,30.51,0.011869576
25/05/2006,30.15,0.00033173
24/05/2006,30.14,-0.002981616
23/05/2006,30.23,0.007637427
22/05/2006,30,-0.004987542
19/05/2006,30.15,0.018410562
18/05/2006,29.6,-0.005390849
17/05/2006,29.76,-0.019631308
16/05/2006,30.35,0.011932525
15/05/2006,29.99,0.003005512
12/05/2006,29.9,0.003350087
11/05/2006,29.8,-0.010348949
10/05/2006,30.11,0.017758885
09/05/2006,29.58,0.02776528
08/05/2006,28.77,-0.011061295
05/05/2006,29.09,0.024005327
04/05/2006,28.4,0.01026376
03/05/2006,28.11,0.007857183
02/05/2006,27.89,0.007919408
01/05/2006,27.67,-0.010426124
28/04/2006,27.96,0.007178782
27/04/2006,27.76,0.020379162
26/04/2006,27.2,0.007380107
25/04/2006,27,-0.009950331
24/04/2006,27.27,0.009209864
21/04/2006,27.02,-0.011773499
20/04/2006,27.34,-0.005107636
19/04/2006,27.48,-0.021955174
18/04/2006,28.09,0.015787913
17/04/2006,27.65,-0.008283858
13/04/2006,27.88,-0.001433692
12/04/2006,27.92,0.005386977
11/04/2006,27.77,-0.000719942
10/04/2006,27.79,0.009399925
07/04/2006,27.53,-0.005433812
06/04/2006,27.68,-0.003966113
05/04/2006,27.79,-0.004308804
04/04/2006,27.91,-0.001074306
03/04/2006,27.94,0.001791152
31/03/2006,27.89,0.00071736
30/03/2006,27.87,0.000358873
29/03/2006,27.86,0.028027312
28/03/2006,27.09,-0.009186175
27/03/2006,27.34,-0.004015337
24/03/2006,27.45,-0.002546845
23/03/2006,27.52,-0.009763231
22/03/2006,27.79,-0.011093333
21/03/2006,28.1,-0.019034766
20/03/2006,28.64,0
17/03/2006,28.64,-0.001395674
16/03/2006,28.68,-0.002437752
15/03/2006,28.75,0.003135345
14/03/2006,28.66,0.003495285
13/03/2006,28.56,0.014104606
10/03/2006,28.16,0.00248889
