Date,Close,CVS
28/02/2007,31.42,-0.002542913
27/02/2007,31.5,-0.027553402
26/02/2007,32.38,-0.003083567
23/02/2007,32.48,-0.001230769
22/02/2007,32.52,-0.016771242
21/02/2007,33.07,0.008502936
20/02/2007,32.79,0.001831502
16/02/2007,32.73,-0.005484474
15/02/2007,32.91,0.005790051
14/02/2007,32.72,0.019442057
13/02/2007,32.09,-0.012387895
12/02/2007,32.49,-0.012844213
09/02/2007,32.91,-0.006360767
08/02/2007,33.12,-0.00361664
07/02/2007,33.24,0.000300888
06/02/2007,33.23,-0.002104315
05/02/2007,33.3,0.003308771
02/02/2007,33.19,-0.003008426
01/02/2007,33.29,-0.010756005
31/01/2007,33.65,0.01799149
30/01/2007,33.05,0.010952346
29/01/2007,32.69,-0.008528836
26/01/2007,32.97,0.006695095
25/01/2007,32.75,-0.003353151
24/01/2007,32.86,-0.011798654
23/01/2007,33.25,0.006638528
22/01/2007,33.03,-0.007540377
19/01/2007,33.28,0.020337626
18/01/2007,32.61,0.003994475
17/01/2007,32.48,0.02147274
16/01/2007,31.79,-0.004707368
12/01/2007,31.94,0.013554187
11/01/2007,31.51,0.006048085
10/01/2007,31.32,0.009947138
09/01/2007,31.01,-0.010904534
08/01/2007,31.35,0.005758173
05/01/2007,31.17,0.005468889
04/01/2007,31,0.005174656
03/01/2007,30.84,-0.002267207
29/12/2006,30.91,-0.01093962
28/12/2006,31.25,0.000960461
27/12/2006,31.22,0.001282051
26/12/2006,31.18,-0.002242513
22/12/2006,31.25,0.010616152
21/12/2006,30.92,0.033210351
20/12/2006,29.91,-0.00233762
19/12/2006,29.98,-0.001000167
18/12/2006,30.01,-0.016851547
15/12/2006,30.52,-0.006531702
14/12/2006,30.72,0.013436217
13/12/2006,30.31,0.005956338
12/12/2006,30.13,0.000664011
11/12/2006,30.11,-0.003977466
08/12/2006,30.23,0.007304149
07/12/2006,30.01,-0.000999167
06/12/2006,30.04,0.014417685
05/12/2006,29.61,0.011890747
04/12/2006,29.26,0.020370116
01/12/2006,28.67,-0.003481898
30/11/2006,28.77,0.008377012
29/11/2006,28.53,0.03422794
28/11/2006,27.57,0.013878966
27/11/2006,27.19,-0.028283249
24/11/2006,27.97,-0.001072003
22/11/2006,28,-0.002853069
21/11/2006,28.08,-0.013090581
20/11/2006,28.45,-0.021558554
17/11/2006,29.07,-0.018405428
16/11/2006,29.61,0.006437427
15/11/2006,29.42,0.017141318
14/11/2006,28.92,-0.002417546
13/11/2006,28.99,0.001035375
10/11/2006,28.96,0.01215926
09/11/2006,28.61,-0.034693502
08/11/2006,29.62,-0.010411513
07/11/2006,29.93,0.003011547
06/11/2006,29.84,0.035821671
03/11/2006,28.79,-0.002428449
02/11/2006,28.86,-0.006906105
01/11/2006,29.06,-0.076808089
31/10/2006,31.38,-0.011091858
30/10/2006,31.73,0.016844511
27/10/2006,31.2,-0.004796172
26/10/2006,31.35,0.015429429
25/10/2006,30.87,-0.017978012
24/10/2006,31.43,0.004144753
23/10/2006,31.3,0.019681229
20/10/2006,30.69,-0.014877377
19/10/2006,31.15,-0.007675126
18/10/2006,31.39,0.008317386
17/10/2006,31.13,-0.003847392
16/10/2006,31.25,0.005133152
13/10/2006,31.09,-0.013101322
12/10/2006,31.5,0.010852325
11/10/2006,31.16,0.047315001
10/10/2006,29.72,0
09/10/2006,29.72,0.013550343
06/10/2006,29.32,-0.05345671
05/10/2006,30.93,-0.038685864
04/10/2006,32.15,0.012519725
03/10/2006,31.75,-0.005340047
02/10/2006,31.92,-0.006246116
29/09/2006,32.12,-0.004968954
28/09/2006,32.28,-0.002166178
27/09/2006,32.35,0.021875872
26/09/2006,31.65,0.017530329
25/09/2006,31.1,-0.06020842
22/09/2006,33.03,0.017099653
21/09/2006,32.47,-0.087242333
20/09/2006,35.43,0.01822893
19/09/2006,34.79,0.002014099
18/09/2006,34.72,-0.000575871
15/09/2006,34.74,-0.011163705
14/09/2006,35.13,0.007715426
13/09/2006,34.86,-0.030789044
12/09/2006,35.95,0.002506616
11/09/2006,35.86,0.010089772
08/09/2006,35.5,0.011046706
07/09/2006,35.11,0.01261123
06/09/2006,34.67,0.005495314
05/09/2006,34.48,0.015196084
01/09/2006,33.96,0.012146498
31/08/2006,33.55,-0.011851991
30/08/2006,33.95,0.007984665
29/08/2006,33.68,0.006254674
28/08/2006,33.47,0.01535481
25/08/2006,32.96,0.001822047
24/08/2006,32.9,-0.001822047
23/08/2006,32.96,-0.001212856
22/08/2006,33,-0.019505495
21/08/2006,33.65,-0.006516611
18/08/2006,33.87,-0.014945333
17/08/2006,34.38,-0.00087222
16/08/2006,34.41,-0.014139609
15/08/2006,34.9,0.018216493
14/08/2006,34.27,0.008792554
11/08/2006,33.97,0.00501698
10/08/2006,33.8,0.018513518
09/08/2006,33.18,-0.02146773
08/08/2006,33.9,0.012466769
07/08/2006,33.48,-0.009512557
04/08/2006,33.8,-0.002954212
03/08/2006,33.9,0.021166389
02/08/2006,33.19,0.01182011
01/08/2006,32.8,0.002442004
31/07/2006,32.72,0.003981019
28/07/2006,32.59,-0.012198992
27/07/2006,32.99,-0.000303076
26/07/2006,33,-0.003629768
25/07/2006,33.12,0.013986242
24/07/2006,32.66,0.020727734
21/07/2006,31.99,-0.001873829
20/07/2006,32.05,-0.00062383
19/07/2006,32.07,0.021750266
18/07/2006,31.38,-0.008567401
17/07/2006,31.65,-0.000947418
14/07/2006,31.68,-0.012858888
13/07/2006,32.09,0.002808552
12/07/2006,32,0.000625195
11/07/2006,31.98,0.021173172
10/07/2006,31.31,0.027523188
07/07/2006,30.46,0.011889176
06/07/2006,30.1,-0.004971013
05/07/2006,30.25,-0.011503824
03/07/2006,30.6,-0.003262646
30/06/2006,30.7,0.00817666
29/06/2006,30.45,0.028311633
28/06/2006,29.6,0.011894788
27/06/2006,29.25,-0.019635025
26/06/2006,29.83,0.021345889
23/06/2006,29.2,-0.011237986
22/06/2006,29.53,-0.007758514
21/06/2006,29.76,-0.010695289
20/06/2006,30.08,0.011031367
19/06/2006,29.75,-0.014681612
16/06/2006,30.19,0.007647585
15/06/2006,29.96,0.022275643
14/06/2006,29.3,0.011326704
13/06/2006,28.97,0.000690608
12/06/2006,28.95,-0.008940912
09/06/2006,29.21,-0.007503446
08/06/2006,29.43,0.028957556
