Date,Close,COP
06/06/2007,78.4,-0.01128809
05/06/2007,79.29,-0.001512288
04/06/2007,79.41,0.006950176
01/06/2007,78.86,0.018299826
31/05/2007,77.43,0.001680347
30/05/2007,77.3,0.025550031
29/05/2007,75.35,-0.014100517
25/05/2007,76.42,0.016226199
24/05/2007,75.19,-0.020013835
23/05/2007,76.71,0.011274372
22/05/2007,75.85,-0.00013183
21/05/2007,75.86,0.013403425
18/05/2007,74.85,0.021607863
17/05/2007,73.25,0.019297635
16/05/2007,71.85,0.015852194
15/05/2007,70.72,0
14/05/2007,70.72,0.007522568
11/05/2007,70.19,0.015940597
10/05/2007,69.08,-0.014800184
09/05/2007,70.11,-0.001994871
08/05/2007,70.25,-0.001280319
07/05/2007,70.34,0.002134776
04/05/2007,70.19,0.002853476
03/05/2007,69.99,0.008177364
02/05/2007,69.42,0.003318667
01/05/2007,69.19,-0.002309803
30/04/2007,69.35,-0.009900361
27/04/2007,70.04,-0.009803304
26/04/2007,70.73,-0.001271636
25/04/2007,70.82,0.016802332
24/04/2007,69.64,-0.01369103
23/04/2007,70.6,-0.009164675
20/04/2007,71.25,0.028038555
19/04/2007,69.28,-0.008050647
18/04/2007,69.84,-0.008412397
17/04/2007,70.43,-0.002410836
16/04/2007,70.6,0.00085022
13/04/2007,70.54,0.000709069
12/04/2007,70.49,0.018036561
11/04/2007,69.23,-0.003172775
10/04/2007,69.45,0.01494189
09/04/2007,68.42,0.006745883
05/04/2007,67.96,0.003242449
04/04/2007,67.74,-0.001475144
03/04/2007,67.84,-0.005145935
02/04/2007,68.19,-0.002343637
30/03/2007,68.35,-0.011925679
29/03/2007,69.17,-0.001011488
28/03/2007,69.24,-0.003460211
27/03/2007,69.48,-0.001150748
26/03/2007,69.56,0.004466544
23/03/2007,69.25,0.008265109
22/03/2007,68.68,0.022231317
21/03/2007,67.17,0.012886004
20/03/2007,66.31,0.010003115
19/03/2007,65.65,0.004733195
16/03/2007,65.34,-0.017898248
15/03/2007,66.52,-0.020680645
14/03/2007,67.91,0.019628883
13/03/2007,66.59,-0.009713892
12/03/2007,67.24,-0.008293886
09/03/2007,67.8,0.003398097
08/03/2007,67.57,0.006086265
07/03/2007,67.16,0.020154089
06/03/2007,65.82,0.02041357
05/03/2007,64.49,-0.006799593
02/03/2007,64.93,-0.015587113
01/03/2007,65.95,0.009598611
28/02/2007,65.32,0.004142063
27/02/2007,65.05,-0.043763092
26/02/2007,67.96,0.011246049
23/02/2007,67.2,0.004773279
22/02/2007,66.88,0.008860913
21/02/2007,66.29,0.010768285
20/02/2007,65.58,-0.008654119
16/02/2007,66.15,-0.00015116
15/02/2007,66.16,-0.019458779
14/02/2007,67.46,0.002820458
13/02/2007,67.27,0.018605188
12/02/2007,66.03,-0.01443417
09/02/2007,66.99,0.001792918
08/02/2007,66.87,0.009616904
07/02/2007,66.23,-0.006171465
06/02/2007,66.64,-0.005984458
05/02/2007,67.04,-0.003722181
02/02/2007,67.29,-0.000297177
01/02/2007,67.31,0.013461166
31/01/2007,66.41,0.011510047
30/01/2007,65.65,0.01581364
29/01/2007,64.62,-0.002318573
26/01/2007,64.77,0.011022389
25/01/2007,64.06,-0.024060383
24/01/2007,65.62,0.009954903
23/01/2007,64.97,0.024777271
22/01/2007,63.38,-0.008953174
19/01/2007,63.95,0.021176518
18/01/2007,62.61,-0.014901988
17/01/2007,63.55,0.011712701
16/01/2007,62.81,-0.016109003
12/01/2007,63.83,0.031996363
11/01/2007,61.82,-0.042903295
10/01/2007,64.53,-0.03022208
09/01/2007,66.51,-0.026557454
08/01/2007,68.3,0.012968057
05/01/2007,67.42,0.020226924
04/01/2007,66.07,-0.03158314
03/01/2007,68.19,-0.053673507
29/12/2006,71.95,-0.009957211
28/12/2006,72.67,0.007319969
27/12/2006,72.14,0.006257408
26/12/2006,71.69,0.008967413
22/12/2006,71.05,-0.014254014
21/12/2006,72.07,-0.005948693
20/12/2006,72.5,-0.007283754
19/12/2006,73.03,0.007283754
18/12/2006,72.5,-0.00371722
15/12/2006,72.77,-0.004114103
14/12/2006,73.07,0.028738009
13/12/2006,71,0.005649733
12/12/2006,70.6,-0.002122392
11/12/2006,70.75,-0.004090562
08/12/2006,71.04,0.019186263
07/12/2006,69.69,0.011545806
06/12/2006,68.89,0.01168067
05/12/2006,68.09,0.012264653
04/12/2006,67.26,-0.001634109
01/12/2006,67.37,0.001039578
30/11/2006,67.3,0.012710451
29/11/2006,66.45,0.02344809
28/11/2006,64.91,0.01115426
27/11/2006,64.19,-0.001556663
24/11/2006,64.29,-0.003106075
22/11/2006,64.49,0.002639548
21/11/2006,64.32,0.023597131
20/11/2006,62.82,0.001912046
17/11/2006,62.7,0.006881679
16/11/2006,62.27,-0.027090766
15/11/2006,63.98,0.008160748
14/11/2006,63.46,0.006164565
13/11/2006,63.07,-0.000317058
10/11/2006,63.09,-0.003481016
09/11/2006,63.31,0.014958904
08/11/2006,62.37,0.022374474
07/11/2006,60.99,-0.000983284
06/11/2006,61.05,0.001311261
03/11/2006,60.97,0.02104992
02/11/2006,59.7,0
01/11/2006,59.7,-0.009004563
31/10/2006,60.24,0.007330923
30/10/2006,59.8,-0.022978117
27/10/2006,61.19,-0.016371222
26/10/2006,62.2,-0.008803578
25/10/2006,62.75,0.021748743
24/10/2006,61.4,0.011301406
23/10/2006,60.71,-0.002467715
20/10/2006,60.86,-0.0044266
19/10/2006,61.13,0.013173252
18/10/2006,60.33,-0.007760297
17/10/2006,60.8,-0.004758398
16/10/2006,61.09,0.017503749
13/10/2006,60.03,0.020532529
12/10/2006,58.81,0.020268643
11/10/2006,57.63,-0.009498388
10/10/2006,58.18,0.012278581
09/10/2006,57.47,-0.009352337
06/10/2006,58.01,0.002243508
05/10/2006,57.88,0.019187751
04/10/2006,56.78,0.013296889
03/10/2006,56.03,-0.043993828
02/10/2006,58.55,-0.016599297
29/09/2006,59.53,0.010130088
28/09/2006,58.93,-0.002880626
27/09/2006,59.1,0.011059236
26/09/2006,58.45,0.019696559
25/09/2006,57.31,-0.012657299
22/09/2006,58.04,-0.002924733
21/09/2006,58.21,0.016629519
20/09/2006,57.25,-0.018174451
19/09/2006,58.3,-0.013121088
18/09/2006,59.07,0.016557517
15/09/2006,58.1,-0.005834923
14/09/2006,58.44,-0.012245051
13/09/2006,59.16,0.017391743
12/09/2006,58.14,-0.01128796
11/09/2006,58.8,-0.025853379
08/09/2006,60.34,-0.019367091
07/09/2006,61.52,-0.004055485
06/09/2006,61.77,-0.039830731
05/09/2006,64.28,0.000622471
01/09/2006,64.24,0.012689134
31/08/2006,63.43,-0.00110297
30/08/2006,63.5,-0.018566724
29/08/2006,64.69,-0.015492295
28/08/2006,65.7,-0.009090972
25/08/2006,66.3,0.006051456
24/08/2006,65.9,-0.001364774
23/08/2006,65.99,-0.016531786
22/08/2006,67.09,0.003284566
21/08/2006,66.87,0.00705338
18/08/2006,66.4,0.001808864
17/08/2006,66.28,-0.00631676
16/08/2006,66.7,-0.004039805
15/08/2006,66.97,0.002242321
14/08/2006,66.82,-0.023077947
11/08/2006,68.38,0.004103171
10/08/2006,68.1,-0.011678965
09/08/2006,68.9,0.018604506
08/08/2006,67.63,0.00029577
07/08/2006,67.61,-0.013369772
04/08/2006,68.52,-0.003787332
03/08/2006,68.78,-0.003628188
02/08/2006,69.03,0.00522877
01/08/2006,68.67,0.000436967
31/07/2006,68.64,0.010103315
28/07/2006,67.95,-0.000882613
