Date,Close,ORCL
03/08/2007,19.66,-0.021636064
02/08/2007,20.09,0.015045419
01/08/2007,19.79,0.034441852
31/07/2007,19.12,-0.023773729
30/07/2007,19.58,-0.002040817
27/07/2007,19.62,-0.019682694
26/07/2007,20.01,-0.028087582
25/07/2007,20.58,-0.00291121
24/07/2007,20.64,-0.006760045
23/07/2007,20.78,0.008214591
20/07/2007,20.61,0.000485319
19/07/2007,20.6,0.009266099
18/07/2007,20.41,0.001470949
17/07/2007,20.38,0.008871423
16/07/2007,20.2,-0.009852296
13/07/2007,20.4,-0.004889985
12/07/2007,20.5,0.025693113
11/07/2007,19.98,0.013098424
10/07/2007,19.72,-0.022067094
09/07/2007,20.16,-0.011834458
06/07/2007,20.4,-0.004402061
05/07/2007,20.49,0.020710799
03/07/2007,20.07,0.007501911
02/07/2007,19.92,0.010598131
29/06/2007,19.71,-0.007077886
28/06/2007,19.85,0.008093114
27/06/2007,19.69,0.02728612
26/06/2007,19.16,-0.016563526
25/06/2007,19.48,0.004630829
22/06/2007,19.39,-0.014845422
21/06/2007,19.68,0.007651147
20/06/2007,19.53,-0.017762456
19/06/2007,19.88,0.004537442
18/06/2007,19.79,-0.003530899
15/06/2007,19.86,0.011139356
14/06/2007,19.64,0.017463207
13/06/2007,19.3,0.024122827
12/06/2007,18.84,-0.019448708
11/06/2007,19.21,0.007839079
08/06/2007,19.06,0.017465382
07/06/2007,18.73,-0.032565903
06/06/2007,19.35,-0.006695879
05/06/2007,19.48,-0.009706334
04/06/2007,19.67,0.000508518
01/06/2007,19.66,0.014344508
31/05/2007,19.38,-0.002061856
30/05/2007,19.42,0.005680366
29/05/2007,19.31,0.003631651
25/05/2007,19.24,0.025797693
24/05/2007,18.75,-0.02163102
23/05/2007,19.16,-0.010900705
22/05/2007,19.37,0.002584649
21/05/2007,19.32,0.003629768
18/05/2007,19.25,0.010443959
17/05/2007,19.05,0.003154577
16/05/2007,18.99,0.007930256
15/05/2007,18.84,-0.005293819
14/05/2007,18.94,-0.002109705
11/05/2007,18.98,0.026155748
10/05/2007,18.49,-0.018221297
09/05/2007,18.83,-0.006352589
08/05/2007,18.95,-0.00526317
07/05/2007,19.05,0.00105042
04/05/2007,19.03,0.000525624
03/05/2007,19.02,0.00844778
02/05/2007,18.86,0.014419475
01/05/2007,18.59,-0.011233068
30/04/2007,18.8,-0.015831465
27/04/2007,19.1,0.007884404
26/04/2007,18.95,0.002642009
25/04/2007,18.9,0.004241788
24/04/2007,18.82,-0.006355954
23/04/2007,18.94,-0.003162891
20/04/2007,19,0.012712036
19/04/2007,18.76,0.001600427
18/04/2007,18.73,-0.008506165
17/04/2007,18.89,-0.000529241
16/04/2007,18.9,0.014388737
13/04/2007,18.63,-0.003750339
12/04/2007,18.7,0.005899722
11/04/2007,18.59,-0.013889112
10/04/2007,18.85,0.014965539
09/04/2007,18.57,-0.005370582
05/04/2007,18.67,0.00590923
04/04/2007,18.56,0.010834342
03/04/2007,18.36,0.012054941
02/04/2007,18.14,0.00055142
30/03/2007,18.13,-0.001653348
29/03/2007,18.16,-0.000550509
28/03/2007,18.17,-0.017458163
27/03/2007,18.49,0.005423007
26/03/2007,18.39,0.008190054
23/03/2007,18.24,-0.013613061
22/03/2007,18.49,0.017458163
21/03/2007,18.17,0.034717932
20/03/2007,17.55,0.021308033
19/03/2007,17.18,0.028337197
16/03/2007,16.7,-0.001196888
15/03/2007,16.72,-0.009523882
14/03/2007,16.88,0.013719273
13/03/2007,16.65,-0.02491232
12/03/2007,17.07,0.026114244
09/03/2007,16.63,-0.003601444
08/03/2007,16.69,0.012055601
07/03/2007,16.49,-0.023375353
06/03/2007,16.88,0.030679098
05/03/2007,16.37,-0.020556951
02/03/2007,16.71,-0.003584233
01/03/2007,16.77,0.020482644
28/02/2007,16.43,0.008557509
27/02/2007,16.29,-0.032017232
26/02/2007,16.82,0
23/02/2007,16.82,-0.026402238
22/02/2007,17.27,0.004061508
21/02/2007,17.2,0.012873203
20/02/2007,16.98,0.016627461
16/02/2007,16.7,-0.012496443
15/02/2007,16.91,0.008313587
14/02/2007,16.77,0.008984786
13/02/2007,16.62,-0.001803427
12/02/2007,16.65,-0.002998503
09/02/2007,16.7,-0.000598623
08/02/2007,16.71,-0.01189782
07/02/2007,16.91,-0.00648396
06/02/2007,17.02,-0.008191971
05/02/2007,17.16,-0.015037877
02/02/2007,17.42,0.021468768
01/02/2007,17.05,-0.00643089
31/01/2007,17.16,0
30/01/2007,17.16,-0.006389798
29/01/2007,17.27,0.006972719
26/01/2007,17.15,0.009961993
25/01/2007,16.98,-0.009378732
24/01/2007,17.14,0.001167542
23/01/2007,17.12,0.007034027
22/01/2007,17,-0.015757548
19/01/2007,17.27,0.008723521
18/01/2007,17.12,-0.023095715
17/01/2007,17.52,0.012636584
16/01/2007,17.3,-0.011494379
12/01/2007,17.5,0.006305553
11/01/2007,17.39,-0.021616314
10/01/2007,17.77,-0.00280978
09/01/2007,17.82,-0.002242153
08/01/2007,17.86,0.012394525
05/01/2007,17.64,-0.002265007
04/01/2007,17.68,0.009661911
03/01/2007,17.51,0.021357233
29/12/2006,17.14,-0.003494471
28/12/2006,17.2,0.00583092
27/12/2006,17.1,-0.001752849
26/12/2006,17.13,0.001168224
22/12/2006,17.11,0.000584624
21/12/2006,17.1,0
20/12/2006,17.1,0
19/12/2006,17.1,-0.046280753
18/12/2006,17.91,0.012925159
15/12/2006,17.68,-0.019048195
14/12/2006,18.02,0
13/12/2006,18.02,0.001666204
12/12/2006,17.99,-0.004437057
11/12/2006,18.07,0.015054647
08/12/2006,17.8,0.016997576
07/12/2006,17.5,-0.021481889
06/12/2006,17.88,-0.053360507
05/12/2006,18.86,-0.022025012
04/12/2006,19.28,0.024679646
01/12/2006,18.81,-0.012678458
30/11/2006,19.05,-0.005235614
