Date,Close,BA
15/08/2007,95.51,-0.021953869
14/08/2007,97.63,-0.024485238
13/08/2007,100.05,0.016222836
10/08/2007,98.44,0.001423198
09/08/2007,98.3,-0.043982813
08/08/2007,102.72,-0.004855793
07/08/2007,103.22,-0.010792165
06/08/2007,104.34,0.000958865
03/08/2007,104.24,-0.016082566
02/08/2007,105.93,0.013304387
01/08/2007,104.53,0.010579056
31/07/2007,103.43,-0.020194973
30/07/2007,105.54,0.017491485
27/07/2007,103.71,9.64274E-05
26/07/2007,103.7,-0.033473945
25/07/2007,107.23,0.03251009
24/07/2007,103.8,-0.00230947
23/07/2007,104.04,0.001731602
20/07/2007,103.86,0.013376181
19/07/2007,102.48,0.006461109
18/07/2007,101.82,-0.002256341
17/07/2007,102.05,-0.000195963
16/07/2007,102.07,0.001863202
13/07/2007,101.88,0.010855727
12/07/2007,100.78,0.006570457
11/07/2007,100.12,-0.0012976
10/07/2007,100.25,0.003497381
09/07/2007,99.9,0.010262692
06/07/2007,98.88,0.005272776
05/07/2007,98.36,0.00724456
03/07/2007,97.65,0.009052628
02/07/2007,96.77,0.006323558
29/06/2007,96.16,0.010453785
28/06/2007,95.16,0.005373808
27/06/2007,94.65,-0.003480465
26/06/2007,94.98,-0.00619262
25/06/2007,95.57,-0.003655547
22/06/2007,95.92,-0.013256201
21/06/2007,97.2,0.011589534
20/06/2007,96.08,-0.008704718
19/06/2007,96.92,-0.004940315
18/06/2007,97.4,-0.00767071
15/06/2007,98.15,-0.008319853
14/06/2007,98.97,0.005064841
13/06/2007,98.47,0.0204162
12/06/2007,96.48,-0.011029334
11/06/2007,97.55,-0.00653931
08/06/2007,98.19,0.013844245
07/06/2007,96.84,-0.014862161
06/06/2007,98.29,-0.012235352
05/06/2007,99.5,-0.004812522
04/06/2007,99.98,0.001501427
01/06/2007,99.83,-0.00758411
31/05/2007,100.59,0.000397733
30/05/2007,100.55,0.020598568
29/05/2007,98.5,0.002541297
25/05/2007,98.25,0.008483722
24/05/2007,97.42,0.019172565
23/05/2007,95.57,-0.00947677
22/05/2007,96.48,-0.004343786
21/05/2007,96.9,0.002790267
18/05/2007,96.63,-0.001654431
17/05/2007,96.79,0.015094233
16/05/2007,95.34,0.010544172
15/05/2007,94.34,0.008302336
14/05/2007,93.56,0.001711596
11/05/2007,93.4,0.006444705
10/05/2007,92.8,-0.013698844
09/05/2007,94.08,-0.001380849
08/05/2007,94.21,-0.003708221
07/05/2007,94.56,0.010097338
04/05/2007,93.61,-0.002560548
03/05/2007,93.85,0.000213129
02/05/2007,93.83,0.006415076
01/05/2007,93.23,0.002470065
30/04/2007,93,-0.010908032
27/04/2007,94.02,-0.002549396
26/04/2007,94.26,-0.004551476
25/04/2007,94.69,0.010830431
24/04/2007,93.67,0.000320325
23/04/2007,93.64,0.003744722
20/04/2007,93.29,0.00322096
19/04/2007,92.99,-0.00952541
18/04/2007,93.88,0.037220159
17/04/2007,90.45,0.001549016
16/04/2007,90.31,-0.007940926
13/04/2007,91.03,0.001979328
12/04/2007,90.85,0.009733513
11/04/2007,89.97,-0.009623436
10/04/2007,90.84,0.008956769
09/04/2007,90.03,-0.005206903
05/04/2007,90.5,0.002544671
04/04/2007,90.27,0.004107238
03/04/2007,89.9,0.011973511
02/04/2007,88.83,-0.000900191
30/03/2007,88.91,-0.00951482
29/03/2007,89.76,0.003459632
28/03/2007,89.45,-0.011891011
27/03/2007,90.52,-0.003418807
26/03/2007,90.83,-0.001650075
23/03/2007,90.98,0.00451667
22/03/2007,90.57,-0.002536253
21/03/2007,90.8,0.007073416
20/03/2007,90.16,-0.00177305
19/03/2007,90.32,0.00354925
16/03/2007,90,-0.0114893
15/03/2007,91.04,0.011711547
14/03/2007,89.98,0.005907613
13/03/2007,89.45,-0.019375087
12/03/2007,91.2,0.018704546
09/03/2007,89.51,0.006950701
08/03/2007,88.89,0.002027028
07/03/2007,88.71,0.010083357
06/03/2007,87.82,0.009151288
05/03/2007,87.02,-0.00011491
02/03/2007,87.03,-0.009377928
01/03/2007,87.85,0.006738647
28/02/2007,87.26,0.000687837
27/02/2007,87.2,-0.019645212
26/02/2007,88.93,-0.015066409
23/02/2007,90.28,-0.003317486
22/02/2007,90.58,-0.004186411
21/02/2007,90.96,-0.000769273
20/02/2007,91.03,0.000989174
16/02/2007,90.94,-0.008431476
15/02/2007,91.71,0.019488643
14/02/2007,89.94,0.007253282
13/02/2007,89.29,0.00100846
12/02/2007,89.2,-0.008928631
09/02/2007,90,0.005347606
08/02/2007,89.52,-0.009228953
07/02/2007,90.35,-0.006948685
06/02/2007,90.98,0.002861862
05/02/2007,90.72,0.007412768
02/02/2007,90.05,-0.011043735
01/02/2007,91.05,0.016500014
31/01/2007,89.56,0.040561495
30/01/2007,86,0.00583092
29/01/2007,85.5,0.000819049
26/01/2007,85.43,-0.008508706
25/01/2007,86.16,-0.016574965
24/01/2007,87.6,0.002743486
23/01/2007,87.36,0.020352229
22/01/2007,85.6,-0.034785118
19/01/2007,88.63,0.007133586
18/01/2007,88,-0.009387616
17/01/2007,88.83,0.009387616
16/01/2007,88,-0.001476183
12/01/2007,88.13,-0.008024002
11/01/2007,88.84,-0.004828486
10/01/2007,89.27,0.014328671
09/01/2007,88,-0.010625171
08/01/2007,88.94,-0.002358359
05/01/2007,89.15,-0.00425342
04/01/2007,89.53,0.004029104
03/01/2007,89.17,0.003707661
29/12/2006,88.84,-0.001799371
28/12/2006,89,0.001349224
27/12/2006,88.88,0.001013114
26/12/2006,88.79,0.000337933
22/12/2006,88.76,-0.013206683
21/12/2006,89.94,-0.001777383
20/12/2006,90.1,-0.000776613
19/12/2006,90.17,0.006787986
18/12/2006,89.56,-0.012648565
15/12/2006,90.7,0.008525767
14/12/2006,89.93,0.00367627
13/12/2006,89.6,-0.007892876
12/12/2006,90.31,0.005885963
11/12/2006,89.78,-0.003890839
08/12/2006,90.13,0.001332297
07/12/2006,90.01,-0.009068852
06/12/2006,90.83,0.001101564
05/12/2006,90.73,0.012755982
04/12/2006,89.58,0.000334952
01/12/2006,89.55,0.011455651
30/11/2006,88.53,-0.004058173
29/11/2006,88.89,0.010744887
28/11/2006,87.94,0.006502789
27/11/2006,87.37,-0.027098869
24/11/2006,89.77,-0.003669321
22/11/2006,90.1,-0.01103764
21/11/2006,91.1,0.021974028
20/11/2006,89.12,-0.004478288
17/11/2006,89.52,0.009089441
16/11/2006,88.71,0.018545386
15/11/2006,87.08,0.015507775
14/11/2006,85.74,0.000583328
13/11/2006,85.69,0.000817232
10/11/2006,85.62,0.005974363
09/11/2006,85.11,-0.003986872
08/11/2006,85.45,0.007046418
07/11/2006,84.85,0.052876285
06/11/2006,80.48,0.006357142
03/11/2006,79.97,0.009675266
02/11/2006,79.2,-0.010800055
01/11/2006,80.06,0.002501252
31/10/2006,79.86,-0.004497759
30/10/2006,80.22,0.006001518
27/10/2006,79.74,0.007552906
26/10/2006,79.14,-0.021500828
25/10/2006,80.86,-0.033204631
