Date,Close,BMY
22/08/2007,28.75,0.021445716
21/08/2007,28.14,0.000710985
20/08/2007,28.12,0.016493741
17/08/2007,27.66,0.010539803
16/08/2007,27.37,-0.018820679
15/08/2007,27.89,-0.021635886
14/08/2007,28.5,-0.01601148
13/08/2007,28.96,0.004845977
10/08/2007,28.82,0.022457084
09/08/2007,28.18,-0.060248815
08/08/2007,29.93,0.034327925
07/08/2007,28.92,0.013927802
06/08/2007,28.52,0.018401085
03/08/2007,28,-0.021901264
02/08/2007,28.62,-0.001745506
01/08/2007,28.67,0.009110084
31/07/2007,28.41,-0.010155927
30/07/2007,28.7,0.002092781
27/07/2007,28.64,-0.041380498
26/07/2007,29.85,-0.056655775
25/07/2007,31.59,0.006032722
24/07/2007,31.4,-0.02298228
23/07/2007,32.13,0.018533592
20/07/2007,31.54,-0.015416382
19/07/2007,32.03,-0.00062422
18/07/2007,32.05,-0.002804177
17/07/2007,32.14,0.00124533
16/07/2007,32.1,0.001246883
13/07/2007,32.06,0.00124844
12/07/2007,32.02,0.012570876
11/07/2007,31.62,0.022063245
10/07/2007,30.93,-0.01348768
09/07/2007,31.35,-0.006359322
06/07/2007,31.55,-0.011345851
05/07/2007,31.91,0.004396992
03/07/2007,31.77,-0.002200913
02/07/2007,31.84,0.008832865
29/06/2007,31.56,-0.002215541
28/06/2007,31.63,-0.013191146
27/06/2007,32.05,0.01129601
26/06/2007,31.69,0.004110678
25/06/2007,31.56,0.005082603
22/06/2007,31.4,-0.019552815
21/06/2007,32.02,0.024981536
20/06/2007,31.23,-0.011144838
19/06/2007,31.58,0.041046318
18/06/2007,30.31,-0.014737454
15/06/2007,30.76,0.030700546
14/06/2007,29.83,0.003021657
13/06/2007,29.74,0.035944311
12/06/2007,28.69,-0.016934913
11/06/2007,29.18,-0.003079558
08/06/2007,29.27,0.003422317
07/06/2007,29.17,-0.033707269
06/06/2007,30.17,-0.008252234
05/06/2007,30.42,-0.000657246
04/06/2007,30.44,-0.001313198
01/06/2007,30.48,0.00559304
31/05/2007,30.31,0.006288288
30/05/2007,30.12,0.000664231
29/05/2007,30.1,0.001662511
25/05/2007,30.05,0.000665779
24/05/2007,30.03,0.0009995
23/05/2007,30,-0.007306575
22/05/2007,30.22,-0.002973734
21/05/2007,30.31,-0.004608303
18/05/2007,30.45,0.007912999
17/05/2007,30.21,0.004312496
16/05/2007,30.08,-0.00497431
15/05/2007,30.23,0.004641918
14/05/2007,30.09,-0.004972661
11/05/2007,30.24,0.011976191
10/05/2007,29.88,-0.012306824
09/05/2007,30.25,0.001323189
08/05/2007,30.21,0.003315653
07/05/2007,30.11,0.002993516
04/05/2007,30.02,0.022912053
03/05/2007,29.34,0.02205465
02/05/2007,28.7,0.000697107
01/05/2007,28.68,-0.006256538
30/04/2007,28.86,-0.010684231
27/04/2007,29.17,-0.002054795
26/04/2007,29.23,-0.015951467
25/04/2007,29.7,0.031466344
24/04/2007,28.78,0.009425799
23/04/2007,28.51,-0.005596377
20/04/2007,28.67,0.008758157
19/04/2007,28.42,0.005645745
18/04/2007,28.26,-0.001061008
17/04/2007,28.29,-0.005991207
16/04/2007,28.46,0.004931324
13/04/2007,28.32,0.027565733
12/04/2007,27.55,0.001089523
11/04/2007,27.52,-0.009763231
10/04/2007,27.79,0.004688918
09/04/2007,27.66,-0.00576786
05/04/2007,27.82,0.001438849
04/04/2007,27.78,0.008676844
03/04/2007,27.54,-0.012270093
02/04/2007,27.88,0.00431345
30/03/2007,27.76,-0.005388912
29/03/2007,27.91,0.0104449
28/03/2007,27.62,-0.006495873
27/03/2007,27.8,0.006495873
26/03/2007,27.62,0.000724375
23/03/2007,27.6,-0.006860471
22/03/2007,27.79,0.002882885
21/03/2007,27.71,0.020416312
20/03/2007,27.15,0.007764875
19/03/2007,26.94,0.004464293
16/03/2007,26.82,-0.011123585
15/03/2007,27.12,0.003694131
14/03/2007,27.02,0.008175445
13/03/2007,26.8,-0.020680205
12/03/2007,27.36,0.016212588
09/03/2007,26.92,-0.008875798
08/03/2007,27.16,0.00147384
07/03/2007,27.12,0.004064295
06/03/2007,27.01,0.024738893
05/03/2007,26.35,-0.002653024
02/03/2007,26.42,-0.008292547
01/03/2007,26.64,0.009807698
28/02/2007,26.38,0.000758438
27/02/2007,26.36,-0.031001549
26/02/2007,27.19,0.005162253
23/02/2007,27.05,-0.001477651
22/02/2007,27.09,-0.000738007
21/02/2007,27.11,-0.011370011
