Date,Close,UNH
17/11/2006,47.25,-0.007800187
16/11/2006,47.62,-0.007114489
15/11/2006,47.96,0.010901575
14/11/2006,47.44,0.014651499
13/11/2006,46.75,0.01378441
10/11/2006,46.11,0.018385285
09/11/2006,45.27,-0.058556449
08/11/2006,48,-0.032184801
07/11/2006,49.57,0.023679408
06/11/2006,48.41,0.012053346
03/11/2006,47.83,-0.016381911
02/11/2006,48.62,0.006603408
01/11/2006,48.3,-0.009888832
31/10/2006,48.78,-0.005111963
30/10/2006,49.03,-0.007720477
27/10/2006,49.41,0.000809881
26/10/2006,49.37,0.015102328
25/10/2006,48.63,-0.02457725
24/10/2006,49.84,-0.015923903
23/10/2006,50.64,-0.001184133
20/10/2006,50.7,0.00098668
19/10/2006,50.65,0.05373822
18/10/2006,48,0.026814654
17/10/2006,46.73,-0.017185105
16/10/2006,47.54,-0.025133736
13/10/2006,48.75,-0.017688781
12/10/2006,49.62,-0.00962703
11/10/2006,50.1,0.009022618
10/10/2006,49.65,-0.02132192
09/10/2006,50.72,-0.015261498
06/10/2006,51.5,0.016247788
05/10/2006,50.67,0.022149963
04/10/2006,49.56,-0.00040347
03/10/2006,49.58,0.003029999
02/10/2006,49.43,0.004663904
29/09/2006,49.2,-0.005270639
28/09/2006,49.46,0.007712642
27/09/2006,49.08,0.009416651
26/09/2006,48.62,-0.004105096
25/09/2006,48.82,-0.003067801
22/09/2006,48.97,-0.026598384
21/09/2006,50.29,-0.024357912
20/09/2006,51.53,-0.006576426
19/09/2006,51.87,-0.004232403
18/09/2006,52.09,-0.002301056
15/09/2006,52.21,0.007690867
14/09/2006,51.81,-0.004621614
13/09/2006,52.05,-0.00917964
12/09/2006,52.53,0.017862762
11/09/2006,51.6,0.013658749
08/09/2006,50.9,0.013648714
07/09/2006,50.21,-0.004173712
06/09/2006,50.42,-0.005537989
05/09/2006,50.7,-0.021464239
01/09/2006,51.8,-0.002891568
31/08/2006,51.95,0.003857285
30/08/2006,51.75,0.014010737
29/08/2006,51.03,-0.005861681
28/08/2006,51.33,0.008805458
25/08/2006,50.88,-0.005488058
24/08/2006,51.16,0.030161016
23/08/2006,49.64,0
22/08/2006,49.64,0.001612904
21/08/2006,49.56,0.001211387
18/08/2006,49.5,0.009336378
17/08/2006,49.04,0.018522859
16/08/2006,48.14,0.000207749
15/08/2006,48.13,0.009813212
14/08/2006,47.66,0.001890161
11/08/2006,47.57,0.003580082
10/08/2006,47.4,-0.032789823
09/08/2006,48.98,-0.008943149
08/08/2006,49.42,0.018997609
07/08/2006,48.49,-0.001442556
04/08/2006,48.56,0.016402319
03/08/2006,47.77,-0.016608229
02/08/2006,48.57,0.015562094
01/08/2006,47.82,-0.000209096
31/07/2006,47.83,-0.00041806
28/07/2006,47.85,-0.033093144
27/07/2006,49.46,-0.021402957
26/07/2006,50.53,-0.018820395
25/07/2006,51.49,0.013491259
24/07/2006,50.8,0.015873349
21/07/2006,50,-0.004191205
20/07/2006,50.21,-0.014237931
19/07/2006,50.93,0.050952327
18/07/2006,48.4,0.015617184
17/07/2006,47.65,0.002100841
14/07/2006,47.55,-0.009627534
13/07/2006,48.01,-0.001040908
12/07/2006,48.06,-0.000624025
11/07/2006,48.09,0.026763793
10/07/2006,46.82,0.031018646
07/07/2006,45.39,0.012414258
06/07/2006,44.83,-0.006226393
05/07/2006,45.11,0.002219264
03/07/2006,45.01,0.005123076
30/06/2006,44.78,-0.005123076
29/06/2006,45.01,0.01296977
28/06/2006,44.43,0.004737742
27/06/2006,44.22,-0.016151091
26/06/2006,44.94,-0.006432317
23/06/2006,45.23,0.017845667
22/06/2006,44.43,0.008135638
21/06/2006,44.07,0.00820237
20/06/2006,43.71,0.004815971
19/06/2006,43.5,-0.01799798
16/06/2006,44.29,-0.010332527
15/06/2006,44.75,-0.005126502
14/06/2006,44.98,-0.009954733
13/06/2006,45.43,0.00596094
12/06/2006,45.16,-0.013417115
09/06/2006,45.77,-0.010432609
08/06/2006,46.25,-0.000648438
07/06/2006,46.28,0.002163098
06/06/2006,46.18,-0.000865801
05/06/2006,46.22,-0.016309374
02/06/2006,46.98,0.02718614
01/06/2006,45.72,0.039255709
31/05/2006,43.96,0.014434894
30/05/2006,43.33,0.004858309
26/05/2006,43.12,0.016366977
25/05/2006,42.42,0.007809766
24/05/2006,42.09,-0.0171951
23/05/2006,42.82,-0.016215319
22/05/2006,43.52,-0.020469216
19/05/2006,44.42,-0.019617214
18/05/2006,45.3,-0.034497401
17/05/2006,46.89,-0.002555912
16/05/2006,47.01,0.00661618
15/05/2006,46.7,0.018587092
12/05/2006,45.84,0.032593507
11/05/2006,44.37,-0.039766671
10/05/2006,46.17,0.052696419
09/05/2006,43.8,-0.028804872
08/05/2006,45.08,-0.02864523
05/05/2006,46.39,-0.003013347
04/05/2006,46.53,-0.001717845
03/05/2006,46.61,-0.041396813
02/05/2006,48.58,-0.02480306
01/05/2006,49.8,0.001205546
28/04/2006,49.74,0.040830371
27/04/2006,47.75,-0.025228799
26/04/2006,48.97,-0.007932514
25/04/2006,49.36,-0.016077517
24/04/2006,50.16,0.011832084
21/04/2006,49.57,-0.011034318
20/04/2006,50.12,0.018933093
19/04/2006,49.18,-0.009914092
18/04/2006,49.67,-0.039476213
17/04/2006,51.67,-0.034804312
13/04/2006,53.5,0.000747943
12/04/2006,53.46,0.0363815
11/04/2006,51.55,-0.016926736
10/04/2006,52.43,-0.023747818
07/04/2006,53.69,-0.015157407
06/04/2006,54.51,-0.014388737
05/04/2006,55.3,0
04/04/2006,55.3,-0.003069426
03/04/2006,55.47,-0.007006226
31/03/2006,55.86,-0.007135243
30/03/2006,56.26,0.004989319
29/03/2006,55.98,0.030102001
28/03/2006,54.32,-0.011167164
27/03/2006,54.93,-0.015355735
24/03/2006,55.78,-0.01052172
23/03/2006,56.37,-0.004778347
22/03/2006,56.64,0.007620772
21/03/2006,56.21,-0.005676794
20/03/2006,56.53,-0.002826358
17/03/2006,56.69,0.002119019
16/03/2006,56.57,-0.013519651
15/03/2006,57.34,0.007878882
14/03/2006,56.89,0.020600977
13/03/2006,55.73,-0.007864205
10/03/2006,56.17,-0.003021956
09/03/2006,56.34,-0.015149136
08/03/2006,57.2,0.013730193
07/03/2006,56.42,-0.004950505
06/03/2006,56.7,0.001765226
03/03/2006,56.6,-0.0171663
02/03/2006,57.58,-0.014654171
01/03/2006,58.43,0.003428771
28/02/2006,58.23,-0.012119291
27/02/2006,58.94,0.00084868
24/02/2006,58.89,-0.009464326
23/02/2006,59.45,-0.001512732
