Date,Close,SPG
11/05/2007,112.49,0.011084408
10/05/2007,111.25,-0.022926186
09/05/2007,113.83,0.017100492
08/05/2007,111.9,-0.017890832
07/05/2007,113.92,0.005016071
04/05/2007,113.35,-0.015668402
03/05/2007,115.14,-0.000868131
02/05/2007,115.24,0.016183706
01/05/2007,113.39,-0.016530748
30/04/2007,115.28,-0.015664319
27/04/2007,117.1,0.010818342
26/04/2007,115.84,0.001209294
25/04/2007,115.7,-0.000345662
24/04/2007,115.74,-0.009630341
23/04/2007,116.86,0.021100748
20/04/2007,114.42,0.009924986
19/04/2007,113.29,-0.005018721
18/04/2007,113.86,-0.005954483
17/04/2007,114.54,0.019483139
16/04/2007,112.33,-0.006831415
13/04/2007,113.1,0.016852077
12/04/2007,111.21,-0.006542708
11/04/2007,111.94,-0.022699142
10/04/2007,114.51,0.004200584
09/04/2007,114.03,0.003426015
05/04/2007,113.64,0.004232811
04/04/2007,113.16,-0.013604458
03/04/2007,114.71,0.018565489
02/04/2007,112.6,0.012061795
30/03/2007,111.25,0.018598858
29/03/2007,109.2,0.00311841
28/03/2007,108.86,-0.009963064
27/03/2007,109.95,-0.017222372
26/03/2007,111.86,-0.02376332
23/03/2007,114.55,0.006129616
22/03/2007,113.85,0.000351401
21/03/2007,113.81,0.019161413
20/03/2007,111.65,0.002600782
19/03/2007,111.36,0.016934976
16/03/2007,109.49,-0.013516784
15/03/2007,110.98,0.01205653
14/03/2007,109.65,-0.001731287
13/03/2007,109.84,-0.032689966
12/03/2007,113.49,0.022815356
09/03/2007,110.93,0.011423515
08/03/2007,109.67,0.021567656
07/03/2007,107.33,-0.016081677
06/03/2007,109.07,0.04615771
05/03/2007,104.15,-0.043219502
02/03/2007,108.75,-0.028285813
01/03/2007,111.87,-0.0077468
28/02/2007,112.74,0.011328786
27/02/2007,111.47,-0.036553455
26/02/2007,115.62,-0.01553346
23/02/2007,117.43,-0.015128114
22/02/2007,119.22,-0.005020091
21/02/2007,119.82,0.004349288
20/02/2007,119.3,0.008924872
16/02/2007,118.24,-0.001352265
15/02/2007,118.4,0.005674855
14/02/2007,117.73,-0.002290757
13/02/2007,118,0.026535411
12/02/2007,114.91,-0.028398082
09/02/2007,118.22,-0.024729748
08/02/2007,121.18,-0.021228753
07/02/2007,123.78,0.0403071
06/02/2007,118.89,0.022283623
05/02/2007,116.27,0.011330831
02/02/2007,114.96,0.005932664
01/02/2007,114.28,-0.000962085
31/01/2007,114.39,0.007898935
30/01/2007,113.49,0.012680285
29/01/2007,112.06,-0.001070282
26/01/2007,112.18,0.005273284
25/01/2007,111.59,0.002692033
24/01/2007,111.29,0.020975028
23/01/2007,108.98,0.006259225
22/01/2007,108.3,-0.01129333
19/01/2007,109.53,0.00687099
18/01/2007,108.78,-0.00018384
17/01/2007,108.8,0.003037697
16/01/2007,108.47,0.029185497
12/01/2007,105.35,-0.002938251
11/01/2007,105.66,0.019592541
10/01/2007,103.61,0.017525519
09/01/2007,101.81,0.020541531
08/01/2007,99.74,0.004219839
05/01/2007,99.32,-0.023385314
04/01/2007,101.67,-0.000295029
03/01/2007,101.7,0.004039613
29/12/2006,101.29,0.002867173
28/12/2006,101,0.0013871
27/12/2006,100.86,0.018108644
26/12/2006,99.05,0.009637407
22/12/2006,98.1,-0.008930443
21/12/2006,98.98,-0.016234448
20/12/2006,100.6,0.019168633
19/12/2006,98.69,-0.012886517
18/12/2006,99.97,-0.005188079
15/12/2006,100.49,-0.002782472
14/12/2006,100.77,-0.00218081
13/12/2006,100.99,-0.005431307
12/12/2006,101.54,-0.007359107
11/12/2006,102.29,0.008344426
08/12/2006,101.44,0.001874785
07/12/2006,101.25,-0.001677604
06/12/2006,101.42,-0.011762535
05/12/2006,102.62,-0.009407955
04/12/2006,103.59,0.018020261
01/12/2006,101.74,-0.002356176
30/11/2006,101.98,0.014818013
29/11/2006,100.48,0.014838853
28/11/2006,99,0.008215473
27/11/2006,98.19,-0.037283815
24/11/2006,101.92,0.009562847
22/11/2006,100.95,0.002976193
21/11/2006,100.65,0.023828604
20/11/2006,98.28,0.029217997
17/11/2006,95.45,-0.00251125
16/11/2006,95.69,0.003244887
15/11/2006,95.38,-0.00658344
14/11/2006,96.01,0.009207975
13/11/2006,95.13,0.003685961
10/11/2006,94.78,0.005077227
09/11/2006,94.3,0.005742864
08/11/2006,93.76,0.002990816
07/11/2006,93.48,-0.014549187
06/11/2006,94.85,0.007832386
03/11/2006,94.11,-0.013090021
02/11/2006,95.35,-0.017362811
01/11/2006,97.02,-0.000824232
31/10/2006,97.1,-0.001235076
30/10/2006,97.22,0.004226157
27/10/2006,96.81,-0.002991081
26/10/2006,97.1,0.007546425
25/10/2006,96.37,0.006976651
24/10/2006,95.7,-0.004483144
23/10/2006,96.13,0.002708335
20/10/2006,95.87,0.000208638
19/10/2006,95.85,-0.00208442
18/10/2006,96.05,0.003546103
17/10/2006,95.71,-0.003754306
16/10/2006,96.07,0.007627643
13/10/2006,95.34,0.008109149
12/10/2006,94.57,0.004132456
11/10/2006,94.18,-0.001697433
10/10/2006,94.34,0.001166676
09/10/2006,94.23,0.004147398
06/10/2006,93.84,-0.009017194
05/10/2006,94.69,0.009443542
04/10/2006,93.8,0.018941591
03/10/2006,92.04,0.023302879
02/10/2006,89.92,-0.007754553
29/09/2006,90.62,0.004423807
28/09/2006,90.22,-0.006738496
27/09/2006,90.83,0.003860796
26/09/2006,90.48,-0.003860796
25/09/2006,90.83,-0.002968177
22/09/2006,91.1,0.0069395
21/09/2006,90.47,-0.011320668
20/09/2006,91.5,-0.001092299
19/09/2006,91.6,0.006022466
18/09/2006,91.05,-0.007004516
15/09/2006,91.69,0.004262534
14/09/2006,91.3,0.000547795
13/09/2006,91.25,0.012904828
12/09/2006,90.08,0.007913109
11/09/2006,89.37,0.03125432
08/09/2006,86.62,0.011611835
07/09/2006,85.62,-0.006403189
06/09/2006,86.17,0.002789078
05/09/2006,85.93,0.011941139
01/09/2006,84.91,0.001414261
31/08/2006,84.79,-0.008338765
30/08/2006,85.5,0.009991267
29/08/2006,84.65,-0.008938081
28/08/2006,85.41,-0.005837047
25/08/2006,85.91,-0.000698162
24/08/2006,85.97,0.014174665
23/08/2006,84.76,-0.010562239
22/08/2006,85.66,0.013042897
21/08/2006,84.55,0.006050199
18/08/2006,84.04,0.007644567
17/08/2006,83.4,-0.002753998
16/08/2006,83.63,0.003593679
15/08/2006,83.33,0.004209013
14/08/2006,82.98,0.012734391
11/08/2006,81.93,-0.010442057
10/08/2006,82.79,0.011663357
09/08/2006,81.83,-0.008517939
08/08/2006,82.53,-0.014554897
07/08/2006,83.74,-0.001670445
04/08/2006,83.88,0.011269751
03/08/2006,82.94,0.002897853
02/08/2006,82.7,-0.020229309
01/08/2006,84.39,-0.01341828
31/07/2006,85.53,-0.003384888
28/07/2006,85.82,0.013845111
27/07/2006,84.64,-0.004361929
26/07/2006,85.01,0.006372455
25/07/2006,84.47,0.002014577
24/07/2006,84.3,0.015541257
21/07/2006,83,-0.012928119
20/07/2006,84.08,-0.009116265
19/07/2006,84.85,0.026391167
18/07/2006,82.64,0.008506553
17/07/2006,81.94,-0.004505335
14/07/2006,82.31,-0.014713242
13/07/2006,83.53,-0.01803347
12/07/2006,85.05,0.008857454
11/07/2006,84.3,-0.005913678
10/07/2006,84.8,0.015808257
07/07/2006,83.47,-0.002990612
06/07/2006,83.72,-0.009628603
05/07/2006,84.53,0.005813625
03/07/2006,84.04,0.013175421
30/06/2006,82.94,0.002535162
29/06/2006,82.73,0.025711505
28/06/2006,80.63,0.006220473
27/06/2006,80.13,0.006133837
26/06/2006,79.64,0.006550792
23/06/2006,79.12,-0.009810165
22/06/2006,79.9,-0.009342952
21/06/2006,80.65,0.010845958
20/06/2006,79.78,-0.004751791
19/06/2006,80.16,-0.006094167
16/06/2006,80.65,0.005969425
15/06/2006,80.17,0.016602067
14/06/2006,78.85,-0.009215492
13/06/2006,79.58,-0.025923932
12/06/2006,81.67,-0.011807087
09/06/2006,82.64,0.014872882
08/06/2006,81.42,-0.002453387
07/06/2006,81.62,0.008984123
06/06/2006,80.89,-0.010208563
05/06/2006,81.72,-0.003786264
02/06/2006,82.03,0.00427586
01/06/2006,81.68,0.025418268
31/05/2006,79.63,0.001633885
30/05/2006,79.5,-0.002638027
26/05/2006,79.71,0.010974566
25/05/2006,78.84,0.024004747
24/05/2006,76.97,0.000259875
23/05/2006,76.95,-0.003243597
22/05/2006,77.2,-0.004910205
19/05/2006,77.58,-0.005142722
18/05/2006,77.98,-0.006391432
17/05/2006,78.48,-0.028142561
