Date,Close,LOW
26/07/2007,28.36,-0.009475417
25/07/2007,28.63,-0.010078278
24/07/2007,28.92,-0.017481165
23/07/2007,29.43,-0.006772799
20/07/2007,29.63,-0.001686057
19/07/2007,29.68,0
18/07/2007,29.68,-0.006046374
17/07/2007,29.86,-0.010328261
16/07/2007,30.17,-0.019367091
13/07/2007,30.76,0.00162681
12/07/2007,30.71,0.022724508
11/07/2007,30.02,0.001333334
10/07/2007,29.98,-0.025034245
09/07/2007,30.74,-0.011964573
06/07/2007,31.11,0.010664182
05/07/2007,30.78,-0.000324834
03/07/2007,30.79,0.002601627
02/07/2007,30.71,0.000651466
29/06/2007,30.69,-0.001627869
28/06/2007,30.74,-0.016454638
27/06/2007,31.25,0.004168677
26/06/2007,31.12,-0.003208216
25/06/2007,31.22,0.00578222
22/06/2007,31.04,-0.027329314
21/06/2007,31.9,0.007867861
20/06/2007,31.65,0.00221414
19/06/2007,31.58,-0.00221414
18/06/2007,31.65,0.00316456
15/06/2007,31.55,0.001586043
14/06/2007,31.5,-0.00190295
13/06/2007,31.56,0.0063573
12/06/2007,31.36,-0.013933094
11/06/2007,31.8,-0.007830894
08/06/2007,32.05,0.010349787
07/06/2007,31.72,-0.013153964
06/06/2007,32.14,-0.008674156
05/06/2007,32.42,-0.017428969
04/06/2007,32.99,0.010053398
01/06/2007,32.66,-0.004886998
31/05/2007,32.82,0.015970855
30/05/2007,32.3,0.008706523
29/05/2007,32.02,-0.003429466
25/05/2007,32.13,0.002181026
24/05/2007,32.06,0.008457372
23/05/2007,31.79,0.001889169
22/05/2007,31.73,-0.004716248
21/05/2007,31.88,-0.024478372
18/05/2007,32.67,0.041881121
17/05/2007,31.33,0.001597189
16/05/2007,31.28,0.012546409
15/05/2007,30.89,-0.003232065
14/05/2007,30.99,0.003879733
11/05/2007,30.87,-0.006779687
10/05/2007,31.08,-0.020382871
09/05/2007,31.72,0.03333642
08/05/2007,30.68,-0.000325892
07/05/2007,30.69,0.007850874
04/05/2007,30.45,-0.002296212
03/05/2007,30.52,-0.00522877
02/05/2007,30.68,-0.000651678
01/05/2007,30.7,0.00457069
30/04/2007,30.56,-0.009444786
27/04/2007,30.85,-0.003882244
26/04/2007,30.97,-0.005795251
25/04/2007,31.15,0.001606426
24/04/2007,31.1,-0.01436577
23/04/2007,31.55,-0.014787119
20/04/2007,32.02,0.016055752
19/04/2007,31.51,-0.000317309
18/04/2007,31.52,-0.010101096
17/04/2007,31.84,0.016785826
16/04/2007,31.31,0.005444369
13/04/2007,31.14,-0.004805391
12/04/2007,31.29,0.002239643
11/04/2007,31.22,-0.012414611
10/04/2007,31.61,0.00348598
09/04/2007,31.5,0.003498175
05/04/2007,31.39,0.000637349
04/04/2007,31.37,-0.010464659
03/04/2007,31.7,0.019752155
02/04/2007,31.08,-0.01310551
30/03/2007,31.49,0.011176869
29/03/2007,31.14,0.003861009
28/03/2007,31.02,-0.022945557
27/03/2007,31.74,-0.012523645
26/03/2007,32.14,-0.007130708
23/03/2007,32.37,0.00402415
22/03/2007,32.24,-0.000620155
21/03/2007,32.26,0.030529515
20/03/2007,31.29,0.005126573
19/03/2007,31.13,0.006445398
16/03/2007,30.93,-0.00901197
15/03/2007,31.21,0.005784078
14/03/2007,31.03,0.00938974
13/03/2007,30.74,-0.050740116
12/03/2007,32.34,0
09/03/2007,32.34,-0.005857886
08/03/2007,32.53,-0.001535863
07/03/2007,32.58,0.001843318
06/03/2007,32.52,0.023332836
05/03/2007,31.77,-0.005336695
02/03/2007,31.94,-0.008417821
01/03/2007,32.21,-0.010500405
28/02/2007,32.55,-0.021578105
27/02/2007,33.26,-0.031955382
26/02/2007,34.34,-0.017035203
23/02/2007,34.93,0.037927533
22/02/2007,33.63,-0.002969123
21/02/2007,33.73,0
20/02/2007,33.73,0.013731559
16/02/2007,33.27,-0.01816878
15/02/2007,33.88,0.013072082
14/02/2007,33.44,-0.005070854
13/02/2007,33.61,0.003278203
12/02/2007,33.5,0.002390916
09/02/2007,33.42,-0.009825894
08/02/2007,33.75,-0.009436814
07/02/2007,34.07,-0.001466491
06/02/2007,34.12,0.000293126
05/02/2007,34.11,-0.00117199
02/02/2007,34.15,-0.002631965
01/02/2007,34.24,0.015600022
31/01/2007,33.71,0.03655444
30/01/2007,32.5,-0.005217136
29/01/2007,32.67,0.002758622
26/01/2007,32.58,-0.015230267
25/01/2007,33.08,-0.015299533
24/01/2007,33.59,-0.001487431
23/01/2007,33.64,0.006262135
22/01/2007,33.43,-0.008340829
19/01/2007,33.71,0.003566126
18/01/2007,33.59,0.011678528
17/01/2007,33.2,-0.006006024
16/01/2007,33.4,0.010231808
12/01/2007,33.06,0.000302526
11/01/2007,33.05,0.01770498
10/01/2007,32.47,0.018651458
09/01/2007,31.87,0.005348448
08/01/2007,31.7,-0.002835094
05/01/2007,31.79,-0.012193367
04/01/2007,32.18,0.004360019
03/01/2007,32.04,0.028170877
29/12/2006,31.15,-0.00288508
28/12/2006,31.24,0.00128123
27/12/2006,31.2,0.019418086
26/12/2006,30.6,0.005571045
22/12/2006,30.43,0.006594155
