Date,Close,T
13/07/2007,40.4,-0.00197824
12/07/2007,40.48,0.016689888
11/07/2007,39.81,0.007817465
10/07/2007,39.5,-0.024754358
09/07/2007,40.49,-0.004189778
06/07/2007,40.66,-0.007351173
05/07/2007,40.96,-0.013097447
03/07/2007,41.5,-0.00839837
02/07/2007,41.85,0.00839837
29/06/2007,41.5,0.018483016
28/06/2007,40.74,0.018831082
27/06/2007,39.98,0.017409296
26/06/2007,39.29,0.005359206
25/06/2007,39.08,0.00590275
22/06/2007,38.85,-0.018868484
21/06/2007,39.59,0.001516684
20/06/2007,39.53,-0.017801648
19/06/2007,40.24,0.005732103
18/06/2007,40.01,-0.006725645
15/06/2007,40.28,-0.006927291
14/06/2007,40.56,0.01440303
13/06/2007,39.98,0.022768502
12/06/2007,39.08,-0.026264136
11/06/2007,40.12,-0.003483457
08/06/2007,40.26,0.018551547
07/06/2007,39.52,-0.02152774
06/06/2007,40.38,-0.002720417
05/06/2007,40.49,-0.010075033
04/06/2007,40.9,0.009087622
01/06/2007,40.53,-0.019788114
31/05/2007,41.34,0.008746411
30/05/2007,40.98,0.012029113
29/05/2007,40.49,-0.006646178
25/05/2007,40.76,0.008376496
24/05/2007,40.42,0.000247433
23/05/2007,40.41,-0.000742115
22/05/2007,40.44,-0.002716386
21/05/2007,40.55,-0.013472341
18/05/2007,41.1,-0.003885386
17/05/2007,41.26,0.002912623
16/05/2007,41.14,0.018398655
15/05/2007,40.39,0.008953057
14/05/2007,40.03,0.011052612
11/05/2007,39.59,0.017325274
10/05/2007,38.91,-0.014289603
09/05/2007,39.47,0.005080021
08/05/2007,39.27,-0.00836825
07/05/2007,39.6,0.003034904
04/05/2007,39.48,0.014799964
03/05/2007,38.9,0.00567158
02/05/2007,38.68,-0.004127973
01/05/2007,38.84,0.003094381
30/04/2007,38.72,0.002068253
27/04/2007,38.64,-0.008247469
26/04/2007,38.96,-0.004609483
25/04/2007,39.14,0.001022495
24/04/2007,39.1,-0.016990392
23/04/2007,39.77,-0.002511302
20/04/2007,39.87,0.014145222
19/04/2007,39.31,0.00868682
18/04/2007,38.97,-0.005629493
17/04/2007,39.19,-0.001784577
16/04/2007,39.26,0.010755545
13/04/2007,38.84,0.00464517
12/04/2007,38.66,-0.007216526
11/04/2007,38.94,-0.013012047
10/04/2007,39.45,0.003046461
09/04/2007,39.33,0.001526718
05/04/2007,39.27,0.001019108
04/04/2007,39.23,-0.012916477
03/04/2007,39.74,0.007070737
02/04/2007,39.46,0.000760553
30/03/2007,39.43,0.0066158
29/03/2007,39.17,0.005632375
28/03/2007,38.95,-0.012501757
27/03/2007,39.44,0.00330159
26/03/2007,39.31,0.01099896
23/03/2007,38.88,-0.005898209
22/03/2007,39.11,0.006412745
21/03/2007,38.86,0.024750514
20/03/2007,37.91,0.008742936
19/03/2007,37.58,0.016094768
16/03/2007,36.98,0.001082251
15/03/2007,36.94,-0.007282568
14/03/2007,37.21,-0.001342823
13/03/2007,37.26,0.005382144
12/03/2007,37.06,0.013857035
09/03/2007,36.55,0.001094991
08/03/2007,36.51,0.030027277
07/03/2007,35.43,-0.01596002
06/03/2007,36,0.007808182
05/03/2007,35.72,-0.019956316
02/03/2007,36.44,-0.007382125
01/03/2007,36.71,-0.002448648
28/02/2007,36.8,0.017820897
27/02/2007,36.15,-0.036663984
26/02/2007,37.5,0.01342302
23/02/2007,37,-0.001350439
22/02/2007,37.05,-0.004309191
21/02/2007,37.21,-0.004023071
20/02/2007,37.36,-0.003206844
16/02/2007,37.48,0.006692569
15/02/2007,37.23,0.00107498
14/02/2007,37.19,0
13/02/2007,37.19,0.006203661
12/02/2007,36.96,0.001624696
09/02/2007,36.9,-0.012924251
08/02/2007,37.38,0.005902888
07/02/2007,37.16,-0.00937465
06/02/2007,37.51,-0.007436953
05/02/2007,37.79,-0.008694561
02/02/2007,38.12,0.009753603
01/02/2007,37.75,0.003183871
31/01/2007,37.63,0.014454213
30/01/2007,37.09,0.015761196
29/01/2007,36.51,0.003017421
26/01/2007,36.4,-0.010657294
25/01/2007,36.79,0.004358492
24/01/2007,36.63,0.035286339
23/01/2007,35.36,0.002548494
22/01/2007,35.27,0.00568668
19/01/2007,35.07,0.001426737
18/01/2007,35.02,0.0152499
17/01/2007,34.49,-0.004050931
16/01/2007,34.63,-0.002883508
12/01/2007,34.73,0.00693444
11/01/2007,34.49,0.013426938
10/01/2007,34.03,0.002648229
09/01/2007,33.94,0.003837643
08/01/2007,33.81,-0.004426745
05/01/2007,33.96,-0.015775963
04/01/2007,34.5,-0.012959145
03/01/2007,34.95,-0.0226318
29/12/2006,35.75,0.007017573
28/12/2006,35.5,0.002256064
27/12/2006,35.42,0.011642897
26/12/2006,35.01,0.000857265
22/12/2006,34.98,-0.005416977
21/12/2006,35.17,0.006274978
20/12/2006,34.95,-0.001143838
19/12/2006,34.99,-0.013624962
18/12/2006,35.47,-0.005342344
15/12/2006,35.66,0
14/12/2006,35.66,0.003089456
13/12/2006,35.55,-0.002528446
12/12/2006,35.64,0.012990863
11/12/2006,35.18,0.005987188
08/12/2006,34.97,0.009770193
07/12/2006,34.63,-0.004322151
06/12/2006,34.78,0.002879357
05/12/2006,34.68,0.012768601
04/12/2006,34.24,0.007034027
01/12/2006,34,0.002650568
30/11/2006,33.91,0.012164517
29/11/2006,33.5,0.020507353
28/11/2006,32.82,0.004274816
27/11/2006,32.68,0.000306044
24/11/2006,32.67,0
22/11/2006,32.67,-0.002445736
21/11/2006,32.75,-0.013948073
20/11/2006,33.21,0.000301159
17/11/2006,33.2,0.024391453
16/11/2006,32.4,-0.001850139
15/11/2006,32.46,-0.015286143
14/11/2006,32.96,-0.003029387
13/11/2006,33.06,0.000302526
10/11/2006,33.05,-0.011132957
09/11/2006,33.42,-0.028029568
08/11/2006,34.37,0.002038737
07/11/2006,34.3,0
06/11/2006,34.3,0.017054221
03/11/2006,33.72,-0.008857454
02/11/2006,34.02,0.007671917
01/11/2006,33.76,-0.014409895
31/10/2006,34.25,0.009681754
30/10/2006,33.92,-0.008805458
27/10/2006,34.22,-0.005246296
26/10/2006,34.4,0.002036957
25/10/2006,34.33,-0.011584259
24/10/2006,34.73,0.000576037
23/10/2006,34.71,0.00780915
20/10/2006,34.44,0.020238262
19/10/2006,33.75,0.024292693
18/10/2006,32.94,-0.003636368
