Date,Close,HAL
31/10/2006,32.35,0.017462246
30/10/2006,31.79,-0.011260676
27/10/2006,32.15,-0.007745972
26/10/2006,32.4,-0.007380107
25/10/2006,32.64,0.056725981
24/10/2006,30.84,0.052591153
23/10/2006,29.26,0.016540694
20/10/2006,28.78,-0.020633469
19/10/2006,29.38,0.025859052
18/10/2006,28.63,-0.024155764
17/10/2006,29.33,-0.005101184
16/10/2006,29.48,0.026466573
13/10/2006,28.71,0.034009654
12/10/2006,27.75,0.024440392
11/10/2006,27.08,-0.012112462
10/10/2006,27.41,0.011743254
09/10/2006,27.09,-0.021545475
06/10/2006,27.68,0.000361337
05/10/2006,27.67,0.027850829
04/10/2006,26.91,0.012715205
03/10/2006,26.57,-0.047409209
02/10/2006,27.86,-0.020956192
29/09/2006,28.45,-0.001755927
28/09/2006,28.5,-0.013245227
27/09/2006,28.88,0.016056191
26/09/2006,28.42,0.015960615
25/09/2006,27.97,-0.008544018
22/09/2006,28.21,0.003906949
21/09/2006,28.1,0.009295741
20/09/2006,27.84,-0.044264339
19/09/2006,29.1,-0.023770219
18/09/2006,29.8,0.026178615
15/09/2006,29.03,-0.00103288
14/09/2006,29.06,-0.02548125
13/09/2006,29.81,0.025825424
12/09/2006,29.05,-0.020443642
11/09/2006,29.65,-0.038052565
08/09/2006,30.8,-0.021520021
07/09/2006,31.47,-0.01545041
06/09/2006,31.96,-0.028987537
05/09/2006,32.9,-0.000911439
01/09/2006,32.93,0.009458499
31/08/2006,32.62,-0.011278888
30/08/2006,32.99,-0.018916643
29/08/2006,33.62,0.011969024
28/08/2006,33.22,-0.02173675
25/08/2006,33.95,0.022037819
24/08/2006,33.21,-0.006004221
23/08/2006,33.41,-0.017799343
22/08/2006,34.01,-0.002642785
21/08/2006,34.1,0.000880153
18/08/2006,34.07,0.014784421
17/08/2006,33.57,-0.008010724
16/08/2006,33.84,0.008010724
15/08/2006,33.57,0.002684565
14/08/2006,33.48,-0.011581421
11/08/2006,33.87,-0.00441892
10/08/2006,34.02,0.002354327
09/08/2006,33.94,0.026270167
08/08/2006,33.06,-0.010231808
07/08/2006,33.4,0.015995512
04/08/2006,32.87,-0.025234142
03/08/2006,33.71,-0.000296604
02/08/2006,33.72,-0.000296516
01/08/2006,33.73,0.011030072
31/07/2006,33.36,0.022738588
28/07/2006,32.61,0.008004969
27/07/2006,32.35,0.010878118
26/07/2006,32,0.01733692
25/07/2006,31.45,0.011191164
24/07/2006,31.1,0.034677992
21/07/2006,30.04,-0.084233443
20/07/2006,32.68,-0.043999316
19/07/2006,34.15,0.002932553
18/07/2006,34.05,-0.034635497
17/07/2006,35.25,-0.740247299
14/07/2006,73.9,0.002303056
13/07/2006,73.73,-0.01547706
12/07/2006,74.88,-0.009304866
11/07/2006,75.58,0.039538308
10/07/2006,72.65,0.000550737
07/07/2006,72.61,-0.022604448
06/07/2006,74.27,-0.012178136
05/07/2006,75.18,0.001597444
03/07/2006,75.06,0.011388882
30/06/2006,74.21,0.006624779
29/06/2006,73.72,0.043385641
28/06/2006,70.59,0.009822842
27/06/2006,69.9,-0.030294673
26/06/2006,72.05,0.003893761
23/06/2006,71.77,0.004048871
22/06/2006,71.48,-0.008497648
21/06/2006,72.09,0.023864131
20/06/2006,70.39,-0.009754796
19/06/2006,71.08,-0.046053083
