Date,Close,MON
09/02/2007,54.22,0
08/02/2007,54.22,-0.007350272
07/02/2007,54.62,0.0001831
06/02/2007,54.61,0.005692789
05/02/2007,54.3,-0.022759289
02/02/2007,55.55,0.012863661
01/02/2007,54.84,-0.004548357
31/01/2007,55.09,0.001453225
30/01/2007,55.01,-0.003085582
29/01/2007,55.18,-0.008301798
26/01/2007,55.64,0.014482512
25/01/2007,54.84,-0.021645867
24/01/2007,56.04,0.019096239
23/01/2007,54.98,0.030845552
22/01/2007,53.31,-0.018584441
19/01/2007,54.31,0.005539157
18/01/2007,54.01,-0.003880629
17/01/2007,54.22,0.010009351
16/01/2007,53.68,0.048278
12/01/2007,51.15,0.022739487
11/01/2007,50,0.003004509
10/01/2007,49.85,-0.00699653
09/01/2007,50.2,-0.006947919
08/01/2007,50.55,-0.013167135
05/01/2007,51.22,0.008430596
04/01/2007,50.79,-0.017371375
03/01/2007,51.68,-0.016313575
29/12/2006,52.53,-0.010415774
28/12/2006,53.08,0.003207853
27/12/2006,52.91,0.014276439
26/12/2006,52.16,0.015261573
22/12/2006,51.37,-0.005435851
21/12/2006,51.65,-0.004828595
20/12/2006,51.9,0.013969959
19/12/2006,51.18,0.01396973
18/12/2006,50.47,-0.009269369
15/12/2006,50.94,0.048466306
14/12/2006,48.53,0.007861025
13/12/2006,48.15,0.001038961
12/12/2006,48.1,0.006256538
11/12/2006,47.8,-0.005840651
08/12/2006,48.08,-0.008903672
07/12/2006,48.51,0.010152371
06/12/2006,48.02,-0.004363643
05/12/2006,48.23,-0.007024822
04/12/2006,48.57,0.017655459
01/12/2006,47.72,-0.007307685
30/11/2006,48.07,0.015725243
29/11/2006,47.32,0.002751033
28/11/2006,47.19,0.003821661
27/11/2006,47.01,-0.035318685
24/11/2006,48.7,-0.012853385
22/11/2006,49.33,0.04265657
21/11/2006,47.27,0.021382042
20/11/2006,46.27,-0.0113894
17/11/2006,46.8,-0.012528033
16/11/2006,47.39,0.010820091
15/11/2006,46.88,0.001067122
14/11/2006,46.83,-0.00064041
13/11/2006,46.86,0.028792984
10/11/2006,45.53,-0.003289116
09/11/2006,45.68,0.013887581
08/11/2006,45.05,0.005118516
07/11/2006,44.82,0.010767264
06/11/2006,44.34,0.004294277
03/11/2006,44.15,-0.000452899
02/11/2006,44.17,0.001812826
01/11/2006,44.09,-0.002944176
31/10/2006,44.22,-0.004962789
30/10/2006,44.44,0.003606857
27/10/2006,44.28,0.004980766
26/10/2006,44.06,0.015553836
25/10/2006,43.38,0.009030975
24/10/2006,42.99,-0.016609378
23/10/2006,43.71,-0.023067509
20/10/2006,44.73,-0.009567322
19/10/2006,45.16,0.008896856
18/10/2006,44.76,0.013948483
17/10/2006,44.14,-0.018406805
16/10/2006,44.96,-0.020691911
13/10/2006,45.9,0.02180463
