Date,Close,COST
26/06/2007,57.33,0.002270149
25/06/2007,57.2,0.000524613
22/06/2007,57.17,-0.000349773
21/06/2007,57.19,0.014796817
20/06/2007,56.35,0.000354988
19/06/2007,56.33,0.005875562
18/06/2007,56,-0.001605853
15/06/2007,56.09,0.005900777
14/06/2007,55.76,-0.003759066
13/06/2007,55.97,0.01457778
12/06/2007,55.16,-0.009742094
11/06/2007,55.7,-0.005550099
08/06/2007,56.01,0.013480927
07/06/2007,55.26,-0.010082909
06/06/2007,55.82,0.006650514
05/06/2007,55.45,-0.012010541
04/06/2007,56.12,-0.003024644
01/06/2007,56.29,-0.003192624
31/05/2007,56.47,-0.001061947
30/05/2007,56.53,-0.000707339
29/05/2007,56.57,0.003009651
25/05/2007,56.4,0.001774623
24/05/2007,56.3,0.004985765
23/05/2007,56.02,0.001250335
22/05/2007,55.95,0.003222344
21/05/2007,55.77,-0.011410357
18/05/2007,56.41,0.014823023
17/05/2007,55.58,0.013950765
16/05/2007,54.81,0.011007266
15/05/2007,54.21,-0.008998316
14/05/2007,54.7,-0.004923872
11/05/2007,54.97,0.000363901
10/05/2007,54.95,0.000182
09/05/2007,54.94,0.006024665
08/05/2007,54.61,0.009752584
07/05/2007,54.08,0.005376855
04/05/2007,53.79,0.012157636
03/05/2007,53.14,-0.003944037
02/05/2007,53.35,-0.002059733
01/05/2007,53.46,-0.002055499
30/04/2007,53.57,-0.016477277
27/04/2007,54.46,0.007741974
26/04/2007,54.04,-0.004247075
25/04/2007,54.27,0.000368596
24/04/2007,54.25,-0.011545991
23/04/2007,54.88,-0.004363643
20/04/2007,55.12,-0.00362188
19/04/2007,55.32,0.005437751
18/04/2007,55.02,-0.010486446
17/04/2007,55.6,0.021819047
16/04/2007,54.4,0.004421525
13/04/2007,54.16,-0.009555383
12/04/2007,54.68,0.011958564
11/04/2007,54.03,-0.011775665
10/04/2007,54.67,-0.002739978
09/04/2007,54.82,-0.001093893
05/04/2007,54.88,0.007866134
04/04/2007,54.45,-0.001834863
03/04/2007,54.55,0.011801723
02/04/2007,53.91,0.001299304
30/03/2007,53.84,0.002603684
29/03/2007,53.7,-0.000186202
28/03/2007,53.71,-0.007789357
27/03/2007,54.13,-0.007179046
26/03/2007,54.52,-0.000733407
23/03/2007,54.56,0.00588237
22/03/2007,54.24,-0.00184196
21/03/2007,54.34,0.021578218
20/03/2007,53.18,-0.001127608
19/03/2007,53.24,0.00489551
16/03/2007,52.98,-0.003955925
15/03/2007,53.19,0.012485974
14/03/2007,52.53,-0.008152477
13/03/2007,52.96,-0.012944557
12/03/2007,53.65,-0.012779135
09/03/2007,54.34,0.001473297
08/03/2007,54.26,-0.033704948
07/03/2007,56.12,0.007153106
06/03/2007,55.72,0.008470809
05/03/2007,55.25,-0.00900907
02/03/2007,55.75,-0.00447428
01/03/2007,56,0.001966217
28/02/2007,55.89,0.00880588
27/02/2007,55.4,-0.03546471
26/02/2007,57.4,-0.001218769
23/02/2007,57.47,-0.010730459
22/02/2007,58.09,-0.001548121
21/02/2007,58.18,-0.001717328
20/02/2007,58.28,0.008270206
16/02/2007,57.8,-0.001728609
15/02/2007,57.9,0.014789308
14/02/2007,57.05,0.010395653
13/02/2007,56.46,0.011758553
12/02/2007,55.8,-0.003220615
09/02/2007,55.98,-0.011367796
08/02/2007,56.62,-0.008967093
07/02/2007,57.13,0.009850563
06/02/2007,56.57,0.006384132
05/02/2007,56.21,0.003564431
02/02/2007,56.01,-0.006761592
01/02/2007,56.39,0.004087078
31/01/2007,56.16,0.015431851
30/01/2007,55.3,0.000542643
29/01/2007,55.27,-0.001627045
26/01/2007,55.36,-0.00666129
25/01/2007,55.73,-0.023584744
24/01/2007,57.06,0.010925219
23/01/2007,56.44,0.001773365
22/01/2007,56.34,-0.007603255
19/01/2007,56.77,-0.002287324
18/01/2007,56.9,0.003873926
17/01/2007,56.68,0.007793167
16/01/2007,56.24,0.005169813
12/01/2007,55.95,0.011323928
11/01/2007,55.32,0.016586546
10/01/2007,54.41,0.007008513
09/01/2007,54.03,0.007430835
08/01/2007,53.63,0.004110619
05/01/2007,53.41,-0.012281509
04/01/2007,54.07,0.023011024
03/01/2007,52.84,-0.000567591
29/12/2006,52.87,-0.004340858
28/12/2006,53.1,-0.005633818
27/12/2006,53.4,0.013385062
26/12/2006,52.69,0.009343189
22/12/2006,52.2,-0.002487325
21/12/2006,52.33,-0.011400465
20/12/2006,52.93,-0.00659074
19/12/2006,53.28,-0.009898297
18/12/2006,53.81,0.001487819
15/12/2006,53.73,-0.007047507
14/12/2006,54.11,0.018089071
13/12/2006,53.14,-0.001880053
12/12/2006,53.24,-0.015284547
11/12/2006,54.06,0.006867776
08/12/2006,53.69,0.000186272
07/12/2006,53.68,-0.01387498
06/12/2006,54.43,0.000551319
05/12/2006,54.4,0.018740691
04/12/2006,53.39,0.022540968
01/12/2006,52.2,-0.001913876
30/11/2006,52.3,-0.01893996
29/11/2006,53.3,0.007532992
28/11/2006,52.9,-0.009220124
27/11/2006,53.39,-0.00224509
24/11/2006,53.51,-0.004661144
22/11/2006,53.76,0.000744325
21/11/2006,53.72,-0.001302205
20/11/2006,53.79,0.00727683
17/11/2006,53.4,-0.000374462
16/11/2006,53.42,0.007704633
15/11/2006,53.01,0.011001628
14/11/2006,52.43,0.005738348
13/11/2006,52.13,-0.01466274
10/11/2006,52.9,0.022172162
09/11/2006,51.74,-0.014010401
08/11/2006,52.47,-0.002094242
07/11/2006,52.58,0.003238406
06/11/2006,52.41,0.011321238
03/11/2006,51.82,-0.022515738
02/11/2006,53,0.001699557
01/11/2006,52.91,-0.008843787
31/10/2006,53.38,0.005259216
30/10/2006,53.1,0.001696353
27/10/2006,53.01,-0.009014146
26/10/2006,53.49,0.017349106
25/10/2006,52.57,0.00152294
24/10/2006,52.49,-0.003803009
23/10/2006,52.69,0.019161345
20/10/2006,51.69,0.000580552
19/10/2006,51.66,-0.009248621
18/10/2006,52.14,-0.006309169
17/10/2006,52.47,-0.009672906
16/10/2006,52.98,-0.004143913
13/10/2006,53.2,-0.013072082
12/10/2006,53.9,0.073708452
11/10/2006,50.07,0.006210578
10/10/2006,49.76,-0.001004319
09/10/2006,49.81,0.00664722
06/10/2006,49.48,-0.017628662
05/10/2006,50.36,0.000794597
04/10/2006,50.32,0.02129022
03/10/2006,49.26,0.010407195
02/10/2006,48.75,-0.01889724
29/09/2006,49.68,-0.007819589
28/09/2006,50.07,-0.010924729
27/09/2006,50.62,-0.019562439
26/09/2006,51.62,0.007193576
25/09/2006,51.25,0.026895036
22/09/2006,49.89,-0.00738895
21/09/2006,50.26,-0.031531056
20/09/2006,51.87,0.019663828
19/09/2006,50.86,0.026296336
18/09/2006,49.54,-0.005636086
15/09/2006,49.82,-0.001804874
14/09/2006,49.91,0.007440959
13/09/2006,49.54,-0.000807103
12/09/2006,49.58,0.019346902
11/09/2006,48.63,0.011582343
08/09/2006,48.07,0.018476276
07/09/2006,47.19,-0.010749392
06/09/2006,47.7,-0.010635071
05/09/2006,48.21,0.017999649
01/09/2006,47.35,0.011897315
31/08/2006,46.79,-0.008300569
30/08/2006,47.18,-0.042939294
29/08/2006,49.25,0.001829083
28/08/2006,49.16,0.011662536
25/08/2006,48.59,-0.020774678
24/08/2006,49.61,-0.01778091
23/08/2006,50.5,-0.021354519
22/08/2006,51.59,0.003106195
21/08/2006,51.43,-0.021543438
18/08/2006,52.55,0.013410163
17/08/2006,51.85,-0.001926783
16/08/2006,51.95,0.002505542
15/08/2006,51.82,0.00328598
14/08/2006,51.65,0.017578578
11/08/2006,50.75,-0.009999103
10/08/2006,51.26,0.020895694
09/08/2006,50.2,-0.028668761
08/08/2006,51.66,0.003684674
07/08/2006,51.47,-0.006004861
04/08/2006,51.78,0.015178342
03/08/2006,51,-0.027844026
02/08/2006,52.44,0.003629768
01/08/2006,52.25,-0.009713437
31/07/2006,52.76,0.017012739
28/07/2006,51.87,0.008130126
27/07/2006,51.45,-0.035888562
26/07/2006,53.33,-0.012485022
25/07/2006,54,0.011922645
24/07/2006,53.36,0.015106027
21/07/2006,52.56,-0.014918604
20/07/2006,53.35,-0.008213599
19/07/2006,53.79,0.017062381
18/07/2006,52.88,-0.020217836
17/07/2006,53.96,0.008187616
14/07/2006,53.52,-0.028186447
13/07/2006,55.05,-0.014964671
12/07/2006,55.88,-0.015096637
11/07/2006,56.73,0.007431032
10/07/2006,56.31,0.00266738
07/07/2006,56.16,0.005535234
06/07/2006,55.85,-0.017746695
05/07/2006,56.85,-0.012759065
03/07/2006,57.58,0.007845912
30/06/2006,57.13,-0.000350018
29/06/2006,57.15,0.019256845
28/06/2006,56.06,0.007340468
27/06/2006,55.65,-0.011612457
26/06/2006,56.3,0.014311514
23/06/2006,55.5,0.004152755
22/06/2006,55.27,-0.008826501
21/06/2006,55.76,0.015907783
20/06/2006,54.88,0.024533187
19/06/2006,53.55,-0.00372787
16/06/2006,53.75,-0.00223007
15/06/2006,53.87,0.016659253
14/06/2006,52.98,0.006628184
13/06/2006,52.63,0.006098742
12/06/2006,52.31,-0.013858788
09/06/2006,53.04,-0.007700292
08/06/2006,53.45,0.021941489
07/06/2006,52.29,-0.004198479
06/06/2006,52.51,-0.001141987
05/06/2006,52.57,-0.016601023
02/06/2006,53.45,-0.014487623
01/06/2006,54.23,0.024263975
31/05/2006,52.93,-0.011832235
30/05/2006,53.56,-0.016112952
26/05/2006,54.43,0.000551319
25/05/2006,54.4,0.01090483
24/05/2006,53.81,0.003164265
23/05/2006,53.64,-0.008723953
22/05/2006,54.11,-0.001661897
19/05/2006,54.2,0.013560159
18/05/2006,53.47,-0.010048466
17/05/2006,54.01,-0.022518114
16/05/2006,55.24,-0.005596188
15/05/2006,55.55,0.005777232
12/05/2006,55.23,-0.014916262
11/05/2006,56.06,-0.01311378
10/05/2006,56.8,0.003350678
09/05/2006,56.61,-0.004230572
08/05/2006,56.85,0.002642009
05/05/2006,56.7,0.020850795
04/05/2006,55.53,0.028680384
03/05/2006,53.96,-0.000370576
02/05/2006,53.98,-0.002590196
01/05/2006,54.12,-0.005711669
28/04/2006,54.43,0.001286883
27/04/2006,54.36,-0.002939018
26/04/2006,54.52,-0.000366771
25/04/2006,54.54,0.001100716
24/04/2006,54.48,0.009405325
21/04/2006,53.97,-0.01617385
20/04/2006,54.85,0.001094491
19/04/2006,54.79,-0.009265213
18/04/2006,55.3,0.025827977
17/04/2006,53.89,-0.003704394
13/04/2006,54.09,-0.007000766
12/04/2006,54.47,0.004231448
11/04/2006,54.24,-0.003496829
10/04/2006,54.43,-0.023064674
07/04/2006,55.7,-0.015852144
06/04/2006,56.59,0.025956886
05/04/2006,55.14,0.008011696
04/04/2006,54.7,0.006971226
03/04/2006,54.32,0.002949855
31/03/2006,54.16,-0.001107215
30/03/2006,54.22,-0.008448168
29/03/2006,54.68,0.007526424
28/03/2006,54.27,-0.009171011
27/03/2006,54.77,0.002376384
24/03/2006,54.64,-0.006385135
23/03/2006,54.99,-0.003086702
22/03/2006,55.16,-0.004341541
21/03/2006,55.4,-0.010772097
20/03/2006,56,0.002145156
17/03/2006,55.88,0.015873349
16/03/2006,55,0
15/03/2006,55,-0.004897081
14/03/2006,55.27,0.018996005
13/03/2006,54.23,0.004805924
10/03/2006,53.97,0.01681654
09/03/2006,53.07,-0.013103894
08/03/2006,53.77,0.002793558
07/03/2006,53.62,-0.002607563
06/03/2006,53.76,0.00447428
03/03/2006,53.52,0.013544225
02/03/2006,52.8,0.011620285
01/03/2006,52.19,0.019346705
28/02/2006,51.19,-0.008171252
27/02/2006,51.61,0.0179868
24/02/2006,50.69,-0.00825152
23/02/2006,51.11,-0.007795791
22/02/2006,51.51,0.015850053
21/02/2006,50.7,-0.005507488
17/02/2006,50.98,-0.014797778
16/02/2006,51.74,0.003291069
15/02/2006,51.57,0.007591277
14/02/2006,51.18,0.021128242
13/02/2006,50.11,0.007411151
10/02/2006,49.74,0.015601573
09/02/2006,48.97,-0.002039984
08/02/2006,49.07,0.007158227
07/02/2006,48.72,-0.011225753
06/02/2006,49.27,-0.003646682
03/02/2006,49.45,-0.015252152
02/02/2006,50.21,0.01424154
01/02/2006,49.5,-0.007847912
31/01/2006,49.89,0.004218144
30/01/2006,49.68,-0.007420068
27/01/2006,50.05,-0.000798882
26/01/2006,50.09,0.002999103
25/01/2006,49.94,0.007840024
24/01/2006,49.55,0.008512415
23/01/2006,49.13,-0.011333859
20/01/2006,49.69,-0.017950223
19/01/2006,50.59,-0.002960626
18/01/2006,50.74,0.002762978
17/01/2006,50.6,-0.007874056
13/01/2006,51,0.005308181
12/01/2006,50.73,0.000788799
11/01/2006,50.69,0.013705647
10/01/2006,50,-0.0009995
09/01/2006,50.05,0.004004009
06/01/2006,49.85,0.001405199
05/01/2006,49.78,-0.00600843
04/01/2006,50.08,0.003200003
03/01/2006,49.92,0.009055299
30/12/2005,49.47,-0.0100564
29/12/2005,49.97,-0.002797764
28/12/2005,50.11,0.006808196
27/12/2005,49.77,-0.004210533
23/12/2005,49.98,0.002805051
22/12/2005,49.84,0.000602107
21/12/2005,49.81,0.011915722
20/12/2005,49.22,0.011442708
19/12/2005,48.66,-0.00184786
16/12/2005,48.75,-0.015469472
15/12/2005,49.51,0.005874624
14/12/2005,49.22,0.012265076
13/12/2005,48.62,-0.001233299
12/12/2005,48.68,0.002674073
09/12/2005,48.55,0.005369695
08/12/2005,48.29,-0.021713266
07/12/2005,49.35,0.005486146
06/12/2005,49.08,-0.010337581
05/12/2005,49.59,0.005054089
02/12/2005,49.34,0.011209737
01/12/2005,48.79,-0.023497131
30/11/2005,49.95,-0.015889113
29/11/2005,50.75,0.009901071
28/11/2005,50.25,-0.006545694
25/11/2005,50.58,0.000395491
23/11/2005,50.56,0.026251382
22/11/2005,49.25,-0.003041057
21/11/2005,49.4,-0.008265343
18/11/2005,49.81,-0.000200743
17/11/2005,49.82,0.012522886
16/11/2005,49.2,-0.001015744
15/11/2005,49.25,-0.011105616
14/11/2005,49.8,-0.006804109
11/11/2005,50.14,0.001596807
10/11/2005,50.06,0.028570477
09/11/2005,48.65,-0.005943249
08/11/2005,48.94,-0.013597368
07/11/2005,49.61,0.010740806
04/11/2005,49.08,0.008388796
03/11/2005,48.67,0.003292862
02/11/2005,48.51,0.007864279
01/11/2005,48.13,-0.004974104
31/10/2005,48.37,0.021524183
28/10/2005,47.34,0.021134312
27/10/2005,46.35,-0.016051709
26/10/2005,47.1,-0.017259953
25/10/2005,47.92,-0.005826067
24/10/2005,48.2,0.009170552
21/10/2005,47.76,0.002515725
20/10/2005,47.64,-0.002725083
19/10/2005,47.77,0.031039907
18/10/2005,46.31,-0.00645719
17/10/2005,46.61,0.003223383
14/10/2005,46.46,0.023740634
13/10/2005,45.37,0.002648424
12/10/2005,45.25,-0.00594912
11/10/2005,45.52,-0.002632735
10/10/2005,45.64,0
07/10/2005,45.64,0.015901395
06/10/2005,44.92,0.045778231
05/10/2005,42.91,-0.001397299
04/10/2005,42.97,0.003029952
03/10/2005,42.84,-0.005818706
30/09/2005,43.09,0.011201984
29/09/2005,42.61,0.004469018
28/09/2005,42.42,-0.016830692
27/09/2005,43.14,0.008613719
26/09/2005,42.77,-0.001168361
23/09/2005,42.82,-0.005356948
22/09/2005,43.05,0.037150848
21/09/2005,41.48,0.002897153
20/09/2005,41.36,-0.021290124
19/09/2005,42.25,-0.022004633
16/09/2005,43.19,0.005805195
15/09/2005,42.94,-0.005110348
14/09/2005,43.16,-0.008536215
13/09/2005,43.53,-0.008919442
12/09/2005,43.92,0.020239881
09/09/2005,43.04,0
08/09/2005,43.04,-0.006253639
07/09/2005,43.31,0.00254306
06/09/2005,43.2,0.000926355
02/09/2005,43.16,-0.000463285
01/09/2005,43.18,-0.005082016
31/08/2005,43.4,0.008329525
30/08/2005,43.04,-0.008559913
29/08/2005,43.41,0.006702903
26/08/2005,43.12,-0.006702903
25/08/2005,43.41,0.001844594
24/08/2005,43.33,-0.007358047
23/08/2005,43.65,-0.01320001
22/08/2005,44.23,-0.000678043
19/08/2005,44.26,0.006346349
18/08/2005,43.98,0.007302634
17/08/2005,43.66,0.021531101
16/08/2005,42.73,-0.006066281
15/08/2005,42.99,0.003962247
12/08/2005,42.82,0.000700853
11/08/2005,42.79,0.007506486
10/08/2005,42.47,-0.017042551
09/08/2005,43.2,-0.00231214
08/08/2005,43.3,-0.008508732
05/08/2005,43.67,-0.013194004
04/08/2005,44.25,-0.004509591
03/08/2005,44.45,-0.020706517
02/08/2005,45.38,-0.005932128
01/08/2005,45.65,-0.006985403
29/07/2005,45.97,-0.012108256
28/07/2005,46.53,0.009284316
27/07/2005,46.1,0.002171554
