Date,Close,QCOM
26/06/2007,42.84,0.007262536
25/06/2007,42.53,-0.010757821
22/06/2007,42.99,-0.013171768
21/06/2007,43.56,0.011312599
20/06/2007,43.07,0.008861998
19/06/2007,42.69,0.008468646
18/06/2007,42.33,-0.007062176
15/06/2007,42.63,0.000234604
14/06/2007,42.62,0.000469373
13/06/2007,42.6,0.018718708
12/06/2007,41.81,0.01009624
11/06/2007,41.39,-0.011530274
08/06/2007,41.87,0.020509827
07/06/2007,41.02,-0.029071116
06/06/2007,42.23,-0.006137885
05/06/2007,42.49,0.007322579
04/06/2007,42.18,-0.013890747
01/06/2007,42.77,-0.004199726
31/05/2007,42.95,0.003031365
30/05/2007,42.82,-0.033527825
29/05/2007,44.28,0.021226405
25/05/2007,43.35,-0.005521063
24/05/2007,43.59,-0.028272832
23/05/2007,44.84,-0.033767734
22/05/2007,46.38,0.005404834
21/05/2007,46.13,0.020145196
18/05/2007,45.21,0.008663833
17/05/2007,44.82,-0.005118516
16/05/2007,45.05,0.019727158
15/05/2007,44.17,-0.001809546
14/05/2007,44.25,-0.013691158
11/05/2007,44.86,0.021404445
10/05/2007,43.91,-0.008165162
09/05/2007,44.27,0.002261421
08/05/2007,44.17,0.004993201
07/05/2007,43.95,-0.003407158
04/05/2007,44.1,-0.004073325
03/05/2007,44.28,0.000225861
02/05/2007,44.27,0.011358596
01/05/2007,43.77,-0.000685166
30/04/2007,43.8,-0.018772461
27/04/2007,44.63,-0.014900754
26/04/2007,45.3,-0.000882613
25/04/2007,45.34,0.021851483
24/04/2007,44.36,0.033699464
23/04/2007,42.89,-0.012741977
20/04/2007,43.44,0.001843318
19/04/2007,43.36,0.009035159
18/04/2007,42.97,-0.00926576
17/04/2007,43.37,-0.000461042
16/04/2007,43.39,0.019549145
13/04/2007,42.55,-0.001174398
12/04/2007,42.6,0.011806513
11/04/2007,42.1,-0.021152375
10/04/2007,43,0.007469689
09/04/2007,42.68,-0.014422209
05/04/2007,43.3,-0.008050647
04/04/2007,43.65,-0.001373627
03/04/2007,43.71,0.014518057
02/04/2007,43.08,0.009797139
30/03/2007,42.66,0.009657359
29/03/2007,42.25,-0.005899722
28/03/2007,42.5,-0.003054155
27/03/2007,42.63,0.004938282
26/03/2007,42.42,-0.003529831
23/03/2007,42.57,-0.018156923
22/03/2007,43.35,-0.008727662
21/03/2007,43.73,0.01590445
20/03/2007,43.04,0.003025017
19/03/2007,42.91,-0.017785432
16/03/2007,43.68,-0.000457771
15/03/2007,43.7,0.011276152
14/03/2007,43.21,0.032458164
13/03/2007,41.83,0.041738822
12/03/2007,40.12,-0.000747477
09/03/2007,40.15,-0.002239085
08/03/2007,40.24,0.013762259
07/03/2007,39.69,0.003533573
06/03/2007,39.55,0.010420732
05/03/2007,39.14,-0.008649253
02/03/2007,39.48,-0.01558212
01/03/2007,40.1,-0.004975135
28/02/2007,40.3,0.001241465
27/02/2007,40.25,-0.05791727
26/02/2007,42.65,-0.016510083
23/02/2007,43.36,0.013232927
22/02/2007,42.79,0.017445044
21/02/2007,42.05,-0.015339534
20/02/2007,42.7,0.004459578
16/02/2007,42.51,0.028634741
15/02/2007,41.31,0.040761478
14/02/2007,39.66,0.040916553
13/02/2007,38.07,0.000525486
12/02/2007,38.05,-0.006809874
09/02/2007,38.31,0.001305995
08/02/2007,38.26,0.01793297
07/02/2007,37.58,-0.002657456
06/02/2007,37.68,-0.00608548
05/02/2007,37.91,0.019175022
02/02/2007,37.19,-0.00589814
01/02/2007,37.41,-0.006660475
31/01/2007,37.66,0.013096539
30/01/2007,37.17,0.000538213
29/01/2007,37.15,-0.009643793
26/01/2007,37.51,-0.017180282
25/01/2007,38.16,-0.01198243
24/01/2007,38.62,0.012768903
23/01/2007,38.13,-0.009916574
22/01/2007,38.51,-0.009304797
19/01/2007,38.87,0.009824278
18/01/2007,38.49,-0.018023145
17/01/2007,39.19,-0.007119277
16/01/2007,39.47,-0.003793152
12/01/2007,39.62,0.003539827
11/01/2007,39.48,0.023838115
10/01/2007,38.55,0.018589356
09/01/2007,37.84,-0.01103822
08/01/2007,38.26,-0.011176205
05/01/2007,38.69,-0.011819254
04/01/2007,39.15,0.044126725
03/01/2007,37.46,-0.00877082
29/12/2006,37.79,0.00264971
28/12/2006,37.69,0.003188948
27/12/2006,37.57,-0.001329964
26/12/2006,37.62,-0.005037794
22/12/2006,37.81,-0.019123045
21/12/2006,38.54,0.005985704
20/12/2006,38.31,-0.004687509
19/12/2006,38.49,-0.014956442
18/12/2006,39.07,-0.010945763
15/12/2006,39.5,0.002281081
14/12/2006,39.41,0.025181187
13/12/2006,38.43,-0.01138434
12/12/2006,38.87,-0.001542417
11/12/2006,38.93,-0.015547656
08/12/2006,39.54,0.010167856
07/12/2006,39.14,-0.001021451
06/12/2006,39.18,0.011293755
05/12/2006,38.74,0.032531725
04/12/2006,37.5,0.031146729
01/12/2006,36.35,-0.006580775
30/11/2006,36.59,-0.001638449
29/11/2006,36.65,0.022069861
28/11/2006,35.85,-0.016597891
27/11/2006,36.45,-0.030530536
24/11/2006,37.58,0.006139082
22/11/2006,37.35,-0.006937061
21/11/2006,37.61,0.012306201
20/11/2006,37.15,-0.012837833
17/11/2006,37.63,-0.004507498
16/11/2006,37.8,0.002649008
15/11/2006,37.7,0.00372044
14/11/2006,37.56,0.036880536
13/11/2006,36.2,0.026877318
10/11/2006,35.24,0.011702717
09/11/2006,34.83,-0.040787541
08/11/2006,36.28,-0.003027386
07/11/2006,36.39,0.006893726
06/11/2006,36.14,-0.00908972
03/11/2006,36.47,0.003020736
02/11/2006,36.36,0.017478597
01/11/2006,35.73,-0.01830334
31/10/2006,36.39,-0.009572068
30/10/2006,36.74,-0.010828476
27/10/2006,37.14,-0.022628411
26/10/2006,37.99,0.012715403
25/10/2006,37.51,0.021558367
24/10/2006,36.71,-0.036640012
23/10/2006,38.08,0.004210533
20/10/2006,37.92,-0.006833141
19/10/2006,38.18,0.00157274
18/10/2006,38.12,-0.021282921
17/10/2006,38.94,-0.022347299
16/10/2006,39.82,-0.000502134
13/10/2006,39.84,0.022849433
12/10/2006,38.94,0.030771659
11/10/2006,37.76,0.018442324
10/10/2006,37.07,0.022644536
09/10/2006,36.24,-0.003580778
06/10/2006,36.37,0.003029054
05/10/2006,36.26,0.012208809
04/10/2006,35.82,0.011794576
03/10/2006,35.4,0.021125536
02/10/2006,34.66,-0.04760792
29/09/2006,36.35,-0.018264103
28/09/2006,37.02,-0.029543067
27/09/2006,38.13,-0.007837031
26/09/2006,38.43,-0.006225701
25/09/2006,38.67,0.02116896
22/09/2006,37.86,-0.01624348
21/09/2006,38.48,0.009661911
20/09/2006,38.11,0.026859745
19/09/2006,37.1,0.013568729
18/09/2006,36.6,-0.005721307
15/09/2006,36.81,-0.010539214
14/09/2006,37.2,-0.002684565
13/09/2006,37.3,-0.009339628
12/09/2006,37.65,0.022563407
11/09/2006,36.81,0.007361996
08/09/2006,36.54,-0.011699222
07/09/2006,36.97,-0.028531465
06/09/2006,38.04,-0.029783375
05/09/2006,39.19,0.021667084
01/09/2006,38.35,0.017890506
31/08/2006,37.67,-0.006350908
30/08/2006,37.91,0.008476872
29/08/2006,37.59,0.010967075
28/08/2006,37.18,-0.00536482
25/08/2006,37.38,0.002947089
24/08/2006,37.27,0.016775285
23/08/2006,36.65,-0.023194136
22/08/2006,37.51,0.010990594
21/08/2006,37.1,-0.005912406
18/08/2006,37.32,0.003220615
17/08/2006,37.2,-0.016793677
16/08/2006,37.83,0.064979186
15/08/2006,35.45,0.053894849
14/08/2006,33.59,0.008370751
