Date,Close,MA
29/08/2007,133.42,0.009791447
28/08/2007,132.12,-0.04535304
27/08/2007,138.25,-0.011363759
24/08/2007,139.83,-0.01743983
23/08/2007,142.29,-0.017624363
22/08/2007,144.82,0.032706965
21/08/2007,140.16,0.016255842
20/08/2007,137.9,0.006547859
17/08/2007,137,0.052446475
16/08/2007,130,0.007412017
15/08/2007,129.04,-0.034128846
14/08/2007,133.52,-0.022732459
13/08/2007,136.59,-0.013164305
10/08/2007,138.4,-0.020595694
09/08/2007,141.28,-0.046603663
08/08/2007,148.02,0.025660856
07/08/2007,144.27,0.04719028
06/08/2007,137.62,0.047316175
03/08/2007,131.26,-0.083003662
02/08/2007,142.62,-0.050451543
01/08/2007,150,-0.069526063
31/07/2007,160.8,-0.023296176
30/07/2007,164.59,0.066310144
27/07/2007,154.03,-0.029994255
26/07/2007,158.72,-0.014883647
25/07/2007,161.1,0.014568676
24/07/2007,158.77,-0.054123574
23/07/2007,167.6,0.013939183
20/07/2007,165.28,-0.012924348
19/07/2007,167.43,-0.008326938
18/07/2007,168.83,-0.002425534
17/07/2007,169.24,-0.002773272
16/07/2007,169.71,0.002950551
13/07/2007,169.21,0.007950677
12/07/2007,167.87,0.071092786
11/07/2007,156.35,-0.012710689
10/07/2007,158.35,-0.017962119
09/07/2007,161.22,-0.004208969
06/07/2007,161.9,0.001174253
05/07/2007,161.71,-0.003087184
03/07/2007,162.21,-0.024179746
02/07/2007,166.18,0.001867189
29/06/2007,165.87,0.006593098
28/06/2007,164.78,0.010677018
27/06/2007,163.03,0.007449627
26/06/2007,161.82,-0.000803039
25/06/2007,161.95,-0.039232588
22/06/2007,168.43,0.022455314
21/06/2007,164.69,0.007496607
20/06/2007,163.46,-0.011012188
19/06/2007,165.27,0.003940713
18/06/2007,164.62,0.043262402
15/06/2007,157.65,0.047810625
14/06/2007,150.29,-6.65358E-05
13/06/2007,150.3,0.033763905
12/06/2007,145.31,0.02586321
11/06/2007,141.6,-0.01388619
08/06/2007,143.58,0.029473139
07/06/2007,139.41,-0.0531494
06/06/2007,147.02,-0.014719056
05/06/2007,149.2,-0.013646409
04/06/2007,151.25,0.000992228
01/06/2007,151.1,0.010311084
31/05/2007,149.55,0.016314235
30/05/2007,147.13,0.02108667
29/05/2007,144.06,0.035252476
25/05/2007,139.07,0.000647366
24/05/2007,138.98,-0.008240525
23/05/2007,140.13,0.010040965
22/05/2007,138.73,-0.005606685
21/05/2007,139.51,0.010520345
18/05/2007,138.05,0.014299507
17/05/2007,136.09,-0.000734538
16/05/2007,136.19,0.005522232
15/05/2007,135.44,0.000664722
14/05/2007,135.35,-0.025386147
11/05/2007,138.83,7.20331E-05
10/05/2007,138.82,-0.00524483
09/05/2007,139.55,0.018077137
08/05/2007,137.05,0.021685464
07/05/2007,134.11,-0.004092724
04/05/2007,134.66,-0.001187472
03/05/2007,134.82,0.064884722
02/05/2007,126.35,0.095428905
01/05/2007,114.85,0.02798929
30/04/2007,111.68,-0.021437618
27/04/2007,114.1,0.049772241
26/04/2007,108.56,-0.007159278
25/04/2007,109.34,0.011405569
24/04/2007,108.1,-0.017787211
23/04/2007,110.04,-0.000545108
20/04/2007,110.1,0.007018212
19/04/2007,109.33,0.001098197
18/04/2007,109.21,-0.004020841
17/04/2007,109.65,0.002282585
16/04/2007,109.4,0
13/04/2007,109.4,-0.003831772
12/04/2007,109.82,9.10622E-05
11/04/2007,109.81,-0.001819671
10/04/2007,110.01,0.015296841
09/04/2007,108.34,0.003050615
05/04/2007,108.01,0.007434288
04/04/2007,107.21,-0.012237105
03/04/2007,108.53,0.0145717
02/04/2007,106.96,0.006754247
30/03/2007,106.24,-0.008902275
29/03/2007,107.19,0.004769261
28/03/2007,106.68,-0.005328858
27/03/2007,107.25,-0.011403266
26/03/2007,108.48,-0.012641004
23/03/2007,109.86,0.002643213
22/03/2007,109.57,-0.010260225
21/03/2007,110.7,0.02942602
20/03/2007,107.49,0.005597552
19/03/2007,106.89,0.01527179
16/03/2007,105.27,9.49983E-05
15/03/2007,105.26,-0.002277473
14/03/2007,105.5,0.015667114
13/03/2007,103.86,0.005890607
12/03/2007,103.25,0.008657221
09/03/2007,102.36,-0.003900161
08/03/2007,102.76,0.030029914
07/03/2007,99.72,-0.041928482
06/03/2007,103.99,0.02976846
05/03/2007,100.94,-0.020785062
02/03/2007,103.06,-0.030859865
01/03/2007,106.29,-0.008338457
28/02/2007,107.18,0.039780676
27/02/2007,103,-0.010238668
26/02/2007,104.06,-0.004889048
23/02/2007,104.57,-0.012638549
22/02/2007,105.9,-0.013040196
21/02/2007,107.29,-0.004927721
20/02/2007,107.82,-0.004626639
16/02/2007,108.32,0.00258828
15/02/2007,108.04,0.000185134
14/02/2007,108.02,0.031312793
13/02/2007,104.69,0.025246783
12/02/2007,102.08,-0.01478051
09/02/2007,103.6,-0.102131369
08/02/2007,114.74,0.025063084
07/02/2007,111.9,0.012137708
06/02/2007,110.55,0.002717393
05/02/2007,110.25,-0.006419262
02/02/2007,110.96,-0.008614554
01/02/2007,111.92,0.003311409
31/01/2007,111.55,0.007197512
30/01/2007,110.75,0.009161477
29/01/2007,109.74,0.011179444
26/01/2007,108.52,0.006007689
25/01/2007,107.87,-0.032380046
24/01/2007,111.42,0.027386509
23/01/2007,108.41,0.007406755
22/01/2007,107.61,0.024267557
19/01/2007,105.03,0.024480791
18/01/2007,102.49,-0.061949555
17/01/2007,109.04,0.028275693
16/01/2007,106,0.007100622
12/01/2007,105.25,-0.00237248
11/01/2007,105.5,0.007229864
10/01/2007,104.74,-0.009502162
09/01/2007,105.74,0.045070968
08/01/2007,101.08,0.000197883
05/01/2007,101.06,-0.000791296
04/01/2007,101.14,0.047895765
03/01/2007,96.41,-0.02134509
29/12/2006,98.49,-0.004760708
28/12/2006,98.96,-0.004134529
27/12/2006,99.37,0.043500766
26/12/2006,95.14,-0.012637904
22/12/2006,96.35,0.006664609
21/12/2006,95.71,-0.018632151
20/12/2006,97.51,0.001128726
19/12/2006,97.4,0.047302565
18/12/2006,92.9,-0.034801756
15/12/2006,96.19,0.006152582
14/12/2006,95.6,-0.001776663
13/12/2006,95.77,0.000208855
12/12/2006,95.75,-0.034388813
11/12/2006,99.1,-0.010040245
08/12/2006,100.1,0.004204631
07/12/2006,99.68,0.005532935
