Date,Close,GILD
24/01/2007,64.25,0.006401771
23/01/2007,63.84,-0.006401771
22/01/2007,64.25,-0.020489048
19/01/2007,65.58,-0.008805279
18/01/2007,66.16,-0.003470392
17/01/2007,66.39,0.000602682
16/01/2007,66.35,0.00286771
12/01/2007,66.16,-0.001208459
11/01/2007,66.24,0.02367788
10/01/2007,64.69,-0.004934474
09/01/2007,65.01,0.012070713
08/01/2007,64.23,0.000311429
05/01/2007,64.21,0.000311526
04/01/2007,64.19,0.016334587
03/01/2007,63.15,-0.027796918
29/12/2006,64.93,-0.006447674
28/12/2006,65.35,-0.010351744
27/12/2006,66.03,0.014031037
26/12/2006,65.11,0.009412923
22/12/2006,64.5,-0.013398214
21/12/2006,65.37,0.009375309
20/12/2006,64.76,0.001854715
19/12/2006,64.64,0.013236976
18/12/2006,63.79,-0.010913735
15/12/2006,64.49,0.017835266
14/12/2006,63.35,-0.009739317
13/12/2006,63.97,-0.019965068
12/12/2006,65.26,-0.00748038
11/12/2006,65.75,-0.005611602
08/12/2006,66.12,-0.011428696
07/12/2006,66.88,-0.018077244
06/12/2006,68.1,0.005891033
05/12/2006,67.7,0.001182383
04/12/2006,67.62,0.036137627
01/12/2006,65.22,-0.011282327
30/11/2006,65.96,-0.0119058
29/11/2006,66.75,0.009331796
28/11/2006,66.13,0.014163033
27/11/2006,65.2,-0.014465422
24/11/2006,66.15,-0.006028654
22/11/2006,66.55,-0.01432219
21/11/2006,67.51,-0.020380443
20/11/2006,68.9,-0.007662873
17/11/2006,69.43,0.016702153
16/11/2006,68.28,0.006022787
15/11/2006,67.87,0.003986128
14/11/2006,67.6,0.007871133
13/11/2006,67.07,-0.004017564
10/11/2006,67.34,0.004166673
09/11/2006,67.06,-0.028228866
08/11/2006,68.98,-0.011100813
07/11/2006,69.75,0.01342302
06/11/2006,68.82,0.014047641
03/11/2006,67.86,-0.002207994
02/11/2006,68.01,0.006342672
01/11/2006,67.58,-0.019344097
31/10/2006,68.9,-0.001015449
30/10/2006,68.97,0.011520361
27/10/2006,68.18,-0.01701488
26/10/2006,69.35,0.020394006
25/10/2006,67.95,-0.010103315
24/10/2006,68.64,-0.010723186
23/10/2006,69.38,0.005637075
20/10/2006,68.99,0.0100518
19/10/2006,68.3,0.008528209
18/10/2006,67.72,-0.004126148
17/10/2006,68,0.00723197
16/10/2006,67.51,0.009226256
13/10/2006,66.89,0.000598176
12/10/2006,66.85,0.02330614
11/10/2006,65.31,0.005219539
10/10/2006,64.97,-0.003227049
09/10/2006,65.18,-0.002604767
06/10/2006,65.35,0.000612276
05/10/2006,65.31,0.020574629
04/10/2006,63.98,0.030952396
03/10/2006,62.03,-0.035630402
02/10/2006,64.28,-0.067519062
29/09/2006,68.77,0.002037846
28/09/2006,68.63,0.019123854
27/09/2006,67.33,0.008202268
26/09/2006,66.78,0.009176446
25/09/2006,66.17,0.021230274
22/09/2006,64.78,0.008370844
21/09/2006,64.24,-0.010991673
20/09/2006,64.95,-0.000153953
19/09/2006,64.96,0.002157498
18/09/2006,64.82,0.001080497
15/09/2006,64.75,0.019651287
14/09/2006,63.49,-0.003302149
13/09/2006,63.7,-0.002195391
12/09/2006,63.84,0.006127759
11/09/2006,63.45,-0.00377537
08/09/2006,63.69,0.029800628
07/09/2006,61.82,0.004539567
06/09/2006,61.54,-0.021222661
05/09/2006,62.86,-0.007449119
01/09/2006,63.33,-0.001104711
31/08/2006,63.4,-0.000945925
30/08/2006,63.46,-0.009098102
29/08/2006,64.04,-0.006692111
28/08/2006,64.47,0.019895698
25/08/2006,63.2,-0.007880261
24/08/2006,63.7,0.008830079
23/08/2006,63.14,-0.005055303
22/08/2006,63.46,-0.002675271
21/08/2006,63.63,-0.000314268
18/08/2006,63.65,-0.00517121
17/08/2006,63.98,-0.000312549
16/08/2006,64,0.028206592
15/08/2006,62.22,0.011151631
14/08/2006,61.53,-0.008415651
11/08/2006,62.05,0.003066744
10/08/2006,61.86,0.002914038
09/08/2006,61.68,0.001622587
08/08/2006,61.58,-0.005667572
07/08/2006,61.93,0.009735595
04/08/2006,61.33,-0.011993661
03/08/2006,62.07,0.00760091
02/08/2006,61.6,0.014553441
01/08/2006,60.71,-0.013253896
31/07/2006,61.52,-0.01548418
28/07/2006,62.48,0.020535931
27/07/2006,61.21,-0.018613469
26/07/2006,62.36,0.007565428
25/07/2006,61.89,0.024203962
24/07/2006,60.41,0.011655144
21/07/2006,59.71,0.00604739
20/07/2006,59.35,-0.031185144
19/07/2006,61.23,0.016134693
18/07/2006,60.25,0.014208346
17/07/2006,59.4,-0.00854921
14/07/2006,59.91,-0.01966843
13/07/2006,61.1,-0.011229673
12/07/2006,61.79,0.000485633
11/07/2006,61.76,0.002594035
10/07/2006,61.6,0.013730193
07/07/2006,60.76,0.010921836
06/07/2006,60.1,0.018641904
05/07/2006,58.99,-0.004566604
03/07/2006,59.26,0.001688904
