Date,Close,CAT
19/09/2007,77.91,0.00579264
18/09/2007,77.46,0.049894569
17/09/2007,73.69,0.007218281
14/09/2007,73.16,0.002326378
13/09/2007,72.99,0.003018663
12/09/2007,72.77,-0.015273718
11/09/2007,73.89,0.002032108
10/09/2007,73.74,0.004076646
07/09/2007,73.44,-0.030969698
06/09/2007,75.75,0.002776127
05/09/2007,75.54,-0.017193153
04/09/2007,76.85,0.014153034
31/08/2007,75.77,0.014757962
30/08/2007,74.66,-0.005076831
29/08/2007,75.04,0.011796383
28/08/2007,74.16,-0.024508419
27/08/2007,76,-0.004201687
24/08/2007,76.32,0.015182812
23/08/2007,75.17,-0.00172792
22/08/2007,75.3,0.013638398
21/08/2007,74.28,0.003101196
20/08/2007,74.05,0.019224806
17/08/2007,72.64,-0.004943707
16/08/2007,73,-0.026361783
15/08/2007,74.95,-0.023992714
14/08/2007,76.77,-0.014612014
13/08/2007,77.9,0.004503063
10/08/2007,77.55,-0.011920926
09/08/2007,78.48,-0.030370009
08/08/2007,80.9,0.005702259
07/08/2007,80.44,-0.00693759
06/08/2007,81,0.02550776
03/08/2007,78.96,-0.021425364
02/08/2007,80.67,0.006716443
01/08/2007,80.13,0.016737319
31/07/2007,78.8,0.022588229
30/07/2007,77.04,0.013328304
27/07/2007,76.02,-0.029423417
26/07/2007,78.29,-0.027837304
25/07/2007,80.5,-0.014307101
24/07/2007,81.66,-0.004154961
23/07/2007,82,-0.014528101
20/07/2007,83.2,-0.044430859
19/07/2007,86.98,0.008660062
18/07/2007,86.23,-0.002779388
17/07/2007,86.47,0.006613704
16/07/2007,85.9,0.009004329
13/07/2007,85.13,0.012291846
12/07/2007,84.09,0.023097382
11/07/2007,82.17,0.01162875
10/07/2007,81.22,0.017262149
09/07/2007,79.83,0.012859481
06/07/2007,78.81,0.016890997
05/07/2007,77.49,-0.006431718
03/07/2007,77.99,-0.03105526
02/07/2007,80.45,0.02708827
29/06/2007,78.3,-0.010038842
28/06/2007,79.09,-0.005296355
27/06/2007,79.51,-0.00976228
26/06/2007,80.29,-0.005093495
25/06/2007,80.7,-0.002475249
22/06/2007,80.9,-0.00702103
21/06/2007,81.47,0.001105312
20/06/2007,81.38,-0.013547531
19/06/2007,82.49,0.00778877
18/06/2007,81.85,0.009082046
15/06/2007,81.11,0.004696005
14/06/2007,80.73,0.009959002
13/06/2007,79.93,0.02341731
12/06/2007,78.08,-0.008544336
11/06/2007,78.75,0.002924908
08/06/2007,78.52,0.015530056
07/06/2007,77.31,-0.01756568
06/06/2007,78.68,0.000381364
05/06/2007,78.65,0.004587749
04/06/2007,78.29,0.001917791
01/06/2007,78.14,-0.005615125
31/05/2007,78.58,0.001273399
30/05/2007,78.48,0.035405371
29/05/2007,75.75,0.000528192
25/05/2007,75.71,0.003705178
24/05/2007,75.43,-0.007922925
23/05/2007,76.03,0.006862901
22/05/2007,75.51,0.008778987
21/05/2007,74.85,0.001069376
18/05/2007,74.77,-0.000935766
17/05/2007,74.84,-0.014722728
16/05/2007,75.95,-0.000789682
15/05/2007,76.01,-0.003808028
14/05/2007,76.3,0.018786106
11/05/2007,74.88,0.014392608
10/05/2007,73.81,-0.012654988
09/05/2007,74.75,0.017816641
08/05/2007,73.43,0.010403927
07/05/2007,72.67,-0.005899722
04/05/2007,73.1,-0.003550461
03/05/2007,73.36,-0.000545108
02/05/2007,73.4,0.002182216
01/05/2007,73.24,0.008501354
30/04/2007,72.62,-0.015576213
27/04/2007,73.76,0.010357138
26/04/2007,73,-0.003145732
25/04/2007,73.23,0.005751865
24/04/2007,72.81,0.013272696
23/04/2007,71.85,0.000417624
20/04/2007,71.82,0.045578951
19/04/2007,68.62,-0.01087046
18/04/2007,69.37,0.024959334
17/04/2007,67.66,0.011296196
16/04/2007,66.9,0.001645598
13/04/2007,66.79,0.002248371
12/04/2007,66.64,0.004361237
11/04/2007,66.35,-0.009002311
10/04/2007,66.95,-0.005808342
09/04/2007,67.34,-0.004297258
05/04/2007,67.63,0.002220414
04/04/2007,67.48,0.003562949
03/04/2007,67.24,0.007314011
02/04/2007,66.75,-0.004185983
30/03/2007,67.03,0.012610886
29/03/2007,66.19,-0.000755116
28/03/2007,66.24,-0.009615459
27/03/2007,66.88,0.000598265
26/03/2007,66.84,-0.000598265
23/03/2007,66.88,0.005096698
22/03/2007,66.54,0.004971762
21/03/2007,66.21,0.020600408
20/03/2007,64.86,0.010695289
19/03/2007,64.17,0.015864622
16/03/2007,63.16,-0.004738597
15/03/2007,63.46,-0.002832417
14/03/2007,63.64,0.004725162
13/03/2007,63.34,-0.019232866
12/03/2007,64.57,0.002636274
09/03/2007,64.4,0.001554002
08/03/2007,64.3,0.00108924
07/03/2007,64.23,0.009542505
06/03/2007,63.62,0.007098381
05/03/2007,63.17,0.002060059
02/03/2007,63.04,-0.013549916
01/03/2007,63.9,-0.008260002
28/02/2007,64.43,-0.006189096
27/02/2007,64.83,-0.036797247
26/02/2007,67.26,0
23/02/2007,67.26,-0.00770146
22/02/2007,67.78,-0.006324015
21/02/2007,68.21,0.004113418
20/02/2007,67.93,0.003834813
16/02/2007,67.67,0.000739153
15/02/2007,67.62,0.021827747
14/02/2007,66.16,0.021851278
13/02/2007,64.73,0.002010362
12/02/2007,64.6,-0.003091193
09/02/2007,64.8,-0.012727305
08/02/2007,65.63,-0.000152358
07/02/2007,65.64,0.018761122
06/02/2007,64.42,-0.001086029
05/02/2007,64.49,-0.011715873
02/02/2007,65.25,0.003992634
01/02/2007,64.99,0.014257176
31/01/2007,64.07,0.018748088
30/01/2007,62.88,0.018944217
29/01/2007,61.7,0.009935744
26/01/2007,61.09,0.024189384
25/01/2007,59.63,-0.001675604
