Date,Close,DD
13/06/2007,50.92,0.016035185
12/06/2007,50.11,-0.012296863
11/06/2007,50.73,-0.007853958
08/06/2007,51.13,0.014975649
07/06/2007,50.37,-0.012037639
06/06/2007,50.98,-0.024415086
05/06/2007,52.24,-0.018021924
04/06/2007,53.19,0.001693481
01/06/2007,53.1,0.014798221
31/05/2007,52.32,0.011534153
30/05/2007,51.72,0.009128936
29/05/2007,51.25,-0.004089189
25/05/2007,51.46,0.002334631
24/05/2007,51.34,-0.014886693
23/05/2007,52.11,0.001344215
22/05/2007,52.04,-0.000576314
21/05/2007,52.07,-0.005935872
18/05/2007,52.38,0.009013389
17/05/2007,51.91,0.007929642
16/05/2007,51.5,0.011718884
15/05/2007,50.9,0.00868198
14/05/2007,50.46,0.000793021
11/05/2007,50.42,-0.003761263
10/05/2007,50.61,-0.019566267
09/05/2007,51.61,0.000969274
08/05/2007,51.56,-0.001356721
07/05/2007,51.63,0.007582422
04/05/2007,51.24,0.007050558
03/05/2007,50.88,0.006704817
02/05/2007,50.54,0.023624722
01/05/2007,49.36,0.003856698
30/04/2007,49.17,-0.010520024
27/04/2007,49.69,0.002216179
26/04/2007,49.58,-0.007835299
25/04/2007,49.97,0.002203747
24/04/2007,49.86,0.013528727
23/04/2007,49.19,-0.001827968
20/04/2007,49.28,0.010608015
19/04/2007,48.76,-0.010810916
18/04/2007,49.29,-0.011297276
17/04/2007,49.85,-0.008986581
16/04/2007,50.3,0.019878177
13/04/2007,49.31,-0.001823524
12/04/2007,49.4,0.015093087
11/04/2007,48.66,-0.010426344
10/04/2007,49.17,-0.010318756
09/04/2007,49.68,0.007272759
05/04/2007,49.32,-0.004854378
04/04/2007,49.56,-0.006636525
03/04/2007,49.89,0.016776543
02/04/2007,49.06,-0.007513488
30/03/2007,49.43,0.001012043
29/03/2007,49.38,0.001824263
28/03/2007,49.29,-0.010494546
27/03/2007,49.81,-0.030643892
26/03/2007,51.36,0.006445964
23/03/2007,51.03,-0.006251241
22/03/2007,51.35,0.000974184
21/03/2007,51.3,0.003123782
20/03/2007,51.14,0.00549021
19/03/2007,50.86,0.017854075
16/03/2007,49.96,-0.009363551
15/03/2007,50.43,0.008363251
14/03/2007,50.01,-0.006577004
13/03/2007,50.34,-0.023364173
12/03/2007,51.53,0.007597192
09/03/2007,51.14,0.006276992
08/03/2007,50.82,0.007505467
07/03/2007,50.44,-0.007505467
06/03/2007,50.82,0.0190709
05/03/2007,49.86,-0.004602309
02/03/2007,50.09,-0.015451971
01/03/2007,50.87,0.002755907
28/02/2007,50.73,-0.011173301
27/02/2007,51.3,-0.035239188
26/02/2007,53.14,0.002826724
23/02/2007,52.99,0.006626929
22/02/2007,52.64,-0.007004288
21/02/2007,53.01,0.007194276
20/02/2007,52.63,0.003044722
16/02/2007,52.47,0.013430747
15/02/2007,51.77,-0.00038625
14/02/2007,51.79,0.008921704
13/02/2007,51.33,0.004490879
12/02/2007,51.1,0.000587257
09/02/2007,51.07,-0.001369729
08/02/2007,51.14,0.002545278
07/02/2007,51.01,0.007872507
06/02/2007,50.61,0.010128177
05/02/2007,50.1,-0.002989539
02/02/2007,50.25,-0.006545694
01/02/2007,50.58,0.020372184
31/01/2007,49.56,0.024097552
30/01/2007,48.38,-0.011917133
29/01/2007,48.96,-0.004686713
26/01/2007,49.19,-0.009509429
25/01/2007,49.66,-0.012407604
24/01/2007,50.28,0.012206255
23/01/2007,49.67,-0.008619879
22/01/2007,50.1,-0.014662438
19/01/2007,50.84,0.008692271
18/01/2007,50.4,-0.006329135
17/01/2007,50.72,0.004148974
16/01/2007,50.51,0.015562964
12/01/2007,49.73,0.016422062
11/01/2007,48.92,0.013583251
10/01/2007,48.26,-0.002483445
09/01/2007,48.38,0.006428223
08/01/2007,48.07,0.000416146
05/01/2007,48.05,-0.013436895
04/01/2007,48.7,-0.006957262
03/01/2007,49.04,0.006751944
29/12/2006,48.71,-0.006548008
28/12/2006,49.03,-0.003257995
27/12/2006,49.19,0.000813504
26/12/2006,49.15,0.01187079
22/12/2006,48.57,-0.008405995
21/12/2006,48.98,-0.009954374
20/12/2006,49.47,0.007711077
19/12/2006,49.09,0.007360491
18/12/2006,48.73,-0.000410341
15/12/2006,48.75,0.007205384
14/12/2006,48.4,0.026377916
13/12/2006,47.14,-0.001271995
12/12/2006,47.2,-0.004650188
11/12/2006,47.42,0.011026405
08/12/2006,46.9,-0.003193191
07/12/2006,47.05,0.008752324
06/12/2006,46.64,-0.007901803
05/12/2006,47.01,0.002129473
04/12/2006,46.91,0.009854407
01/12/2006,46.45,-0.010280665
30/11/2006,46.93,-0.025664008
29/11/2006,48.15,-0.001037883
28/11/2006,48.2,0.00415801
27/11/2006,48,-0.008918446
24/11/2006,48.43,-0.003915512
22/11/2006,48.62,0.012209153
21/11/2006,48.03,0.003336812
20/11/2006,47.87,0.012824732
17/11/2006,47.26,-0.007798543
16/11/2006,47.63,0.005895995
15/11/2006,47.35,0.003596746
14/11/2006,47.18,-0.006338496
13/11/2006,47.48,0.003798274
10/11/2006,47.3,0.001057642
09/11/2006,47.25,0.017076189
08/11/2006,46.45,0.014966118
07/11/2006,45.76,-0.003272611
06/11/2006,45.91,0.018244269
03/11/2006,45.08,-0.009493393
02/11/2006,45.51,-0.001975634
01/11/2006,45.6,-0.004376375
31/10/2006,45.8,-0.001091108
30/10/2006,45.85,0.006564575
27/10/2006,45.55,-0.003943914
26/10/2006,45.73,0.002189143
25/10/2006,45.63,-0.008076002
24/10/2006,46,0.012028576
23/10/2006,45.45,0.01061722
20/10/2006,44.97,-0.000666889
19/10/2006,45,0.002447437
18/10/2006,44.89,-0.001335708
17/10/2006,44.95,-0.009079899
16/10/2006,45.36,0.00619197
13/10/2006,45.08,-0.000886918
12/10/2006,45.12,0.0104713
11/10/2006,44.65,-0.007363639
10/10/2006,44.98,-0.010174828
09/10/2006,45.44,0.010842013
06/10/2006,44.95,0.034630596
05/10/2006,43.42,0.004848215
04/10/2006,43.21,0.0058025
03/10/2006,42.96,0.005602256
02/10/2006,42.72,-0.002805051
29/09/2006,42.84,-0.012295712
28/09/2006,43.37,0.008567842
27/09/2006,43,-0.004871834
26/09/2006,43.21,0.004639303
25/09/2006,43.01,0.016172859
22/09/2006,42.32,0.001892148
21/09/2006,42.24,-0.00942514
20/09/2006,42.64,0.013933393
19/09/2006,42.05,-0.004981626
18/09/2006,42.26,0.000236658
15/09/2006,42.25,0.019599098
14/09/2006,41.43,0.022703282
13/09/2006,40.5,0.007932615
12/09/2006,40.18,0.008497927
11/09/2006,39.84,-0.004008021
08/09/2006,40,0.008536331
07/09/2006,39.66,-0.01203022
06/09/2006,40.14,-0.008187616
05/09/2006,40.47,-0.000247066
01/09/2006,40.48,0.012678852
31/08/2006,39.97,0.001001252
30/08/2006,39.93,0.008298803
29/08/2006,39.6,0.003288229
28/08/2006,39.47,0.005589445
25/08/2006,39.25,-0.005082603
24/08/2006,39.45,-0.00606522
23/08/2006,39.69,-0.00125897
22/08/2006,39.74,-0.002764168
21/08/2006,39.85,-0.011973204
18/08/2006,40.33,-0.00198167
17/08/2006,40.41,0.000247494
16/08/2006,40.4,0.010700612
15/08/2006,39.97,0.023286296
14/08/2006,39.05,-0.000512033
11/08/2006,39.07,-0.013979132
10/08/2006,39.62,0.010657294
09/08/2006,39.2,-0.00025507
08/08/2006,39.21,-0.010654591
07/08/2006,39.63,-0.000252302
04/08/2006,39.64,-0.005032723
03/08/2006,39.84,0.00452831
02/08/2006,39.66,0.011156302
01/08/2006,39.22,-0.011156302
31/07/2006,39.66,-0.01203022
28/07/2006,40.14,0.009260484
27/07/2006,39.77,-0.012245561
26/07/2006,40.26,-0.0101323
25/07/2006,40.67,0.002461843
24/07/2006,40.57,0.013899454
21/07/2006,40.01,-0.00049975
20/07/2006,40.03,-0.00771436
19/07/2006,40.34,0.014482151
18/07/2006,39.76,-0.002511933
17/07/2006,39.86,0.00477808
14/07/2006,39.67,0.00302954
13/07/2006,39.55,-0.018289374
12/07/2006,40.28,-0.012091449
11/07/2006,40.77,-0.000245248
10/07/2006,40.78,0.005902624
07/07/2006,40.54,-0.01225806
06/07/2006,41.04,-0.012831552
05/07/2006,41.57,-0.006474066
03/07/2006,41.84,0.005752652
30/06/2006,41.6,0.00168411
29/06/2006,41.53,0.015530523
28/06/2006,40.89,0.000244588
27/06/2006,40.88,-0.0279806
26/06/2006,42.04,0.005486001
23/06/2006,41.81,0.001196602
22/06/2006,41.76,-0.004301082
21/06/2006,41.94,0.0413785
20/06/2006,40.24,-0.000745249
19/06/2006,40.27,-0.014055218
16/06/2006,40.84,-0.002201297
15/06/2006,40.93,0.017250305
14/06/2006,40.23,0.006233657
13/06/2006,39.98,-0.008964203
12/06/2006,40.34,-0.007901276
09/06/2006,40.66,-0.005640726
08/06/2006,40.89,-0.004879249
07/06/2006,41.09,-0.025944285
06/06/2006,42.17,-0.006146591
05/06/2006,42.43,-0.020296976
02/06/2006,43.3,0.010213645
01/06/2006,42.86,0.007729281
31/05/2006,42.53,0.008975025
30/05/2006,42.15,-0.009680161
26/05/2006,42.56,0.006127759
25/05/2006,42.3,0.004501844
24/05/2006,42.11,0.002377557
23/05/2006,42.01,-0.008768868
22/05/2006,42.38,-0.010095167
19/05/2006,42.81,-0.004893404
18/05/2006,43.02,-0.016826489
17/05/2006,43.75,-0.021034361
16/05/2006,44.68,0.003362855
15/05/2006,44.53,0.0076646
12/05/2006,44.19,-0.015939276
11/05/2006,44.9,-0.017879298
10/05/2006,45.71,0.001532567
09/05/2006,45.64,0.003731757
08/05/2006,45.47,0.007062488
05/05/2006,45.15,0.008228669
04/05/2006,44.78,0.000223339
03/05/2006,44.77,0.003131994
02/05/2006,44.63,0.00968149
01/05/2006,44.2,0.002265007
28/04/2006,44.1,0.012090942
27/04/2006,43.57,-0.008683784
26/04/2006,43.95,-0.000227505
25/04/2006,43.96,-0.013107532
24/04/2006,44.54,-0.001570387
21/04/2006,44.61,0.005619887
20/04/2006,44.36,0.01521892
19/04/2006,43.69,0.000457875
18/04/2006,43.67,0.01615917
17/04/2006,42.97,-0.007650437
13/04/2006,43.3,0.004397646
12/04/2006,43.11,0.001857442
11/04/2006,43.03,0.001395349
10/04/2006,42.97,0.006303278
07/04/2006,42.7,-0.011641575
06/04/2006,43.2,0.001853569
05/04/2006,43.12,0.004183134
04/04/2006,42.94,0.002565001
03/04/2006,42.83,0.014581632
31/03/2006,42.21,-0.007082183
30/03/2006,42.51,0.000705965
29/03/2006,42.48,0.002120892
28/03/2006,42.39,-0.00400236
27/03/2006,42.56,0.00023499
24/03/2006,42.55,-0.009822343
23/03/2006,42.97,-0.004411943
22/03/2006,43.16,0.00697515
21/03/2006,42.86,0.002569795
20/03/2006,42.75,0.00445435
17/03/2006,42.56,-0.001877935
16/03/2006,42.64,-0.005379501
15/03/2006,42.87,0.022409241
14/03/2006,41.92,0.009828678
13/03/2006,41.51,0.014804299
10/03/2006,40.9,0.014530486
09/03/2006,40.31,-0.006182782
08/03/2006,40.56,-0.00736923
07/03/2006,40.86,0.007615809
06/03/2006,40.55,-0.011036286
03/03/2006,41,-0.000975134
02/03/2006,41.04,0.010532859
01/03/2006,40.61,0.009152816
28/02/2006,40.24,0.004732852
27/02/2006,40.05,-0.00671895
24/02/2006,40.32,-0.006181253
23/02/2006,40.57,-0.007856657
22/02/2006,40.89,-0.018655901
21/02/2006,41.66,0.003607074
17/02/2006,41.51,-0.000240877
16/02/2006,41.52,0.014556298
15/02/2006,40.92,-0.001709193
14/02/2006,40.99,0.020705694
13/02/2006,40.15,-0.013359922
10/02/2006,40.69,0.012115366
09/02/2006,40.2,0.016301301
08/02/2006,39.55,0.009399282
07/02/2006,39.18,0.007686433
06/02/2006,38.88,-0.000514271
03/02/2006,38.9,0.000257102
02/02/2006,38.89,-0.015310327
01/02/2006,39.49,0.008647053
31/01/2006,39.15,-0.004841391
30/01/2006,39.34,-0.012378584
27/01/2006,39.83,0.00050226
26/01/2006,39.81,0.015186321
25/01/2006,39.21,-0.001274373
24/01/2006,39.26,-0.007359505
23/01/2006,39.55,0.000758821
20/01/2006,39.52,-0.009318793
19/01/2006,39.89,0.004019096
18/01/2006,39.73,-0.005522102
17/01/2006,39.95,-0.002999252
13/01/2006,40.07,-0.004233601
12/01/2006,40.24,-0.022119358
11/01/2006,41.14,-0.033698971
10/01/2006,42.55,-0.002816242
09/01/2006,42.67,-0.005841821
06/01/2006,42.92,0.004202668
05/01/2006,42.74,-0.001870033
04/01/2006,42.82,-0.005589209
03/01/2006,43.06,0.013090416
30/12/2005,42.5,-0.012161048
29/12/2005,43.02,-0.005563297
28/12/2005,43.26,0.005563297
27/12/2005,43.02,0.000232477
23/12/2005,43.01,0.002793948
22/12/2005,42.89,0.002100596
21/12/2005,42.8,0.02005967
20/12/2005,41.95,-0.004756252
19/12/2005,42.15,-0.008269391
16/12/2005,42.5,-0.009600823
15/12/2005,42.91,-0.006272526
14/12/2005,43.18,-0.002313209
13/12/2005,43.28,0.009751644
12/12/2005,42.86,0
09/12/2005,42.86,-0.00302854
08/12/2005,42.99,-0.002091322
07/12/2005,43.08,-0.00924221
06/12/2005,43.48,0.008778065
05/12/2005,43.1,-0.001391143
02/12/2005,43.16,-0.003700282
01/12/2005,43.32,0.013245227
30/11/2005,42.75,-0.015781251
29/11/2005,43.43,0.007395458
28/11/2005,43.11,-0.000927429
25/11/2005,43.15,0.007677134
23/11/2005,42.82,-0.007677134
22/11/2005,43.15,0.005577519
21/11/2005,42.91,0.010777986
18/11/2005,42.45,0.004485901
17/11/2005,42.26,0.008793877
16/11/2005,41.89,-0.010921286
15/11/2005,42.35,0.001181335
14/11/2005,42.3,-0.00471699
11/11/2005,42.5,0.005663064
