Date,Close,SO
02/07/2007,34.64,0.010155317
29/06/2007,34.29,0.011438752
28/06/2007,33.9,-0.009979537
27/06/2007,34.24,0.013229651
26/06/2007,33.79,-0.000887443
25/06/2007,33.82,-0.003836511
22/06/2007,33.95,-0.023002907
21/06/2007,34.74,0.005194817
20/06/2007,34.56,-0.024579688
19/06/2007,35.42,0.00736756
18/06/2007,35.16,-0.012717424
15/06/2007,35.61,0.013286415
14/06/2007,35.14,0.006853254
13/06/2007,34.9,0.022017112
12/06/2007,34.14,-0.01626997
11/06/2007,34.7,0.002886005
08/06/2007,34.6,0.008416825
07/06/2007,34.31,-0.028162781
06/06/2007,35.29,-0.000283326
05/06/2007,35.3,-0.013226589
04/06/2007,35.77,-0.002791738
01/06/2007,35.87,-0.003895386
31/05/2007,36.01,0.00111142
30/05/2007,35.97,0.007534569
29/05/2007,35.7,0.00646342
25/05/2007,35.47,-0.011492768
24/05/2007,35.88,-0.02068754
23/05/2007,36.63,-0.014365337
22/05/2007,37.16,-0.004564379
21/05/2007,37.33,0
18/05/2007,37.33,0.002682405
17/05/2007,37.23,-0.006959343
16/05/2007,37.49,0.01099649
15/05/2007,37.08,0.002159828
14/05/2007,37,0.000540687
11/05/2007,36.98,0.003521607
10/05/2007,36.85,-0.019084036
09/05/2007,37.56,-0.003455153
08/05/2007,37.69,-0.002385055
07/05/2007,37.78,0.00450989
04/05/2007,37.61,-0.001062982
03/05/2007,37.65,-0.010830908
02/05/2007,38.06,0.001314579
01/05/2007,38.01,0.005804766
30/04/2007,37.79,-0.010005349
27/04/2007,38.17,-0.008348601
26/04/2007,38.49,-0.004148308
25/04/2007,38.65,0.008835816
24/04/2007,38.31,0.008124799
23/04/2007,38,-0.004725659
20/04/2007,38.18,0.010267301
19/04/2007,37.79,-0.003961447
18/04/2007,37.94,0.005550431
17/04/2007,37.73,0.008250213
16/04/2007,37.42,-0.000801389
13/04/2007,37.45,0.002138466
12/04/2007,37.37,-0.000535045
11/04/2007,37.39,-0.000802032
10/04/2007,37.42,0.002943934
09/04/2007,37.31,0.002952626
05/04/2007,37.2,0.002691792
04/04/2007,37.1,-0.002422938
03/04/2007,37.19,0.002962167
02/04/2007,37.08,0.011664312
30/03/2007,36.65,-0.007069089
29/03/2007,36.91,0.007341977
28/03/2007,36.64,-0.004357305
27/03/2007,36.8,-0.006500565
26/03/2007,37.04,0.005142791
23/03/2007,36.85,0.004623971
22/03/2007,36.68,-0.00217865
21/03/2007,36.76,0.013143672
20/03/2007,36.28,0.012760229
19/03/2007,35.82,0.012077102
16/03/2007,35.39,-0.007880705
15/03/2007,35.67,0.009860624
14/03/2007,35.32,0.00795911
13/03/2007,35.04,-0.011632987
12/03/2007,35.45,0.005657724
09/03/2007,35.25,-0.009318153
08/03/2007,35.58,0.006202444
07/03/2007,35.36,-0.003669729
06/03/2007,35.49,0.012760701
05/03/2007,35.04,-0.010221554
02/03/2007,35.4,-0.014303988
01/03/2007,35.91,0.003067915
28/02/2007,35.8,0.008978736
27/02/2007,35.48,-0.025599617
26/02/2007,36.4,0.005233451
23/02/2007,36.21,-0.00303323
22/02/2007,36.32,-0.00082565
21/02/2007,36.35,-0.006307439
20/02/2007,36.58,0.004383569
16/02/2007,36.42,0.00192387
15/02/2007,36.35,-0.005213347
14/02/2007,36.54,0.000547495
13/02/2007,36.52,0.00714485
12/02/2007,36.26,-0.003578806
09/02/2007,36.39,0.000824742
08/02/2007,36.36,-0.003842991
07/02/2007,36.5,-0.002189382
06/02/2007,36.58,0.004658181
05/02/2007,36.41,0.003025721
02/02/2007,36.3,-0.000826105
01/02/2007,36.33,-0.005489995
31/01/2007,36.53,0.008522388
30/01/2007,36.22,-0.000827929
29/01/2007,36.25,-0.00385463
26/01/2007,36.39,-0.009844214
25/01/2007,36.75,-0.000272072
24/01/2007,36.76,0.001088732
23/01/2007,36.72,0.002181026
22/01/2007,36.64,-0.00245332
19/01/2007,36.73,0.002726283
18/01/2007,36.63,-0.002181621
17/01/2007,36.71,0.006559193
16/01/2007,36.47,0.006050624
12/01/2007,36.25,-0.012882184
11/01/2007,36.72,0.004093334
10/01/2007,36.57,-0.001912308
09/01/2007,36.64,0.002732989
08/01/2007,36.54,0.002740479
05/01/2007,36.44,-0.01525084
04/01/2007,37,0.000540687
03/01/2007,36.98,0.003250274
29/12/2006,36.86,-0.001084599
28/12/2006,36.9,-0.00809721
27/12/2006,37.2,0.002422286
26/12/2006,37.11,0.006217076
22/12/2006,36.88,-0.005138618
21/12/2006,37.07,-0.000539374
20/12/2006,37.09,-0.006717747
19/12/2006,37.34,0.008066728
18/12/2006,37.04,0.001891637
15/12/2006,36.97,-0.009154614
14/12/2006,37.31,0.005105479
13/12/2006,37.12,-0.00026936
12/12/2006,37.13,0.013284728
11/12/2006,36.64,0.004924771
08/12/2006,36.46,0.003021565
07/12/2006,36.35,-0.002198407
06/12/2006,36.43,-0.007656586
05/12/2006,36.71,0.002181621
04/12/2006,36.63,0.007948514
01/12/2006,36.34,0.002479682
30/11/2006,36.25,-0.000275824
29/11/2006,36.26,0.009699397
28/11/2006,35.91,0.006425501
27/11/2006,35.68,-0.012809977
24/11/2006,36.14,0.000553557
22/11/2006,36.12,0
21/11/2006,36.12,-0.000553557
20/11/2006,36.14,-0.001106195
17/11/2006,36.18,0.001382935
16/11/2006,36.13,0.00138485
15/11/2006,36.08,-0.003596629
14/11/2006,36.21,0.004983399
13/11/2006,36.03,-0.00110957
10/11/2006,36.07,0.007234311
09/11/2006,35.81,-0.003345417
08/11/2006,35.93,0.007542989
07/11/2006,35.66,-0.000840925
06/11/2006,35.69,-0.002239016
03/11/2006,35.77,-0.007519879
02/11/2006,36.04,-0.015691994
01/11/2006,36.61,0.005752652
31/10/2006,36.4,0.004957322
30/10/2006,36.22,0.005259528
27/10/2006,36.03,-0.00304836
26/10/2006,36.14,-0.001935039
25/10/2006,36.21,0.009712856
24/10/2006,35.86,-0.000557569
23/10/2006,35.88,0.002790959
20/10/2006,35.78,0.003639931
19/10/2006,35.65,-0.003080803
18/10/2006,35.76,0.016352211
17/10/2006,35.18,0
16/10/2006,35.18,0.00256155
13/10/2006,35.09,0.002568128
12/10/2006,35,0
11/10/2006,35,0.008896601
10/10/2006,34.69,-0.0014403
09/10/2006,34.74,-0.000863185
06/10/2006,34.77,-0.004591113
05/10/2006,34.93,-0.002287676
04/10/2006,35.01,0.001429184
03/10/2006,34.96,0.004299849
02/10/2006,34.81,0.010105471
29/09/2006,34.46,-0.004921127
28/09/2006,34.63,-0.008911946
27/09/2006,34.94,0.010646051
26/09/2006,34.57,-0.003465207
25/09/2006,34.69,0.012181125
22/09/2006,34.27,-0.006978801
21/09/2006,34.51,0.002611346
20/09/2006,34.42,0.003784024
19/09/2006,34.29,0.001459215
18/09/2006,34.24,-0.009591703
15/09/2006,34.57,0.008132487
14/09/2006,34.29,-0.004655231
13/09/2006,34.45,0.007575794
12/09/2006,34.19,0.002049481
11/09/2006,34.12,0.00205369
08/09/2006,34.05,0.004120076
07/09/2006,33.91,0.000294942
06/09/2006,33.9,-0.002651349
05/09/2006,33.99,-0.006743905
01/09/2006,34.22,-0.001460067
31/08/2006,34.27,0.010855322
30/08/2006,33.9,0.002067032
29/08/2006,33.83,-0.004424133
28/08/2006,33.98,0.01303336
25/08/2006,33.54,-0.003868477
24/08/2006,33.67,0.005061794
23/08/2006,33.5,-0.010688938
22/08/2006,33.86,0.003846728
21/08/2006,33.73,0.001186592
18/08/2006,33.69,0.003270406
17/08/2006,33.58,0.002982406
16/08/2006,33.48,-0.008920666
15/08/2006,33.78,0.0062361
14/08/2006,33.57,0.005076911
11/08/2006,33.4,-0.000598623
10/08/2006,33.42,0.002396646
09/08/2006,33.34,-0.003891638
08/08/2006,33.47,0.00870223
07/08/2006,33.18,-0.017033133
04/08/2006,33.75,0.011323125
03/08/2006,33.37,-0.024568351
02/08/2006,34.2,0.001463058
01/08/2006,34.15,0.010893675
31/07/2006,33.78,-0.001479071
28/07/2006,33.83,0.00088718
27/07/2006,33.8,0
26/07/2006,33.8,-0.000591541
25/07/2006,33.82,0.008313587
24/07/2006,33.54,0.000298196
21/07/2006,33.53,0.006282743
20/07/2006,33.32,0.006322466
19/07/2006,33.11,0.013378126
18/07/2006,32.67,0.006140639
17/07/2006,32.47,-0.001538699
14/07/2006,32.52,-0.000614817
13/07/2006,32.54,-0.007348472
12/07/2006,32.78,-0.008505519
11/07/2006,33.06,0.004243717
10/07/2006,32.92,0.009461386
07/07/2006,32.61,0.007695898
06/07/2006,32.36,0
05/07/2006,32.36,0.002165507
03/07/2006,32.29,0.007460401
30/06/2006,32.05,0.001561281
29/06/2006,32,0.006269613
28/06/2006,31.8,0.002203684
27/06/2006,31.73,-0.010346542
26/06/2006,32.06,0.000624025
23/06/2006,32.04,-0.002805051
22/06/2006,32.13,0.00405427
21/06/2006,32,-0.003742986
20/06/2006,32.12,-0.008679534
19/06/2006,32.4,-0.003389312
16/06/2006,32.51,-0.007355228
15/06/2006,32.75,0.015384919
14/06/2006,32.25,-0.00464038
13/06/2006,32.4,-0.011660151
12/06/2006,32.78,0.004586463
09/06/2006,32.63,0.004607595
08/06/2006,32.48,0.003701423
07/06/2006,32.36,-0.000308976
06/06/2006,32.37,0.000308976
05/06/2006,32.36,-0.008002505
02/06/2006,32.62,0.019502243
01/06/2006,31.99,0.000625391
31/05/2006,31.97,0.009428103
30/05/2006,31.67,-0.020934994
26/05/2006,32.34,0.018097218
25/05/2006,31.76,0.008537601
24/05/2006,31.49,0.011819336
23/05/2006,31.12,-0.016887449
22/05/2006,31.65,0.014640618
19/05/2006,31.19,0.01811761
18/05/2006,30.63,0.00458116
17/05/2006,30.49,-0.024300564
16/05/2006,31.24,-0.003195912
15/05/2006,31.34,0.006402071
12/05/2006,31.14,-0.013714136
11/05/2006,31.57,-0.016337153
10/05/2006,32.09,0.010022007
09/05/2006,31.77,-0.004396992
08/05/2006,31.91,-0.003441267
05/05/2006,32.02,0.013520093
04/05/2006,31.59,0.00221835
03/05/2006,31.52,-0.012923742
02/05/2006,31.93,0.005653281
01/05/2006,31.75,-0.01500497
28/04/2006,32.23,0.004976682
27/04/2006,32.07,0.013182865
26/04/2006,31.65,-0.00189394
25/04/2006,31.71,-0.019672766
24/04/2006,32.34,0.0108815
21/04/2006,31.99,-0.000937354
20/04/2006,32.02,0.003441267
19/04/2006,31.91,0.000940586
18/04/2006,31.88,0.008821733
17/04/2006,31.6,0.004758137
13/04/2006,31.45,-0.006970877
12/04/2006,31.67,0.005382315
11/04/2006,31.5,-0.011049836
10/04/2006,31.85,-0.003447739
07/04/2006,31.96,-0.016754968
06/04/2006,32.5,-0.01889724
05/04/2006,33.12,0.013680104
04/04/2006,32.67,0.003679857
03/04/2006,32.55,-0.006736094
31/03/2006,32.77,0.012281395
30/03/2006,32.37,-0.017152028
29/03/2006,32.93,0.007314876
28/03/2006,32.69,-0.009741325
27/03/2006,33.01,-0.001815981
24/03/2006,33.07,-0.004826555
23/03/2006,33.23,-0.004503836
22/03/2006,33.38,-0.001496782
21/03/2006,33.43,-0.003285056
20/03/2006,33.54,-0.007722046
17/03/2006,33.8,-0.00088718
16/03/2006,33.83,0.002960334
15/03/2006,33.73,0.002969123
14/03/2006,33.63,0.010161474
13/03/2006,33.29,0.000600962
10/03/2006,33.27,0.003010237
09/03/2006,33.17,-0.005711725
08/03/2006,33.36,0.000899685
07/03/2006,33.33,0.000900495
06/03/2006,33.3,-0.015494946
03/03/2006,33.82,-0.000591191
02/03/2006,33.84,-0.00765385
01/03/2006,34.1,0.002054896
28/02/2006,34.03,-0.00381288
27/02/2006,34.16,0.000878606
24/02/2006,34.13,0.003522164
23/02/2006,34.01,-0.002935997
22/02/2006,34.11,0.004407235
21/02/2006,33.96,0.002948985
17/02/2006,33.86,0.001773574
16/02/2006,33.8,0.010708014
15/02/2006,33.44,-0.003880023
14/02/2006,33.57,0.000297929
13/02/2006,33.56,0.003881181
10/02/2006,33.43,0.001496782
09/02/2006,33.38,0.003000302
08/02/2006,33.28,-0.001801261
07/02/2006,33.34,-0.003293909
06/02/2006,33.45,0.000897263
03/02/2006,33.42,-0.009825894
02/02/2006,33.75,-0.02775927
01/02/2006,34.7,-0.0028777
31/01/2006,34.8,-0.008298803
30/01/2006,35.09,-0.005116555
27/01/2006,35.27,0.003977278
26/01/2006,35.13,-0.006242926
25/01/2006,35.35,-0.00648529
24/01/2006,35.58,0.00988569
23/01/2006,35.23,0.005122379
20/01/2006,35.05,-0.016412366
19/01/2006,35.63,0.013278907
18/01/2006,35.16,0.002277905
17/01/2006,35.08,0.004571437
13/01/2006,34.92,0.002580647
