Date,Close,F
24/10/2007,8.59,-0.006960585
23/10/2007,8.65,0.036496105
22/10/2007,8.34,-0.003590668
19/10/2007,8.37,-0.04554202
18/10/2007,8.76,0.008022966
17/10/2007,8.69,-0.010303468
16/10/2007,8.78,-0.023636441
15/10/2007,8.99,-0.023090636
12/10/2007,9.2,0.049007579
11/10/2007,8.76,0.06240989
10/10/2007,8.23,-0.01087624
09/10/2007,8.32,0.015748357
08/10/2007,8.19,-0.021739987
05/10/2007,8.37,0.013229297
04/10/2007,8.26,-0.020372184
03/10/2007,8.43,-0.016470961
02/10/2007,8.57,0.040481718
01/10/2007,8.23,-0.031102986
28/09/2007,8.49,-0.016355505
27/09/2007,8.63,-0.028557052
26/09/2007,8.88,0.062738341
25/09/2007,8.34,-0.016647233
24/09/2007,8.48,0.029924435
21/09/2007,8.23,-0.002427186
20/09/2007,8.25,-0.018018506
19/09/2007,8.4,-0.002378122
18/09/2007,8.42,0.01676686
17/09/2007,8.28,0.03065844
14/09/2007,8.03,0.013793322
13/09/2007,7.92,0.054488185
12/09/2007,7.5,-0.010610179
11/09/2007,7.58,0.007947062
10/09/2007,7.52,0
07/09/2007,7.52,-0.0339902
06/09/2007,7.78,0.001286174
05/09/2007,7.77,-0.027920595
04/09/2007,7.99,0.022785796
31/08/2007,7.81,0.018088348
30/08/2007,7.67,-0.006497749
29/08/2007,7.72,0.027578898
28/08/2007,7.51,-0.037888268
27/08/2007,7.8,-0.012739026
24/08/2007,7.9,0.019169916
23/08/2007,7.75,-0.012820688
22/08/2007,7.85,-0.008877674
21/08/2007,7.92,-0.010050336
20/08/2007,8,0.021479032
17/08/2007,7.83,0.016742181
16/08/2007,7.7,-0.038221213
15/08/2007,8,-0.008711941
14/08/2007,8.07,-0.036500402
13/08/2007,8.37,0.01686787
10/08/2007,8.23,-0.0180619
09/08/2007,8.38,-0.056826882
08/08/2007,8.87,0.066419282
07/08/2007,8.3,0.013341617
06/08/2007,8.19,0.016000341
03/08/2007,8.06,-0.041318149
02/08/2007,8.4,-0.003565066
01/08/2007,8.43,-0.009445171
31/07/2007,8.51,-0.026668247
30/07/2007,8.74,0.060124175
27/07/2007,8.23,0.017157284
26/07/2007,8.09,0.014944238
25/07/2007,7.97,-0.035740095
24/07/2007,8.26,-0.023924586
23/07/2007,8.46,0.007117468
20/07/2007,8.4,-0.027012799
19/07/2007,8.63,0
18/07/2007,8.63,-0.011520865
17/07/2007,8.73,-0.014781395
16/07/2007,8.86,-0.012338911
13/07/2007,8.97,0.001115449
12/07/2007,8.96,0.00671895
11/07/2007,8.9,-0.021123631
10/07/2007,9.09,0.001100716
09/07/2007,9.08,-0.003298519
06/07/2007,9.11,-0.004381168
05/07/2007,9.15,-0.029081209
03/07/2007,9.42,-0.02308602
02/07/2007,9.64,0.02308602
29/06/2007,9.42,-0.007403524
28/06/2007,9.49,0.022377066
27/06/2007,9.28,0.03509132
26/06/2007,8.96,-0.00778214
25/06/2007,9.03,-0.011013327
22/06/2007,9.13,0.024391453
21/06/2007,8.91,0.005627477
20/06/2007,8.86,0.023987444
19/06/2007,8.65,-0.022858138
18/06/2007,8.85,-0.007878488
15/06/2007,8.92,0.029581224
14/06/2007,8.66,0.011614532
13/06/2007,8.56,0.028437935
12/06/2007,8.32,-0.009569451
11/06/2007,8.4,0.019231362
08/06/2007,8.24,0.022086787
07/06/2007,8.06,-0.024511031
06/06/2007,8.26,-0.006035021
05/06/2007,8.31,0.0048251
04/06/2007,8.27,-0.00962703
01/06/2007,8.35,0.001198322
31/05/2007,8.34,-0.019002947
30/05/2007,8.5,0.011834458
29/05/2007,8.4,-0.005934736
25/05/2007,8.45,-0.004722559
24/05/2007,8.49,-0.031306905
23/05/2007,8.76,0.009174376
22/05/2007,8.68,-0.011454879
21/05/2007,8.78,0.010303468
18/05/2007,8.69,-0.008022966
17/05/2007,8.76,0
16/05/2007,8.76,-0.016978337
15/05/2007,8.91,0.022702451
14/05/2007,8.71,0.039817906
11/05/2007,8.37,0.015653541
10/05/2007,8.24,-0.013261195
09/05/2007,8.35,-0.002392346
08/05/2007,8.37,0.025409716
07/05/2007,8.16,-0.00732604
04/05/2007,8.22,0.003656311
03/05/2007,8.19,0.002444989
02/05/2007,8.17,0.014796817
01/05/2007,8.05,0.001243008
30/04/2007,8.04,-0.001243008
27/04/2007,8.05,-0.018462063
26/04/2007,8.2,0.03980625
25/04/2007,7.88,0.007643349
24/04/2007,7.82,-0.001277955
