Date,Close,MET
25/01/2005,40.52,0.00569238
24/01/2005,40.29,0.000248231
21/01/2005,40.28,-0.001736327
20/01/2005,40.35,-0.021332181
19/01/2005,41.22,0.004620069
18/01/2005,41.03,0.023675582
14/01/2005,40.07,0.003500004
13/01/2005,39.93,-0.003749536
12/01/2005,40.08,0.011543416
11/01/2005,39.62,-0.019248188
10/01/2005,40.39,0.016979184
07/01/2005,39.71,-0.010022635
06/01/2005,40.11,0.011534732
05/01/2005,39.65,-0.006535971
04/01/2005,39.91,-0.006244556
03/01/2005,40.16,-0.008677382
31/12/2004,40.51,-0.004187714
30/12/2004,40.68,-0.003435586
29/12/2004,40.82,-0.004643782
28/12/2004,41.01,0.01473866
27/12/2004,40.41,-0.004444452
23/12/2004,40.59,-0.000984979
