Date,Close,PG
12/06/2006,54.31,-0.002574477
09/06/2006,54.45,-0.005311854
08/06/2006,54.74,0.02778471
07/06/2006,53.24,-0.002438797
06/06/2006,53.37,0.003566405
05/06/2006,53.18,-0.014375306
02/06/2006,53.95,-0.00977597
01/06/2006,54.48,0.004230669
31/05/2006,54.25,-0.002393447
30/05/2006,54.38,-0.013697593
26/05/2006,55.13,-0.002355287
25/05/2006,55.26,0.007994229
24/05/2006,54.82,0.006037892
23/05/2006,54.49,0.003861364
22/05/2006,54.28,0.002397862
19/05/2006,54.15,-0.013573209
18/05/2006,54.89,-0.007984074
17/05/2006,55.33,-0.012750465
16/05/2006,56.04,0.008422234
15/05/2006,55.57,0.0101285
12/05/2006,55.01,-0.011567091
11/05/2006,55.65,-0.012322685
10/05/2006,56.34,-0.002835876
09/05/2006,56.5,0.002835876
08/05/2006,56.34,0.010886161
05/05/2006,55.73,-0.002329959
04/05/2006,55.86,-0.006424005
03/05/2006,56.22,-0.033065201
02/05/2006,58.11,0.003965864
01/05/2006,57.88,-0.00568526
28/04/2006,58.21,-0.002916204
27/04/2006,58.38,0.006357956
26/04/2006,58.01,0.012838483
25/04/2006,57.27,0.011767941
24/04/2006,56.6,0.004604223
21/04/2006,56.34,0.001420959
20/04/2006,56.26,0.003382893
19/04/2006,56.07,-0.00160385
18/04/2006,56.16,0.002317498
17/04/2006,56.03,-0.010121724
13/04/2006,56.6,0.00318528
12/04/2006,56.42,-0.001239926
11/04/2006,56.49,-0.011615759
10/04/2006,57.15,-0.002272132
07/04/2006,57.28,-0.003833425
06/04/2006,57.5,-0.002084782
05/04/2006,57.62,-0.006573281
04/04/2006,58,0.002071109
03/04/2006,57.88,0.004328636
31/03/2006,57.63,0
30/03/2006,57.63,-0.001906909
29/03/2006,57.74,0.003643623
28/03/2006,57.53,-0.013124001
27/03/2006,58.29,-0.007690374
24/03/2006,58.74,0.001533351
23/03/2006,58.65,-0.014220656
22/03/2006,59.49,0.007762442
21/03/2006,59.03,-0.002537858
20/03/2006,59.18,0.001352723
17/03/2006,59.1,-0.004894938
16/03/2006,59.39,-0.008550643
15/03/2006,59.9,-0.00183471
14/03/2006,60.01,-0.032300537
13/03/2006,61.98,-0.004346783
10/03/2006,62.25,0.0137487
09/03/2006,61.4,0.005389088
08/03/2006,61.07,0.012688644
07/03/2006,60.3,0.010502722
06/03/2006,59.67,0
03/03/2006,59.67,0.002013086
02/03/2006,59.55,-0.009359921
01/03/2006,60.11,0.002999003
28/02/2006,59.93,-0.023417957
27/02/2006,61.35,-0.002442004
24/02/2006,61.5,0.000325256
23/02/2006,61.48,-0.007454256
22/02/2006,61.94,0.017261461
21/02/2006,60.88,-0.001969151
17/02/2006,61,0.004436054
16/02/2006,60.73,0.010261593
15/02/2006,60.11,0.004501883
14/02/2006,59.84,0.006706933
13/02/2006,59.44,-0.00436462
10/02/2006,59.7,0.001340932
09/02/2006,59.62,0.002519105
08/02/2006,59.47,0.002525466
07/02/2006,59.32,-0.007891906
06/02/2006,59.79,0.001841467
03/02/2006,59.68,0.000502807
02/02/2006,59.65,-0.002845905
01/02/2006,59.82,0.009911883
31/01/2006,59.23,0.001520656
30/01/2006,59.14,-0.010094298
27/01/2006,59.74,0.01551988
26/01/2006,58.82,0.005968131
25/01/2006,58.47,0.010314687
24/01/2006,57.87,0.003982344
23/01/2006,57.64,-0.003463807
20/01/2006,57.84,-0.011517102
19/01/2006,58.51,-0.002730843
18/01/2006,58.67,0.000340948
17/01/2006,58.65,-0.004253516
13/01/2006,58.9,0.008353983
12/01/2006,58.41,-0.011066768
11/01/2006,59.06,0.003562043
10/01/2006,58.85,-0.003900624
09/01/2006,59.08,0.0074754
06/01/2006,58.64,-0.001022669
05/01/2006,58.7,-0.00323157
04/01/2006,58.89,0.001869636
03/01/2006,58.78,0.015429759
30/12/2005,57.88,-0.009286395
29/12/2005,58.42,-0.002051984
28/12/2005,58.54,-0.001024415
27/12/2005,58.6,-0.004766778
23/12/2005,58.88,0.001699813
22/12/2005,58.78,0.004433085
21/12/2005,58.52,0.005311415
20/12/2005,58.21,-0.005823929
19/12/2005,58.55,0.007543324
16/12/2005,58.11,-0.015030172
15/12/2005,58.99,-0.01062315
14/12/2005,59.62,0.018793408
13/12/2005,58.51,0.027726607
12/12/2005,56.91,-0.007352974
09/12/2005,57.33,0.005597356
08/12/2005,57.01,-0.000526085
07/12/2005,57.04,-0.006465728
06/12/2005,57.41,-0.000348311
05/12/2005,57.43,0.001219619
02/12/2005,57.36,-0.004869575
01/12/2005,57.64,0.007837713
30/11/2005,57.19,-0.008531435
29/11/2005,57.68,0.00993126
28/11/2005,57.11,-0.00297229
25/11/2005,57.28,0.004724832
23/11/2005,57.01,-0.002277706
22/11/2005,57.14,-0.008712374
21/11/2005,57.64,0.003301767
18/11/2005,57.45,0.005235614
17/11/2005,57.15,0.009670405
16/11/2005,56.6,0.010657294
15/11/2005,56,0.001429593
14/11/2005,55.92,-0.008015004
11/11/2005,56.37,0
10/11/2005,56.37,0.006585411
09/11/2005,56,0.005192027
08/11/2005,55.71,0.00233624
07/11/2005,55.58,-0.006098674
04/11/2005,55.92,-0.000715052
03/11/2005,55.96,0.005555072
02/11/2005,55.65,0.007213737
01/11/2005,55.25,-0.013304763
31/10/2005,55.99,0.001251005
28/10/2005,55.92,0.016225342
27/10/2005,55.02,0.000545405
26/10/2005,54.99,-0.010851978
25/10/2005,55.59,0.008853613
24/10/2005,55.1,0.005277057
21/10/2005,54.81,-0.006546668
20/10/2005,55.17,-0.009022075
19/10/2005,55.67,0.005764743
18/10/2005,55.35,-0.007738723
17/10/2005,55.78,-0.005898668
14/10/2005,56.11,-0.001602707
13/10/2005,56.2,0.003029495
12/10/2005,56.03,0.000357015
11/10/2005,56.01,0.003039788
10/10/2005,55.84,-0.003575263
07/10/2005,56.04,-0.003206844
06/10/2005,56.22,-0.015706667
05/10/2005,57.11,-0.016842138
04/10/2005,58.08,-0.020956555
03/10/2005,59.31,-0.002525892
30/09/2005,59.46,0.022449922
29/09/2005,58.14,0.01211297
28/09/2005,57.44,0.005936808
27/09/2005,57.1,0.008971826
26/09/2005,56.59,-0.002647138
23/09/2005,56.74,0.000881601
22/09/2005,56.69,0.014033448
21/09/2005,55.9,-0.002501341
20/09/2005,56.04,0.008602204
19/09/2005,55.56,-0.006994917
16/09/2005,55.95,0.008075414
15/09/2005,55.5,0.008686265
14/09/2005,55.02,-0.009406726
13/09/2005,55.54,-0.01819854
12/09/2005,56.56,-0.00599332
09/09/2005,56.9,0.01326866
08/09/2005,56.15,-0.001957122
07/09/2005,56.26,-0.005495006
06/09/2005,56.57,0.010305706
02/09/2005,55.99,0.004116337
01/09/2005,55.76,0.005034171
31/08/2005,55.48,0.001443002
30/08/2005,55.4,-0.004322773
29/08/2005,55.64,0.012296719
26/08/2005,54.96,-0.000727537
25/08/2005,55,0.006933069
24/08/2005,54.62,-0.014179478
23/08/2005,55.4,0.004341541
22/08/2005,55.16,0.011303676
19/08/2005,54.54,0.006622541
18/08/2005,54.18,0.014126629
17/08/2005,53.42,-0.002990656
16/08/2005,53.58,-0.011135973
15/08/2005,54.18,0.01169604
12/08/2005,53.55,-0.002052048
11/08/2005,53.66,-0.000931359
10/08/2005,53.71,-0.004273114
09/08/2005,53.94,-0.005730675
08/08/2005,54.25,0.002768807
05/08/2005,54.1,-0.001293064
04/08/2005,54.17,-0.015205936
03/08/2005,55,-0.006524126
02/08/2005,55.36,0.000722805
01/08/2005,55.32,-0.005588117
29/07/2005,55.63,-0.003409604
28/07/2005,55.82,0.008094297
27/07/2005,55.37,0.004706743
26/07/2005,55.11,0.003089507
25/07/2005,54.94,-0.00090967
22/07/2005,54.99,-0.002542682
21/07/2005,55.13,0.001997277
20/07/2005,55.02,0.002547772
19/07/2005,54.88,0.004748867
18/07/2005,54.62,0.002199414
15/07/2005,54.5,-0.004576667
14/07/2005,54.75,0.003109853
13/07/2005,54.58,0.011795198
12/07/2005,53.94,0.00074184
11/07/2005,53.9,0.017593566
08/07/2005,52.96,0.015220994
07/07/2005,52.16,-0.006497252
06/07/2005,52.5,-0.004750603
05/07/2005,52.75,-0.002839567
01/07/2005,52.9,0.002839567
30/06/2005,52.75,-0.013556977
29/06/2005,53.47,0.002621724
28/06/2005,53.33,0.012452991
27/06/2005,52.67,-0.002843873
24/06/2005,52.82,-0.015777938
23/06/2005,53.66,-0.014431333
22/06/2005,54.44,0.002022617
21/06/2005,54.33,0.001473568
20/06/2005,54.25,-0.003128741
17/06/2005,54.42,0.003128741
16/06/2005,54.25,-0.002761161
15/06/2005,54.4,0.00018384
14/06/2005,54.39,0.001471941
13/06/2005,54.31,-0.008068997
10/06/2005,54.75,-0.008185585
09/06/2005,55.2,-0.001990771
08/06/2005,55.31,-0.00252799
07/06/2005,55.45,0.00252799
06/06/2005,55.31,0.000723458
03/06/2005,55.27,-0.012585567
02/06/2005,55.97,-0.002676422
01/06/2005,56.12,0.01743551
31/05/2005,55.15,-0.011000021
27/05/2005,55.76,-0.000896298
26/05/2005,55.81,0.001434463
25/05/2005,55.73,-0.004833089
24/05/2005,56,-0.008534902
23/05/2005,56.48,0
20/05/2005,56.48,-0.002475686
19/05/2005,56.62,0.003893121
18/05/2005,56.4,0.013746534
17/05/2005,55.63,0.008847218
16/05/2005,55.14,0.007098037
13/05/2005,54.75,-0.012523986
12/05/2005,55.44,-0.000721241
11/05/2005,55.48,0.010873612
10/05/2005,54.88,-0.001820499
09/05/2005,54.98,0.004192114
06/05/2005,54.75,-0.000547795
05/05/2005,54.78,-0.006550242
04/05/2005,55.14,0.004362057
03/05/2005,54.9,0.001823155
02/05/2005,54.8,0.011932221
29/04/2005,54.15,0.002959129
28/04/2005,53.99,0.0085566
27/04/2005,53.53,0.002993454
26/04/2005,53.37,-0.008582142
25/04/2005,53.83,-0.001113999
22/04/2005,53.89,-0.005551458
21/04/2005,54.19,0.014872927
20/04/2005,53.39,-0.017453098
19/04/2005,54.33,-0.004957322
18/04/2005,54.6,-0.003656311
15/04/2005,54.8,-0.003642991
14/04/2005,55,-0.003810911
13/04/2005,55.21,-0.00559922
12/04/2005,55.52,0.003247342
11/04/2005,55.34,0.015295273
08/04/2005,54.5,-0.010404402
07/04/2005,55.07,0.020362072
06/04/2005,53.96,-0.000741015
05/04/2005,54,0.001853569
04/04/2005,53.9,0.024224262
01/04/2005,52.61,-0.007385698
31/03/2005,53,-0.006769488
30/03/2005,53.36,0.028513621
29/03/2005,51.86,-0.012455848
28/03/2005,52.51,-0.001712492
24/03/2005,52.6,-0.004363091
23/03/2005,52.83,0.014874416
22/03/2005,52.05,-0.013169386
21/03/2005,52.74,-0.012436565
18/03/2005,53.4,0.012246974
17/03/2005,52.75,-0.001136794
16/03/2005,52.81,-0.002080773
15/03/2005,52.92,-0.006216465
14/03/2005,53.25,0.013994177
11/03/2005,52.51,-0.014369693
10/03/2005,53.27,0.005081407
09/03/2005,53,-0.006582064
08/03/2005,53.35,-0.006539024
07/03/2005,53.7,-0.002789402
04/03/2005,53.85,0.006894651
03/03/2005,53.48,-0.002054731
02/03/2005,53.59,0.001493931
01/03/2005,53.51,0.007879966
28/02/2005,53.09,-0.020507803
25/02/2005,54.19,0.006665457
24/02/2005,53.83,0.006336212
23/02/2005,53.49,0.02345483
22/02/2005,52.25,-0.023641763
18/02/2005,53.5,0.003182629
17/02/2005,53.33,0.000375094
16/02/2005,53.31,-0.003183821
15/02/2005,53.48,0.014692297
14/02/2005,52.7,0.010491274
11/02/2005,52.15,0.010214987
10/02/2005,51.62,0.002133231
09/02/2005,51.51,-0.009083066
08/02/2005,51.98,-0.010525406
07/02/2005,52.53,-0.001711841
04/02/2005,52.62,-0.011713718
03/02/2005,53.24,-0.003000752
02/02/2005,53.4,0.009974676
01/02/2005,52.87,-0.006786077
31/01/2005,53.23,-0.017135826
28/01/2005,54.15,-0.021376533
27/01/2005,55.32,-0.002166848
26/01/2005,55.44,-0.005217247
25/01/2005,55.73,0.009374505
24/01/2005,55.21,-0.007937981
21/01/2005,55.65,-0.018692133
20/01/2005,56.7,0.000352796
19/01/2005,56.68,0.012248311
18/01/2005,55.99,0.001966569
14/01/2005,55.88,0.006283119
13/01/2005,55.53,-0.017494198
12/01/2005,56.51,0.003723078
11/01/2005,56.3,-0.001065152
10/01/2005,56.36,0.007837589
07/01/2005,55.92,0.010426124
06/01/2005,55.34,0.004890871
05/01/2005,55.07,0.010404402
04/01/2005,54.5,-0.012581076
03/01/2005,55.19,0.001995104
31/12/2004,55.08,-0.00669504
30/12/2004,55.45,0.003794385
29/12/2004,55.24,-0.003614026
28/12/2004,55.44,0.000721761
27/12/2004,55.4,-0.003423735
23/12/2004,55.59,-0.005918769
22/12/2004,55.92,-0.002678812
21/12/2004,56.07,0.008597581
