Date,Close,L
17/04/2012,39.92,0.016926007
16/04/2012,39.25,0.008700157
13/04/2012,38.91,-0.013275661
12/04/2012,39.43,0.016364466
11/04/2012,38.79,0.010365472
10/04/2012,38.39,-0.015764637
09/04/2012,39,-0.014509609
05/04/2012,39.57,-0.00353179
04/04/2012,39.71,-0.008775285
03/04/2012,40.06,-0.007708605
02/04/2012,40.37,0.012462773
30/03/2012,39.87,0.010083272
29/03/2012,39.47,-0.004045518
28/03/2012,39.63,-0.00151286
27/03/2012,39.69,-0.004274048
26/03/2012,39.86,0.016951703
23/03/2012,39.19,0.010001366
22/03/2012,38.8,-0.013821566
21/03/2012,39.34,-0.009109375
20/03/2012,39.7,0.000503905
19/03/2012,39.68,0.005053068
16/03/2012,39.48,-0.002024292
15/03/2012,39.56,0.013744172
14/03/2012,39.02,-0.007150184
13/03/2012,39.3,0.018749747
12/03/2012,38.57,-0.002072003
09/03/2012,38.65,0.008574822
08/03/2012,38.32,0.002874692
07/03/2012,38.21,0.001309415
06/03/2012,38.16,-0.01792023
05/03/2012,38.85,-0.000514668
02/03/2012,38.87,-0.009219015
01/03/2012,39.23,0.002296798
29/02/2012,39.14,-0.005351013
28/02/2012,39.35,0.002035106
27/02/2012,39.27,0.003315907
24/02/2012,39.14,-0.000766186
23/02/2012,39.17,0.011813183
22/02/2012,38.71,-0.000516529
21/02/2012,38.73,0.011164597
17/02/2012,38.3,0.006023326
16/02/2012,38.07,0.012688513
15/02/2012,37.59,-0.0147877
14/02/2012,38.15,-0.0070524
13/02/2012,38.42,0.008363875
10/02/2012,38.1,-0.002621233
09/02/2012,38.2,-0.007562952
08/02/2012,38.49,0.003383217
07/02/2012,38.36,-0.000521241
06/02/2012,38.38,-0.00597482
03/02/2012,38.61,0.015925151
02/02/2012,38,0.00395518
01/02/2012,37.85,0.014369593
31/01/2012,37.31,-0.000267989
30/01/2012,37.32,-0.008272229
27/01/2012,37.63,-0.008467899
26/01/2012,37.95,-0.006042314
25/01/2012,38.18,-0.006786766
24/01/2012,38.44,-0.012923416
23/01/2012,38.94,0.00980653
20/01/2012,38.56,0.000778311
19/01/2012,38.53,0.003900668
18/01/2012,38.38,0.009161169
17/01/2012,38.03,-0.005245226
13/01/2012,38.23,-0.007557039
12/01/2012,38.52,0.004683849
11/01/2012,38.34,-0.003644888
10/01/2012,38.48,0.016771882
09/01/2012,37.84,0.003176286
06/01/2012,37.72,-0.008710627
05/01/2012,38.05,0.001314925
04/01/2012,38,-0.012292557
03/01/2012,38.47,0.021545763
30/12/2011,37.65,-0.007145723
29/12/2011,37.92,0.009805299
28/12/2011,37.55,-0.014540904
27/12/2011,38.1,-0.003144657
23/12/2011,38.22,0.007880261
22/12/2011,37.92,0.004758137
21/12/2011,37.74,0.007446843
20/12/2011,37.46,0.025139856
19/12/2011,36.53,-0.011702406
16/12/2011,36.96,-0.006203661
15/12/2011,37.19,-0.002685286
14/12/2011,37.29,-0.002678095
13/12/2011,37.39,-0.009847052
12/12/2011,37.76,-0.021483666
09/12/2011,38.58,0.019631569
08/12/2011,37.83,-0.034297984
