Date,Close,DOV
29/01/2013,69.65,0.030762685
28/01/2013,67.54,0.01131638
25/01/2013,66.78,-0.004184107
24/01/2013,67.06,-0.016270141
23/01/2013,68.16,-0.001173021
22/01/2013,68.24,0.003082119
18/01/2013,68.03,-0.003082119
17/01/2013,68.24,0.019981424
16/01/2013,66.89,0.004194763
15/01/2013,66.61,0.000150139
14/01/2013,66.6,-0.007032273
11/01/2013,67.07,-0.005056525
10/01/2013,67.41,0.002673798
09/01/2013,67.23,0.007315103
08/01/2013,66.74,-0.001796408
07/01/2013,66.86,-0.006559356
04/01/2013,67.3,0.002529199
03/01/2013,67.13,-0.001637271
02/01/2013,67.24,0.023017188
31/12/2012,65.71,0.014254207
28/12/2012,64.78,-0.005541886
27/12/2012,65.14,0.002305388
26/12/2012,64.99,0.001848145
24/12/2012,64.87,0.005100081
21/12/2012,64.54,-0.002476015
20/12/2012,64.7,-0.003394541
19/12/2012,64.92,-0.006448664
18/12/2012,65.34,0.016822682
17/12/2012,64.25,0.006245141
14/12/2012,63.85,-0.003751763
13/12/2012,64.09,-0.001247466
12/12/2012,64.17,0.004372957
11/12/2012,63.89,0.001566416
10/12/2012,63.79,0.000941029
07/12/2012,63.73,0.004718474
06/12/2012,63.43,-0.00110297
05/12/2012,63.5,0.001733786
04/12/2012,63.39,0.005219466
03/12/2012,63.06,-0.008369571
30/11/2012,63.59,-0.006583096
29/11/2012,64.01,0.011311982
28/11/2012,63.29,0.009525394
27/11/2012,62.69,-0.015668596
26/11/2012,63.68,-0.003135782
23/11/2012,63.88,0.011968647
21/11/2012,63.12,0
20/11/2012,63.12,0.002220461
19/11/2012,62.98,0.022642477
16/11/2012,61.57,0.014231041
15/11/2012,60.7,0.001648805
14/11/2012,60.6,-0.002472189
13/11/2012,60.75,0.005281412
12/11/2012,60.43,-0.000496319
09/11/2012,60.46,0.014158644
08/11/2012,59.61,-0.009184334
07/11/2012,60.16,-0.02446555
06/11/2012,61.65,0.013554547
05/11/2012,60.82,0.037525341
02/11/2012,58.58,-0.016422954
01/11/2012,59.55,0.022587357
31/10/2012,58.22,0.007759329
26/10/2012,57.77,-0.007243909
25/10/2012,58.19,0.011580805
24/10/2012,57.52,0.00627836
23/10/2012,57.16,-0.008188912
22/10/2012,57.63,-0.007778105
19/10/2012,58.08,0.002413378
18/10/2012,57.94,0.033877746
17/10/2012,56.01,-0.020673941
16/10/2012,57.18,0.018890137
15/10/2012,56.11,0.013998793
12/10/2012,55.33,0.001446917
11/10/2012,55.25,0.000543134
10/10/2012,55.22,-0.020966631
09/10/2012,56.39,-0.027633798
08/10/2012,57.97,-0.014726294
05/10/2012,58.83,-0.006438518
04/10/2012,59.21,0.013945804
03/10/2012,58.39,-0.00136916
02/10/2012,58.47,-0.018302494
01/10/2012,59.55,0.001008065
28/09/2012,59.49,-0.003523789
27/09/2012,59.7,0.014000397
26/09/2012,58.87,-0.004237654
25/09/2012,59.12,-0.016773288
24/09/2012,60.12,-0.015186822
21/09/2012,61.04,0.00016384
20/09/2012,61.03,0.007400741
19/09/2012,60.58,-0.000330087
18/09/2012,60.6,0.003305788
17/09/2012,60.4,-0.020321906
14/09/2012,61.64,0.030472588
13/09/2012,59.79,0.018228353
12/09/2012,58.71,-0.005096851
11/09/2012,59.01,0.003565066
10/09/2012,58.8,0.000170082
07/09/2012,58.79,0.018714599
06/09/2012,57.7,0.012907906
05/09/2012,56.96,-0.014985469
04/09/2012,57.82,0.000172965
31/08/2012,57.81,0.007988928
30/08/2012,57.35,-0.003481292
29/08/2012,57.55,-0.003642359
28/08/2012,57.76,0
27/08/2012,57.76,-0.001211178
24/08/2012,57.83,0.001038062
23/08/2012,57.77,0.004510764
22/08/2012,57.51,0.000695773
21/08/2012,57.47,-0.005725703
20/08/2012,57.8,-0.00878483
17/08/2012,58.31,0.002060087
16/08/2012,58.19,0.020136074
15/08/2012,57.03,0.000701631
14/08/2012,56.99,-0.000175454
13/08/2012,57,-0.006295928
10/08/2012,57.36,0.011044025
09/08/2012,56.73,0.003531701
08/08/2012,56.53,0.00941978
07/08/2012,56,0.017109828
06/08/2012,55.05,0.00894085
03/08/2012,54.56,0.018311804
02/08/2012,53.57,-0.007068482
01/08/2012,53.95,-0.0095924
31/07/2012,54.47,0.002573531
30/07/2012,54.33,0.003133932
27/07/2012,54.16,0.039353661
26/07/2012,52.07,0.021940498
25/07/2012,50.94,-0.001177163
24/07/2012,51,-0.02383141
23/07/2012,52.23,-0.022528165
20/07/2012,53.42,-0.010243129
19/07/2012,53.97,0.027043902
18/07/2012,52.53,0.018250435
17/07/2012,51.58,0.007394468
16/07/2012,51.2,-0.027736755
13/07/2012,52.64,0.026760669
12/07/2012,51.25,0.003714206
11/07/2012,51.06,-0.014195669
10/07/2012,51.79,-0.011327759
09/07/2012,52.38,-0.00114482
06/07/2012,52.44,-0.029869789
05/07/2012,54.03,-0.003694813
03/07/2012,54.23,0.019551875
02/07/2012,53.18,-0.008053232
29/06/2012,53.61,0.03879551
28/06/2012,51.57,-0.005221944
27/06/2012,51.84,-0.000385728
26/06/2012,51.86,-0.008830927
25/06/2012,52.32,-0.023610503
22/06/2012,53.57,-0.015742523
21/06/2012,54.42,-0.030582316
20/06/2012,56.11,-0.000356379
19/06/2012,56.13,0.008229027
18/06/2012,55.67,0.006487678
15/06/2012,55.31,0.005620539
14/06/2012,55,-0.005258875
13/06/2012,55.29,-0.017924839
12/06/2012,56.29,0.010895883
11/06/2012,55.68,-0.017800399
08/06/2012,56.68,0.004420483
07/06/2012,56.43,0.01230291
06/06/2012,55.74,0.023231535
05/06/2012,54.46,0.016104004
04/06/2012,53.59,-0.020135528
01/06/2012,54.68,-0.03380401
31/05/2012,56.56,-0.018741244
30/05/2012,57.63,-0.015837825
29/05/2012,58.55,0.013238395
25/05/2012,57.78,-0.008101397
24/05/2012,58.25,0.008101397
23/05/2012,57.78,0.017282441
22/05/2012,56.79,-0.006843933
21/05/2012,57.18,0.037599084
18/05/2012,55.07,-0.000181571
17/05/2012,55.08,-0.032508667
16/05/2012,56.9,-0.006132301
15/05/2012,57.25,-0.018860322
14/05/2012,58.34,-0.00785389
11/05/2012,58.8,-0.001869001
10/05/2012,58.91,0.010580303
09/05/2012,58.29,-0.007349832
08/05/2012,58.72,-0.004926537
07/05/2012,59.01,-0.017137516
04/05/2012,60.03,-0.020609088
03/05/2012,61.28,-0.014419043
02/05/2012,62.17,-0.008807808
01/05/2012,62.72,0.000957091
30/04/2012,62.66,-0.01331662
27/04/2012,63.5,0.018917979
26/04/2012,62.31,0.012922163
25/04/2012,61.51,0.010459321
24/04/2012,60.87,0.009242515
23/04/2012,60.31,0.003155363
20/04/2012,60.12,0.004000005
19/04/2012,59.88,-0.019186827
18/04/2012,61.04,-0.022516542
17/04/2012,62.43,0.023172065
16/04/2012,61,0.001312336
13/04/2012,60.92,0.000985384
12/04/2012,60.86,0.011734702
11/04/2012,60.15,0.003664228
