Date,Close,FITB
24/05/2013,18.25,0.008253142
23/05/2013,18.1,0.00554018
22/05/2013,18,-0.016529302
21/05/2013,18.3,-0.004905979
20/05/2013,18.39,0.007641959
17/05/2013,18.25,0.012682828
16/05/2013,18.02,-0.003324103
15/05/2013,18.08,0.009447139
14/05/2013,17.91,0.011794576
13/05/2013,17.7,-0.000564812
10/05/2013,17.71,0.00793655
09/05/2013,17.57,-0.002841718
08/05/2013,17.62,0.006262474
07/05/2013,17.51,0.012065645
06/05/2013,17.3,0.011628038
03/05/2013,17.1,0.014134511
02/05/2013,16.86,0.006545694
01/05/2013,16.75,-0.016578236
30/04/2013,17.03,0.011813486
29/04/2013,16.83,0.004167913
26/04/2013,16.76,-0.004167913
25/04/2013,16.83,0.006557401
24/04/2013,16.72,0.015065063
23/04/2013,16.47,0.013447635
22/04/2013,16.25,-0.009188426
19/04/2013,16.4,0.029705154
18/04/2013,15.92,0.00756624
17/04/2013,15.8,-0.02191011
16/04/2013,16.15,0.004343786
15/04/2013,16.08,-0.025177873
12/04/2013,16.49,-0.022189816
11/04/2013,16.86,0.013735659
10/04/2013,16.63,0.0145369
09/04/2013,16.39,0.010426344
08/04/2013,16.22,0.012407107
05/04/2013,16.02,0.004379112
04/04/2013,15.95,-0.002504698
03/04/2013,15.99,-0.010575526
02/04/2013,16.16,0.00123839
01/04/2013,16.14,-0.010477754
28/03/2013,16.31,-0.003671975
27/03/2013,16.37,-0.002440514
26/03/2013,16.41,0.003663008
25/03/2013,16.35,0.003676475
22/03/2013,16.29,-0.004898969
21/03/2013,16.37,-0.009121377
20/03/2013,16.52,0.00060551
19/03/2013,16.51,0.001818733
18/03/2013,16.48,-0.007857399
15/03/2013,16.61,0.014554532
14/03/2013,16.37,-0.001221001
13/03/2013,16.39,0.008578484
12/03/2013,16.25,-0.006134989
11/03/2013,16.35,0.000611808
08/03/2013,16.34,0.006754708
07/03/2013,16.23,0.012399415
06/03/2013,16.03,0.000624025
05/03/2013,16.02,0
04/03/2013,16.02,0.011931068
01/03/2013,15.83,-0.000631512
28/02/2013,15.84,0.007604599
27/02/2013,15.72,0.010230268
26/02/2013,15.56,0.001929882
25/02/2013,15.53,-0.017236303
22/02/2013,15.8,0.012739026
21/02/2013,15.6,-0.01463596
20/02/2013,15.83,-0.008178718
19/02/2013,15.96,-0.005623258
15/02/2013,16.05,-0.004972043
14/02/2013,16.13,0.001240695
13/02/2013,16.11,-0.027549952
