Date,Close,AEE
11/09/2012,32.5,-0.001537279
10/09/2012,32.55,-0.017359961
07/09/2012,33.12,-0.001809955
06/09/2012,33.18,0.004531045
05/09/2012,33.03,0.009429728
04/09/2012,32.72,0
31/08/2012,32.72,-0.00852105
30/08/2012,33,0
29/08/2012,33,-0.003629768
28/08/2012,33.12,-0.001809955
27/08/2012,33.18,-0.000602591
24/08/2012,33.2,0.001205546
23/08/2012,33.16,-0.009603915
22/08/2012,33.48,-0.000597193
21/08/2012,33.5,-0.005358751
20/08/2012,33.68,0.002973538
17/08/2012,33.58,-0.007121692
16/08/2012,33.82,-0.015258512
15/08/2012,34.34,-0.00898687
14/08/2012,34.65,-0.001730104
13/08/2012,34.71,0.000288143
10/08/2012,34.7,0.00781141
09/08/2012,34.43,-0.00058072
08/08/2012,34.45,0.000871207
07/08/2012,34.42,-0.005215891
06/08/2012,34.6,0.007542827
03/08/2012,34.34,0.019703622
02/08/2012,33.67,-0.007692346
01/08/2012,33.93,-0.00821842
31/07/2012,34.21,-0.013645153
30/07/2012,34.68,0.007525361
27/07/2012,34.42,0.016994256
26/07/2012,33.84,0.014285957
25/07/2012,33.36,0.000899685
24/07/2012,33.33,-0.005087547
23/07/2012,33.5,-0.009802544
20/07/2012,33.83,0.002663906
19/07/2012,33.74,0
18/07/2012,33.74,-0.001776725
17/07/2012,33.8,0.005042277
16/07/2012,33.63,-0.001188707
13/07/2012,33.67,0.013154151
12/07/2012,33.23,-0.000300888
11/07/2012,33.24,0.000902935
10/07/2012,33.21,0.002411819
09/07/2012,33.13,-0.008715307
06/07/2012,33.42,0.00750867
05/07/2012,33.17,-0.012284799
03/07/2012,33.58,-0.000297752
02/07/2012,33.59,0.001489647
29/06/2012,33.54,-0.000596125
28/06/2012,33.56,0.006577004
27/06/2012,33.34,0.007526755
26/06/2012,33.09,0.009107531
25/06/2012,32.79,-0.006989848
22/06/2012,33.02,-0.000908128
21/06/2012,33.05,-0.01471719
20/06/2012,33.54,-0.0032743
19/06/2012,33.65,-0.007401958
18/06/2012,33.9,0.008591373
15/06/2012,33.61,0.011370559
14/06/2012,33.23,0.009980425
13/06/2012,32.9,-0.000607718
12/06/2012,32.92,-0.005754976
11/06/2012,33.11,-0.004219416
08/06/2012,33.25,0.004219416
07/06/2012,33.11,0.009102005
06/06/2012,32.81,0.015666117
05/06/2012,32.3,0.0062112
04/06/2012,32.1,0.001870908
01/06/2012,32.04,-0.008391658
31/05/2012,32.31,0.008079596
30/05/2012,32.05,-0.01240326
29/05/2012,32.45,0.012091296
25/05/2012,32.06,0.000624025
24/05/2012,32.04,0.002500001
23/05/2012,31.96,-0.013055827
22/05/2012,32.38,0.006195807
21/05/2012,32.18,0.007799135
18/05/2012,31.93,-0.004375007
17/05/2012,32.07,-0.009002078
16/05/2012,32.36,0.004335714
15/05/2012,32.22,-0.011724911
14/05/2012,32.6,0.003072199
11/05/2012,32.5,-0.010407195
10/05/2012,32.84,0.009484544
09/05/2012,32.53,0.004004318
08/05/2012,32.4,0.006502577
07/05/2012,32.19,-0.005576223
04/05/2012,32.37,-0.001851852
03/05/2012,32.43,-0.0079853
02/05/2012,32.69,-0.009438341
01/05/2012,33,0.006383971
30/04/2012,32.79,0.000915332
27/04/2012,32.76,0.006738157
26/04/2012,32.54,0.007712517
25/04/2012,32.29,0.011211578
24/04/2012,31.93,0.015783156
23/04/2012,31.43,-0.007922716
20/04/2012,31.68,0.012387009
19/04/2012,31.29,-0.006371477
18/04/2012,31.49,-0.011681269
17/04/2012,31.86,0.006929162
16/04/2012,31.64,0.005387432
13/04/2012,31.47,-0.002855785
12/04/2012,31.56,0.002855785
11/04/2012,31.47,0.00254534
10/04/2012,31.39,-0.016743402
09/04/2012,31.92,-0.005311683
05/04/2012,32.09,-0.007141779
04/04/2012,32.32,-0.002780784
03/04/2012,32.41,-0.002773072
02/04/2012,32.5,-0.002458514
30/03/2012,32.58,0.013597243
29/03/2012,32.14,0.004678006
28/03/2012,31.99,-0.014893232
27/03/2012,32.47,0.008971445
26/03/2012,32.18,0.012822693
23/03/2012,31.77,0
22/03/2012,31.77,0.001575052
21/03/2012,31.72,0.003473871
20/03/2012,31.61,0.011774201
19/03/2012,31.24,-0.007017573
16/03/2012,31.46,-0.005705245
15/03/2012,31.64,0.000316106
14/03/2012,31.63,-0.017860415
13/03/2012,32.2,0.000310607
12/03/2012,32.19,0.008423073
09/03/2012,31.92,0.000313332
08/03/2012,31.91,0.000940586
07/03/2012,31.88,-0.0040695
06/03/2012,32.01,-0.007159564
05/03/2012,32.24,0.008409955
02/03/2012,31.97,-0.005303397
01/03/2012,32.14,0.002180347
29/02/2012,32.07,0.004375007
28/02/2012,31.93,-0.001251956
27/02/2012,31.97,-0.008409955
24/02/2012,32.24,0.003729029
23/02/2012,32.12,0.008755528
22/02/2012,31.84,0.003460755
21/02/2012,31.73,-0.005343404
17/02/2012,31.9,0.008816178
16/02/2012,31.62,0.016903608
15/02/2012,31.09,-0.003211307
14/02/2012,31.19,-0.000320564
13/02/2012,31.2,-0.003519441
10/02/2012,31.31,-0.007319046
09/02/2012,31.54,-0.003481567
08/02/2012,31.65,-0.003154577
07/02/2012,31.75,0.006636144
06/02/2012,31.54,-0.007265867
03/02/2012,31.77,0.005998439
02/02/2012,31.58,-0.003792672
01/02/2012,31.7,0.001894538
31/01/2012,31.64,0.005387432
30/01/2012,31.47,-0.004438815
27/01/2012,31.61,-0.009759246
26/01/2012,31.92,0
25/01/2012,31.92,0.020893448
24/01/2012,31.26,-0.018069916
23/01/2012,31.83,0.005987098
20/01/2012,31.64,0.002531647
19/01/2012,31.56,-0.017277012
18/01/2012,32.11,-0.00837344
17/01/2012,32.38,0.001545357
13/01/2012,32.33,-0.000309262
12/01/2012,32.34,-0.000309167
11/01/2012,32.35,0.001856436
10/01/2012,32.29,0.006524802
09/01/2012,32.08,-0.000311672
06/01/2012,32.09,-0.019747633
05/01/2012,32.73,-0.000610874
04/01/2012,32.75,-0.000305297
03/01/2012,32.76,-0.011230957
30/12/2011,33.13,-0.013789187
29/12/2011,33.59,0.015904311
28/12/2011,33.06,-0.00512899
27/12/2011,33.23,0.012110351
23/12/2011,32.83,0.00335622
22/12/2011,32.72,0.003674223
21/12/2011,32.6,0.015767833
20/12/2011,32.09,0.01887442
19/12/2011,31.49,-0.006962053
16/12/2011,31.71,-0.008791265
15/12/2011,31.99,0.010053493
14/12/2011,31.67,-0.015975281
13/12/2011,32.18,0.009052661
12/12/2011,31.89,-0.013703111
09/12/2011,32.33,0.017787955
08/12/2011,31.76,-0.011271253
07/12/2011,32.12,-0.005897891
06/12/2011,32.31,0.015596074
05/12/2011,31.81,-0.02053588
02/12/2011,32.47,-0.037181251
01/12/2011,33.7,-0.003258779
30/11/2011,33.81,0.039516527
29/11/2011,32.5,0.020830848
28/11/2011,31.83,0.010104286
25/11/2011,31.51,0.004134208
23/11/2011,31.38,-0.012981028
22/11/2011,31.79,-0.004707368
21/11/2011,31.94,-0.010898442
18/11/2011,32.29,0.009646877
17/11/2011,31.98,-0.006855745
16/11/2011,32.2,-0.013572078
15/11/2011,32.64,0.005838087
14/11/2011,32.45,-0.016504042
11/11/2011,32.99,0.010665955
10/11/2011,32.64,-0.00732604
09/11/2011,32.88,-0.013893307
08/11/2011,33.34,0.014806132
07/11/2011,32.85,0.01719416
04/11/2011,32.29,0.010585404
03/11/2011,31.95,0.008486614
02/11/2011,31.68,0.025576842
01/11/2011,30.88,-0.031870129
31/10/2011,31.88,-0.010298109
28/10/2011,32.21,-0.001861043
27/10/2011,32.27,0.028285984
26/10/2011,31.37,-0.003818013
25/10/2011,31.49,-0.013249405
24/10/2011,31.91,0.004711804
21/10/2011,31.76,0.028746789
20/10/2011,30.86,0.007480926
19/10/2011,30.63,-0.004560268
18/10/2011,30.77,0.010125842
17/10/2011,30.46,-0.007848307
14/10/2011,30.7,0.025401333
13/10/2011,29.93,0.005360147
12/10/2011,29.77,0.000672043
11/10/2011,29.75,-0.009034694
10/10/2011,30.02,0.025984253
07/10/2011,29.25,-0.000683527
06/10/2011,29.27,0.015146589
05/10/2011,28.83,0.00661217
04/10/2011,28.64,-0.012836256
03/10/2011,29.01,-0.025860577
30/09/2011,29.77,-0.016655948
29/09/2011,30.27,0.006296624
28/09/2011,30.08,-0.009265453
27/09/2011,30.36,-0.000658545
26/09/2011,30.38,0.004949688
23/09/2011,30.23,0.016341868
22/09/2011,29.74,-0.022936023
21/09/2011,30.43,-0.01597426
20/09/2011,30.92,0.015645691
19/09/2011,30.44,0.000657246
16/09/2011,30.42,0.013902905
15/09/2011,30,0.015452105
14/09/2011,29.54,0.002711866
13/09/2011,29.46,0.008864702
12/09/2011,29.2,0.00928959
09/09/2011,28.93,-0.020188881
08/09/2011,29.52,0.004413519
07/09/2011,29.39,0.014048544
06/09/2011,28.98,-0.019477807
02/09/2011,29.55,-0.009766031
01/09/2011,29.84,-0.013976933
31/08/2011,30.26,0.014982801
30/08/2011,29.81,-0.004351471
29/08/2011,29.94,0.02502667
26/08/2011,29.2,-0.001710864
25/08/2011,29.25,-0.008171649
24/08/2011,29.49,0.020901909
23/08/2011,28.88,0.024182009
22/08/2011,28.19,-0.00742184
19/08/2011,28.4,-0.003514942
18/08/2011,28.5,-0.015320634
17/08/2011,28.94,0.013567785
16/08/2011,28.55,0.007029906
15/08/2011,28.35,0.034084017
12/08/2011,27.4,-0.013413288
11/08/2011,27.77,0.049078286
10/08/2011,26.44,-0.027603394
09/08/2011,27.18,0.045539383
08/08/2011,25.97,-0.061598122
05/08/2011,27.62,0.023073721
04/08/2011,26.99,-0.056190509
03/08/2011,28.55,0.007735622
02/08/2011,28.33,-0.022339498
01/08/2011,28.97,0.005191221
29/07/2011,28.82,-0.018222956
28/07/2011,29.35,-0.014208629
27/07/2011,29.77,0
26/07/2011,29.77,-0.005025978
25/07/2011,29.92,0.019234607
22/07/2011,29.35,-0.003740865
21/07/2011,29.46,0.02335271
20/07/2011,28.78,0.003132071
19/07/2011,28.69,0.011568928
18/07/2011,28.36,-0.015742847
15/07/2011,28.81,0
14/07/2011,28.81,-0.002772965
13/07/2011,28.89,0.000692521
12/07/2011,28.87,0.011146058
11/07/2011,28.55,-0.017017254
08/07/2011,29.04,-0.003780723
07/07/2011,29.15,0.004814315
06/07/2011,29.01,-0.001033592
05/07/2011,29.04,-0.005836926
01/07/2011,29.21,0.012747804
30/06/2011,28.84,0.005214682
29/06/2011,28.69,0.004191414
28/06/2011,28.57,0.001751621
27/06/2011,28.52,0.009158218
24/06/2011,28.26,0.008885788
23/06/2011,28.01,-0.016991559
22/06/2011,28.49,-0.013249845
21/06/2011,28.87,0.002774889
20/06/2011,28.79,0.013991134
17/06/2011,28.39,0.009911586
16/06/2011,28.11,0.00178031
15/06/2011,28.06,-0.013803086
14/06/2011,28.45,-0.000351432
13/06/2011,28.46,0.003519891
10/06/2011,28.36,-0.005275201
09/06/2011,28.51,-0.005945113
08/06/2011,28.68,-0.002437752
07/06/2011,28.75,0.003484324
06/06/2011,28.65,-0.014553271
03/06/2011,29.07,-0.007539446
02/06/2011,29.29,0.002050582
01/06/2011,29.23,-0.01628811
31/05/2011,29.71,0.000673401
27/05/2011,29.69,0.00236048
26/05/2011,29.62,0.003043113
25/05/2011,29.53,0.002033899
24/05/2011,29.47,0.000339386
23/05/2011,29.46,-0.018830415
20/05/2011,30.02,0.010380137
19/05/2011,29.71,0.004385232
18/05/2011,29.58,-0.008080852
17/05/2011,29.82,-0.003013563
16/05/2011,29.91,0.007382584
13/05/2011,29.69,-0.004033619
12/05/2011,29.81,0.009098631
11/05/2011,29.54,-0.008763116
10/05/2011,29.8,0.019654987
09/05/2011,29.22,0.004458934
06/05/2011,29.09,0.007245158
05/05/2011,28.88,-0.011361802
04/05/2011,29.21,-0.01191098
03/05/2011,29.56,0.000676819
02/05/2011,29.54,0.007816522
29/04/2011,29.31,0.001707359
28/04/2011,29.26,0.011687998
27/04/2011,28.92,0.001037883
26/04/2011,28.89,0.007993092
25/04/2011,28.66,-0.003135345
21/04/2011,28.75,0.002437752
20/04/2011,28.68,0.014045175
19/04/2011,28.28,-0.004234304
18/04/2011,28.4,-0.015027366
15/04/2011,28.83,0.020323054
14/04/2011,28.25,0.004968073
13/04/2011,28.11,-0.00355114
12/04/2011,28.21,0.003195458
11/04/2011,28.12,-0.012369834
08/04/2011,28.47,-0.010134632
07/04/2011,28.76,-0.000347645
06/04/2011,28.77,0.012944032
05/04/2011,28.4,0.000704473
04/04/2011,28.38,0.00742709
01/04/2011,28.17,0.003556192
31/03/2011,28.07,-0.006392067
30/03/2011,28.25,0.014619622
29/03/2011,27.84,0.011924261
28/03/2011,27.51,-0.00217865
25/03/2011,27.57,0.000362779
24/03/2011,27.56,0.007283353
23/03/2011,27.36,0.00549754
22/03/2011,27.21,-0.010965022
21/03/2011,27.51,0.015384919
18/03/2011,27.09,0.00481037
17/03/2011,26.96,0.006325602
16/03/2011,26.79,-0.004469281
15/03/2011,26.91,-0.01402237
14/03/2011,27.29,-0.015994525
11/03/2011,27.73,0.001804729
10/03/2011,27.68,-0.026382992
09/03/2011,28.42,0.014888612
08/03/2011,28,0.020931836
07/03/2011,27.42,-0.016995528
04/03/2011,27.89,-0.006076873
03/03/2011,28.06,0.015804927
02/03/2011,27.62,0.003990573
01/03/2011,27.51,-0.016225342
28/02/2011,27.96,0.015861904
25/02/2011,27.52,0.013904359
24/02/2011,27.14,-0.000368392
23/02/2011,27.15,-0.018971747
22/02/2011,27.67,-0.043146721
18/02/2011,28.89,0.004509982
17/02/2011,28.76,-0.004509982
16/02/2011,28.89,0.003814813
15/02/2011,28.78,0.005225582
14/02/2011,28.63,-0.003834762
11/02/2011,28.74,0.002089865
10/02/2011,28.68,0.002443709
09/02/2011,28.61,-0.002094973
08/02/2011,28.67,0.001396161
07/02/2011,28.63,0.014069877
04/02/2011,28.23,-0.00811435
03/02/2011,28.46,-0.000351309
02/02/2011,28.47,-0.007697729
01/02/2011,28.69,0.011216381
31/01/2011,28.37,-0.001056896
28/01/2011,28.4,-0.024692613
27/01/2011,29.11,0.009318445
26/01/2011,28.84,-0.006221935
25/01/2011,29.02,0
24/01/2011,29.02,0.013530128
21/01/2011,28.63,-0.00626743
20/01/2011,28.81,0.011169401
19/01/2011,28.49,0.003516178
18/01/2011,28.39,0.007069665
14/01/2011,28.19,0.001775253
13/01/2011,28.14,-0.009901071
12/01/2011,28.42,0.003524854
11/01/2011,28.32,0.0120783
10/01/2011,27.98,-0.011018416
07/01/2011,28.29,0
06/01/2011,28.29,-0.00388076
05/01/2011,28.4,-0.002110447
04/01/2011,28.46,0.007406135
03/01/2011,28.25,0.002126152
31/12/2010,28.19,0.004265915
30/12/2010,28.07,-0.003911116
29/12/2010,28.18,-0.010238395
28/12/2010,28.47,0.002461756
27/12/2010,28.4,0.00388076
23/12/2010,28.29,-0.000353419
22/12/2010,28.3,0.006025182
21/12/2010,28.13,-0.00390279
20/12/2010,28.24,-0.005649733
17/12/2010,28.4,0.001762115
16/12/2010,28.35,-0.000705219
15/12/2010,28.37,-0.016084263
14/12/2010,28.83,0.009759576
13/12/2010,28.55,0.001402033
10/12/2010,28.51,0.007039804
09/12/2010,28.31,-0.000706215
08/12/2010,28.33,-0.002819882
07/12/2010,28.41,-0.009110084
06/12/2010,28.67,-0.019344299
03/12/2010,29.23,0.000342173
02/12/2010,29.22,0.001027221
01/12/2010,29.19,0.016232441
30/11/2010,28.72,-0.001044023
29/11/2010,28.75,-0.005549789
26/11/2010,28.91,-0.004486634
24/11/2010,29.04,0
23/11/2010,29.04,-0.009936693
22/11/2010,29.33,0.00512734
19/11/2010,29.18,-0.008531019
18/11/2010,29.43,0.006818983
17/11/2010,29.23,-0.002391937
16/11/2010,29.3,-0.00984895
15/11/2010,29.59,0.010190306
12/11/2010,29.29,0.000341472
11/11/2010,29.28,-0.003409482
10/11/2010,29.38,-0.005431106
09/11/2010,29.54,0
08/11/2010,29.54,-0.009769321
05/11/2010,29.83,0.003694379
04/11/2010,29.72,0.02314603
03/11/2010,29.04,-0.008913326
02/11/2010,29.3,0.015477523
01/11/2010,28.85,-0.004495944
29/10/2010,28.98,0.013199219
