Date,Close,XYL
23/07/2013,28.71,-0.0055575
22/07/2013,28.87,0.002774889
19/07/2013,28.79,-0.004851014
18/07/2013,28.93,0.010424
17/07/2013,28.63,0.001747947
16/07/2013,28.58,-0.016655486
15/07/2013,29.06,-0.000687995
12/07/2013,29.08,0.001720875
11/07/2013,29.03,0.002068966
10/07/2013,28.97,0.0149542
09/07/2013,28.54,0.013404081
08/07/2013,28.16,0.006412562
05/07/2013,27.98,0.01258783
03/07/2013,27.63,0.004716134
02/07/2013,27.5,-0.005439723
01/07/2013,27.65,0.026013557
28/06/2013,26.94,0.011573771
27/06/2013,26.63,0.020869663
26/06/2013,26.08,0.005768138
25/06/2013,25.93,0.006189575
24/06/2013,25.77,-0.01272429
21/06/2013,26.1,-0.011807412
20/06/2013,26.41,-0.031310795
19/06/2013,27.25,-0.014933805
18/06/2013,27.66,0.014200129
17/06/2013,27.27,0.005515734
14/06/2013,27.12,-0.005515734
13/06/2013,27.27,0.009580029
12/06/2013,27.01,-0.007377385
11/06/2013,27.21,-0.010601452
10/06/2013,27.5,-0.001816531
07/06/2013,27.55,0.009115833
06/06/2013,27.3,0.003669729
05/06/2013,27.2,-0.023974995
04/06/2013,27.86,-0.013901489
03/06/2013,28.25,0.003901406
31/05/2013,28.14,-0.014464884
30/05/2013,28.55,0.017668304
29/05/2013,28.05,-0.000356443
28/05/2013,28.06,0.007512108
24/05/2013,27.85,-0.007155666
23/05/2013,28.05,-0.016266271
22/05/2013,28.51,-0.00664222
21/05/2013,28.7,-0.006252191
20/05/2013,28.88,-0.001729805
17/05/2013,28.93,0.010074777
16/05/2013,28.64,0.001397624
15/05/2013,28.6,0.010191619
14/05/2013,28.31,0.027575606
13/05/2013,27.54,-0.009396527
10/05/2013,27.8,-0.002873565
09/05/2013,27.88,-0.008215799
08/05/2013,28.11,0.015415254
07/05/2013,27.68,0.00980222
06/05/2013,27.41,0.001825818
03/05/2013,27.36,-0.00291971
02/05/2013,27.44,-0.002184202
01/05/2013,27.5,-0.009049836
30/04/2013,27.75,-0.017857617
29/04/2013,28.25,0.019300099
26/04/2013,27.71,-0.005398609
25/04/2013,27.86,0.006120631
24/04/2013,27.69,0.010893354
23/04/2013,27.39,0.020284671
22/04/2013,26.84,-0.005573115
19/04/2013,26.99,-0.001850824
18/04/2013,27.04,-0.008836582
17/04/2013,27.28,-0.013833493
16/04/2013,27.66,0.008714652
15/04/2013,27.42,-0.042134044
12/04/2013,28.6,-0.009049836
11/04/2013,28.86,0.005907923
10/04/2013,28.69,0.025773713
09/04/2013,27.96,0.003941951
08/04/2013,27.85,0.009017194
05/04/2013,27.6,-0.004338402
04/04/2013,27.72,0.021882711
03/04/2013,27.12,-0.003680534
02/04/2013,27.22,-0.001101524
01/04/2013,27.25,-0.011311925
28/03/2013,27.56,0.009845111
27/03/2013,27.29,-0.014551002
26/03/2013,27.69,-0.001443522
25/03/2013,27.73,-0.025281745
22/03/2013,28.44,-0.004210533
21/03/2013,28.56,0.001752235
20/03/2013,28.51,0.002458298
19/03/2013,28.44,-0.011884097
18/03/2013,28.78,-0.006234866
15/03/2013,28.96,0.008670073
14/03/2013,28.71,0.008394593
13/03/2013,28.47,-0.002105264
12/03/2013,28.53,-0.008029368
11/03/2013,28.76,0.011540607
08/03/2013,28.43,0.00105578
07/03/2013,28.4,-0.032562628
06/03/2013,29.34,0.030803612
05/03/2013,28.45,0.034325858
04/03/2013,27.49,0
01/03/2013,27.49,-0.000363702
28/02/2013,27.5,0.001091505
27/02/2013,27.47,0.017257634
26/02/2013,27,-0.000740467
25/02/2013,27.02,-0.028098911
22/02/2013,27.79,0.003966113
21/02/2013,27.68,-0.010064787
20/02/2013,27.96,-0.028210615
19/02/2013,28.76,0.016830692
15/02/2013,28.28,-0.00669606
14/02/2013,28.47,0.007403524
13/02/2013,28.26,0.011030178
12/02/2013,27.95,0.017686799
11/02/2013,27.46,0.013565744
08/02/2013,27.09,0.006666691
07/02/2013,26.91,-0.034335002
06/02/2013,27.85,0.002876665
05/02/2013,27.77,0.007953766
04/02/2013,27.55,-0.016559054
01/02/2013,28.01,0.002860209
31/01/2013,27.93,-0.000357974
30/01/2013,27.94,-0.001073153
29/01/2013,27.97,0.001789229
28/01/2013,27.92,0.007910865
25/01/2013,27.7,-0.010057556
24/01/2013,27.98,0.00286328
23/01/2013,27.9,0.007916558
22/01/2013,27.68,0.006160556
18/01/2013,27.51,0.003276901
17/01/2013,27.42,0.017289377
16/01/2013,26.95,-0.006656829
15/01/2013,27.13,-0.002944426
14/01/2013,27.21,0.001103144
11/01/2013,27.18,-0.010977059
10/01/2013,27.48,0.013924739
09/01/2013,27.1,0.015619507
08/01/2013,26.68,-0.012292947
07/01/2013,27.01,-0.013240355
04/01/2013,27.37,-0.001460387
03/01/2013,27.41,-0.003278094
02/01/2013,27.5,0.014652277
31/12/2012,27.1,0.025033999
28/12/2012,26.43,-0.015766092
27/12/2012,26.85,0.002610481
26/12/2012,26.78,-0.003355082
24/12/2012,26.87,0.004102187
21/12/2012,26.76,-0.002985077
20/12/2012,26.84,-0.026834913
19/12/2012,27.57,0.013511252
18/12/2012,27.2,0.024187226
17/12/2012,26.55,-0.007878488
14/12/2012,26.76,0.002619272
13/12/2012,26.69,-0.00373972
12/12/2012,26.79,0.005990284
11/12/2012,26.63,0.005648669
10/12/2012,26.48,0.003783584
07/12/2012,26.38,0.011054048
06/12/2012,26.09,0.003455561
05/12/2012,26,0.011605546
04/12/2012,25.7,-0.002720033
03/12/2012,25.77,-0.012341074
30/11/2012,26.09,-0.00153198
29/11/2012,26.13,0.007297901
28/11/2012,25.94,0.012022639
