Date,Close,TYC
08/02/2013,30.76,0.010457612
07/02/2013,30.44,0
06/02/2013,30.44,-0.005242476
05/02/2013,30.6,0.01946935
04/02/2013,30.01,-0.007965525
01/02/2013,30.25,0.000661376
31/01/2013,30.23,0.002318266
30/01/2013,30.16,-0.011537956
29/01/2013,30.51,-0.006208156
28/01/2013,30.7,-0.017116517
25/01/2013,31.23,0.009329326
24/01/2013,30.94,-0.005157974
23/01/2013,31.1,-0.004811557
22/01/2013,31.25,-0.003832646
18/01/2013,31.37,0.000956785
17/01/2013,31.34,0.025857937
16/01/2013,30.54,0.000327493
15/01/2013,30.53,0.007562094
14/01/2013,30.3,0.001651528
11/01/2013,30.25,-0.004617422
10/01/2013,30.39,-0.005251079
09/01/2013,30.55,0.025863511
08/01/2013,29.77,-0.001678134
07/01/2013,29.82,0.001342282
04/01/2013,29.78,-0.001342282
03/01/2013,29.82,-0.024839827
02/01/2013,30.57,0.044139562
31/12/2012,29.25,0.023522357
28/12/2012,28.57,-0.01183034
27/12/2012,28.91,-0.004142222
26/12/2012,29.03,-0.007549796
24/12/2012,29.25,-0.004434597
21/12/2012,29.38,-0.003397897
20/12/2012,29.48,0.008174432
19/12/2012,29.24,-0.002049881
18/12/2012,29.3,0.007536863
17/12/2012,29.08,0.018393717
14/12/2012,28.55,-0.001749782
13/12/2012,28.6,-0.004883163
12/12/2012,28.74,0.011900735
11/12/2012,28.4,-0.008065974
10/12/2012,28.63,-0.001047303
07/12/2012,28.66,0.002095705
06/12/2012,28.6,-0.001397624
05/12/2012,28.64,0.017256988
04/12/2012,28.15,0.008920666
03/12/2012,27.9,-0.01670556
30/11/2012,28.37,-0.003518652
29/11/2012,28.47,0.005989097
28/11/2012,28.3,0.027222311
27/11/2012,27.54,-0.0047093
26/11/2012,27.67,0.000361468
23/11/2012,27.66,0.016402773
21/11/2012,27.21,0.002575898
20/11/2012,27.14,0.005171788
19/11/2012,27,0.008555008
16/11/2012,26.77,0.010137125
15/11/2012,26.5,-0.004142352
14/11/2012,26.61,-0.026697915
13/11/2012,27.33,-0.00292291
12/11/2012,27.41,-0.005457536
09/11/2012,27.56,-0.001450327
08/11/2012,27.6,-0.006140529
07/11/2012,27.77,-0.027700635
06/11/2012,28.55,0.0280608
05/11/2012,27.76,-0.001799533
02/11/2012,27.81,0.00576994
01/11/2012,27.65,0.028615305
31/10/2012,26.87,0
26/10/2012,26.87,0.003355082
25/10/2012,26.78,0.009756175
24/10/2012,26.52,-0.011248713
23/10/2012,26.82,-0.021395136
22/10/2012,27.4,-0.006547859
19/10/2012,27.58,-0.009382963
18/10/2012,27.84,0
17/10/2012,27.84,0.002517534
16/10/2012,27.77,0.013778318
15/10/2012,27.39,0.011382535
12/10/2012,27.08,-0.013934952
11/10/2012,27.46,-0.023394985
10/10/2012,28.11,0.001423995
09/10/2012,28.07,-0.003556192
08/10/2012,28.17,-0.001418943
05/10/2012,28.21,-0.017220598
04/10/2012,28.7,0.001045843
03/10/2012,28.67,-0.010754657
02/10/2012,28.98,0.01670185
01/10/2012,28.5,-0.680079716
28/09/2012,56.26,0.003739654
27/09/2012,56.05,0.024929037
26/09/2012,54.67,-0.002557546
25/09/2012,54.81,-0.023975912
24/09/2012,56.14,0.001961309
21/09/2012,56.03,0.012752755
20/09/2012,55.32,0.002896454
19/09/2012,55.16,0.013873899
18/09/2012,54.4,-0.009149195
17/09/2012,54.9,-0.00617398
14/09/2012,55.24,-0.007394749
13/09/2012,55.65,-0.010012599
12/09/2012,56.21,0.009294079
11/09/2012,55.69,0.001617396
10/09/2012,55.6,-0.018355679
07/09/2012,56.63,-0.002292972
06/09/2012,56.76,0.02172837
05/09/2012,55.54,-0.009675761
04/09/2012,56.08,-0.005335243
31/08/2012,56.38,0.00569194
30/08/2012,56.06,-0.001247883
29/08/2012,56.13,-0.005153277
28/08/2012,56.42,-0.006360445
27/08/2012,56.78,0.005474627
24/08/2012,56.47,0.001595038
23/08/2012,56.38,-0.006541171
22/08/2012,56.75,-0.004921789
21/08/2012,57.03,-0.003326042
20/08/2012,57.22,-0.001571641
17/08/2012,57.31,-0.010932864
16/08/2012,57.94,0.022516005
15/08/2012,56.65,0.001943635
14/08/2012,56.54,-0.003354819
13/08/2012,56.73,-0.00246479
10/08/2012,56.87,0.005289152
09/08/2012,56.57,0.001415178
08/08/2012,56.49,-0.00670433
07/08/2012,56.87,0.013097532
06/08/2012,56.13,-0.001602137
03/08/2012,56.22,0.022121215
02/08/2012,54.99,0.003461157
01/08/2012,54.8,-0.002551487
31/07/2012,54.94,0.02134003
30/07/2012,53.78,-0.00334138
27/07/2012,53.96,0.028573372
26/07/2012,52.44,0.014792317
25/07/2012,51.67,0.009528512
24/07/2012,51.18,-0.008754068
23/07/2012,51.63,-0.017091151
20/07/2012,52.52,-0.009097864
19/07/2012,53,-0.000377287
18/07/2012,53.02,0.012717264
17/07/2012,52.35,0.004211339
16/07/2012,52.13,0.005771467
13/07/2012,51.83,0.016535733
12/07/2012,50.98,-0.014797778
11/07/2012,51.74,-0.007317575
10/07/2012,52.12,-0.022950272
09/07/2012,53.33,0.012452991
06/07/2012,52.67,-0.024567574
05/07/2012,53.98,-0.006646996
03/07/2012,54.34,0.018949109
02/07/2012,53.32,0.008853783
29/06/2012,52.85,0.027625006
28/06/2012,51.41,-0.007364374
27/06/2012,51.79,0.024431978
26/06/2012,50.54,-0.005328084
25/06/2012,50.81,-0.028520703
22/06/2012,52.28,0.00325702
21/06/2012,52.11,-0.025576842
20/06/2012,53.46,-0.010605737
19/06/2012,54.03,0.00780383
18/06/2012,53.61,-0.004838119
15/06/2012,53.87,0.016093162
14/06/2012,53.01,0.020198857
13/06/2012,51.95,-0.020953148
12/06/2012,53.05,0.006998988
11/06/2012,52.68,-0.015258844
08/06/2012,53.49,0.002995696
07/06/2012,53.33,0.003757284
06/06/2012,53.13,0.024965565
05/06/2012,51.82,0.002898833
04/06/2012,51.67,0.00368396
01/06/2012,51.48,-0.032112851
31/05/2012,53.16,-0.004317229
30/05/2012,53.39,-0.02241042
29/05/2012,54.6,0
25/05/2012,54.6,-0.006571765
24/05/2012,54.96,0.007854639
23/05/2012,54.53,0.008101683
22/05/2012,54.09,0.006491723
21/05/2012,53.74,0.027161232
18/05/2012,52.3,-0.00191022
17/05/2012,52.4,-0.022642477
16/05/2012,53.6,-0.023235417
15/05/2012,54.86,0.001094292
14/05/2012,54.8,-0.002187387
11/05/2012,54.92,-0.002545919
10/05/2012,55.06,0.002728018
09/05/2012,54.91,0.002918113
08/05/2012,54.75,-0.007279377
07/05/2012,55.15,-0.001630583
04/05/2012,55.24,-0.000542937
03/05/2012,55.27,-0.007749881
02/05/2012,55.7,-0.006799096
01/05/2012,56.08,-0.000891186
30/04/2012,56.13,-0.02533117
27/04/2012,57.57,0.016286149
26/04/2012,56.64,0.035583269
25/04/2012,54.66,0.000732064
24/04/2012,54.62,-0.000366099
23/04/2012,54.64,-0.011825845
20/04/2012,55.29,0.00544071
19/04/2012,54.99,-0.001998366
18/04/2012,55.1,0.003636368
17/04/2012,54.9,0.005845833
16/04/2012,54.58,0.002935782
13/04/2012,54.42,-0.006228267
12/04/2012,54.76,0.015644011
11/04/2012,53.91,0.014762484
10/04/2012,53.12,-0.017356039
09/04/2012,54.05,-0.012502461
05/04/2012,54.73,-0.009275323
04/04/2012,55.24,-0.013842918
03/04/2012,56.01,0.003756377
02/04/2012,55.8,-0.006786952
30/03/2012,56.18,0.002852052
29/03/2012,56.02,0.003755705
28/03/2012,55.81,0.04171082
27/03/2012,53.53,0.006371836
26/03/2012,53.19,0.0062235
23/03/2012,52.86,-0.001701163
22/03/2012,52.95,-0.002263725
21/03/2012,53.07,0.004154085
20/03/2012,52.85,-0.011101817
19/03/2012,53.44,-0.003362604
16/03/2012,53.62,0.005235614
15/03/2012,53.34,0.01036474
14/03/2012,52.79,-0.003215133
13/03/2012,52.96,0.008723742
12/03/2012,52.5,-0.00796817
09/03/2012,52.92,0.00606522
08/03/2012,52.6,0.006293527
07/03/2012,52.27,0.01581213
06/03/2012,51.45,-0.011402191
05/03/2012,52.04,0.007522458
02/03/2012,51.65,-0.003092985
01/03/2012,51.81,-0.000192994
29/02/2012,51.82,-0.003467543
28/02/2012,52,-0.00192123
27/02/2012,52.1,0.018402456
24/02/2012,51.15,-0.007789718
23/02/2012,51.55,0.002525009
22/02/2012,51.42,0.00077821
21/02/2012,51.38,0.028226487
17/02/2012,49.95,0.017774655
16/02/2012,49.07,0.008596041
15/02/2012,48.65,-0.007984483
14/02/2012,49.04,-0.013569828
13/02/2012,49.71,0.009296752
10/02/2012,49.25,-0.008894338
09/02/2012,49.69,-0.008616424
08/02/2012,50.12,-0.00179408
07/02/2012,50.21,-0.010894433
06/02/2012,50.76,-0.001968117
03/02/2012,50.86,0.007499542
02/02/2012,50.48,-0.001385727
01/02/2012,50.55,-0.007881814
31/01/2012,50.95,0.034747905
30/01/2012,49.21,0.000203231
27/01/2012,49.2,-0.001421753
26/01/2012,49.27,-0.009494062
25/01/2012,49.74,0.009900071
24/01/2012,49.25,-0.004457058
23/01/2012,49.47,-0.007050085
20/01/2012,49.82,0.012726159
19/01/2012,49.19,0.005299646
18/01/2012,48.93,0.006150081
17/01/2012,48.63,0.00164643
13/01/2012,48.55,-0.011468485
12/01/2012,49.11,0.009822056
11/01/2012,48.63,-0.006150081
10/01/2012,48.93,0.008620743
09/01/2012,48.51,0.006203494
06/01/2012,48.21,-0.000207404
05/01/2012,48.22,0.004572862
04/01/2012,48,0.003129893
03/01/2012,47.85,0.024112843
30/12/2011,46.71,-0.004698855
29/12/2011,46.93,0.007915326
28/12/2011,46.56,-0.006209205
27/12/2011,46.85,-0.005321992
23/12/2011,47.1,0.013466058
22/12/2011,46.47,0.003449023
21/12/2011,46.31,-0.004094392
20/12/2011,46.5,0.043289193
19/12/2011,44.53,-0.00738341
16/12/2011,44.86,-0.000891266
15/12/2011,44.9,-0.000222692
14/12/2011,44.91,-0.017218968
13/12/2011,45.69,-0.008933494
12/12/2011,46.1,-0.021035332
09/12/2011,47.08,0.021903388
