Date,Close,DO
12/06/2013,66.58,-0.013871503
11/06/2013,67.51,-0.016454022
10/06/2013,68.63,-0.006969681
07/06/2013,69.11,0.009011689
06/06/2013,68.49,-0.001021525
05/06/2013,68.56,-0.005092031
04/06/2013,68.91,-0.003332129
03/06/2013,69.14,0.004784351
31/05/2013,68.81,-0.02992135
30/05/2013,70.9,0.006935135
29/05/2013,70.41,-0.001702853
28/05/2013,70.53,0.003693186
24/05/2013,70.27,-0.008502248
23/05/2013,70.87,0
22/05/2013,70.87,-0.022187473
21/05/2013,72.46,-0.005230569
20/05/2013,72.84,0.006058955
17/05/2013,72.4,0.028013036
16/05/2013,70.4,-0.003686379
15/05/2013,70.66,0.004254722
14/05/2013,70.36,0.005272545
13/05/2013,69.99,-0.002283432
10/05/2013,70.15,-0.003131229
09/05/2013,70.37,-0.002979782
08/05/2013,70.58,0.001134108
07/05/2013,70.5,0.009835444
06/05/2013,69.81,-0.003432007
03/05/2013,70.05,0.014378393
02/05/2013,69.05,0.016647581
01/05/2013,67.91,-0.017371432
30/04/2013,69.1,-0.000144707
29/04/2013,69.11,0.006823983
26/04/2013,68.64,-0.003635574
25/04/2013,68.89,0.003052994
24/04/2013,68.68,0.020000667
23/04/2013,67.32,0.013609722
22/04/2013,66.41,0.016243241
19/04/2013,65.34,-0.008685769
18/04/2013,65.91,0.022866031
17/04/2013,64.42,-0.028162253
16/04/2013,66.26,0.008487471
15/04/2013,65.7,-0.04581408
12/04/2013,68.78,-0.017582237
11/04/2013,70,0.003147806
10/04/2013,69.78,0.013271978
09/04/2013,68.86,-0.00058072
08/04/2013,68.9,0.002906979
05/04/2013,68.7,-0.002035772
04/04/2013,68.84,0.021436733
03/04/2013,67.38,-0.017069278
02/04/2013,68.54,-0.009872322
01/04/2013,69.22,-0.004899851
28/03/2013,69.56,-0.00287109
27/03/2013,69.76,0.011534153
26/03/2013,68.96,0.012990039
25/03/2013,68.07,-0.006880929
22/03/2013,68.54,0.00526625
21/03/2013,68.18,-0.003075348
20/03/2013,68.39,0.00571891
19/03/2013,68,-0.006595847
18/03/2013,68.45,-0.025814398
15/03/2013,70.24,-0.000996087
14/03/2013,70.31,0.013171271
13/03/2013,69.39,0.001153569
12/03/2013,69.31,0.013216371
11/03/2013,68.4,0.008515688
08/03/2013,67.82,0.005470554
07/03/2013,67.45,-0.002960772
06/03/2013,67.65,-0.002509782
05/03/2013,67.82,-0.003532532
04/03/2013,68.06,-0.018343796
01/03/2013,69.32,-0.005179868
28/02/2013,69.68,-0.007577418
27/02/2013,70.21,0.005140665
26/02/2013,69.85,0.012823459
25/02/2013,68.96,-0.043000594
22/02/2013,71.99,-0.000833102
21/02/2013,72.05,-0.013783816
20/02/2013,73.05,-0.021800335
19/02/2013,74.66,-0.001204739
15/02/2013,74.75,-0.013553224
14/02/2013,75.77,0.012216325
13/02/2013,74.85,0.005895769
12/02/2013,74.41,0.003095769
11/02/2013,74.18,-0.008456994
08/02/2013,74.81,0.009536034
07/02/2013,74.1,0.000945116
06/02/2013,74.03,0.006097167
05/02/2013,73.58,-0.038656019
04/02/2013,76.48,0.002487401
01/02/2013,76.29,0.015854474
31/01/2013,75.09,-0.000266312
30/01/2013,75.11,-0.005046491
29/01/2013,75.49,0.010118579
28/01/2013,74.73,0.000937144
25/01/2013,74.66,0.009149687
24/01/2013,73.98,-0.002969364
23/01/2013,74.2,0.015072592
22/01/2013,73.09,-0.003550946
18/01/2013,73.35,0.009038681
17/01/2013,72.69,0.012319347
16/01/2013,71.8,0.005026539
15/01/2013,71.44,0.000840219
14/01/2013,71.38,-0.012391387
11/01/2013,72.27,-0.000415024
10/01/2013,72.3,0.01547177
09/01/2013,71.19,0.00351791
08/01/2013,70.94,-0.002252887
07/01/2013,71.1,-0.005749963
04/01/2013,71.51,0.016354516
03/01/2013,70.35,0.008135348
02/01/2013,69.78,0.026428139
31/12/2012,67.96,0.01079972
28/12/2012,67.23,-0.005932095
27/12/2012,67.63,-0.007659487
26/12/2012,68.15,-0.010799871
24/12/2012,68.89,-0.005356509
21/12/2012,69.26,-0.014335108
20/12/2012,70.26,0.009581768
19/12/2012,69.59,0.007500396
18/12/2012,69.07,0.01414327
17/12/2012,68.1,0.010332195
14/12/2012,67.4,-0.000593296
13/12/2012,67.44,-0.011499463
12/12/2012,68.22,-0.002342607
11/12/2012,68.38,-0.004377652
10/12/2012,68.68,-0.003633461
07/12/2012,68.93,0.003051219
06/12/2012,68.72,-0.0026159
05/12/2012,68.9,-0.001595244
04/12/2012,69.01,0.003047677
03/12/2012,68.8,-0.00290276
30/11/2012,69,0.012835649
29/11/2012,68.12,0.015235854
28/11/2012,67.09,0.000149065
27/11/2012,67.08,-0.0032743
26/11/2012,67.3,-0.000891133
23/11/2012,67.36,0.010746372
21/11/2012,66.64,0.004964282
20/11/2012,66.31,-0.006913162
19/11/2012,66.77,0.02548295
16/11/2012,65.09,0.002769233
15/11/2012,64.91,0
14/11/2012,64.91,-0.011945012
13/11/2012,65.69,-0.001065044
12/11/2012,65.76,0.011009286
09/11/2012,65.04,-0.005060972
08/11/2012,65.37,-0.036203729
07/11/2012,67.78,-0.021311564
06/11/2012,69.24,0.003327309
05/11/2012,69.01,0.002175964
02/11/2012,68.86,-0.01484712
01/11/2012,69.89,0.009343847
31/10/2012,69.24,-0.011202185
26/10/2012,70.02,-0.002852255
25/10/2012,70.22,0.009156001
24/10/2012,69.58,-0.001292639
23/10/2012,69.67,-0.013685174
22/10/2012,70.63,0.001558626
19/10/2012,70.52,-0.012541558
18/10/2012,71.41,0.023233798
17/10/2012,69.77,0.00791428
16/10/2012,69.22,0.025458581
15/10/2012,67.48,0.013427026
12/10/2012,66.58,0.0052707
11/10/2012,66.23,0.013682184
10/10/2012,65.33,-0.019103067
09/10/2012,66.59,0.007990996
08/10/2012,66.06,0.003183992
05/10/2012,65.85,-0.00937129
04/10/2012,66.47,0.021902016
03/10/2012,65.03,-0.015866084
02/10/2012,66.07,-0.005584499
01/10/2012,66.44,0.009527482
28/09/2012,65.81,-0.007719708
27/09/2012,66.32,0.013357819
26/09/2012,65.44,-0.025050352
25/09/2012,67.1,-0.008902136
24/09/2012,67.7,-0.02249255
21/09/2012,69.24,0.020869054
20/09/2012,67.81,0.006509862
19/09/2012,67.37,-0.017071791
18/09/2012,68.53,0.003654708
17/09/2012,68.28,-0.011069149
14/09/2012,69.04,-0.001592011
13/09/2012,69.15,0.002026636
12/09/2012,69.01,0.00392015
11/09/2012,68.74,0.019537897
10/09/2012,67.41,0.003268948
07/09/2012,67.19,0.000148843
06/09/2012,67.18,0.012281119
05/09/2012,66.36,-0.001204819
04/09/2012,66.44,-0.008691798
31/08/2012,67.02,0.01200855
30/08/2012,66.22,-0.006022301
29/08/2012,66.62,0.004814936
28/08/2012,66.3,-0.004814936
27/08/2012,66.62,-0.001050184
24/08/2012,66.69,0.003153866
23/08/2012,66.48,-0.013595488
22/08/2012,67.39,-0.002519453
21/08/2012,67.56,-0.015567945
20/08/2012,68.62,0.001458364
17/08/2012,68.52,0.010415997
16/08/2012,67.81,0.005916302
15/08/2012,67.41,-0.003258297
14/08/2012,67.63,-0.006484916
13/08/2012,68.07,-0.001174571
10/08/2012,68.15,-0.004100167
09/08/2012,68.43,0.012499244
08/08/2012,67.58,-0.003692494
07/08/2012,67.83,0.010522513
06/08/2012,67.12,0.006577004
03/08/2012,66.68,0.017549618
02/08/2012,65.52,-0.011683617
01/08/2012,66.29,0.013211034
31/07/2012,65.42,-0.020276077
30/07/2012,66.76,-0.006420328
27/07/2012,67.19,0.019385985
26/07/2012,65.9,0.022403883
25/07/2012,64.44,0.007007737
24/07/2012,63.99,-0.012578782
23/07/2012,64.8,-0.019106428
20/07/2012,66.05,0.00516091
19/07/2012,65.71,0.028401353
18/07/2012,63.87,0.009912755
17/07/2012,63.24,-0.003945401
16/07/2012,63.49,0.002207506
13/07/2012,63.35,0.033711057
12/07/2012,61.25,0.001306976
11/07/2012,61.17,0.03866504
10/07/2012,58.85,-0.009975567
09/07/2012,59.44,0.009296103
06/07/2012,58.89,-0.008622929
05/07/2012,59.4,-0.022637451
03/07/2012,60.76,0.02398516
02/07/2012,59.32,0.003208107
29/06/2012,59.13,0.023788236
28/06/2012,57.74,-0.019890916
27/06/2012,58.9,0.039655443
26/06/2012,56.61,0.007624826
25/06/2012,56.18,-0.027562528
22/06/2012,57.75,0.002427186
21/06/2012,57.61,-0.049277725
20/06/2012,60.52,-0.001486007
19/06/2012,60.61,0.013956033
18/06/2012,59.77,-0.013460943
15/06/2012,60.58,0.02118688
14/06/2012,59.31,0.013067645
13/06/2012,58.54,-0.023466933
12/06/2012,59.93,0.006528859
11/06/2012,59.54,-0.009361486
08/06/2012,60.1,0.00249896
07/06/2012,59.95,0.004178861
06/06/2012,59.7,0.024244639
05/06/2012,58.27,0.016088921
04/06/2012,57.34,-0.006951714
01/06/2012,57.74,-0.007591479
31/05/2012,58.18,-0.021930331
30/05/2012,59.47,-0.031123187
29/05/2012,61.35,0.012960562
25/05/2012,60.56,0.00812406
24/05/2012,60.07,-0.005312979
23/05/2012,60.39,0.010821716
22/05/2012,59.74,-0.010159135
21/05/2012,60.35,0.020084357
18/05/2012,59.15,-0.014434625
17/05/2012,60.01,0.004342024
16/05/2012,59.75,-0.012969919
15/05/2012,60.53,-0.018658479
14/05/2012,61.67,-0.017201614
11/05/2012,62.74,-0.010937733
10/05/2012,63.43,-0.01486609
09/05/2012,64.38,-0.002946881
08/05/2012,64.57,-0.007560014
07/05/2012,65.06,0.002462297
04/05/2012,64.9,-0.031844996
03/05/2012,67,-0.005507196
02/05/2012,67.37,-0.01517301
01/05/2012,68.4,-0.002190581
30/04/2012,68.55,0.008055701
27/04/2012,68,-0.02023506
26/04/2012,69.39,0.011158727
25/04/2012,68.62,0.010400738
24/04/2012,67.91,-0.007043316
23/04/2012,68.39,-0.002628506
20/04/2012,68.57,0.000729448
19/04/2012,68.52,0.035200783
18/04/2012,66.15,0.004545462
17/04/2012,65.85,0.017463679
16/04/2012,64.71,-0.008463542
13/04/2012,65.26,-0.011578435
12/04/2012,66.02,0.023137476
11/04/2012,64.51,0.012164841
10/04/2012,63.73,-0.024030301
09/04/2012,65.28,-0.008086092
05/04/2012,65.81,-0.002125077
04/04/2012,65.95,-0.013853557
03/04/2012,66.87,-0.013074024
02/04/2012,67.75,0.014870162
30/03/2012,66.75,0.006915241
29/03/2012,66.29,-0.00511587
28/03/2012,66.63,-0.014305117
27/03/2012,67.59,-0.023685318
26/03/2012,69.21,0.002604168
23/03/2012,69.03,0.007707447
22/03/2012,68.5,-0.029062612
21/03/2012,70.52,-0.005797118
20/03/2012,70.93,-0.014416934
19/03/2012,71.96,-0.006510169
16/03/2012,72.43,0.040718452
15/03/2012,69.54,0.00794056
14/03/2012,68.99,-0.012674806
13/03/2012,69.87,0.010213712
12/03/2012,69.16,-0.01478319
09/03/2012,70.19,0.004140202
08/03/2012,69.9,0.022131517
07/03/2012,68.37,0.006309169
06/03/2012,67.94,-0.01649552
05/03/2012,69.07,0.003045025
02/03/2012,68.86,0.005387709
01/03/2012,68.49,0.000292056
29/02/2012,68.47,-0.001605254
28/02/2012,68.58,0.016762633
27/02/2012,67.44,0.003713887
24/02/2012,67.19,-0.000297619
23/02/2012,67.21,0.004623079
22/02/2012,66.9,0.014302088
21/02/2012,65.95,0.017899965
17/02/2012,64.78,0.012270093
16/02/2012,63.99,0.026604895
15/02/2012,62.31,-0.010218834
14/02/2012,62.95,0.009416716
13/02/2012,62.36,-0.006393884
10/02/2012,62.76,0.002712407
09/02/2012,62.59,-0.009856996
08/02/2012,63.21,0.005393414
07/02/2012,62.87,-0.007605804
06/02/2012,63.35,0.003478814
03/02/2012,63.13,-0.002373231
02/02/2012,63.28,0.003324103
01/02/2012,63.07,0.012283795
31/01/2012,62.3,0.008058061
30/01/2012,61.8,-0.015414563
27/01/2012,62.76,0.00287219
26/01/2012,62.58,0.003842464
25/01/2012,62.34,0.016660313
24/01/2012,61.31,-0.005043531
23/01/2012,61.62,0.003250978
20/01/2012,61.42,-0.010204997
19/01/2012,62.05,0.007765773
18/01/2012,61.57,0.017366098
17/01/2012,60.51,0.010633096
13/01/2012,59.87,0.02520218
12/01/2012,58.38,0.019021843
11/01/2012,57.28,0.008239156
10/01/2012,56.81,0.013468217
09/01/2012,56.05,-0.004095083
06/01/2012,56.28,0.011976191
05/01/2012,55.61,-0.008416202
04/01/2012,56.08,-0.012404908
03/01/2012,56.78,0.027134832
30/12/2011,55.26,-0.013302371
29/12/2011,56,0.008428275
28/12/2011,55.53,-0.012704832
27/12/2011,56.24,-0.007616723
23/12/2011,56.67,0.006195258
22/12/2011,56.32,0.00516245
21/12/2011,56.03,0.005009851
20/12/2011,55.75,0.048323905
19/12/2011,53.12,-0.021786543
16/12/2011,54.29,-0.006243134
15/12/2011,54.63,-0.018498895
14/12/2011,55.65,-0.023442736
13/12/2011,56.97,-0.008912248
12/12/2011,57.48,-0.026608728
09/12/2011,59.03,0.018120154
08/12/2011,57.97,-0.041229019
07/12/2011,60.41,-0.014298871
06/12/2011,61.28,0.001960144
05/12/2011,61.16,0.016319492
02/12/2011,60.17,-0.002655603
01/12/2011,60.33,0.00298805
30/11/2011,60.15,0.027985643
29/11/2011,58.49,-0.009867382
28/11/2011,59.07,0.017418473
25/11/2011,58.05,-0.008747162
23/11/2011,58.56,-0.032260862
22/11/2011,60.48,-0.009380469
21/11/2011,61.05,-0.028102625
18/11/2011,62.79,0.000796622
17/11/2011,62.74,-0.021445161
16/11/2011,64.1,-0.007924834
15/11/2011,64.61,0.002479468
14/11/2011,64.45,-0.014479612
11/11/2011,65.39,0.01060814
10/11/2011,64.7,0.010097173
09/11/2011,64.05,-0.037688284
08/11/2011,66.51,0.019586142
07/11/2011,65.22,-0.005657075
04/11/2011,65.59,-0.002588505
03/11/2011,65.76,0.021519429
02/11/2011,64.36,0.014713053
01/11/2011,63.42,-0.032881374
31/10/2011,65.54,-0.044319077
28/10/2011,68.51,-0.010743425
27/10/2011,69.25,0.061184345
26/10/2011,65.14,0.015314709
25/10/2011,64.15,-0.006525816
24/10/2011,64.57,0.027476413
21/10/2011,62.82,0.017665467
20/10/2011,61.72,0.032438837
19/10/2011,59.75,-0.014290705
18/10/2011,60.61,0.036117136
17/10/2011,58.46,-0.028498683
14/10/2011,60.15,0.027643763
13/10/2011,58.51,-0.000341764
12/10/2011,58.53,0.002737384
11/10/2011,58.37,0.002057967
10/10/2011,58.25,0.040821995
07/10/2011,55.92,-0.012086887
06/10/2011,56.6,0.021429391
05/10/2011,55.4,0.026151257
04/10/2011,53.97,0.020024998
03/10/2011,52.9,-0.034191365
30/09/2011,54.74,-0.036941622
29/09/2011,56.8,0.011687755
28/09/2011,56.14,-0.043739004
27/09/2011,58.65,-0.014052546
26/09/2011,59.48,0.031076429
23/09/2011,57.66,0.004867882
22/09/2011,57.38,-0.048308713
21/09/2011,60.22,-0.031385381
20/09/2011,62.14,-0.012633094
19/09/2011,62.93,-0.006020297
16/09/2011,63.31,-0.008493288
15/09/2011,63.85,0.011657347
14/09/2011,63.11,0.012596834
13/09/2011,62.32,0.006923786
12/09/2011,61.89,0.003723193
09/09/2011,61.66,-0.028616772
08/09/2011,63.45,-0.002204031
07/09/2011,63.59,0.037165899
06/09/2011,61.27,-0.004884412
02/09/2011,61.57,-0.028026496
01/09/2011,63.32,-0.006454174
31/08/2011,63.73,-0.005320826
30/08/2011,64.07,-0.002649834
29/08/2011,64.24,0.04375151
26/08/2011,61.49,0.028203403
