Date,Close,FOXA
09/07/2012,21.92,-0.009534692
06/07/2012,22.13,-0.013910927
05/07/2012,22.44,-0.012840557
03/07/2012,22.73,-0.005265479
02/07/2012,22.85,0.02481297
29/06/2012,22.29,0.013550343
28/06/2012,21.99,-0.014447204
27/06/2012,22.31,0.024961586
26/06/2012,21.76,0.079851243
25/06/2012,20.09,-0.013350013
22/06/2012,20.36,0.009871748
21/06/2012,20.16,-0.015748357
20/06/2012,20.48,0.011787956
19/06/2012,20.24,0.007438666
18/06/2012,20.09,0.000996016
15/06/2012,20.07,0.010518504
14/06/2012,19.86,0.014709877
13/06/2012,19.57,-0.006620854
12/06/2012,19.7,0.02883825
11/06/2012,19.14,-0.015552413
08/06/2012,19.44,0.007745972
07/06/2012,19.29,-0.005686239
06/06/2012,19.4,0.041573995
05/06/2012,18.61,0.001075269
04/06/2012,18.59,0.002154013
01/06/2012,18.55,-0.03444049
31/05/2012,19.2,-0.010362787
30/05/2012,19.4,-0.014837827
29/05/2012,19.69,0.013292629
25/05/2012,19.43,0.002576657
24/05/2012,19.38,0.010373537
23/05/2012,19.18,-0.018595577
22/05/2012,19.54,0.002049181
21/05/2012,19.5,0.011864983
18/05/2012,19.27,-0.009811594
17/05/2012,19.46,-0.013779243
16/05/2012,19.73,-0.010085814
15/05/2012,19.93,-0.010481753
14/05/2012,20.14,-0.003964326
11/05/2012,20.22,-0.004933409
10/05/2012,20.32,0.047364016
09/05/2012,19.38,0.002583313
08/05/2012,19.33,-0.003614773
07/05/2012,19.4,0.011404997
04/05/2012,19.18,-0.027258052
03/05/2012,19.71,-0.009090972
02/05/2012,19.89,0.005040333
01/05/2012,19.79,0.009137119
30/04/2012,19.61,0.001531003
27/04/2012,19.58,-0.001531003
26/04/2012,19.61,0.017490158
25/04/2012,19.27,0.002077923
24/04/2012,19.23,0.013085766
23/04/2012,18.98,-0.001579363
20/04/2012,19.01,0.006332475
19/04/2012,18.89,-0.019916801
18/04/2012,19.27,-0.006207987
17/04/2012,19.39,0.014022562
16/04/2012,19.12,-0.001567808
13/04/2012,19.15,-0.010389704
12/04/2012,19.35,0.026179506
11/04/2012,18.85,0.010130718
10/04/2012,18.66,-0.019634486
09/04/2012,19.03,-0.023884832
05/04/2012,19.49,0.003598051
04/04/2012,19.42,-0.026424302
03/04/2012,19.94,0.001003512
02/04/2012,19.92,0.010598131
30/03/2012,19.71,0.013793322
29/03/2012,19.44,-0.015314235
28/03/2012,19.74,-0.02550776
27/03/2012,20.25,0.002967361
26/03/2012,20.19,0.020010673
23/03/2012,19.79,0.00354341
22/03/2012,19.72,-0.012597798
21/03/2012,19.97,0.004516946
20/03/2012,19.88,-0.012000144
19/03/2012,20.12,0.005482197
16/03/2012,20.01,-0.008955284
15/03/2012,20.19,0.008455658
14/03/2012,20.02,0.003001503
13/03/2012,19.96,0.025369194
12/03/2012,19.46,-0.018834866
09/03/2012,19.83,0.011156302
08/03/2012,19.61,0.009221377
07/03/2012,19.43,0.016606505
06/03/2012,19.11,-0.019689755
05/03/2012,19.49,-0.016285347
02/03/2012,19.81,-0.008044287
01/03/2012,19.97,0.005020091
29/02/2012,19.87,0.003024196
28/02/2012,19.81,0.016285347
27/02/2012,19.49,-0.003585151
24/02/2012,19.56,-0.004590674
23/02/2012,19.65,0.017972242
22/02/2012,19.3,-0.012358551
21/02/2012,19.54,-0.00306592
17/02/2012,19.6,0.03056441
16/02/2012,19.01,0.008982887
15/02/2012,18.84,-0.016320446
14/02/2012,19.15,-0.013485682
13/02/2012,19.41,0.011920328
10/02/2012,19.18,-0.001562907
09/02/2012,19.21,-0.021118477
08/02/2012,19.62,0.006134989
07/02/2012,19.5,-0.003072199
06/02/2012,19.56,0.014418375
03/02/2012,19.28,0.017792201
02/02/2012,18.94,-0.014675316
01/02/2012,19.22,0.020500061
31/01/2012,18.83,-0.013713295
30/01/2012,19.09,0.011061477
27/01/2012,18.88,0.003183027
26/01/2012,18.82,0.00212766
25/01/2012,18.78,-0.015323946
24/01/2012,19.07,-0.007314557
23/01/2012,19.21,0.001041667
20/01/2012,19.19,-0.02775101
19/01/2012,19.73,0.023072031
18/01/2012,19.28,0.013577232
17/01/2012,19.02,0.021791986
13/01/2012,18.61,-0.014933611
12/01/2012,18.89,0.004775812
11/01/2012,18.8,0.008010724
10/01/2012,18.65,0.016216572
09/01/2012,18.35,0.002728515
06/01/2012,18.3,-0.010328986
05/01/2012,18.49,0.014710154
04/01/2012,18.22,-0.007109683
03/01/2012,18.35,0.028186447
30/12/2011,17.84,-0.001680202
29/12/2011,17.87,0.023783681
28/12/2011,17.45,-0.017045867
27/12/2011,17.75,0.007350895
23/12/2011,17.62,0.014865911
