Date,Close,GMCR
23/10/2013,62.59,-0.014591853
22/10/2013,63.51,0.01331451
21/10/2013,62.67,-0.027386036
18/10/2013,64.41,0.035396332
17/10/2013,62.17,-0.073924128
16/10/2013,66.94,0.016872952
15/10/2013,65.82,-0.046457861
14/10/2013,68.95,0.010057661
11/10/2013,68.26,0.016246111
10/10/2013,67.16,-0.025433197
09/10/2013,68.89,-0.068712191
08/10/2013,73.79,-0.021053409
07/10/2013,75.36,-0.004633622
04/10/2013,75.71,-0.001847454
03/10/2013,75.85,0.005154991
02/10/2013,75.46,-0.019942933
01/10/2013,76.98,0.021667186
30/09/2013,75.33,0.00599163
27/09/2013,74.88,-0.017080852
26/09/2013,76.17,0.004605574
25/09/2013,75.82,-0.045128194
24/09/2013,79.32,-0.001385827
23/09/2013,79.43,-0.057843618
20/09/2013,84.16,-0.001899336
19/09/2013,84.32,-0.026796198
18/09/2013,86.61,0.008813695
17/09/2013,85.85,0.015731717
16/09/2013,84.51,0.002606637
13/09/2013,84.29,0.008458977
12/09/2013,83.58,-0.016846999
11/09/2013,85,0.014456941
10/09/2013,83.78,-0.031256216
09/09/2013,86.44,0.051025423
06/09/2013,82.14,-0.032813386
05/09/2013,84.88,-0.016591104
04/09/2013,86.3,0.013297758
03/09/2013,85.16,-0.013413626
30/08/2013,86.31,-0.028215933
29/08/2013,88.78,0.024168983
28/08/2013,86.66,0.031771033
27/08/2013,83.95,-0.029229148
26/08/2013,86.44,0.009648433
23/08/2013,85.61,0.034340688
22/08/2013,82.72,-0.008066987
21/08/2013,83.39,0.007462721
20/08/2013,82.77,0.040811927
19/08/2013,79.46,0.039532869
16/08/2013,76.38,0.032602182
15/08/2013,73.93,-0.04431649
14/08/2013,77.28,-0.017445286
13/08/2013,78.64,0.000636011
12/08/2013,78.59,0.005358523
09/08/2013,78.17,0.021856673
08/08/2013,76.48,-0.035704319
07/08/2013,79.26,-0.025658401
06/08/2013,81.32,0.002709028
05/08/2013,81.1,0.037564871
02/08/2013,78.11,-0.004853139
01/08/2013,78.49,0.016571771
31/07/2013,77.2,0.016192571
30/07/2013,75.96,0.012318852
29/07/2013,75.03,-0.003990428
26/07/2013,75.33,0.020655241
25/07/2013,73.79,-0.010380949
24/07/2013,74.56,0.002686008
23/07/2013,74.36,-0.016273535
22/07/2013,75.58,0.02627497
19/07/2013,73.62,-0.003254681
18/07/2013,73.86,0.022315937
17/07/2013,72.23,0.003050474
16/07/2013,72.01,-0.016253801
15/07/2013,73.19,0.060692939
12/07/2013,68.88,-0.026645324
11/07/2013,70.74,0.009231053
10/07/2013,70.09,-0.039857055
09/07/2013,72.94,-0.013616768
08/07/2013,73.94,0.015125995
05/07/2013,72.83,0.00605979
03/07/2013,72.39,-0.003034485
02/07/2013,72.61,-0.060519299
01/07/2013,77.14,0.0252048
28/06/2013,75.22,0.018516563
27/06/2013,73.84,-0.023687959
26/06/2013,75.61,0.024229818
25/06/2013,73.8,0.00638893
24/06/2013,73.33,-0.014754921
21/06/2013,74.42,-0.051078275
20/06/2013,78.32,-0.043229717
