Date,Close,FE
16/11/2012,41.37,0.00508907
15/11/2012,41.16,-0.00363769
14/11/2012,41.31,-0.018943139
13/11/2012,42.1,0.005239355
12/11/2012,41.88,-0.014224991
09/11/2012,42.48,-0.010071522
08/11/2012,42.91,0.014317813
07/11/2012,42.3,-0.021053409
06/11/2012,43.2,0.01516064
05/11/2012,42.55,-0.043910054
02/11/2012,44.46,-0.010070579
01/11/2012,44.91,-0.017875352
31/10/2012,45.72,0.001970444
26/10/2012,45.63,-0.005681833
25/10/2012,45.89,0.010294692
24/10/2012,45.42,-0.002418913
23/10/2012,45.53,-0.006785623
22/10/2012,45.84,-0.003049447
19/10/2012,45.98,-0.006503383
18/10/2012,46.28,0.010862588
17/10/2012,45.78,0.007014496
16/10/2012,45.46,0.007728867
15/10/2012,45.11,0.004443464
12/10/2012,44.91,-0.0064366
11/10/2012,45.2,0.012690808
10/10/2012,44.63,-0.006921988
09/10/2012,44.94,0.004907438
08/10/2012,44.72,-0.00223364
05/10/2012,44.82,-0.001114952
04/10/2012,44.87,0.00357223
03/10/2012,44.71,0.009212513
02/10/2012,44.3,0.005432336
01/10/2012,44.06,-0.000907441
28/09/2012,44.1,0.000907441
27/09/2012,44.06,-0.008137477
26/09/2012,44.42,0.002705141
25/09/2012,44.3,-0.002254792
24/09/2012,44.4,0.00474095
21/09/2012,44.19,0
20/09/2012,44.19,0.014818463
19/09/2012,43.54,0.005527421
18/09/2012,43.3,0.000462
17/09/2012,43.28,0
14/09/2012,43.28,-0.010343731
13/09/2012,43.73,0.025710739
12/09/2012,42.62,-0.001641074
11/09/2012,42.69,-0.003507545
10/09/2012,42.84,-0.006514681
07/09/2012,43.12,-0.005319777
06/09/2012,43.35,0.013236
05/09/2012,42.78,-0.016460323
04/09/2012,43.49,-0.004817075
31/08/2012,43.7,-0.000914913
30/08/2012,43.74,-0.00569932
29/08/2012,43.99,-0.008375827
28/08/2012,44.36,-0.006740084
27/08/2012,44.66,-0.00178971
24/08/2012,44.74,-0.002901464
23/08/2012,44.87,-0.017453221
22/08/2012,45.66,-0.001969151
21/08/2012,45.75,-0.00523219
20/08/2012,45.99,0.002612673
17/08/2012,45.87,-0.002395211
16/08/2012,45.98,-0.002606431
15/08/2012,46.1,-0.000433745
14/08/2012,46.12,0.005871497
13/08/2012,45.85,0
10/08/2012,45.85,0.001091108
09/08/2012,45.8,-0.001963137
08/08/2012,45.89,-0.005433024
07/08/2012,46.14,-0.066649426
06/08/2012,49.32,-0.003844991
03/08/2012,49.51,0.001212611
02/08/2012,49.45,-0.013857035
01/08/2012,50.14,-0.001594261
31/07/2012,50.22,-0.012860005
30/07/2012,50.87,0.008290612
27/07/2012,50.45,0.014977814
26/07/2012,49.7,0.017455284
25/07/2012,48.84,-0.011400775
24/07/2012,49.4,-0.010070579
23/07/2012,49.9,-0.009374757
20/07/2012,50.37,0.002186228
19/07/2012,50.26,0.010199069
18/07/2012,49.75,0.005239835
17/07/2012,49.49,-0.002824861
16/07/2012,49.63,0.005860378
13/07/2012,49.34,0.005283491
12/07/2012,49.08,0.002243754
11/07/2012,48.97,0.001634989
10/07/2012,48.89,-0.001226492
09/07/2012,48.95,-0.004687668
06/07/2012,49.18,-0.004868164
05/07/2012,49.42,-0.008462674
03/07/2012,49.84,-0.001203128
02/07/2012,49.9,0.014330652
29/06/2012,49.19,0.014539009
28/06/2012,48.48,0.00123839
27/06/2012,48.42,0.013515124
26/06/2012,47.77,-0.001882255
25/06/2012,47.86,-0.005417809
22/06/2012,48.12,-0.000415541
21/06/2012,48.14,-0.007862652
20/06/2012,48.52,-0.013917539
19/06/2012,49.2,0.007958414
18/06/2012,48.81,0.006577619
15/06/2012,48.49,0.009323594
14/06/2012,48.04,0.012146746
13/06/2012,47.46,-0.004834481
12/06/2012,47.69,-0.00188541
11/06/2012,47.78,-0.001672941
