Date,Close,EQR
02/10/2012,57.53,0.005577843
01/10/2012,57.21,-0.005577843
28/09/2012,57.53,-0.003643623
27/09/2012,57.74,0.006254364
26/09/2012,57.38,0.006819997
25/09/2012,56.99,-0.01307436
24/09/2012,57.74,0.005383359
21/09/2012,57.43,-0.00208732
20/09/2012,57.55,-0.02674598
19/09/2012,59.11,-0.011103748
18/09/2012,59.77,-0.007832721
17/09/2012,60.24,0.000166016
14/09/2012,60.23,0.000830496
13/09/2012,60.18,0.015574291
12/09/2012,59.25,-0.001854819
11/09/2012,59.36,-0.001683219
10/09/2012,59.46,-0.018330792
07/09/2012,60.56,-0.002638524
06/09/2012,60.72,0.006443641
05/09/2012,60.33,-0.004465401
04/09/2012,60.6,0.003305788
31/08/2012,60.4,-0.003635767
30/08/2012,60.62,-0.004936656
29/08/2012,60.92,-0.003277617
28/08/2012,61.12,0.001473598
27/08/2012,61.03,0.003446864
24/08/2012,60.82,-0.007371644
23/08/2012,61.27,0.005564662
22/08/2012,60.93,0.010061941
21/08/2012,60.32,0.003487507
20/08/2012,60.11,-0.000997672
17/08/2012,60.17,0.007004698
16/08/2012,59.75,0.003184983
15/08/2012,59.56,0.004037691
14/08/2012,59.32,-0.007390024
13/08/2012,59.76,-0.007335811
10/08/2012,60.2,-0.00083022
09/08/2012,60.25,-0.009580516
08/08/2012,60.83,-0.0094896
07/08/2012,61.41,-0.015190984
06/08/2012,62.35,-0.005757252
03/08/2012,62.71,-0.001274901
02/08/2012,62.79,0.004629268
01/08/2012,62.5,-0.012876738
31/07/2012,63.31,-0.000315856
30/07/2012,63.33,0.005541935
27/07/2012,62.98,0.000953137
26/07/2012,62.92,-0.009018335
25/07/2012,63.49,0.000472627
24/07/2012,63.46,-0.007691742
23/07/2012,63.95,-0.002186817
20/07/2012,64.09,-0.006996841
19/07/2012,64.54,-0.006332556
18/07/2012,64.95,-0.007974279
17/07/2012,65.47,0.009977825
16/07/2012,64.82,0.000926069
13/07/2012,64.76,0.017445925
12/07/2012,63.64,0.0096314
11/07/2012,63.03,0.007644567
10/07/2012,62.55,-0.014285957
09/07/2012,63.45,0.003789678
06/07/2012,63.21,0.003804094
05/07/2012,62.97,-0.007751364
03/07/2012,63.46,0.008227895
02/07/2012,62.94,0.009257847
29/06/2012,62.36,0.029784934
28/06/2012,60.53,0.017162797
27/06/2012,59.5,-0.000336078
26/06/2012,59.52,0.000336078
25/06/2012,59.5,0.002692698
