Date,Close,AN
16/10/2012,47.59,0.011199272
15/10/2012,47.06,0.007893374
12/10/2012,46.69,0.008820107
11/10/2012,46.28,-0.006031901
10/10/2012,46.56,-0.029834012
09/10/2012,47.97,0.000834202
08/10/2012,47.93,0.029644347
05/10/2012,46.53,0.004091747
04/10/2012,46.34,0.027123272
03/10/2012,45.1,0.012270093
02/10/2012,44.55,0.023851216
01/10/2012,43.5,-0.003900429
28/09/2012,43.67,0.006662862
27/09/2012,43.38,0.002770085
26/09/2012,43.26,0.004633929
25/09/2012,43.06,0.008161407
24/09/2012,42.71,-0.005603564
21/09/2012,42.95,0.03337983
20/09/2012,41.54,-0.009583207
19/09/2012,41.94,0.023155883
18/09/2012,40.98,-0.030520211
17/09/2012,42.25,0.001895286
14/09/2012,42.17,0.007378351
13/09/2012,41.86,0.018565934
12/09/2012,41.09,-0.008964324
11/09/2012,41.46,-0.002168414
10/09/2012,41.55,-0.006477173
07/09/2012,41.82,-0.005246852
06/09/2012,42.04,0.021640662
05/09/2012,41.14,-0.000486027
04/09/2012,41.16,0.023599915
31/08/2012,40.2,-0.002236304
30/08/2012,40.29,-0.00247893
29/08/2012,40.39,-0.001978729
28/08/2012,40.47,-0.005667134
27/08/2012,40.7,0.004432413
24/08/2012,40.52,0.017426381
23/08/2012,39.82,-0.001254863
22/08/2012,39.87,0.005028927
21/08/2012,39.67,-0.002014607
20/08/2012,39.75,-0.00301432
17/08/2012,39.87,-0.000250784
16/08/2012,39.88,0.008815068
15/08/2012,39.53,-0.001264063
14/08/2012,39.58,0.004304349
13/08/2012,39.41,-0.004304349
10/08/2012,39.58,0.000505433
09/08/2012,39.56,0.001011634
08/08/2012,39.52,0.009151055
07/08/2012,39.16,0.014144507
06/08/2012,38.61,-0.005681833
03/08/2012,38.83,0.012699406
02/08/2012,38.34,0.003920036
01/08/2012,38.19,-0.031953247
31/07/2012,39.43,-0.010846367
30/07/2012,39.86,-0.006501648
27/07/2012,40.12,0.023963815
26/07/2012,39.17,0
25/07/2012,39.17,-0.002040297
24/07/2012,39.25,-0.007361374
23/07/2012,39.54,-0.003534465
20/07/2012,39.68,-0.027344483
19/07/2012,40.78,-0.040135148
18/07/2012,42.45,0.036463622
17/07/2012,40.93,0.030008451
16/07/2012,39.72,-0.003016594
13/07/2012,39.84,0.010344485
12/07/2012,39.43,0.004575504
11/07/2012,39.25,-0.012658397
10/07/2012,39.75,0.014188229
09/07/2012,39.19,0.007170325
06/07/2012,38.91,-0.002053916
05/07/2012,38.99,0.031260686
03/07/2012,37.79,0.02763422
02/07/2012,36.76,0.041094066
29/06/2012,35.28,0.023807234
28/06/2012,34.45,-0.002029869
27/06/2012,34.52,0.004063866
26/06/2012,34.38,0.001746725
25/06/2012,34.32,-0.044173017
22/06/2012,35.87,-0.002227793
21/06/2012,35.95,-0.028248142
20/06/2012,36.98,-0.013430231
19/06/2012,37.48,0.010729717
18/06/2012,37.08,0.00486619
15/06/2012,36.9,0.007890124
14/06/2012,36.61,0.012921142
13/06/2012,36.14,-0.019997927
12/06/2012,36.87,0.013928943
11/06/2012,36.36,-0.023376982
08/06/2012,37.22,0.0184387
07/06/2012,36.54,-0.009804
06/06/2012,36.9,0.037271395
05/06/2012,35.55,0.006490781
04/06/2012,35.32,0.009101314
01/06/2012,35,-0.028726278
31/05/2012,36.02,0.002780096
30/05/2012,35.92,-0.019027184
29/05/2012,36.61,0.009330474
25/05/2012,36.27,0.010810916
24/05/2012,35.88,0.002511512
23/05/2012,35.79,0.006447114
22/05/2012,35.56,0.015016573
21/05/2012,35.03,0.018729837
18/05/2012,34.38,0.005834322
17/05/2012,34.18,-0.021419053
16/05/2012,34.92,0.003442344
15/05/2012,34.8,-0.00143575
14/05/2012,34.85,-0.00486619
11/05/2012,35.02,-0.000570939
10/05/2012,35.04,0.002571797
09/05/2012,34.95,0.015861904
08/05/2012,34.4,-0.017577171
07/05/2012,35.01,0.00200143
04/05/2012,34.94,-0.007981798
03/05/2012,35.22,0.007981798
02/05/2012,34.94,-0.006845435
01/05/2012,35.18,0.017202259
30/04/2012,34.58,0.002026343
27/04/2012,34.51,0.003774137
26/04/2012,34.38,0.034021918
25/04/2012,33.23,-0.010477569
24/04/2012,33.58,-0.000595415
23/04/2012,33.6,-0.00415801
20/04/2012,33.74,0.010727159
19/04/2012,33.38,-0.011023499
18/04/2012,33.75,-0.006497365
17/04/2012,33.97,0.022927906
16/04/2012,33.2,0.006951819
13/04/2012,32.97,-0.01115982
12/04/2012,33.34,0.003605773
11/04/2012,33.22,0.020682002
10/04/2012,32.54,-0.034730956
09/04/2012,33.69,-0.015316942
05/04/2012,34.21,-0.009889551
04/04/2012,34.55,-0.008645587
03/04/2012,34.85,0.002010628
02/04/2012,34.78,0.013605652
30/03/2012,34.31,-0.006102009
29/03/2012,34.52,-0.007791123
28/03/2012,34.79,-0.017946643
27/03/2012,35.42,-0.010391892
26/03/2012,35.79,0.012936063
23/03/2012,35.33,0.003402328
22/03/2012,35.21,-0.00453387
21/03/2012,35.37,0.006239385
20/03/2012,35.15,0.003705291
19/03/2012,35.02,0.008027566
16/03/2012,34.74,-0.003161376
15/03/2012,34.85,0.006621587
14/03/2012,34.62,0.013376181
13/03/2012,34.16,0.010003025
12/03/2012,33.82,-0.009417374
09/03/2012,34.14,-0.01019971
08/03/2012,34.49,0.020504526
07/03/2012,33.79,0.015208285
06/03/2012,33.28,-0.016982383
05/03/2012,33.85,-0.013789275
02/03/2012,34.32,0.006724188
01/03/2012,34.09,0.000293384
29/02/2012,34.08,-0.011378679
28/02/2012,34.47,0.003196283
27/02/2012,34.36,0.00994451
24/02/2012,34.02,-0.01372084
23/02/2012,34.49,0.004358571
22/02/2012,34.34,-0.017035203
21/02/2012,34.93,-0.002002003
17/02/2012,35,0.010627703
16/02/2012,34.63,0.002312808
15/02/2012,34.55,-0.017217068
14/02/2012,35.15,-0.021112677
13/02/2012,35.9,-0.00583254
10/02/2012,36.11,-0.019742895
09/02/2012,36.83,-0.000814222
08/02/2012,36.86,-0.00864403
07/02/2012,37.18,0.001076426
06/02/2012,37.14,0.003236249
03/02/2012,37.02,0.030999602
02/02/2012,35.89,-0.010532248
01/02/2012,36.27,0.014161003
31/01/2012,35.76,-0.016914309
30/01/2012,36.37,-0.003568002
27/01/2012,36.5,-0.008728915
26/01/2012,36.82,0.013122113
25/01/2012,36.34,0.002479682
24/01/2012,36.25,0.010259344
23/01/2012,35.88,0.018849904
20/01/2012,35.21,-0.009610023
19/01/2012,35.55,0.006207695
18/01/2012,35.33,0.030170368
17/01/2012,34.28,0.005264709
13/01/2012,34.1,-0.00846844
12/01/2012,34.39,0.001163806
11/01/2012,34.35,0.000291163
10/01/2012,34.34,0.015850053
09/01/2012,33.8,0.010708014
06/01/2012,33.44,-0.018077244
05/01/2012,34.05,0.023474559
04/01/2012,33.26,-0.070795215
03/01/2012,35.7,-0.032247523
30/12/2011,36.87,-0.01373759
29/12/2011,37.38,0.018904155
28/12/2011,36.68,0.002730004
27/12/2011,36.58,-0.014654265
23/12/2011,37.12,0.005402498
22/12/2011,36.92,0.003527341
21/12/2011,36.79,0.024210261
20/12/2011,35.91,0.039476942
19/12/2011,34.52,-0.035570687
16/12/2011,35.77,-0.006131569
15/12/2011,35.99,0.006970612
14/12/2011,35.74,-0.001398015
13/12/2011,35.79,-0.027285694
12/12/2011,36.78,-0.003257332
09/12/2011,36.9,0.032780789
08/12/2011,35.71,-0.01500862
07/12/2011,36.25,0.0002759
06/12/2011,36.24,-0.018589928
05/12/2011,36.92,0.02024693
02/12/2011,36.18,0.005265358
01/12/2011,35.99,-0.003328713
30/11/2011,36.11,0.022686871
29/11/2011,35.3,0.001984972
28/11/2011,35.23,0.033774317
25/11/2011,34.06,0
23/11/2011,34.06,-0.022355409
22/11/2011,34.83,0.034168896
21/11/2011,33.66,0.00476475
18/11/2011,33.5,0.015644122
17/11/2011,32.98,-0.001514922
16/11/2011,33.03,-0.033346347
15/11/2011,34.15,0.019217147
14/11/2011,33.5,-0.016871793
11/11/2011,34.07,0.018664443
10/11/2011,33.44,-0.011595195
09/11/2011,33.83,-0.041117546
08/11/2011,35.25,-0.021331148
07/11/2011,36.01,-0.010772097
04/11/2011,36.4,-0.021739987
03/11/2011,37.2,-0.018642351
02/11/2011,37.9,0.004495578
01/11/2011,37.73,-0.031566466
31/10/2011,38.94,-0.017312041
28/10/2011,39.62,-0.011293883
27/10/2011,40.07,0.005505519
26/10/2011,39.85,0.001758132
25/10/2011,39.78,-0.02507268
24/10/2011,40.79,0.041547517
21/10/2011,39.13,0.030619932
20/10/2011,37.95,0.022922112
19/10/2011,37.09,-0.009926306
18/10/2011,37.46,0.017775852
17/10/2011,36.8,-0.025222695
14/10/2011,37.74,0.00771383
13/10/2011,37.45,-0.001334223
12/10/2011,37.5,0.027028672
11/10/2011,36.5,0.005219075
10/10/2011,36.31,0.048239503
07/10/2011,34.6,-0.009206049
06/10/2011,34.92,0.024055645
05/10/2011,34.09,0.025551004
04/10/2011,33.23,0.052196501
03/10/2011,31.54,-0.038561992
30/09/2011,32.78,-0.007597666
29/09/2011,33.03,-0.02097141
28/09/2011,33.73,-0.009442384
27/09/2011,34.05,-0.018044727
26/09/2011,34.67,0.051187035
23/09/2011,32.94,-0.003333842
22/09/2011,33.05,-0.064443963
21/09/2011,35.25,-0.03375024
20/09/2011,36.46,-0.025454935
19/09/2011,37.4,0.003213715
16/09/2011,37.28,-0.014909754
15/09/2011,37.84,-0.045967297
14/09/2011,39.62,0.015516018
13/09/2011,39.01,0.022292266
12/09/2011,38.15,-0.0070524
09/09/2011,38.42,-0.032017077
08/09/2011,39.67,-0.01823455
07/09/2011,40.4,0.032707318
06/09/2011,39.1,-0.004338402
02/09/2011,39.27,-0.027626066
01/09/2011,40.37,-0.000247678
31/08/2011,40.38,-0.01132738
30/08/2011,40.84,-0.002201297
29/08/2011,40.93,0.048301644
26/08/2011,39,0.017589693
25/08/2011,38.32,-0.016820166
24/08/2011,38.97,0.007469449
23/08/2011,38.68,0.062954117
22/08/2011,36.32,0.016657798
19/08/2011,35.72,0.039399901
18/08/2011,34.34,-0.038279452
17/08/2011,35.68,0.005339341
16/08/2011,35.49,-0.008696927
15/08/2011,35.8,0.005602256
12/08/2011,35.6,0.032546407
11/08/2011,34.46,0.05273001
10/08/2011,32.69,-0.046909272
09/08/2011,34.26,0.046297651
08/08/2011,32.71,-0.067095628
05/08/2011,34.98,0.026946437
04/08/2011,34.05,-0.059846916
03/08/2011,36.15,0.010567395
02/08/2011,35.77,-0.037854218
01/08/2011,37.15,-0.012306201
29/07/2011,37.61,-0.001062982
28/07/2011,37.65,-0.034202525
27/07/2011,38.96,-0.025593694
26/07/2011,39.97,0.014617196
25/07/2011,39.39,0.00790115
22/07/2011,39.08,0.006160184
21/07/2011,38.84,0.005680366
20/07/2011,38.62,-0.001552394
19/07/2011,38.68,-0.017427402
18/07/2011,39.36,0.00458366
15/07/2011,39.18,0.01181015
14/07/2011,38.72,-0.008486614
13/07/2011,39.05,0.001024853
12/07/2011,39.01,0.010565747
11/07/2011,38.6,-0.015934544
08/07/2011,39.22,-0.001783213
07/07/2011,39.29,0.03813197
06/07/2011,37.82,0.018682155
05/07/2011,37.12,0.004860933
01/07/2011,36.94,0.008973548
30/06/2011,36.61,0.004654355
29/06/2011,36.44,0.000548998
28/06/2011,36.42,0.033220082
27/06/2011,35.23,0.022679313
24/06/2011,34.44,-0.00665608
23/06/2011,34.67,-0.011471304
22/06/2011,35.07,0.012914514
21/06/2011,34.62,0.026637021
20/06/2011,33.71,0.017959178
17/06/2011,33.11,0.044465491
16/06/2011,31.67,0.005699825
15/06/2011,31.49,-0.019185995
14/06/2011,32.1,0.030041785
13/06/2011,31.15,-0.067643647
10/06/2011,33.33,-0.016366977
09/06/2011,33.88,0.01816878
08/06/2011,33.27,-0.015508811
07/06/2011,33.79,0.020933779
06/06/2011,33.09,-0.017079067
03/06/2011,33.66,-0.012107043
02/06/2011,34.07,-0.012831905
01/06/2011,34.51,-0.016951993
31/05/2011,35.1,0.01579358
27/05/2011,34.55,0.008720986
26/05/2011,34.25,0.012338582
25/05/2011,33.83,0.011595195
24/05/2011,33.44,0.005998818
23/05/2011,33.24,0.004522848
20/05/2011,33.09,-0.021525495
19/05/2011,33.81,0.003258779
18/05/2011,33.7,0.010440065
17/05/2011,33.35,-0.000299805
16/05/2011,33.36,-0.008655479
13/05/2011,33.65,-0.017965437
12/05/2011,34.26,0.015294416
11/05/2011,33.74,-0.015878017
10/05/2011,34.28,0.006144862
09/05/2011,34.07,-0.00497732
06/05/2011,34.24,-0.00843396
05/05/2011,34.53,0.004062687
04/05/2011,34.39,0.009348593
03/05/2011,34.07,0.013891165
02/05/2011,33.6,-0.009183889
29/04/2011,33.91,-0.006173766
28/04/2011,34.12,0.022526145
27/04/2011,33.36,0.010547032
26/04/2011,33.01,-0.044438591
25/04/2011,34.51,0.013419105
21/04/2011,34.05,0.016583146
20/04/2011,33.49,0.021733424
19/04/2011,32.77,0.002444242
18/04/2011,32.69,-0.00792204
15/04/2011,32.95,0.018068169
14/04/2011,32.36,-0.019584469
13/04/2011,33,-0.000605877
12/04/2011,33.02,-0.027775416
11/04/2011,33.95,-0.026164283
08/04/2011,34.85,-0.025776813
07/04/2011,35.76,0.015215847
06/04/2011,35.22,0.011422169
05/04/2011,34.82,0.006627311
04/04/2011,34.59,-0.029342655
01/04/2011,35.62,0.007043275
31/03/2011,35.37,-0.009566758
30/03/2011,35.71,0.029556002
29/03/2011,34.67,0.011312666
28/03/2011,34.28,-0.006976772
25/03/2011,34.52,0.013708834
24/03/2011,34.05,0.02017274
23/03/2011,33.37,0.010543854
22/03/2011,33.02,-0.005135187
21/03/2011,33.19,-0.003008426
18/03/2011,33.29,0.003611199
17/03/2011,33.17,0.008477193
16/03/2011,32.89,-0.009983444
15/03/2011,33.22,0.005130538
14/03/2011,33.05,-0.012926679
11/03/2011,33.48,0.015956985
10/03/2011,32.95,-0.018045602
09/03/2011,33.55,0.006278986
08/03/2011,33.34,0.030762286
07/03/2011,32.33,-0.010767678
04/03/2011,32.68,-0.009441215
03/03/2011,32.99,0.004557201
02/03/2011,32.84,0.010407195
01/03/2011,32.5,-0.034475746
28/02/2011,33.64,0.003871933
25/02/2011,33.51,0.030911552
24/02/2011,32.49,0.008034654
23/02/2011,32.23,-0.038647743
22/02/2011,33.5,-0.026220386
18/02/2011,34.39,0.007589062
