Date,Close,UA
03/06/2013,61.75,-0.00404041
31/05/2013,62,-0.011864818
30/05/2013,62.74,0
29/05/2013,62.74,-0.008728136
28/05/2013,63.29,0.011920987
24/05/2013,62.54,-0.007487092
23/05/2013,63.01,-0.008690898
22/05/2013,63.56,-0.01157529
21/05/2013,64.3,0.035135755
20/05/2013,62.08,-0.006902668
17/05/2013,62.51,0.018079589
16/05/2013,61.39,0.000162906
15/05/2013,61.38,0.012624153
14/05/2013,60.61,0.019660747
13/05/2013,59.43,-0.007042283
10/05/2013,59.85,0.020253857
09/05/2013,58.65,0.007530414
08/05/2013,58.21,0.006030862
07/05/2013,57.86,0.003636053
06/05/2013,57.65,-0.001040222
03/05/2013,57.71,0.013432387
02/05/2013,56.94,0.010238395
01/05/2013,56.36,-0.012694106
30/04/2013,57.08,0.020531695
29/04/2013,55.92,0.002865331
26/04/2013,55.76,-0.012298524
25/04/2013,56.45,0.008539458
24/04/2013,55.97,0.008973499
23/04/2013,55.47,0.003793015
22/04/2013,55.26,-0.020597128
19/04/2013,56.41,0.013205046
18/04/2013,55.67,-0.020446974
17/04/2013,56.82,0.000880359
16/04/2013,56.77,0.006716179
15/04/2013,56.39,-0.01075943
12/04/2013,57,0.017164006
11/04/2013,56.03,0.01909968
10/04/2013,54.97,0.013922189
09/04/2013,54.21,0.003511045
08/04/2013,54.02,0.018308002
05/04/2013,53.04,-0.003575801
04/04/2013,53.23,-0.000375657
03/04/2013,53.25,0.03108861
02/04/2013,51.62,0.020748444
01/04/2013,50.56,-0.012578782
28/03/2013,51.2,0.004502308
27/03/2013,50.97,0.006297994
26/03/2013,50.65,-0.001183899
25/03/2013,50.71,0.002171554
22/03/2013,50.6,0.045071789
21/03/2013,48.37,-0.025312639
20/03/2013,49.61,0.023041085
19/03/2013,48.48,-0.035062868
18/03/2013,50.21,-0.008922435
15/03/2013,50.66,-0.008256387
14/03/2013,51.08,0.027186911
13/03/2013,49.71,0.024436158
12/03/2013,48.51,-0.003498306
11/03/2013,48.68,-0.009405099
08/03/2013,49.14,-0.027299969
07/03/2013,50.5,0.005759126
06/03/2013,50.21,0.005992827
05/03/2013,49.91,-0.001201442
04/03/2013,49.97,0.010258563
01/03/2013,49.46,0.003645943
28/02/2013,49.28,0.021951851
27/02/2013,48.21,0.014205378
26/02/2013,47.53,0.017831082
25/02/2013,46.69,-0.011922645
22/02/2013,47.25,-0.010316967
21/02/2013,47.74,-0.021140684
20/02/2013,48.76,-0.020301144
19/02/2013,49.76,0.004229188
15/02/2013,49.55,0.013204864
14/02/2013,48.9,0.004098366
13/02/2013,48.7,-0.020728237
12/02/2013,49.72,-0.002009243
11/02/2013,49.82,-0.007598517
08/02/2013,50.2,0.005192742
07/02/2013,49.94,-0.003198723
06/02/2013,50.1,-0.007358092
05/02/2013,50.47,0.010156415
04/02/2013,49.96,-0.010750651
01/02/2013,50.5,-0.007300023
31/01/2013,50.87,0.055367676
30/01/2013,48.13,-0.003732895
29/01/2013,48.31,0.008314328
28/01/2013,47.91,-0.007278809
25/01/2013,48.26,0.051009783
24/01/2013,45.86,-0.039128455
23/01/2013,47.69,0.005255978
22/01/2013,47.44,0.025188098
18/01/2013,46.26,-0.014805549
17/01/2013,46.95,-0.002340178
16/01/2013,47.06,-0.008253142
15/01/2013,47.45,-0.01858285
14/01/2013,48.34,0.00518512
11/01/2013,48.09,0.008562233
10/01/2013,47.68,0.021839095
09/01/2013,46.65,-0.04177331
08/01/2013,48.64,0.004326781
07/01/2013,48.43,-0.018818309
04/01/2013,49.35,-0.006262014
03/01/2013,49.66,0.027147294
02/01/2013,48.33,-0.004129678
31/12/2012,48.53,0.023138083
28/12/2012,47.42,-0.013198055
27/12/2012,48.05,0.008359505
26/12/2012,47.65,-0.033026738
24/12/2012,49.25,0.003865329
21/12/2012,49.06,0.032946106
20/12/2012,47.47,-0.031926426
19/12/2012,49.01,-0.017395261
18/12/2012,49.87,0.040512905
17/12/2012,47.89,-0.006659754
14/12/2012,48.21,-0.005172247
13/12/2012,48.46,-0.042422034
12/12/2012,50.56,-0.014724915
11/12/2012,51.31,0.023266034
10/12/2012,50.13,-0.039696286
07/12/2012,52.16,-0.010868636
06/12/2012,52.73,0.015673104
05/12/2012,51.91,-0.003845419
04/12/2012,52.11,-0.010119418
03/12/2012,52.64,0.015507155
30/11/2012,51.83,-0.0378618
29/11/2012,53.83,-0.016763771
28/11/2012,54.74,0.011760518
27/11/2012,54.1,0.008539127
26/11/2012,53.64,0.016920877
23/11/2012,52.74,0.007613284
21/11/2012,52.34,0.007864239
20/11/2012,51.93,0.012985937
19/11/2012,51.26,0.009802078
16/11/2012,50.76,0.011890747
15/11/2012,50.16,0.007403736
14/11/2012,49.79,-0.026752809
13/11/2012,51.14,0.030172992
12/11/2012,49.62,-0.005426604
09/11/2012,49.89,-0.012350755
08/11/2012,50.51,-0.045475573
07/11/2012,52.86,-0.013902159
06/11/2012,53.6,0.011257155
05/11/2012,53,0.006056037
02/11/2012,52.68,-0.008317628
01/11/2012,53.12,0.016322245
31/10/2012,52.26,0.002107079
26/10/2012,52.15,-0.014846104
25/10/2012,52.93,-0.067391994
24/10/2012,56.62,-0.014378645
23/10/2012,57.44,-0.005382425
22/10/2012,57.75,-0.017167804
19/10/2012,58.75,-0.008812123
18/10/2012,59.27,0.011368579
17/10/2012,58.6,0.008913326
16/10/2012,58.08,0.036826886
15/10/2012,55.98,0.025693471
12/10/2012,54.56,-0.000549702
11/10/2012,54.59,0.005326489
10/10/2012,54.3,0.003320424
09/10/2012,54.12,-0.027159238
08/10/2012,55.61,-0.008059505
05/10/2012,56.06,-0.00569194
04/10/2012,56.38,0.026783303
03/10/2012,54.89,-0.017875352
02/10/2012,55.88,0.006823514
01/10/2012,55.5,-0.005928339
28/09/2012,55.83,-0.003040331
27/09/2012,56,0.02421951
26/09/2012,54.66,0.000732064
25/09/2012,54.62,-0.032955175
24/09/2012,56.45,-0.001593062
21/09/2012,56.54,-0.008979724
20/09/2012,57.05,-0.018925819
19/09/2012,58.14,0.003273325
18/09/2012,57.95,-0.018803973
17/09/2012,59.05,-0.016459895
14/09/2012,60.03,0.012235131
13/09/2012,59.3,-0.00353506
12/09/2012,59.51,0.004885043
11/09/2012,59.22,-0.006396251
10/09/2012,59.6,-0.000670916
07/09/2012,59.64,0.00521141
06/09/2012,59.33,0.032200076
05/09/2012,57.45,-0.021524723
04/09/2012,58.7,0.008382566
31/08/2012,58.21,0.009146668
30/08/2012,57.68,0.002082611
29/08/2012,57.56,0.00295781
28/08/2012,57.39,0.032586556
27/08/2012,55.55,-0.005744047
24/08/2012,55.87,-0.023351494
23/08/2012,57.19,0.006314703
22/08/2012,56.83,0.004232064
21/08/2012,56.59,-0.002823365
20/08/2012,56.75,-0.017121313
17/08/2012,57.73,0.021536331
16/08/2012,56.5,0.009603488
15/08/2012,55.96,-0.008186556
14/08/2012,56.42,-0.00812008
13/08/2012,56.88,0.002111933
10/08/2012,56.76,-0.010340991
09/08/2012,57.35,0.011575015
08/08/2012,56.69,-0.001057828
07/08/2012,56.75,-0.016081451
06/08/2012,57.67,0.027423058
03/08/2012,56.11,0.036295038
02/08/2012,54.11,0.011337358
01/08/2012,53.5,-0.017417524
31/07/2012,54.44,-0.017660905
30/07/2012,55.41,0.004884677
27/07/2012,55.14,-0.003078318
26/07/2012,55.31,0.025452257
25/07/2012,53.92,0.021179688
24/07/2012,52.79,0.087235274
23/07/2012,48.38,-0.024702695
20/07/2012,49.59,-0.018778019
19/07/2012,50.53,0.021807406
18/07/2012,49.44,0.016313575
17/07/2012,48.64,0.033235372
16/07/2012,47.05,-0.007411363
13/07/2012,47.4,0.023048395
12/07/2012,46.32,0.018521065
11/07/2012,45.47,-0.031604362
10/07/2012,46.93,-0.676278663
09/07/2012,92.29,0.005105654
06/07/2012,91.82,-0.022187232
05/07/2012,93.88,0.024149513
03/07/2012,91.64,-0.001417589
02/07/2012,91.77,-0.029102725
29/06/2012,94.48,0.04292783
28/06/2012,90.51,-0.029609216
27/06/2012,93.23,-0.035405658
26/06/2012,96.59,-0.006192609
25/06/2012,97.19,-0.026099476
22/06/2012,99.76,0.013015368
21/06/2012,98.47,-0.065921235
20/06/2012,105.18,-0.011908278
19/06/2012,106.44,0.00338792
18/06/2012,106.08,0.003115709
15/06/2012,105.75,0.039247191
14/06/2012,101.68,0.00740342
13/06/2012,100.93,-0.047406826
12/06/2012,105.83,0.029632508
11/06/2012,102.74,-0.005532652
08/06/2012,103.31,0.034365613
07/06/2012,99.82,-0.015211309
06/06/2012,101.35,0.022854146
05/06/2012,99.06,0.017823968
04/06/2012,97.31,0.016161131
01/06/2012,95.75,-0.050703042
31/05/2012,100.73,0.00029787
30/05/2012,100.7,-0.000595652
29/05/2012,100.76,0.025837074
25/05/2012,98.19,0.009208168
24/05/2012,97.29,0.025083274
23/05/2012,94.88,0.005495681
22/05/2012,94.36,0.012262242
21/05/2012,93.21,0.046218642
18/05/2012,89,-0.011506578
17/05/2012,90.03,-0.050887792
16/05/2012,94.73,0.001373264
15/05/2012,94.6,0.0057246
14/05/2012,94.06,-0.008047481
11/05/2012,94.82,0.010069511
10/05/2012,93.87,-0.000745434
09/05/2012,93.94,0.013503581
08/05/2012,92.68,-0.043597595
07/05/2012,96.81,0.002896454
04/05/2012,96.53,-0.028996416
03/05/2012,99.37,-0.017358776
02/05/2012,101.11,0.028083282
01/05/2012,98.31,0.003872814
30/04/2012,97.93,-0.009755184
27/04/2012,98.89,0.013233092
26/04/2012,97.59,0.009575363
25/04/2012,96.66,0.013750217
24/04/2012,95.34,-0.052210641
23/04/2012,100.45,-0.01069423
20/04/2012,101.53,0.050811313
19/04/2012,96.5,-0.005374134
18/04/2012,97.02,0.006514681
17/04/2012,96.39,0.013683819
16/04/2012,95.08,-0.012334221
13/04/2012,96.26,0.012334221
12/04/2012,95.08,0.009192309
11/04/2012,94.21,0.02102405
10/04/2012,92.25,-0.032212683
09/04/2012,95.27,-0.002725369
05/04/2012,95.53,0.01136974
04/04/2012,94.45,-0.037814831
03/04/2012,98.09,0.019560022
02/04/2012,96.19,0.02303062
30/03/2012,94,-0.000425441
29/03/2012,94.04,-0.019377186
28/03/2012,95.88,-0.017780084
27/03/2012,97.6,-0.013838235
26/03/2012,98.96,0.018974353
23/03/2012,97.1,-0.006569517
