Date,Close,MTB
09/04/2013,102.79,0.016676863
08/04/2013,101.09,-0.001087548
05/04/2013,101.2,-0.004043199
04/04/2013,101.61,0.007805207
03/04/2013,100.82,-0.012420071
02/04/2013,102.08,-0.004105979
01/04/2013,102.5,-0.006418382
28/03/2013,103.16,0.000193892
27/03/2013,103.14,0.005541796
26/03/2013,102.57,-0.002239861
25/03/2013,102.8,-0.003108006
22/03/2013,103.12,0.004276003
21/03/2013,102.68,-0.00592321
20/03/2013,103.29,0.00426895
19/03/2013,102.85,-0.004462561
18/03/2013,103.31,-0.010016457
15/03/2013,104.35,-0.00306191
14/03/2013,104.67,0.004308494
13/03/2013,104.22,0.00124814
12/03/2013,104.09,-0.000864263
11/03/2013,104.18,0.002113963
08/03/2013,103.96,0
07/03/2013,103.96,0.001251263
06/03/2013,103.83,0.001638634
05/03/2013,103.66,0.003769395
04/03/2013,103.27,0.005924361
01/03/2013,102.66,0.00556778
28/02/2013,102.09,-0.005470366
27/02/2013,102.65,0.005862254
26/02/2013,102.05,0.001863568
25/02/2013,101.86,-0.027786288
22/02/2013,104.73,0.015783217
21/02/2013,103.09,-0.015019056
20/02/2013,104.65,-0.010740017
19/02/2013,105.78,0.009021475
15/02/2013,104.83,0.002196439
14/02/2013,104.6,-0.000668992
13/02/2013,104.67,-0.007424363
12/02/2013,105.45,0.011540974
11/02/2013,104.24,-0.001437953
08/02/2013,104.39,0.005764258
07/02/2013,103.79,-0.002501926
06/02/2013,104.05,-0.00393267
05/02/2013,104.46,0.016992106
04/02/2013,102.7,-0.011809255
01/02/2013,103.92,0.011906631
31/01/2013,102.69,-0.006019436
30/01/2013,103.31,-0.00106419
29/01/2013,103.42,0.002808039
28/01/2013,103.13,-0.008304412
25/01/2013,103.99,-0.000288448
24/01/2013,104.02,-0.000864844
23/01/2013,104.11,-0.006223987
22/01/2013,104.76,0.014131454
18/01/2013,103.29,-0.000387184
17/01/2013,103.33,0.004170107
16/01/2013,102.9,-0.005330761
15/01/2013,103.45,0.006400332
14/01/2013,102.79,-0.004368303
11/01/2013,103.24,-0.002901637
10/01/2013,103.54,0.007172658
09/01/2013,102.8,0.004387041
08/01/2013,102.35,-0.001074166
07/01/2013,102.46,-0.003312875
04/01/2013,102.8,0.016378535
03/01/2013,101.13,0.000989315
02/01/2013,101.03,0.025665569
31/12/2012,98.47,0.009386866
28/12/2012,97.55,-0.00725196
27/12/2012,98.26,-0.006188829
26/12/2012,98.87,-0.002827999
24/12/2012,99.15,-0.00713535
21/12/2012,99.86,-0.012637613
20/12/2012,101.13,0.005055773
19/12/2012,100.62,-0.006044111
18/12/2012,101.23,0.013325575
17/12/2012,99.89,0.020020891
14/12/2012,97.91,-0.003466561
13/12/2012,98.25,0.001425953
12/12/2012,98.11,0.003164721
11/12/2012,97.8,-0.001940856
