Date,Close,TSCO
13/11/2012,90.38,-0.010456317
12/11/2012,91.33,-0.00948081
09/11/2012,92.2,0.002171554
08/11/2012,92,0.004903306
07/11/2012,91.55,-0.025877455
06/11/2012,93.95,-0.007634434
05/11/2012,94.67,0.001056859
02/11/2012,94.57,-0.024958221
01/11/2012,96.96,0.00797312
31/10/2012,96.19,0.043667638
26/10/2012,92.08,-0.008650573
25/10/2012,92.88,-0.024251348
24/10/2012,95.16,-0.000105081
23/10/2012,95.17,0.007064932
22/10/2012,94.5,0.005624252
19/10/2012,93.97,-0.021372609
18/10/2012,96,-0.002289045
17/10/2012,96.22,0.004270173
16/10/2012,95.81,-0.011312455
15/10/2012,96.9,-0.00288541
12/10/2012,97.18,-0.002569242
11/10/2012,97.43,-0.007872044
10/10/2012,98.2,-0.005382636
09/10/2012,98.73,-0.027669947
08/10/2012,101.5,-0.009316076
05/10/2012,102.45,0.030222761
04/10/2012,99.4,0.020531263
03/10/2012,97.38,-0.007264574
02/10/2012,98.09,0.001019992
01/10/2012,97.99,-0.009142689
28/09/2012,98.89,-0.010261659
27/09/2012,99.91,0.027293329
26/09/2012,97.22,0.002884221
25/09/2012,96.94,-0.003295575
24/09/2012,97.26,-0.001027644
21/09/2012,97.36,0.004220067
20/09/2012,96.95,-0.000103141
19/09/2012,96.96,0.000722208
18/09/2012,96.89,-0.010063753
17/09/2012,97.87,0.008929089
14/09/2012,97,-0.007599913
13/09/2012,97.74,-0.007745656
12/09/2012,98.5,-0.007786862
11/09/2012,99.27,-0.010820665
10/09/2012,100.35,-0.002587581
07/09/2012,100.61,-0.002680035
06/09/2012,100.88,0.026518227
05/09/2012,98.24,-0.011537422
04/09/2012,99.38,0.040034085
31/08/2012,95.48,0
30/08/2012,95.48,-0.00584797
29/08/2012,96.04,-0.006848631
28/08/2012,96.7,-0.000723626
27/08/2012,96.77,0.006427557
24/08/2012,96.15,0.001665453
23/08/2012,95.99,-0.002704954
22/08/2012,96.25,0.022909787
21/08/2012,94.07,0.001382905
20/08/2012,93.94,0.002024616
17/08/2012,93.75,0.015804232
16/08/2012,92.28,0.023907269
15/08/2012,90.1,-0.002549467
14/08/2012,90.33,-0.006510368
13/08/2012,90.92,0.005293352
10/08/2012,90.44,-0.012853789
09/08/2012,91.61,-0.009343832
08/08/2012,92.47,0.015146026
07/08/2012,91.08,0.010485169
06/08/2012,90.13,-0.003544139
03/08/2012,90.45,0.012571785
02/08/2012,89.32,0.013752894
01/08/2012,88.1,-0.030957381
31/07/2012,90.87,-0.011379924
30/07/2012,91.91,-0.000326353
27/07/2012,91.94,-0.007152951
26/07/2012,92.6,0.158208578
25/07/2012,79.05,0.004310352
24/07/2012,78.71,-0.024968363
23/07/2012,80.7,0.034286192
20/07/2012,77.98,-0.041693633
19/07/2012,81.3,0.022011708
18/07/2012,79.53,0.012144362
17/07/2012,78.57,-0.025384625
16/07/2012,80.59,-0.005198032
13/07/2012,81.01,-0.022579833
12/07/2012,82.86,0.035375833
11/07/2012,79.98,-0.044266917
10/07/2012,83.6,-0.009879269
09/07/2012,84.43,0.005820531
06/07/2012,83.94,-0.001666469
05/07/2012,84.08,0.009920598
03/07/2012,83.25,-0.007777485
02/07/2012,83.9,0.010062375
29/06/2012,83.06,0.015041526
28/06/2012,81.82,-0.015282287
27/06/2012,83.08,-0.042995846
26/06/2012,86.73,0.001731003
25/06/2012,86.58,-0.000923574
22/06/2012,86.66,-0.016480117
21/06/2012,88.1,-0.027098288
20/06/2012,90.52,-0.004629128
19/06/2012,90.94,0.011279562
18/06/2012,89.92,0.022606822
15/06/2012,87.91,0.012937383
14/06/2012,86.78,0.031726395
13/06/2012,84.07,-0.044777525
12/06/2012,87.92,0.025457805
11/06/2012,85.71,-0.022952394
08/06/2012,87.7,0.002740353
07/06/2012,87.46,-0.015993082
06/06/2012,88.87,0.014279481
05/06/2012,87.61,0.025666149
04/06/2012,85.39,-0.048014709
01/06/2012,89.59,-0.019454576
31/05/2012,91.35,0.020236219
30/05/2012,89.52,-0.032422204
29/05/2012,92.47,-0.07447868
25/05/2012,99.62,0.003217377
24/05/2012,99.3,0.013382195
23/05/2012,97.98,0.012323015
22/05/2012,96.78,0.03042299
21/05/2012,93.88,0.021751692
18/05/2012,91.86,-0.035924325
17/05/2012,95.22,-0.030816212
16/05/2012,98.2,0.010441286
15/05/2012,97.18,-0.009931992
14/05/2012,98.15,-0.004979938
11/05/2012,98.64,0.010394468
10/05/2012,97.62,0.009468988
09/05/2012,96.7,0.009141971
08/05/2012,95.82,-0.001772588
07/05/2012,95.99,-0.005091714
04/05/2012,96.48,-0.025582077
03/05/2012,98.98,-0.007949727
02/05/2012,99.77,0.014030006
01/05/2012,98.38,-0.000304894
30/04/2012,98.41,-0.010814194
27/04/2012,99.48,0.019899134
26/04/2012,97.52,0.000307677
25/04/2012,97.49,0.00576074
24/04/2012,96.93,-0.025263644
23/04/2012,99.41,-0.000502841
20/04/2012,99.46,0.00584856
19/04/2012,98.88,-0.007857399
18/04/2012,99.66,0.005332273
17/04/2012,99.13,0.011362606
16/04/2012,98.01,-0.003768017
13/04/2012,98.38,0.004380387
12/04/2012,97.95,0.059413003
11/04/2012,92.3,0.015944424
10/04/2012,90.84,-0.023714807
09/04/2012,93.02,-0.003541346
05/04/2012,93.35,0.007742807
04/04/2012,92.63,-0.002802934
03/04/2012,92.89,0.011150319
02/04/2012,91.86,0.014253064
30/03/2012,90.56,-0.006384171
29/03/2012,91.14,-0.001754002
28/03/2012,91.3,0.002961665
27/03/2012,91.03,0.001209124
26/03/2012,90.92,0.055167695
23/03/2012,86.04,-0.019679558
22/03/2012,87.75,-0.000683527
21/03/2012,87.81,0.010762641
20/03/2012,86.87,0.006351427
19/03/2012,86.32,0.005925771
16/03/2012,85.81,-0.016985792
15/03/2012,87.28,-0.004002064
14/03/2012,87.63,-0.007503446
13/03/2012,88.29,0.010703814
12/03/2012,87.35,-0.000228938
09/03/2012,87.37,-0.001143903
08/03/2012,87.47,-0.000342916
07/03/2012,87.5,0.021136087
06/03/2012,85.67,-0.012181832
05/03/2012,86.72,0.001269255
02/03/2012,86.61,-0.010223511
01/03/2012,87.5,0.023473356
29/02/2012,85.47,-0.012672378
28/02/2012,86.56,-0.009886274
27/02/2012,87.42,0.035986416
24/02/2012,84.33,-0.006383
23/02/2012,84.87,0.014240184
22/02/2012,83.67,0.003591958
21/02/2012,83.37,0.00734368
17/02/2012,82.76,-0.007583545
16/02/2012,83.39,-0.003232568
15/02/2012,83.66,-0.010345535
14/02/2012,84.53,-0.001418608
13/02/2012,84.65,0.01872111
10/02/2012,83.08,-0.002764591
09/02/2012,83.31,-0.00167906
08/02/2012,83.45,-0.01934434
07/02/2012,85.08,0.036263173
06/02/2012,82.05,0.010290425
03/02/2012,81.21,0.016638079
02/02/2012,79.87,-0.023754674
01/02/2012,81.79,0.012549377
31/01/2012,80.77,-0.001484598
30/01/2012,80.89,0.005827306
27/01/2012,80.42,0.007238269
26/01/2012,79.84,-0.011952334
25/01/2012,80.8,0.00123839
24/01/2012,80.7,0.002605622
23/01/2012,80.49,0.006231326
20/01/2012,79.99,-0.005485614
19/01/2012,80.43,-0.010635767
18/01/2012,81.29,0.010014301
17/01/2012,80.48,-0.000993542
13/01/2012,80.56,0.004478734
12/01/2012,80.2,0.095023438
11/01/2012,72.93,0.003296253
10/01/2012,72.69,0.029173679
09/01/2012,70.6,0.012686365
06/01/2012,69.71,0.004168769
05/01/2012,69.42,0.000720513
04/01/2012,69.37,-0.00129655
03/01/2012,69.46,-0.009884759
30/12/2011,70.15,-0.016961537
29/12/2011,71.35,-0.004893404
28/12/2011,71.7,-0.004869575
27/12/2011,72.05,0.015243984
23/12/2011,70.96,0.002116104
22/12/2011,70.81,-0.022620345
21/12/2011,72.43,-0.004408328
20/12/2011,72.75,0.016492647
19/12/2011,71.56,-0.017454384
16/12/2011,72.82,0.018293193
15/12/2011,71.5,0.011959341
14/12/2011,70.65,-0.029428245
13/12/2011,72.76,-0.019463017
12/12/2011,74.19,-0.014452279
09/12/2011,75.27,0.031444464
08/12/2011,72.94,-0.019011979
07/12/2011,74.34,0.013270337
06/12/2011,73.36,-0.008415958
05/12/2011,73.98,0.024354741
