Date,Close,CTAS
23/09/2013,51.07,-0.00371348
20/09/2013,51.26,0.00724428
19/09/2013,50.89,-0.002747254
18/09/2013,51.03,0.010638398
17/09/2013,50.49,0.006158756
16/09/2013,50.18,0.009611608
13/09/2013,49.7,0
12/09/2013,49.7,-0.00140746
11/09/2013,49.77,0.000401929
10/09/2013,49.75,0.006655263
09/09/2013,49.42,0.01652593
06/09/2013,48.61,0.006190692
05/09/2013,48.31,0.004148523
04/09/2013,48.11,0.0024974
03/09/2013,47.99,0.004804187
30/08/2013,47.76,-0.008963062
29/08/2013,48.19,0.00395052
28/08/2013,48,0.002920928
27/08/2013,47.86,-0.016988186
26/08/2013,48.68,-0.000821355
23/08/2013,48.72,0.001437815
22/08/2013,48.65,0.006806255
21/08/2013,48.32,-0.003924409
20/08/2013,48.51,0.008072071
19/08/2013,48.12,-0.013007306
16/08/2013,48.75,-0.004298441
15/08/2013,48.96,-0.006717583
14/08/2013,49.29,0
13/08/2013,49.29,0.004065873
12/08/2013,49.09,0.000203728
09/08/2013,49.08,0.003674223
08/08/2013,48.9,0.004714573
07/08/2013,48.67,0.013653501
06/08/2013,48.01,-0.002496361
05/08/2013,48.13,0.002288093
02/08/2013,48.02,-0.001456664
01/08/2013,48.09,0.01213404
31/07/2013,47.51,0.005699224
30/07/2013,47.24,0.007010119
29/07/2013,46.91,-0.008067984
26/07/2013,47.29,0.000423012
25/07/2013,47.27,-0.005905944
24/07/2013,47.55,-0.005871269
23/07/2013,47.83,0
22/07/2013,47.83,0.005450747
19/07/2013,47.57,-0.002519422
18/07/2013,47.69,0.009904201
17/07/2013,47.22,0.003394148
16/07/2013,47.06,-0.017274497
15/07/2013,47.88,-0.00250313
12/07/2013,48,0.006898742
11/07/2013,47.67,0.008849615
10/07/2013,47.25,0.000635122
09/07/2013,47.22,0.008934329
08/07/2013,46.8,0.007506738
05/07/2013,46.45,0.012565157
03/07/2013,45.87,0.005026784
02/07/2013,45.64,-0.000657102
01/07/2013,45.67,0.002850567
28/06/2013,45.54,-0.008745137
27/06/2013,45.94,0.010943423
26/06/2013,45.44,0.000660429
25/06/2013,45.41,0.006628394
24/06/2013,45.11,-0.000443262
21/06/2013,45.13,-0.001992253
20/06/2013,45.22,-0.009245058
19/06/2013,45.64,-0.01262808
18/06/2013,46.22,0.006947488
17/06/2013,45.9,0.007215512
14/06/2013,45.57,-0.007651147
13/06/2013,45.92,0.018683915
12/06/2013,45.07,-0.007295268
11/06/2013,45.4,-0.008990303
10/06/2013,45.81,0.000218317
07/06/2013,45.8,0.012523508
06/06/2013,45.23,0.008436995
05/06/2013,44.85,-0.012188517
04/06/2013,45.4,-0.006804987
03/06/2013,45.71,0.001313485
31/05/2013,45.65,0.003291281
30/05/2013,45.5,0.017291497
29/05/2013,44.72,-0.010012321
28/05/2013,45.17,0.004215203
24/05/2013,44.98,0.003117348
23/05/2013,44.84,-0.011309578
22/05/2013,45.35,-0.011837052
21/05/2013,45.89,-0.000217889
20/05/2013,45.9,0.000217889
17/05/2013,45.89,0.010514883
16/05/2013,45.41,-0.003736679
15/05/2013,45.58,0.009700252
14/05/2013,45.14,0.005553719
13/05/2013,44.89,-0.004888899
10/05/2013,45.11,0.005334531
09/05/2013,44.87,-0.008212231
08/05/2013,45.24,-0.000883783
07/05/2013,45.28,0.003761482
06/05/2013,45.11,-0.003098719
03/05/2013,45.25,0.013572352
02/05/2013,44.64,0.009453143
01/05/2013,44.22,-0.014592245
30/04/2013,44.87,0.00178452
29/04/2013,44.79,0.003354582
26/04/2013,44.64,-0.007587628
25/04/2013,44.98,0.002225685
24/04/2013,44.88,0.005137954
23/04/2013,44.65,-0.002683965
22/04/2013,44.77,-0.000669867
19/04/2013,44.8,0.012804848
18/04/2013,44.23,0.001131094
17/04/2013,44.18,-0.019500786
16/04/2013,45.05,0.014758765
15/04/2013,44.39,-0.033015073
12/04/2013,45.88,0.006560268
11/04/2013,45.58,0.008371937
10/04/2013,45.2,0.02011241
09/04/2013,44.3,0.001129306
08/04/2013,44.25,0.008852628
05/04/2013,43.86,-0.004549598
04/04/2013,44.06,0.000908265
03/04/2013,44.02,-0.000908265
02/04/2013,44.06,0.002727274
01/04/2013,43.94,-0.004314756
28/03/2013,44.13,0.013689468
27/03/2013,43.53,0.003682398
26/03/2013,43.37,0.006941259
25/03/2013,43.07,-0.007402301
22/03/2013,43.39,0.004620013
21/03/2013,43.19,-0.015849648
20/03/2013,43.88,-0.045659863
19/03/2013,45.93,0.009845829
18/03/2013,45.48,0.01685184
15/03/2013,44.72,0.005156384
14/03/2013,44.49,-0.001796542
13/03/2013,44.57,0.009015161
12/03/2013,44.17,-0.005418844
11/03/2013,44.41,0.001351961
08/03/2013,44.35,0.007241489
07/03/2013,44.03,0.005465739
06/03/2013,43.79,-0.003647143
05/03/2013,43.95,0.005933381
