Date,Close,USB
23/07/2013,37.54,0.00507412
22/07/2013,37.35,0.002412546
19/07/2013,37.26,0.005112348
18/07/2013,37.07,0.008941937
17/07/2013,36.74,-0.014322634
16/07/2013,37.27,-0.006152219
15/07/2013,37.5,-0.00425759
12/07/2013,37.66,0.013634752
11/07/2013,37.15,0.002155754
10/07/2013,37.07,-0.005917177
09/07/2013,37.29,0.006456842
08/07/2013,37.05,0.007858054
05/07/2013,36.76,0.011216094
03/07/2013,36.35,0.001376463
02/07/2013,36.3,-0.000275444
01/07/2013,36.31,0.004416237
28/06/2013,36.15,0.000276663
27/06/2013,36.14,0.005827684
26/06/2013,35.93,-0.00027828
25/06/2013,35.94,0.015421587
24/06/2013,35.39,-0.005073292
21/06/2013,35.57,0.014441706
20/06/2013,35.06,-0.003701072
19/06/2013,35.19,-0.004536441
18/06/2013,35.35,0.0034004
17/06/2013,35.23,0.006264257
14/06/2013,35.01,-0.012771566
13/06/2013,35.46,0.001693481
12/06/2013,35.4,-0.000282446
11/06/2013,35.41,-0.005070433
10/06/2013,35.59,-0.007836592
07/06/2013,35.87,0.013754603
06/06/2013,35.38,0.010512954
05/06/2013,35.01,-0.007115442
04/06/2013,35.26,-0.000283567
03/06/2013,35.27,0.005971865
31/05/2013,35.06,-0.013316531
30/05/2013,35.53,0.005644949
29/05/2013,35.33,-0.005926361
28/05/2013,35.54,0.003664557
24/05/2013,35.41,0.005380163
23/05/2013,35.22,-0.0042499
22/05/2013,35.37,0.002264366
21/05/2013,35.29,0.004544171
20/05/2013,35.13,0.013180707
17/05/2013,34.67,0.010437903
16/05/2013,34.31,-0.000873999
15/05/2013,34.34,0.01319087
14/05/2013,33.89,0.011574547
13/05/2013,33.5,0.000298552
10/05/2013,33.49,0.005389235
09/05/2013,33.31,-0.00060024
08/05/2013,33.33,0.005415176
07/05/2013,33.15,0.007874056
06/05/2013,32.89,0.003655197
03/05/2013,32.77,0.00581486
02/05/2013,32.58,-0.007034744
01/05/2013,32.81,-0.014223269
30/04/2013,33.28,-0.000300436
29/04/2013,33.29,0.004817835
26/04/2013,33.13,-0.005418436
25/04/2013,33.31,0.004814936
24/04/2013,33.15,0.010004631
23/04/2013,32.82,0.0107215
22/04/2013,32.47,-0.001231148
19/04/2013,32.51,0.007409728
18/04/2013,32.27,-0.003402942
17/04/2013,32.38,-0.010445563
16/04/2013,32.72,-0.01787114
15/04/2013,33.31,-0.02285305
12/04/2013,34.08,-0.003514942
11/04/2013,34.2,0.00029244
10/04/2013,34.19,0.014732146
09/04/2013,33.69,0
08/04/2013,33.69,0.00984348
05/04/2013,33.36,-0.013694766
04/04/2013,33.82,0.00444511
03/04/2013,33.67,-0.012690151
02/04/2013,34.1,0.003231021
01/04/2013,33.99,0.001766785
28/03/2013,33.93,0.005022909
27/03/2013,33.76,0.00237248
26/03/2013,33.68,0.000296956
25/03/2013,33.67,0.002974422
22/03/2013,33.57,0.000595948
21/03/2013,33.55,-0.011262715
20/03/2013,33.93,-0.000589275
19/03/2013,33.95,-0.005287909
18/03/2013,34.13,-0.002633506
15/03/2013,34.22,0.004686593
14/03/2013,34.06,-0.004686593
13/03/2013,34.22,-0.003500587
12/03/2013,34.34,-0.002036364
11/03/2013,34.41,0.005244767
08/03/2013,34.23,0.002339867
07/03/2013,34.15,0.012078509
06/03/2013,33.74,-0.00207254
05/03/2013,33.81,-0.013805477
04/03/2013,34.28,0.007907495
01/03/2013,34.01,0.000882483
28/02/2013,33.98,-0.001470372
27/02/2013,34.03,0.007077588
26/02/2013,33.79,0.013407023
25/02/2013,33.34,-0.016066992
22/02/2013,33.88,0.003252035
21/02/2013,33.77,-0.002366165
20/02/2013,33.85,-0.006771703
19/02/2013,34.08,0.005000746
15/02/2013,33.91,-0.002356408
14/02/2013,33.99,0.001766785
13/02/2013,33.93,-0.011137278
12/02/2013,34.31,0.006432771
11/02/2013,34.09,0.01299103
08/02/2013,33.65,0.0032743
07/02/2013,33.54,-0.002084885
06/02/2013,33.61,0.014384425
05/02/2013,33.13,0.005144511
04/02/2013,32.96,-0.013261195
01/02/2013,33.4,0.009022618
31/01/2013,33.1,-0.00120773
30/01/2013,33.14,-0.00571688
29/01/2013,33.33,0.004812039
28/01/2013,33.17,0
25/01/2013,33.17,0.001810501
24/01/2013,33.11,0.00060423
23/01/2013,33.09,0.00272356
22/01/2013,33,0.003947174
18/01/2013,32.87,0.003352129
17/01/2013,32.76,-0.011834458
16/01/2013,33.15,-0.003913899
15/01/2013,33.28,-0.005692899
14/01/2013,33.47,-0.000895924
11/01/2013,33.5,-0.004170396
10/01/2013,33.64,0.011059745
09/01/2013,33.27,0.009058033
08/01/2013,32.97,0.001517681
07/01/2013,32.92,-0.009071728
04/01/2013,33.22,0.02160437
03/01/2013,32.51,-0.014050323
02/01/2013,32.97,0.031738914
31/12/2012,31.94,0.008173576
28/12/2012,31.68,-0.010675141
27/12/2012,32.02,-0.007467365
26/12/2012,32.26,-0.001548707
24/12/2012,32.31,-0.005247735
21/12/2012,32.48,0.001232286
20/12/2012,32.44,0.007425777
19/12/2012,32.2,-0.011425167
18/12/2012,32.57,0.014847164
17/12/2012,32.09,0.021736562
14/12/2012,31.4,-0.00539941
13/12/2012,31.57,-0.009457826
12/12/2012,31.87,-0.003132835
11/12/2012,31.97,0.002191953
10/12/2012,31.9,-0.003754698
07/12/2012,32.02,0.006580002
06/12/2012,31.81,0.001573069
05/12/2012,31.76,0.010444786
04/12/2012,31.43,-0.019534333
03/12/2012,32.05,-0.006530889
30/11/2012,32.26,-0.00433035
29/11/2012,32.4,0.00030869
28/11/2012,32.39,0.008993703
27/11/2012,32.1,-0.008684918
26/11/2012,32.38,-0.006157655
23/11/2012,32.58,0.01640142
21/11/2012,32.05,-0.00622086
20/11/2012,32.25,0.00528526
19/11/2012,32.08,0.016659194
16/11/2012,31.55,0.010835033
15/11/2012,31.21,-0.003837549
14/11/2012,31.33,-0.012055984
13/11/2012,31.71,-0.010977059
12/11/2012,32.06,-0.001246883
09/11/2012,32.1,-0.002178311
08/11/2012,32.17,-0.006815392
07/11/2012,32.39,-0.03637867
06/11/2012,33.59,0.013487392
05/11/2012,33.14,-0.008712688
02/11/2012,33.43,-0.006856488
01/11/2012,33.66,0.013459153
31/10/2012,33.21,0.001808319
26/10/2012,33.15,-0.009905529
25/10/2012,33.48,0.010509029
24/10/2012,33.13,-0.006918361
23/10/2012,33.36,-0.023990489
22/10/2012,34.17,-0.001754386
19/10/2012,34.23,-0.004954112
18/10/2012,34.4,0.00583092
17/10/2012,34.2,0.017402002
16/10/2012,33.61,-0.000594884
15/10/2012,33.63,-0.002672607
12/10/2012,33.72,-0.019674691
11/10/2012,34.39,-0.006087858
10/10/2012,34.6,-0.00230947
09/10/2012,34.68,-0.00374155
08/10/2012,34.81,-0.003155029
05/10/2012,34.92,-0.00770222
04/10/2012,35.19,0.023286951
03/10/2012,34.38,0.008764298
02/10/2012,34.08,-0.000293384
01/10/2012,34.09,-0.006141268
28/09/2012,34.3,0.004089985
27/09/2012,34.16,0.006166515
26/09/2012,33.95,-0.004994869
25/09/2012,34.12,-0.001756955
24/09/2012,34.18,0.009701678
21/09/2012,33.85,-0.005597304
20/09/2012,34.04,-0.008774552
19/09/2012,34.34,0.004377652
18/09/2012,34.19,0
17/09/2012,34.19,-0.021412855
14/09/2012,34.93,0.001719198
13/09/2012,34.87,0.027032601
12/09/2012,33.94,-0.002942044
11/09/2012,34.04,0.006188321
10/09/2012,33.83,-0.004424133
07/09/2012,33.98,0.001472537
06/09/2012,33.93,0.025370709
05/09/2012,33.08,-0.001208459
04/09/2012,33.12,-0.008717927
31/08/2012,33.41,0.003598205
30/08/2012,33.29,-0.006288387
29/08/2012,33.5,0.005687787
28/08/2012,33.31,0.003609026
27/08/2012,33.19,0.004832386
24/08/2012,33.03,0.00820798
23/08/2012,32.76,-0.004264399
22/08/2012,32.9,-0.003943582
21/08/2012,33.03,-0.006036843
20/08/2012,33.23,0.003617731
17/08/2012,33.11,-0.003015684
16/08/2012,33.21,0.001205182
15/08/2012,33.17,0.004532414
14/08/2012,33.02,-0.004833846
13/08/2012,33.18,0.000602954
10/08/2012,33.16,0.003928091
09/08/2012,33.03,0.000302801
08/08/2012,33.02,-0.002117683
07/08/2012,33.09,0.002420576
06/08/2012,33.01,-0.014436341
03/08/2012,33.49,0.017774229
02/08/2012,32.9,-0.01268516
01/08/2012,33.32,-0.005387622
31/07/2012,33.5,-0.007434978
30/07/2012,33.75,-0.005024394
27/07/2012,33.92,0.009776407
26/07/2012,33.59,0.008971352
25/07/2012,33.29,-0.005392464
24/07/2012,33.47,0.001494992
23/07/2012,33.42,-0.005371544
20/07/2012,33.6,-0.005934736
19/07/2012,33.8,0.009512557
18/07/2012,33.48,0.015956985
17/07/2012,32.95,0.005172688
16/07/2012,32.78,0.002443495
13/07/2012,32.7,0.021326724
12/07/2012,32.01,-0.008399489
11/07/2012,32.28,0.011841834
10/07/2012,31.9,-0.004066954
09/07/2012,32.03,0.00062461
06/07/2012,32.01,-0.008709231
05/07/2012,32.29,-0.008941018
03/07/2012,32.58,0.004306374
02/07/2012,32.44,0.008668785
29/06/2012,32.16,0.022642477
28/06/2012,31.44,0.000318117
27/06/2012,31.43,0.003825315
26/06/2012,31.31,0.004802314
25/06/2012,31.16,-0.017812176
22/06/2012,31.72,0.015568225
21/06/2012,31.23,-0.015568225
20/06/2012,31.72,-0.00126024
19/06/2012,31.76,0.007585371
18/06/2012,31.52,-0.001901744
15/06/2012,31.58,0.018214276
14/06/2012,31.01,0.014617769
13/06/2012,30.56,-0.002287957
12/06/2012,30.63,0.025125289
11/06/2012,29.87,-0.00767054
08/06/2012,30.1,0.017426714
07/06/2012,29.58,-0.004048589
06/06/2012,29.7,0.016293639
05/06/2012,29.22,0.014825302
04/06/2012,28.79,-0.027746257
01/06/2012,29.6,-0.04975495
31/05/2012,31.11,0.011639317
30/05/2012,30.75,-0.014848562
29/05/2012,31.21,0.00901197
25/05/2012,30.93,-0.006445398
24/05/2012,31.13,0.00128576
23/05/2012,31.09,0.00289902
22/05/2012,31,0.009073296
21/05/2012,30.72,0.014756785
18/05/2012,30.27,-0.012475539
17/05/2012,30.65,-0.013288155
16/05/2012,31.06,-0.00769728
15/05/2012,31.3,-0.008272398
14/05/2012,31.56,-0.020386467
11/05/2012,32.21,0.009357523
10/05/2012,31.91,0.013884729
09/05/2012,31.47,-0.003172591
08/05/2012,31.57,-0.008516058
07/05/2012,31.84,0.0053535
04/05/2012,31.67,-0.008489282
03/05/2012,31.94,-0.003125979
02/05/2012,32.04,-0.007772463
01/05/2012,32.29,0.003723244
30/04/2012,32.17,-0.008049579
27/04/2012,32.43,0.01022789
26/04/2012,32.1,0.013170463
25/04/2012,31.68,0.001895735
24/04/2012,31.62,0.013051275
23/04/2012,31.21,-0.002560001
20/04/2012,31.29,0.002239643
19/04/2012,31.22,-0.002559182
18/04/2012,31.3,-0.007955491
17/04/2012,31.55,0.012438368
16/04/2012,31.16,0.008379037
13/04/2012,30.9,-0.014139053
12/04/2012,31.34,0.015110398
11/04/2012,30.87,0.017317865
10/04/2012,30.34,-0.021842759
09/04/2012,31.01,-0.010904534
05/04/2012,31.35,0.001276732
04/04/2012,31.31,-0.008903079
03/04/2012,31.59,-0.003791474
02/04/2012,31.71,0.000946522
30/03/2012,31.68,0.004111978
29/03/2012,31.55,-0.008521434
28/03/2012,31.82,0.004093849
27/03/2012,31.69,-0.013166334
26/03/2012,32.11,0.012850827
23/03/2012,31.7,0.010464659
22/03/2012,31.37,-0.005404559
21/03/2012,31.54,-0.005060099
20/03/2012,31.7,-0.004720701
19/03/2012,31.85,0.006299233
16/03/2012,31.65,-0.000947418
15/03/2012,31.68,0.006333143
14/03/2012,31.48,0.01504269
13/03/2012,31.01,0.043836315
12/03/2012,29.68,-0.001346802
09/03/2012,29.72,0.019022313
08/03/2012,29.16,0.017993565
07/03/2012,28.64,0.009472093
06/03/2012,28.37,-0.018509346
05/03/2012,28.9,-0.012721506
02/03/2012,29.27,-0.014920589
01/03/2012,29.71,0.010489015
29/02/2012,29.4,0.00785389
28/02/2012,29.17,-0.004446732
27/02/2012,29.3,0.019645643
24/02/2012,28.73,-0.00900907
23/02/2012,28.99,0.006228394
22/02/2012,28.81,-0.010702674
21/02/2012,29.12,-0.007867323
17/02/2012,29.35,0.009241894
16/02/2012,29.08,0.015595534
15/02/2012,28.63,-0.012840711
14/02/2012,29,-0.006187713
13/02/2012,29.18,0.005842945
10/02/2012,29.01,-0.011311175
09/02/2012,29.34,-0.009835589
08/02/2012,29.63,0.006093451
07/02/2012,29.45,0.009896003
06/02/2012,29.16,-0.001370802
03/02/2012,29.2,0.021811493
02/02/2012,28.57,0.000350079
01/02/2012,28.56,0.011976191
31/01/2012,28.22,0.007469357
30/01/2012,28.01,0.005369621
27/01/2012,27.86,0.002515725
26/01/2012,27.79,-0.028730474
25/01/2012,28.6,0.005258557
24/01/2012,28.45,-0.001404988
23/01/2012,28.49,-0.008736732
20/01/2012,28.74,0.006282743
19/01/2012,28.56,-0.018043515
18/01/2012,29.08,0.010717475
17/01/2012,28.77,-0.0089966
13/01/2012,29.03,0.010039897
12/01/2012,28.74,0.011548685
11/01/2012,28.41,0.005293819
10/01/2012,28.26,0.000707965
09/01/2012,28.24,0.017503572
06/01/2012,27.75,-0.008254129
05/01/2012,27.98,0.014761744
04/01/2012,27.57,-0.000362647
03/01/2012,27.58,0.019403867
30/12/2011,27.05,-0.009199697
29/12/2011,27.3,0.015504187
28/12/2011,26.88,-0.01587042
27/12/2011,27.31,-0.006569367
23/12/2011,27.49,0.005471471
22/12/2011,27.34,0.019575879
21/12/2011,26.81,0.011630219
20/12/2011,26.5,0.036116103
19/12/2011,25.56,-0.017067909
16/12/2011,26,0.007722046
15/12/2011,25.8,0.000775494
14/12/2011,25.78,0.001552795
13/12/2011,25.74,-0.011587615
12/12/2011,26.04,-0.009554821
09/12/2011,26.29,0.024645067
08/12/2011,25.65,-0.029199155
07/12/2011,26.41,0.007601709
06/12/2011,26.21,0.010354838
05/12/2011,25.94,0.00851728
02/12/2011,25.72,0.000777907
01/12/2011,25.7,-0.00852388
30/11/2011,25.92,0.051862007
29/11/2011,24.61,-0.004459768
28/11/2011,24.72,0.028309583
25/11/2011,24.03,0.010037725
23/11/2011,23.79,-0.036322606
22/11/2011,24.67,0.00202881
21/11/2011,24.62,-0.030402342
18/11/2011,25.38,0.010695289
17/11/2011,25.11,-0.013056565
16/11/2011,25.44,-0.00313972
15/11/2011,25.52,0.001568628
14/11/2011,25.48,-0.017892348
11/11/2011,25.94,0.011632547
10/11/2011,25.64,0.020887459
09/11/2011,25.11,-0.045161431
08/11/2011,26.27,0.01457081
07/11/2011,25.89,0.014002563
04/11/2011,25.53,-0.00273812
03/11/2011,25.6,0.011392777
02/11/2011,25.31,0.031302716
01/11/2011,24.53,-0.042304792
31/10/2011,25.59,-0.017048069
28/10/2011,26.03,-0.007272759
27/10/2011,26.22,0.02823626
26/10/2011,25.49,0.025830961
25/10/2011,24.84,-0.028964532
24/10/2011,25.57,0.007064394
21/10/2011,25.39,0.018684702
20/10/2011,24.92,0.032214814
19/10/2011,24.13,-0.014400578
18/10/2011,24.48,0.036186107
17/10/2011,23.61,-0.045132893
14/10/2011,24.7,0.015093087
13/10/2011,24.33,-0.017115332
12/10/2011,24.75,0.0357842
11/10/2011,23.88,-0.023588927
10/10/2011,24.45,0.04689013
07/10/2011,23.33,-0.028313744
06/10/2011,24,0.023183335
05/10/2011,23.45,0.012443842
04/10/2011,23.16,0.022266801
03/10/2011,22.65,-0.03854125
30/09/2011,23.54,-0.028064669
29/09/2011,24.21,0.036168787
28/09/2011,23.35,-0.030369268
27/09/2011,24.07,-0.011976191
26/09/2011,24.36,0.048359223
23/09/2011,23.21,0.013009724
