Date,Close,AVP
21/05/2013,23.95,-0.010384309
20/05/2013,24.2,0.007465817
17/05/2013,24.02,0.024869564
16/05/2013,23.43,-0.013144137
15/05/2013,23.74,0.003798274
14/05/2013,23.65,0.014051753
13/05/2013,23.32,-0.002997219
10/05/2013,23.39,0.004713958
09/05/2013,23.28,-0.00983124
08/05/2013,23.51,0.009401779
07/05/2013,23.29,0.006029303
06/05/2013,23.15,-0.003880151
03/05/2013,23.24,0.00734186
02/05/2013,23.07,0.012211229
01/05/2013,22.79,-0.016104809
30/04/2013,23.16,0.040534183
29/04/2013,22.24,0.008579867
26/04/2013,22.05,-0.013513719
25/04/2013,22.35,0.004933852
24/04/2013,22.24,-0.002694209
23/04/2013,22.3,0.013089783
22/04/2013,22.01,0.000909091
19/04/2013,21.99,0.010054929
18/04/2013,21.77,0.009693129
17/04/2013,21.56,0.014482851
16/04/2013,21.25,0.015651256
15/04/2013,20.92,-0.029206033
12/04/2013,21.54,0.003720935
11/04/2013,21.46,0.005138998
10/04/2013,21.35,0.025618099
09/04/2013,20.81,0.009657246
08/04/2013,20.61,0.017127896
05/04/2013,20.26,-0.003940892
04/04/2013,20.34,0.002461237
03/04/2013,20.29,0.001479655
02/04/2013,20.26,-0.004432413
01/04/2013,20.35,-0.018501015
28/03/2013,20.73,0.009694695
27/03/2013,20.53,-0.014986986
26/03/2013,20.84,0.040642068
25/03/2013,20.01,-0.005979091
22/03/2013,20.13,0.009483475
21/03/2013,19.94,-0.010972679
20/03/2013,20.16,0.004972661
19/03/2013,20.06,-0.006954822
18/03/2013,20.2,0.004962789
15/03/2013,20.1,-0.01432477
14/03/2013,20.39,0.01035257
13/03/2013,20.18,-0.000495417
12/03/2013,20.19,0
11/03/2013,20.19,0.02152774
08/03/2013,19.76,-0.001517067
07/03/2013,19.79,-0.005040333
06/03/2013,19.89,0.007063602
05/03/2013,19.75,0.012226337
04/03/2013,19.51,-0.011213165
01/03/2013,19.73,0.009165034
28/02/2013,19.55,0.006157023
27/02/2013,19.43,0.010346704
26/02/2013,19.23,0.000520156
25/02/2013,19.22,-0.037778867
22/02/2013,19.96,-0.022294706
21/02/2013,20.41,-0.002935423
20/02/2013,20.47,-0.010690092
19/02/2013,20.69,0.005816788
15/02/2013,20.57,-0.025439337
14/02/2013,21.1,0.012878785
13/02/2013,20.83,0.001922153
12/02/2013,20.79,0.184922338
11/02/2013,17.28,0.025199107
08/02/2013,16.85,-0.025199107
07/02/2013,17.28,-0.003466208
06/02/2013,17.34,-0.002304148
05/02/2013,17.38,0.025642431
04/02/2013,16.94,-0.012320484
01/02/2013,17.15,0.009961993
31/01/2013,16.98,0.014832666
30/01/2013,16.73,-0.020119022
29/01/2013,17.07,0.004697601
28/01/2013,16.99,0.018414539
25/01/2013,16.68,0.005410293
24/01/2013,16.59,0.003018415
23/01/2013,16.54,-0.001208459
22/01/2013,16.56,0.036278187
18/01/2013,15.97,-0.00187676
17/01/2013,16,-0.000624805
16/01/2013,16.01,-0.003118182
15/01/2013,16.06,0.042613761
14/01/2013,15.39,0.011107595
11/01/2013,15.22,-0.018874625
10/01/2013,15.51,0.000644953
09/01/2013,15.5,-0.003863495
08/01/2013,15.56,-0.013405882
07/01/2013,15.77,-0.02008856
04/01/2013,16.09,0.031568278
03/01/2013,15.59,0.036581479
02/01/2013,15.03,0.04560164
31/12/2012,14.36,0.026818827
28/12/2012,13.98,-0.011379924
27/12/2012,14.14,0.009950331
26/12/2012,14,-0.008534902
24/12/2012,14.12,-0.01196776
21/12/2012,14.29,-0.027606998
