Date,Close,COV
21/08/2012,56.47,-0.007058438
20/08/2012,56.87,-0.007008965
17/08/2012,57.27,-0.005572015
16/08/2012,57.59,0.005921299
15/08/2012,57.25,-0.002616661
14/08/2012,57.4,0.003140816
13/08/2012,57.22,0.000874202
10/08/2012,57.17,0.011257815
09/08/2012,56.53,-0.005996491
08/08/2012,56.87,-0.005436226
07/08/2012,57.18,0.010548621
06/08/2012,56.58,0.00283186
03/08/2012,56.42,0.023311079
02/08/2012,55.12,-0.01601762
01/08/2012,56.01,0.002323712
31/07/2012,55.88,-0.001609299
30/07/2012,55.97,0.007892418
27/07/2012,55.53,0.041737835
26/07/2012,53.26,0.040423088
25/07/2012,51.15,0.010613307
24/07/2012,50.61,-0.014710474
23/07/2012,51.36,-0.037076672
20/07/2012,53.3,-0.006358727
19/07/2012,53.64,0.00804871
18/07/2012,53.21,0.00584301
17/07/2012,52.9,0.010451402
16/07/2012,52.35,-0.009505775
13/07/2012,52.85,0.005121893
12/07/2012,52.58,-0.009841109
11/07/2012,53.1,0.00075358
10/07/2012,53.06,-0.010685264
09/07/2012,53.63,0.007674347
06/07/2012,53.22,-0.013252644
05/07/2012,53.93,-0.005731734
03/07/2012,54.24,0.00221484
02/07/2012,54.12,0.011522149
29/06/2012,53.5,0.019058979
28/06/2012,52.49,-0.002853612
27/06/2012,52.64,0.00552435
26/06/2012,52.35,0.001912046
25/06/2012,52.25,-0.007436396
22/06/2012,52.64,0.003806628
21/06/2012,52.44,-0.020385757
20/06/2012,53.52,-0.002239643
19/06/2012,53.64,0.012003145
18/06/2012,53,0.001321628
15/06/2012,52.93,0.007776236
14/06/2012,52.52,0.008605082
13/06/2012,52.07,-0.00191865
12/06/2012,52.17,0.005959837
11/06/2012,51.86,-0.007874813
08/06/2012,52.27,0.012707141
07/06/2012,51.61,-0.003288522
06/06/2012,51.78,0.011264442
05/06/2012,51.2,0.007843177
04/06/2012,50.8,0.002562335
01/06/2012,50.67,-0.021669955
31/05/2012,51.78,-0.002314816
30/05/2012,51.9,-0.023046444
29/05/2012,53.11,-0.003946261
25/05/2012,53.32,-0.002622215
24/05/2012,53.46,0.008453136
23/05/2012,53.01,-0.004705005
22/05/2012,53.26,-0.002437882
21/05/2012,53.39,0.009031106
18/05/2012,52.91,-0.014261829
17/05/2012,53.67,-0.013877547
16/05/2012,54.42,-0.006045635
15/05/2012,54.75,-0.007279377
14/05/2012,55.15,-0.001268461
11/05/2012,55.22,0.008730503
10/05/2012,54.74,0.009360443
09/05/2012,54.23,-0.014462495
