Date,Close,DAL
21/12/2012,11.86,-0.006722714
20/12/2012,11.94,0.00925543
19/12/2012,11.83,0.025686344
18/12/2012,11.53,0.026363566
17/12/2012,11.23,0.000890869
14/12/2012,11.22,-0.006219478
13/12/2012,11.29,0.051806223
12/12/2012,10.72,0.005612737
11/12/2012,10.66,0.050010421
10/12/2012,10.14,0.002962965
07/12/2012,10.11,0.008941937
06/12/2012,10.02,0.031426813
05/12/2012,9.71,-0.002057614
04/12/2012,9.73,0.011369632
03/12/2012,9.62,-0.038740828
30/11/2012,10,-0.004987542
29/11/2012,10.05,0.004987542
28/11/2012,10,0.018163971
27/11/2012,9.82,0.002038737
26/11/2012,9.8,-0.004073325
23/11/2012,9.84,0.012270093
21/11/2012,9.72,0.004123717
20/11/2012,9.68,0.013520747
19/11/2012,9.55,0.02330614
16/11/2012,9.33,-0.017003598
15/11/2012,9.49,-0.007349114
14/11/2012,9.56,-0.065779905
13/11/2012,10.21,-0.008776263
12/11/2012,10.3,0.010737048
09/11/2012,10.19,-0.009765703
08/11/2012,10.29,0.034605529
07/11/2012,9.94,-0.010010094
06/11/2012,10.04,0.027260648
05/11/2012,9.77,0.007190581
02/11/2012,9.7,0
01/11/2012,9.7,0.00724266
31/10/2012,9.63,-0.001037883
26/10/2012,9.64,0
25/10/2012,9.64,-0.040656006
24/10/2012,10.04,-0.010896591
23/10/2012,10.15,0.000985707
22/10/2012,10.14,0.013902905
19/10/2012,10,-0.020782539
18/10/2012,10.21,0.001960785
17/10/2012,10.19,0.019822255
16/10/2012,9.99,-0.01194044
15/10/2012,10.11,0.008941937
12/10/2012,10.02,0.027315811
11/10/2012,9.75,-0.009188426
10/10/2012,9.84,-0.005068435
09/10/2012,9.89,-0.023977173
08/10/2012,10.13,-0.014698942
05/10/2012,10.28,0.013712262
04/10/2012,10.14,-0.001970444
03/10/2012,10.16,0.039141976
02/10/2012,9.77,0.031187559
01/10/2012,9.47,0.033282729
28/09/2012,9.16,-0.00761287
27/09/2012,9.23,0.00761287
26/09/2012,9.16,0.015401845
25/09/2012,9.02,-0.012121361
24/09/2012,9.13,0.00659343
21/09/2012,9.07,-0.008781615
20/09/2012,9.15,-0.023759217
19/09/2012,9.37,0.044742869
18/09/2012,8.96,-0.029688822
17/09/2012,9.23,-0.004324331
14/09/2012,9.27,-0.019231362
13/09/2012,9.45,-0.005277057
12/09/2012,9.5,0.023430252
11/09/2012,9.28,-0.010718216
10/09/2012,9.38,0.010718216
07/09/2012,9.28,0.008658063
06/09/2012,9.2,0.035401927
05/09/2012,8.88,0.036701367
04/09/2012,8.56,-0.010459131
31/08/2012,8.65,0.011628038
30/08/2012,8.55,-0.006993035
29/08/2012,8.61,-0.010398707
28/08/2012,8.7,-0.040546094
27/08/2012,9.06,-0.005503591
24/08/2012,9.11,-0.004381168
23/08/2012,9.15,-0.040690838
22/08/2012,9.53,-0.018711565
21/08/2012,9.71,0.026083899
20/08/2012,9.46,0.035506688
17/08/2012,9.13,0.011013327
16/08/2012,9.03,-0.025151681
15/08/2012,9.26,-0.002157498
14/08/2012,9.28,0.002157498
13/08/2012,9.26,0.021834929
10/08/2012,9.06,-0.001103144
09/08/2012,9.07,-0.034673029
08/08/2012,9.39,0.007482665
07/08/2012,9.32,-0.005350468
06/08/2012,9.37,0.008574543
03/08/2012,9.29,0.006479504
02/08/2012,9.23,-0.026725268
01/08/2012,9.48,-0.017773599
31/07/2012,9.65,0.018829008
30/07/2012,9.47,0.005293819
27/07/2012,9.42,0.001062135
26/07/2012,9.41,-0.006355954
25/07/2012,9.47,0.014893892
24/07/2012,9.33,-0.034758633
23/07/2012,9.66,-0.028573372
20/07/2012,9.94,-0.006018072
19/07/2012,10,-0.022739487
18/07/2012,10.23,-0.054221554
17/07/2012,10.8,-0.01561814
16/07/2012,10.97,0.013768001
13/07/2012,10.82,0.006490519
12/07/2012,10.75,-0.031138047
11/07/2012,11.09,0.033932646
10/07/2012,10.72,-0.017568644
09/07/2012,10.91,-0.008215473
06/07/2012,11,0.03421508
05/07/2012,10.63,-0.012155362
03/07/2012,10.76,-0.032909734
02/07/2012,11.12,0.015405833
29/06/2012,10.95,-0.018996501
28/06/2012,11.16,0.00809721
27/06/2012,11.07,-0.006303488
26/06/2012,11.14,0.057264027
25/06/2012,10.52,-0.048246834
22/06/2012,11.04,-0.017063728
21/06/2012,11.23,0.001782532
20/06/2012,11.21,0.027126437
19/06/2012,10.91,0.025999607
18/06/2012,10.63,0.035427353
15/06/2012,10.26,-0.018349139
14/06/2012,10.45,0.015429429
13/06/2012,10.29,0.024595436
12/06/2012,10.04,-0.012865096
11/06/2012,10.17,-0.020438668
08/06/2012,10.38,0.009680618
07/06/2012,10.28,-0.031596693
06/06/2012,10.61,0.002831526
05/06/2012,10.58,0.038540415
04/06/2012,10.18,-0.122791212
01/06/2012,11.51,-0.04998923
31/05/2012,12.1,0.029352212
30/05/2012,11.75,-0.004246291
29/05/2012,11.8,0.037121224
25/05/2012,11.37,0.00883398
24/05/2012,11.27,0.048169239
23/05/2012,10.74,0.018797546
22/05/2012,10.54,-0.003787883
21/05/2012,10.58,0.042477428
18/05/2012,10.14,-0.026278884
17/05/2012,10.41,-0.089968895
16/05/2012,11.39,0.019504164
15/05/2012,11.17,-0.023009865
14/05/2012,11.43,0.00526317
11/05/2012,11.37,0.030359474
10/05/2012,11.03,0.010939033
09/05/2012,10.91,-0.023551813
08/05/2012,11.17,0
07/05/2012,11.17,0.01533634
04/05/2012,11,0.003642991
03/05/2012,10.96,0.00824558
02/05/2012,10.87,-0.016423727
01/05/2012,11.05,0.008178146
30/04/2012,10.96,0.012856008
27/04/2012,10.82,0.039590467
26/04/2012,10.4,-0.007662873
25/04/2012,10.48,0
24/04/2012,10.48,0.008624874
23/04/2012,10.39,-0.034061949
20/04/2012,10.75,-0.006490519
19/04/2012,10.82,0.027167947
18/04/2012,10.53,0.008583744
17/04/2012,10.44,0.018366877
16/04/2012,10.25,0.011776387
13/04/2012,10.13,-0.012751521
12/04/2012,10.26,0.034708491
11/04/2012,9.91,0.010142075
10/04/2012,9.81,-0.047770276
09/04/2012,10.29,-0.007744472
05/04/2012,10.37,-0.010551657
04/04/2012,10.48,0.015384919
03/04/2012,10.32,0.030499167
02/04/2012,10.01,0.009031672
30/03/2012,9.92,-0.015007785
29/03/2012,10.07,0.006975614
28/03/2012,10,0.019182819
27/03/2012,9.81,-0.007110238
26/03/2012,9.88,0.026668247
23/03/2012,9.62,0.009399547
22/03/2012,9.53,-0.0217964
21/03/2012,9.74,0.0217964
20/03/2012,9.53,0.023355626
