Date,Close,CL
07/09/2012,106.3,-0.011132535
06/09/2012,107.49,0.009252835
05/09/2012,106.5,-0.006737813
04/09/2012,107.22,0.008523444
31/08/2012,106.31,0.004714321
30/08/2012,105.81,-0.005842459
29/08/2012,106.43,0.00075195
28/08/2012,106.35,0.005185022
27/08/2012,105.8,0.000283594
24/08/2012,105.77,0.010072301
23/08/2012,104.71,-0.006283341
22/08/2012,105.37,-0.003126927
21/08/2012,105.7,-0.002362392
20/08/2012,105.95,-0.002168482
17/08/2012,106.18,0.003301734
16/08/2012,105.83,0.00312308
15/08/2012,105.5,0.000758581
14/08/2012,105.42,-0.001232403
13/08/2012,105.55,0.001706809
10/08/2012,105.37,0.003993919
09/08/2012,104.95,-0.003044432
08/08/2012,105.27,0.003711639
07/08/2012,104.88,-0.013918702
06/08/2012,106.35,-0.001033786
03/08/2012,106.46,0.010291362
02/08/2012,105.37,-0.011605546
01/08/2012,106.6,-0.007104161
31/07/2012,107.36,-0.001024066
30/07/2012,107.47,0.00279538
27/07/2012,107.17,0.007398769
26/07/2012,106.38,0.039596794
25/07/2012,102.25,0.00146807
24/07/2012,102.1,-0.006735347
23/07/2012,102.79,-0.010740826
20/07/2012,103.9,-0.016418849
19/07/2012,105.62,0.00322428
18/07/2012,105.28,0.001140468
17/07/2012,105.16,0.007540722
16/07/2012,104.37,-0.010389456
13/07/2012,105.46,0.017697884
12/07/2012,103.61,-0.002121096
11/07/2012,103.83,-0.000673952
10/07/2012,103.9,-0.003458881
09/07/2012,104.26,-0.000287701
06/07/2012,104.29,-0.003445969
05/07/2012,104.65,0.0003823
03/07/2012,104.61,0.008544189
02/07/2012,103.72,-0.003657015
29/06/2012,104.1,0.020477206
28/06/2012,101.99,0.004815971
27/06/2012,101.5,0.013889112
26/06/2012,100.1,0.007822726
25/06/2012,99.32,-0.005822725
22/06/2012,99.9,0.00451468
21/06/2012,99.45,-0.012788665
20/06/2012,100.73,-0.005642741
19/06/2012,101.3,-0.003645863
18/06/2012,101.67,0.001377953
15/06/2012,101.53,0.002070496
14/06/2012,101.32,0.011015841
13/06/2012,100.21,0.001597923
12/06/2012,100.05,0.00059988
11/06/2012,99.99,-0.001798562
08/06/2012,100.17,0.014277339
07/06/2012,98.75,0.004262235
06/06/2012,98.33,0.011044186
05/06/2012,97.25,0.000822961
04/06/2012,97.17,0.007126289
01/06/2012,96.48,-0.018688294
31/05/2012,98.3,-0.005377175
30/05/2012,98.83,-0.005348416
29/05/2012,99.36,0.005652013
25/05/2012,98.8,-0.003334515
24/05/2012,99.13,0.007492947
23/05/2012,98.39,-0.00809803
22/05/2012,99.19,0.002321475
21/05/2012,98.96,0.001719343
18/05/2012,98.79,-0.010271994
17/05/2012,99.81,-0.015015446
16/05/2012,101.32,0.002767347
15/05/2012,101.04,0.020295623
14/05/2012,99.01,-0.003025416
11/05/2012,99.31,-0.003417776
10/05/2012,99.65,0.005736442
09/05/2012,99.08,-0.001008776
08/05/2012,99.18,-0.004225784
07/05/2012,99.6,0.004730045
04/05/2012,99.13,-0.008638061
03/05/2012,99.99,-0.003593894
02/05/2012,100.35,0.012534634
01/05/2012,99.1,0.001615836
30/04/2012,98.94,0.005676074
27/04/2012,98.38,-0.01101856
26/04/2012,99.47,-0.00110525
25/04/2012,99.58,0.011615706
24/04/2012,98.43,0.007239389
23/04/2012,97.72,-0.011800747
20/04/2012,98.88,0.007104465
19/04/2012,98.18,-0.00325402
18/04/2012,98.5,-0.000913288
17/04/2012,98.59,0.009375387
16/04/2012,97.67,0.004720863
13/04/2012,97.21,-0.002363217
12/04/2012,97.44,0.009279374
11/04/2012,96.54,0.003839972
10/04/2012,96.17,-0.009005806
09/04/2012,97.04,-0.011475536
05/04/2012,98.16,0.003163107
04/04/2012,97.85,-0.003875974
03/04/2012,98.23,-0.002135558
02/04/2012,98.44,0.006727168
30/03/2012,97.78,0.011210073
29/03/2012,96.69,0.006641095
28/03/2012,96.05,-0.006847921
27/03/2012,96.71,-0.001033485
26/03/2012,96.81,0.009027299
23/03/2012,95.94,-0.003537617
22/03/2012,96.28,0.001143154
21/03/2012,96.17,0.005421763
20/03/2012,95.65,0.002931632
19/03/2012,95.37,0.006100145
16/03/2012,94.79,-0.006624282
15/03/2012,95.42,0.002833606
14/03/2012,95.15,-0.000840424
13/03/2012,95.23,0.007906846
12/03/2012,94.48,0.005306178
09/03/2012,93.98,0.000425713
08/03/2012,93.94,0.011886417
07/03/2012,92.83,-0.005478877
06/03/2012,93.34,-0.000107129
05/03/2012,93.35,0.001608148
02/03/2012,93.2,0.003762434
01/03/2012,92.85,-0.003547819
29/02/2012,93.18,0.002256246
28/02/2012,92.97,0.006258113
27/02/2012,92.39,-0.00980136
24/02/2012,93.3,-0.000321492
23/02/2012,93.33,0.002037862
22/02/2012,93.14,-0.002466357
21/02/2012,93.37,0.001286036
17/02/2012,93.25,-0.000750389
16/02/2012,93.32,0.01250825
15/02/2012,92.16,0.002825168
14/02/2012,91.9,0.002833172
13/02/2012,91.64,0.005141962
10/02/2012,91.17,-0.006450577
09/02/2012,91.76,0.003165423
08/02/2012,91.47,-0.000764986
07/02/2012,91.54,0.003282638
06/02/2012,91.24,-0.003282638
03/02/2012,91.54,0.007126051
02/02/2012,90.89,-0.002637074
01/02/2012,91.13,0.004509219
31/01/2012,90.72,0.013427489
30/01/2012,89.51,-0.009893917
27/01/2012,90.4,-0.010454015
26/01/2012,91.35,0.021130273
25/01/2012,89.44,0.013394314
24/01/2012,88.25,-0.00135885
23/01/2012,88.37,-0.007103824
20/01/2012,89,-0.010839912
19/01/2012,89.97,-0.003771915
18/01/2012,90.31,0.006443035
17/01/2012,89.73,0.013576646
13/01/2012,88.52,-0.000338849
12/01/2012,88.55,0.000451824
11/01/2012,88.51,-0.01056427
10/01/2012,89.45,-0.003682423
09/01/2012,89.78,-0.000222742
06/01/2012,89.8,-0.003779042
05/01/2012,90.14,-0.005090196
04/01/2012,90.6,-0.005284028
03/01/2012,91.08,-0.014280506
30/12/2011,92.39,-0.008943543
29/12/2011,93.22,0.005270246
28/12/2011,92.73,-0.006556696
27/12/2011,93.34,0.002681973
23/12/2011,93.09,0.007331569
22/12/2011,92.41,-0.006041663
21/12/2011,92.97,0.015391589
20/12/2011,91.55,0.018076101
19/12/2011,89.91,0.000222469
16/12/2011,89.89,-0.007646738
15/12/2011,90.58,0.01423195
14/12/2011,89.3,-0.004357792
13/12/2011,89.69,-0.005781006
12/12/2011,90.21,-0.002767478
09/12/2011,90.46,-0.00099442
08/12/2011,90.55,-0.007152713
07/12/2011,91.2,0.007263155
06/12/2011,90.54,0.00132626
05/12/2011,90.42,0.002546926
02/12/2011,90.19,0.00088741
01/12/2011,90.11,-0.015307826
30/11/2011,91.5,0.019868203
29/11/2011,89.7,0.015957188
28/11/2011,88.28,0.017713737
25/11/2011,86.73,0.002886671
23/11/2011,86.48,-0.01969379
22/11/2011,88.2,0.008654119
21/11/2011,87.44,-0.013291874
18/11/2011,88.61,0.006453461
17/11/2011,88.04,-0.006791966
16/11/2011,88.64,-0.001690808
15/11/2011,88.79,0.001577999
14/11/2011,88.65,-0.005848628
11/11/2011,89.17,0.011618201
10/11/2011,88.14,0.007859258
09/11/2011,87.45,-0.022500808
08/11/2011,89.44,0.011130589
07/11/2011,88.45,0.00441902
04/11/2011,88.06,-0.005210115
03/11/2011,88.52,0.006573751
02/11/2011,87.94,-0.001704255
01/11/2011,88.09,-0.025553335
31/10/2011,90.37,-0.009361817
28/10/2011,91.22,-0.001205149
27/10/2011,91.33,0.008687579
26/10/2011,90.54,0.006204319
25/10/2011,89.98,-0.013905974
24/10/2011,91.24,-0.028949959
21/10/2011,93.92,0.024793768
20/10/2011,91.62,-0.006093599
19/10/2011,92.18,-0.00173423
18/10/2011,92.34,0.015277469
17/10/2011,90.94,-0.015277469
14/10/2011,92.34,0.013409849
13/10/2011,91.11,-0.001206604
12/10/2011,91.22,0.009583154
11/10/2011,90.35,-0.015267472
10/10/2011,91.74,0.014603608
07/10/2011,90.41,0.002436325
06/10/2011,90.19,0.007679931
05/10/2011,89.5,0.012140437
04/10/2011,88.42,0.001358081
03/10/2011,88.3,-0.004294277
30/09/2011,88.68,-0.009651068
29/09/2011,89.54,0.009087402
28/09/2011,88.73,-0.026030391
27/09/2011,91.07,0.001978457
26/09/2011,90.89,0.021912895
23/09/2011,88.92,0.017127397
22/09/2011,87.41,-0.02908886
21/09/2011,89.99,-0.043170607
20/09/2011,93.96,0.006834713
19/09/2011,93.32,-0.003423195
16/09/2011,93.64,0.014521849
15/09/2011,92.29,0.00979973
14/09/2011,91.39,0.021344465
13/09/2011,89.46,0.019641674
12/09/2011,87.72,-0.014036907
09/09/2011,88.96,-0.016720934
08/09/2011,90.46,-0.01481346
07/09/2011,91.81,0.03119722
06/09/2011,88.99,0.005295489
02/09/2011,88.52,-0.015469426
01/09/2011,89.9,-0.00077834
31/08/2011,89.97,-0.007419335
30/08/2011,90.64,0.009644773
29/08/2011,89.77,0.021733866
26/08/2011,87.84,0.011334485
25/08/2011,86.85,-0.00516797
24/08/2011,87.3,0.003327408
23/08/2011,87.01,0.021021621
22/08/2011,85.2,0.002467831
19/08/2011,84.99,-0.000588132
18/08/2011,85.04,-0.014823732
17/08/2011,86.31,0.001043297
16/08/2011,86.22,-0.000463822
15/08/2011,86.26,0.010722713
12/08/2011,85.34,0.013804715
11/08/2011,84.17,0.048564456
10/08/2011,80.18,-0.038174442
09/08/2011,83.3,0.006020488
08/08/2011,82.8,-0.016172859
05/08/2011,84.15,0.0188334
04/08/2011,82.58,-0.020851564
03/08/2011,84.32,-0.005440581
02/08/2011,84.78,0.0090048
01/08/2011,84.02,-0.004275541
29/07/2011,84.38,-0.005908088
28/07/2011,84.88,-0.007160916
27/07/2011,85.49,-0.016243541
26/07/2011,86.89,0.00126677
25/07/2011,86.78,-0.009633102
22/07/2011,87.62,-0.015627087
21/07/2011,89,0.004956081
20/07/2011,88.56,0.000451773
19/07/2011,88.52,0.006005344
18/07/2011,87.99,-0.011525551
15/07/2011,89.01,0.021921487
14/07/2011,87.08,-0.009372568
13/07/2011,87.9,-0.000568666
12/07/2011,87.95,-0.003971636
11/07/2011,88.3,-0.001358081
08/07/2011,88.42,-0.004063211
07/07/2011,88.78,0.004063211
06/07/2011,88.42,0.004988672
05/07/2011,87.98,-0.005553996
01/07/2011,88.47,0.012053819
30/06/2011,87.41,0.007694554
29/06/2011,86.74,0.010663059
28/06/2011,85.82,0.00478889
27/06/2011,85.41,-0.00058524
24/06/2011,85.46,-0.00873775
23/06/2011,86.21,-0.015195412
22/06/2011,87.53,-0.015755497
21/06/2011,88.92,-0.002134473
20/06/2011,89.11,0.013899314
17/06/2011,87.88,0.015018912
16/06/2011,86.57,0.009400638
15/06/2011,85.76,-0.009747118
14/06/2011,86.6,0.014656538
13/06/2011,85.34,0.007527676
10/06/2011,84.7,-0.004711434
09/06/2011,85.1,0.010513357
