Date,Close,KO
01/08/2012,81.01,0.002595638
31/07/2012,80.8,-0.003952574
30/07/2012,81.12,0.013777913
27/07/2012,80.01,0.014604313
26/07/2012,78.85,0.023482185
25/07/2012,77.02,0.004685068
24/07/2012,76.66,-0.002865705
23/07/2012,76.88,-0.001949192
20/07/2012,77.03,-0.006727933
19/07/2012,77.55,0.001419447
18/07/2012,77.44,-0.003223106
17/07/2012,77.69,0.01569728
16/07/2012,76.48,-0.010405921
13/07/2012,77.28,0.008316056
12/07/2012,76.64,-0.01064254
11/07/2012,77.46,-0.006690709
10/07/2012,77.98,0
09/07/2012,77.98,-0.002177673
06/07/2012,78.15,-0.003831422
05/07/2012,78.45,-0.009009642
03/07/2012,79.16,0.00303644
02/07/2012,78.92,0.009292919
29/06/2012,78.19,0.020936407
28/06/2012,76.57,0.003008308
27/06/2012,76.34,0.016642836
26/06/2012,75.08,0.004137477
25/06/2012,74.77,-0.002271058
22/06/2012,74.94,0.003609388
21/06/2012,74.67,-0.011848638
20/06/2012,75.56,-0.00237938
19/06/2012,75.74,-0.003163725
18/06/2012,75.98,-0.001446702
15/06/2012,76.09,0.004610428
14/06/2012,75.74,0.013960208
13/06/2012,74.69,-0.006805017
12/06/2012,75.2,0.007206757
11/06/2012,74.66,-0.007738531
08/06/2012,75.24,0.012841268
07/06/2012,74.28,-0.00443281
06/06/2012,74.61,0.018532827
05/06/2012,73.24,-0.005446637
04/06/2012,73.64,0.007496798
01/06/2012,73.09,-0.022190059
31/05/2012,74.73,-0.004406176
30/05/2012,75.06,-0.005314921
29/05/2012,75.46,0.003052627
25/05/2012,75.23,-0.004376955
24/05/2012,75.56,0.013457001
23/05/2012,74.55,0.004840671
22/05/2012,74.19,-0.004303974
21/05/2012,74.51,0.006192804
18/05/2012,74.05,-0.014346294
17/05/2012,75.12,-0.015979211
16/05/2012,76.33,-0.003139309
15/05/2012,76.57,-0.003910328
14/05/2012,76.87,-0.007775081
11/05/2012,77.47,0.000774793
10/05/2012,77.41,0.008171782
09/05/2012,76.78,-0.004677763
08/05/2012,77.14,-0.001813237
07/05/2012,77.28,0.003629768
04/05/2012,77,-0.005698021
03/05/2012,77.44,0.003622255
02/05/2012,77.16,0.002985271
01/05/2012,76.93,0.00796089
30/04/2012,76.32,-0.004053618
27/04/2012,76.63,0.012078393
26/04/2012,75.71,0.010355908
25/04/2012,74.93,0.010868943
24/04/2012,74.12,0.005818297
23/04/2012,73.69,-0.005953204
20/04/2012,74.13,0.004190611
19/04/2012,73.82,-0.004730058
18/04/2012,74.17,0.002970567
17/04/2012,73.95,0.020630556
16/04/2012,72.44,0.006926195
13/04/2012,71.94,-0.003884578
12/04/2012,72.22,0.001385618
11/04/2012,72.12,0.00138754
10/04/2012,72.02,-0.011733173
09/04/2012,72.87,-0.008200128
05/04/2012,73.47,0.000136119
04/04/2012,73.46,-0.004075539
03/04/2012,73.76,-0.005138618
02/04/2012,74.14,0.001754979
30/03/2012,74.01,0.002705995
29/03/2012,73.81,0.015703197
28/03/2012,72.66,0.010932095
27/03/2012,71.87,-0.000417333
26/03/2012,71.9,0.005718685
23/03/2012,71.49,0.000979638
22/03/2012,71.42,0.004209351
21/03/2012,71.12,0.0074801
20/03/2012,70.59,0.002695228
19/03/2012,70.4,0.003414915
16/03/2012,70.16,-0.002420102
15/03/2012,70.33,0.00156528
14/03/2012,70.22,-0.000427137
13/03/2012,70.25,0.001424502
12/03/2012,70.15,0.009165179
09/03/2012,69.51,0.003458715
08/03/2012,69.27,0.006953526
07/03/2012,68.79,0.000436205
06/03/2012,68.76,-0.006812114
05/03/2012,69.23,0.000722491
02/03/2012,69.18,-0.006052764
01/03/2012,69.6,-0.003728672
29/02/2012,69.86,0.014563014
28/02/2012,68.85,0.000290529
27/02/2012,68.83,-0.002466808
24/02/2012,69,-0.002605299
23/02/2012,69.18,-0.001011342
22/02/2012,69.25,0.006228745
21/02/2012,68.82,-0.003336479
17/02/2012,69.05,0.002755422
16/02/2012,68.86,0.006702633
15/02/2012,68.4,-0.007283353
14/02/2012,68.9,0.006698729
13/02/2012,68.44,0.007332486
10/02/2012,67.94,-0.000441469
09/02/2012,67.97,-0.005282477
08/02/2012,68.33,-0.003214497
07/02/2012,68.55,0.007614622
06/02/2012,68.03,-0.0007347
03/02/2012,68.08,0.003678909
02/02/2012,67.83,-0.000294811
01/02/2012,67.85,0.004727443
31/01/2012,67.53,0.001037114
30/01/2012,67.46,0.000296516
