Date,Close,SNI
06/06/2012,54.83,0.019335839
05/06/2012,53.78,-0.002414339
04/06/2012,53.91,0.009317995
01/06/2012,53.41,-0.025144604
31/05/2012,54.77,0.003658318
30/05/2012,54.57,-0.005846901
29/05/2012,54.89,0.008599449
25/05/2012,54.42,0.014250264
24/05/2012,53.65,0.019765349
23/05/2012,52.6,-0.002847653
22/05/2012,52.75,0.005703438
21/05/2012,52.45,0.03196398
18/05/2012,50.8,-0.006279455
17/05/2012,51.12,-0.035927406
16/05/2012,52.99,-0.007332927
15/05/2012,53.38,-0.001497567
14/05/2012,53.46,-0.013193539
11/05/2012,54.17,-0.001475743
10/05/2012,54.25,-0.009539606
09/05/2012,54.77,0.001827486
08/05/2012,54.67,0.013628204
07/05/2012,53.93,-0.005178484
04/05/2012,54.21,-0.005885616
03/05/2012,54.53,0.072036455
02/05/2012,50.74,-0.005895085
01/05/2012,51.04,0.016196285
30/04/2012,50.22,-0.010695289
27/04/2012,50.76,-0.009802078
26/04/2012,51.26,0.03655552
25/04/2012,49.42,0.026241768
24/04/2012,48.14,-0.006006024
23/04/2012,48.43,-0.010884182
20/04/2012,48.96,0.00573537
19/04/2012,48.68,0.001644737
18/04/2012,48.6,-0.004926118
17/04/2012,48.84,0.018808036
16/04/2012,47.93,0.007539303
13/04/2012,47.57,0.001472599
12/04/2012,47.5,0.014205688
11/04/2012,46.83,0.016145007
10/04/2012,46.08,-0.034133006
09/04/2012,47.68,-0.025469852
05/04/2012,48.91,0.010482061
04/04/2012,48.4,-0.012320484
03/04/2012,49,-0.008534902
02/04/2012,49.42,0.01488153
30/03/2012,48.69,0.001233046
29/03/2012,48.63,-0.004309025
28/03/2012,48.84,-0.007953545
27/03/2012,49.23,0.00060957
26/03/2012,49.2,0.007958414
23/03/2012,48.81,0.008435396
22/03/2012,48.4,0.002482417
21/03/2012,48.28,0.013554581
20/03/2012,47.63,-0.006487414
19/03/2012,47.94,0.00816844
16/03/2012,47.55,0.008023692
15/03/2012,47.17,0.002759794
14/03/2012,47.04,-0.013513719
13/03/2012,47.68,0.058294076
12/03/2012,44.98,-0.005763705
09/03/2012,45.24,0.011113695
08/03/2012,44.74,0.018953636
07/03/2012,43.9,-0.002048015
06/03/2012,43.99,-0.034628725
05/03/2012,45.54,-0.008091898
02/03/2012,45.91,0.00130776
01/03/2012,45.85,0.014278112
29/02/2012,45.2,0.010676258
28/02/2012,44.72,0.000447327
27/02/2012,44.7,-0.006466741
24/02/2012,44.99,0.01410208
23/02/2012,44.36,0.007466943
22/02/2012,44.03,-0.005436027
21/02/2012,44.27,0.006344911
17/02/2012,43.99,0.009134569
16/02/2012,43.59,0.009450341
15/02/2012,43.18,-0.001388568
14/02/2012,43.24,-0.000462428
13/02/2012,43.26,0.00626089
10/02/2012,42.99,-0.019122804
09/02/2012,43.82,-0.013374335
08/02/2012,44.41,0.005871742
07/02/2012,44.15,0.009558562
06/02/2012,43.73,0.00803586
03/02/2012,43.38,0.019788796
02/02/2012,42.53,-0.018173846
01/02/2012,43.31,-0.001153802
31/01/2012,43.36,-0.013970226
30/01/2012,43.97,-0.013777745
27/01/2012,44.58,-0.015359233
26/01/2012,45.27,-0.009234894
25/01/2012,45.69,0.009897804
24/01/2012,45.24,0.004208667
23/01/2012,45.05,0.000222
20/01/2012,45.04,-0.003767317
19/01/2012,45.21,0.00154953
18/01/2012,45.14,0.02990667
17/01/2012,43.81,0.00756104
13/01/2012,43.48,-0.024535533
12/01/2012,44.56,0.004949391
11/01/2012,44.34,-0.012105057
10/01/2012,44.88,0.025729246
09/01/2012,43.74,0.002747254
06/01/2012,43.62,0.006439765
05/01/2012,43.34,0.007178449
04/01/2012,43.03,-0.003479878
03/01/2012,43.18,0.017757476
30/12/2011,42.42,-0.009852296
29/12/2011,42.84,0.008438869
28/12/2011,42.48,-0.010071522
27/12/2011,42.91,-0.011124101
23/12/2011,43.39,0.007634508
22/12/2011,43.06,0.003256574
21/12/2011,42.92,0.007483664
20/12/2011,42.6,0.033658745
19/12/2011,41.19,-0.014461568
16/12/2011,41.79,0.00865182
15/12/2011,41.43,0.003142756
14/12/2011,41.3,-0.020609404
13/12/2011,42.16,-0.005440581
12/12/2011,42.39,0.004255326
09/12/2011,42.21,0.020101179
08/12/2011,41.37,-0.013445581
07/12/2011,41.93,0.013445581
06/12/2011,41.37,0.011915035
05/12/2011,40.88,0.014289477
02/12/2011,40.3,0.012233332
01/12/2011,39.81,-0.000251162
30/11/2011,39.82,0.026722547
29/11/2011,38.77,-0.003090396
28/11/2011,38.89,0.02631388
25/11/2011,37.88,0.01435813
23/11/2011,37.34,-0.034222871
22/11/2011,38.64,-0.007990763
21/11/2011,38.95,-0.022090526
18/11/2011,39.82,0.006045358
17/11/2011,39.58,-0.005040333
16/11/2011,39.78,-0.014474922
15/11/2011,40.36,0.001735896
14/11/2011,40.29,-0.018687537
11/11/2011,41.05,0.038743361
10/11/2011,39.49,-0.02179172
09/11/2011,40.36,-0.06103263
08/11/2011,42.9,0.018349139
07/11/2011,42.12,0.007147993
04/11/2011,41.82,0.003833258
03/11/2011,41.66,-0.004311384
02/11/2011,41.84,0.020280753
01/11/2011,41,-0.03546131
31/10/2011,42.48,-0.026940784
28/10/2011,43.64,-0.011165662
27/10/2011,44.13,0.044719602
26/10/2011,42.2,0.001422813
25/10/2011,42.14,-0.026924253
24/10/2011,43.29,0.009282963
21/10/2011,42.89,0.050446933
20/10/2011,40.78,0.005902624
19/10/2011,40.54,-0.024367677
18/10/2011,41.54,0.020183056
17/10/2011,40.71,-0.026900931
14/10/2011,41.82,0.031825837
13/10/2011,40.51,0.04184078
12/10/2011,38.85,-0.004878685
11/10/2011,39.04,0.012890099
10/10/2011,38.54,0.016217986
07/10/2011,37.92,-0.025001302
06/10/2011,38.88,0.031881456
05/10/2011,37.66,0.035129254
04/10/2011,36.36,0.005792321
03/10/2011,36.15,-0.027825036
30/09/2011,37.17,-0.033856712
29/09/2011,38.45,-0.014459328
