Date,Close,KMX
14/05/2013,48.07,0.021022426
13/05/2013,47.07,0.001913876
10/05/2013,46.98,-0.002763313
09/05/2013,47.11,0.000424628
08/05/2013,47.09,0.005750202
07/05/2013,46.82,0.012248998
06/05/2013,46.25,0.000432526
03/05/2013,46.23,0.004987542
02/05/2013,46,0.01754431
01/05/2013,45.2,-0.018413497
30/04/2013,46.04,0.020184977
29/04/2013,45.12,0.006671139
26/04/2013,44.82,-0.004008021
25/04/2013,45,0.011398045
24/04/2013,44.49,0.008804662
23/04/2013,44.1,0.016230783
22/04/2013,43.39,0.014625914
19/04/2013,42.76,0.03789325
18/04/2013,41.17,-0.008706222
17/04/2013,41.53,-0.021910855
16/04/2013,42.45,0.00851673
15/04/2013,42.09,-0.044152153
12/04/2013,43.99,-0.027134751
11/04/2013,45.2,0.042713532
10/04/2013,43.31,0.038362158
09/04/2013,41.68,-0.016655155
08/04/2013,42.38,0.024604131
05/04/2013,41.35,0.005821021
04/04/2013,41.11,0.010023308
03/04/2013,40.7,-0.019224342
02/04/2013,41.49,0.007499733
01/04/2013,41.18,-0.012548427
28/03/2013,41.7,0.014006508
27/03/2013,41.12,0.006832628
26/03/2013,40.84,0.013062416
25/03/2013,40.31,-0.000991818
22/03/2013,40.35,0.004222035
21/03/2013,40.18,-0.021908569
20/03/2013,41.07,0.000730727
19/03/2013,41.04,-0.012590965
18/03/2013,41.56,-0.00240327
15/03/2013,41.66,0.004571162
14/03/2013,41.47,0.003381646
13/03/2013,41.33,0.002665053
12/03/2013,41.22,-0.003632405
11/03/2013,41.37,-0.000966417
08/03/2013,41.41,0.012147866
07/03/2013,40.91,0.006375696
06/03/2013,40.65,0.01013731
05/03/2013,40.24,0.020841935
04/03/2013,39.41,0.026483101
01/03/2013,38.38,-0.000781352
28/02/2013,38.41,-0.004675333
27/02/2013,38.59,0.007021222
26/02/2013,38.32,0.002089865
25/02/2013,38.24,-0.017626169
22/02/2013,38.92,0.010850016
21/02/2013,38.5,-0.025135973
20/02/2013,39.48,-0.014334459
19/02/2013,40.05,0.017378601
15/02/2013,39.36,-0.009104767
14/02/2013,39.72,0.008089023
13/02/2013,39.4,-0.005568225
12/02/2013,39.62,0.00025243
11/02/2013,39.61,-0.004031248
08/02/2013,39.77,0.009600882
07/02/2013,39.39,-0.017864357
06/02/2013,40.1,0.008012061
05/02/2013,39.78,0.024944027
04/02/2013,38.8,-0.011531198
01/02/2013,39.25,-0.004321857
31/01/2013,39.42,0.007383866
30/01/2013,39.13,-0.020488892
29/01/2013,39.94,0.004014055
28/01/2013,39.78,0.002265007
25/01/2013,39.69,0.024226609
24/01/2013,38.74,0.005175995
23/01/2013,38.54,-0.000259437
22/01/2013,38.55,0.001297859
18/01/2013,38.5,0.005208345
17/01/2013,38.3,0.013140794
16/01/2013,37.8,-0.002905827
15/01/2013,37.91,0.011407472
14/01/2013,37.48,-0.000533476
11/01/2013,37.5,-0.006114601
10/01/2013,37.73,0.001591512
09/01/2013,37.67,0.009334646
08/01/2013,37.32,0.002951834
07/01/2013,37.21,-0.017317603
04/01/2013,37.86,-0.002110819
03/01/2013,37.94,0.005815507
02/01/2013,37.72,0.004783427
31/12/2012,37.54,0.022902793
28/12/2012,36.69,-0.016220956
27/12/2012,37.29,-0.004548503
26/12/2012,37.46,-0.001067236
24/12/2012,37.5,-0.007703584
21/12/2012,37.79,-0.004751857
20/12/2012,37.97,0.086030222
19/12/2012,34.84,-0.008004617
18/12/2012,35.12,0.008578834
17/12/2012,34.82,-0.00715413
14/12/2012,35.07,-0.002278554
13/12/2012,35.15,-0.003124559
12/12/2012,35.26,-0.008753409
11/12/2012,35.57,-0.018660895
10/12/2012,36.24,0
07/12/2012,36.24,0.009426186
06/12/2012,35.9,0.014308001
05/12/2012,35.39,-0.014029411
04/12/2012,35.89,-0.002782417
03/12/2012,35.99,-0.007474083
30/11/2012,36.26,0.000551724
29/11/2012,36.24,0.009983444
28/11/2012,35.88,0.017147293
27/11/2012,35.27,0.011405884
26/11/2012,34.87,-0.007713222
23/11/2012,35.14,0.014908533
21/11/2012,34.62,0.010744985
20/11/2012,34.25,0.000876296
19/11/2012,34.22,0.026952616
16/11/2012,33.31,-0.00120012
15/11/2012,33.35,0.009338824
14/11/2012,33.04,-0.019482109
13/11/2012,33.69,-0.005623812
12/11/2012,33.88,-0.004711434
09/11/2012,34.04,0.004711434
08/11/2012,33.88,-0.006472515
07/11/2012,34.1,-0.018306482
06/11/2012,34.73,0.005775355
05/11/2012,34.53,-0.004334641
02/11/2012,34.68,-0.008041399
01/11/2012,34.96,0.035224133
31/10/2012,33.75,0.005347606
26/10/2012,33.57,0.023814238
25/10/2012,32.78,0.003361348
24/10/2012,32.67,-0.011866867
23/10/2012,33.06,-0.002718624
22/10/2012,33.15,-0.00451468
19/10/2012,33.3,-0.002699057
18/10/2012,33.39,-0.004780409
17/10/2012,33.55,0.010185828
16/10/2012,33.21,0.00664655
15/10/2012,32.99,0.013427117
12/10/2012,32.55,0.040757992
11/10/2012,31.25,-0.002875861
10/10/2012,31.34,-0.008894595
09/10/2012,31.62,-0.007561473
08/10/2012,31.86,0.08752512
05/10/2012,29.19,0.011716192
04/10/2012,28.85,0.018541724
03/10/2012,28.32,-0.012631747
02/10/2012,28.68,0.009106893
01/10/2012,28.42,0.004231318
28/09/2012,28.3,-0.002822867
27/09/2012,28.38,-0.000704473
26/09/2012,28.4,-0.001759015
25/09/2012,28.45,-0.017422043
24/09/2012,28.95,-0.011334485
21/09/2012,29.28,-0.02295847
20/09/2012,29.96,-0.064934804
19/09/2012,31.97,0.019264768
18/09/2012,31.36,-0.018012811
17/09/2012,31.93,-0.012758847
14/09/2012,32.34,-0.030453023
13/09/2012,33.34,0.018465789
12/09/2012,32.73,0.016015125
11/09/2012,32.21,-0.000310414
10/09/2012,32.22,-0.00062054
07/09/2012,32.24,-0.016000341
06/09/2012,32.76,0.035418427
05/09/2012,31.62,0.031157169
04/09/2012,30.65,0.001959504
31/08/2012,30.59,0.009855533
30/08/2012,30.29,-0.001319697
29/08/2012,30.33,0.021663903
28/08/2012,29.68,0.000336984
27/08/2012,29.67,-0.004707473
24/08/2012,29.81,0.008760164
23/08/2012,29.55,-0.011774737
22/08/2012,29.9,0.003014573
21/08/2012,29.81,0.003696862
20/08/2012,29.7,-0.009383447
17/08/2012,29.98,0.007365283
16/08/2012,29.76,0.015577694
15/08/2012,29.3,0.016864967
14/08/2012,28.81,-0.001734004
13/08/2012,28.86,-0.00449439
10/08/2012,28.99,-0.001378835
09/08/2012,29.03,0.004142222
08/08/2012,28.91,-0.001037165
07/08/2012,28.94,0.017428116
06/08/2012,28.44,0.020604637
03/08/2012,27.86,0.033579797
02/08/2012,26.94,-0.027459166
01/08/2012,27.69,-0.005043238
31/07/2012,27.83,-0.005017932
30/07/2012,27.97,-0.001072003
27/07/2012,28,0.03525715
26/07/2012,27.03,0.010412887
25/07/2012,26.75,-0.009302393
24/07/2012,27,-0.007747687
23/07/2012,27.21,0.009972382
20/07/2012,26.94,-0.012541662
19/07/2012,27.28,0.01961936
18/07/2012,26.75,0.018868484
17/07/2012,26.25,0.007648221
16/07/2012,26.05,-0.009551171
13/07/2012,26.3,0.011857091
12/07/2012,25.99,-0.005372231
11/07/2012,26.13,-0.014060653
10/07/2012,26.5,0.005676458
09/07/2012,26.35,-0.007184754
06/07/2012,26.54,-0.009375655
05/07/2012,26.79,0.01731971
03/07/2012,26.33,0.008773659
02/07/2012,26.1,0.006149135
29/06/2012,25.94,0.028148848
28/06/2012,25.22,-0.006324132
27/06/2012,25.38,-0.004324756
26/06/2012,25.49,0.005902043
25/06/2012,25.34,-0.015273451
22/06/2012,25.73,-0.005812843
21/06/2012,25.88,-0.075156219
20/06/2012,27.9,-0.021978907
19/06/2012,28.52,0.031703457
18/06/2012,27.63,-0.001807992
15/06/2012,27.68,0.012359299
14/06/2012,27.34,0.015481327
13/06/2012,26.92,-0.0213165
12/06/2012,27.5,0.001091505
11/06/2012,27.47,-0.024452854
08/06/2012,28.15,0.010355386
07/06/2012,27.86,-0.021307624
06/06/2012,28.46,0.029597454
05/06/2012,27.63,0.009089319
04/06/2012,27.38,0.00182782
01/06/2012,27.33,-0.031691525
31/05/2012,28.21,0.002484473
30/05/2012,28.14,-0.045841359
29/05/2012,29.46,0.011951653
25/05/2012,29.11,0.00309651
24/05/2012,29.02,0.005875255
23/05/2012,28.85,0.013259092
22/05/2012,28.47,0
21/05/2012,28.47,0.017003598
18/05/2012,27.99,-0.001071237
17/05/2012,28.02,-0.022234902
16/05/2012,28.65,0.005951357
15/05/2012,28.48,-0.007695036
14/05/2012,28.7,-0.030539344
11/05/2012,29.59,-0.01509336
10/05/2012,30.04,0.020855112
09/05/2012,29.42,-0.011154417
08/05/2012,29.75,-0.003020643
07/05/2012,29.84,0
04/05/2012,29.84,-0.019579189
03/05/2012,30.43,-0.038360868
02/05/2012,31.62,0.02012526
01/05/2012,30.99,0.003879733
30/04/2012,30.87,-0.013513719
27/04/2012,31.29,0
26/04/2012,31.29,0.001279181
25/04/2012,31.25,0.010292789
24/04/2012,30.93,-0.007729507
23/04/2012,31.17,-0.010213941
20/04/2012,31.49,0.00733071
19/04/2012,31.26,-0.01523839
18/04/2012,31.74,-0.015630203
17/04/2012,32.24,0.01910188
16/04/2012,31.63,0.010168502
13/04/2012,31.31,-0.01584317
12/04/2012,31.81,0.002202991
11/04/2012,31.74,0.01204452
10/04/2012,31.36,-0.044285378
09/04/2012,32.78,-0.013634509
05/04/2012,33.23,-0.049606649
04/04/2012,34.92,0.008339373
03/04/2012,34.63,0.003761034
02/04/2012,34.5,-0.004338402
30/03/2012,34.65,0.013364522
29/03/2012,34.19,0.000585138
28/03/2012,34.17,-0.018269321
27/03/2012,34.8,-0.005159083
