Date,Close,GPS
06/12/2012,31.96,0.004704415
05/12/2012,31.81,0.027730861
04/12/2012,30.94,-0.109199292
03/12/2012,34.51,0.001449906
30/11/2012,34.46,0.002906134
29/11/2012,34.36,-0.0416133
28/11/2012,35.82,0.018881778
27/11/2012,35.15,-0.01328266
26/11/2012,35.62,0.003374581
23/11/2012,35.5,0.009908078
21/11/2012,35.15,0.007137789
20/11/2012,34.9,0.013558552
19/11/2012,34.43,0.024699874
16/11/2012,33.59,0.00987293
15/11/2012,33.26,-0.011063052
14/11/2012,33.63,-0.001782532
13/11/2012,33.69,0.005655619
12/11/2012,33.5,-0.003575689
09/11/2012,33.62,-0.013296104
08/11/2012,34.07,-0.034331945
07/11/2012,35.26,-0.019101704
06/11/2012,35.94,0.015986878
05/11/2012,35.37,0.007378013
02/11/2012,35.11,-0.015263157
01/11/2012,35.65,-0.001961609
31/10/2012,35.72,0.00871649
26/10/2012,35.41,0.00680082
25/10/2012,35.17,-0.0096209
24/10/2012,35.51,0.001127078
23/10/2012,35.47,-0.019266267
22/10/2012,36.16,-0.005790723
19/10/2012,36.37,-0.022026723
18/10/2012,37.18,0.010544913
17/10/2012,36.79,-0.004610178
16/10/2012,36.96,0.018569622
15/10/2012,36.28,0.00497376
12/10/2012,36.1,-0.006626198
11/10/2012,36.34,-0.007675476
10/10/2012,36.62,-0.002182216
09/10/2012,36.7,-0.015411958
08/10/2012,37.27,0.004571744
05/10/2012,37.1,0
04/10/2012,37.1,0.009478744
03/10/2012,36.75,0.01673794
02/10/2012,36.14,0.00110742
01/10/2012,36.1,0.008903787
28/09/2012,35.78,0.011242389
27/09/2012,35.38,0.003113944
26/09/2012,35.27,-0.005372556
25/09/2012,35.46,-0.012053405
24/09/2012,35.89,-0.008324132
21/09/2012,36.19,0.001382552
20/09/2012,36.14,0.005827684
19/09/2012,35.93,-0.002224077
18/09/2012,36.01,-0.001110186
17/09/2012,36.05,0.023860781
14/09/2012,35.2,-0.012703064
13/09/2012,35.65,0.003090324
12/09/2012,35.54,0.011603356
11/09/2012,35.13,-0.009913691
10/09/2012,35.48,-0.012603444
07/09/2012,35.93,-0.004443218
06/09/2012,36.09,0.017892566
05/09/2012,35.45,-0.010103931
04/09/2012,35.81,-0.000279213
31/08/2012,35.82,-0.008063439
30/08/2012,36.11,0.026376389
29/08/2012,35.17,0.001707456
28/08/2012,35.11,0.000569801
27/08/2012,35.09,-0.000854579
24/08/2012,35.12,0.004280218
23/08/2012,34.97,-0.009392413
22/08/2012,35.3,-0.000566412
21/08/2012,35.32,-0.000566091
20/08/2012,35.34,-0.018225655
17/08/2012,35.99,0.046930267
16/08/2012,34.34,-0.007831802
15/08/2012,34.61,0
14/08/2012,34.61,-0.000577701
13/08/2012,34.63,0.012202359
10/08/2012,34.21,-0.006119792
09/08/2012,34.42,-0.006371293
08/08/2012,34.64,0.020414824
07/08/2012,33.94,0.005613842
06/08/2012,33.75,0.008629722
03/08/2012,33.46,0.008704843
02/08/2012,33.17,0.119971138
01/08/2012,29.42,-0.002376508
31/07/2012,29.49,-0.011128087
30/07/2012,29.82,-0.003013563
27/07/2012,29.91,0.008730747
26/07/2012,29.65,0.012215965
25/07/2012,29.29,0.012712764
24/07/2012,28.92,-0.008607387
23/07/2012,29.17,-0.001027925
20/07/2012,29.2,-0.009543358
19/07/2012,29.48,0.012286844
18/07/2012,29.12,0.022574322
17/07/2012,28.47,0.017718394
16/07/2012,27.97,0.002505818
13/07/2012,27.9,0.02614528
12/07/2012,27.18,0.000736106
11/07/2012,27.16,-0.019687111
10/07/2012,27.7,-0.017534892
09/07/2012,28.19,0.011057719
06/07/2012,27.88,-0.003222921
05/07/2012,27.97,0.01006117
03/07/2012,27.69,0.006158324
02/07/2012,27.52,0.00583092
29/06/2012,27.36,0.037234383
28/06/2012,26.36,-0.002273589
27/06/2012,26.42,-0.005285026
26/06/2012,26.56,0.003016594
25/06/2012,26.48,-0.032692362
22/06/2012,27.36,0.002195391
21/06/2012,27.3,-0.010929071
20/06/2012,27.6,0.009830773
19/06/2012,27.33,0.011777832
18/06/2012,27.01,0.010420638
15/06/2012,26.73,0.011665231
