Date,Close,CINF
31/05/2012,36.08,0.014517285
30/05/2012,35.56,-0.013130514
29/05/2012,36.03,0.010322312
25/05/2012,35.66,0.00056101
24/05/2012,35.64,0.007321914
23/05/2012,35.38,0.010227362
22/05/2012,35.02,0.00917964
21/05/2012,34.7,0.013929418
18/05/2012,34.22,-0.012198815
17/05/2012,34.64,-0.017456446
16/05/2012,35.25,-0.007911881
15/05/2012,35.53,-0.000844001
14/05/2012,35.56,-0.014517285
11/05/2012,36.08,-0.00221484
10/05/2012,36.16,0.011683026
09/05/2012,35.74,-0.008636354
08/05/2012,36.05,0
07/05/2012,36.05,-0.002770085
04/05/2012,36.15,-0.00606731
03/05/2012,36.37,0.011337049
02/05/2012,35.96,-0.000833912
01/05/2012,35.99,0.009491975
30/04/2012,35.65,-0.004198747
27/04/2012,35.8,0.001677384
26/04/2012,35.74,0.010406507
25/04/2012,35.37,0.019700851
24/04/2012,34.68,0.013645153
23/04/2012,34.21,-0.012202359
20/04/2012,34.63,0.007827261
19/04/2012,34.36,-0.000581903
18/04/2012,34.38,-0.00695655
17/04/2012,34.62,0.010453057
16/04/2012,34.26,0.011448826
13/04/2012,33.87,-0.004712822
12/04/2012,34.03,0.015995602
11/04/2012,33.49,0.01262036
10/04/2012,33.07,-0.016494601
09/04/2012,33.62,-0.017981325
05/04/2012,34.23,-0.006406545
04/04/2012,34.45,-0.013837061
03/04/2012,34.93,0.003728672
02/04/2012,34.8,0.00836825
30/03/2012,34.51,-0.007218163
29/03/2012,34.76,-0.010588166
28/03/2012,35.13,-0.003126335
27/03/2012,35.24,-0.001984409
26/03/2012,35.31,0.015123701
23/03/2012,34.78,0.000575209
22/03/2012,34.76,-0.00973383
21/03/2012,35.1,-0.002560821
20/03/2012,35.19,0.002275961
19/03/2012,35.11,-0.012172833
16/03/2012,35.54,-0.012304406
15/03/2012,35.98,0.012023072
14/03/2012,35.55,-0.009518549
13/03/2012,35.89,0.021972715
12/03/2012,35.11,0.001995724
09/03/2012,35.04,0.002857961
08/03/2012,34.94,0.005740544
07/03/2012,34.74,0.006352895
06/03/2012,34.52,-0.021777365
05/03/2012,35.28,0.022356907
02/03/2012,34.5,-0.014960003
01/03/2012,35.02,-0.00427412
29/02/2012,35.17,-0.007365472
28/02/2012,35.43,-0.00675108
27/02/2012,35.67,-0.002519951
24/02/2012,35.76,-0.002792518
23/02/2012,35.86,0.007557769
22/02/2012,35.59,-0.011454239
21/02/2012,36,0.007808182
17/02/2012,35.72,0.007305455
16/02/2012,35.46,0.019075311
15/02/2012,34.79,-0.001149095
14/02/2012,34.83,0.005470001
13/02/2012,34.64,0.005500086
10/02/2012,34.45,0.004655231
09/02/2012,34.29,0.02480198
08/02/2012,33.45,0
07/02/2012,33.45,0.010518504
06/02/2012,33.1,-0.009321974
03/02/2012,33.41,0.01083369
02/02/2012,33.05,-0.004829469
01/02/2012,33.21,0.016087765
31/01/2012,32.68,0.000306044
30/01/2012,32.67,-0.007926871
27/01/2012,32.93,-0.004544774
26/01/2012,33.08,0.010636782
25/01/2012,32.73,0.009208168
24/01/2012,32.43,-0.002156169
23/01/2012,32.5,-0.001537279
20/01/2012,32.55,0.016416661
19/01/2012,32.02,0.004695579
18/01/2012,31.87,0.017408257
17/01/2012,31.32,0.002237495
13/01/2012,31.25,-0.007015335
12/01/2012,31.47,0.000953744
11/01/2012,31.44,0.003824096
10/01/2012,31.32,0.011883872
09/01/2012,30.95,0.009088021
06/01/2012,30.67,-0.006823747
05/01/2012,30.88,0.014022731
04/01/2012,30.45,-0.004914015
03/01/2012,30.6,0.004585661
30/12/2011,30.46,-0.008499561
29/12/2011,30.72,0.0104713
28/12/2011,30.4,-0.005903592
27/12/2011,30.58,0.000654236
23/12/2011,30.56,0.006566012
22/12/2011,30.36,0.00793655
21/12/2011,30.12,0.004992522
20/12/2011,29.97,0.028771658
19/12/2011,29.12,-0.029105269
16/12/2011,29.98,0.00367586
15/12/2011,29.87,0.009756175
14/12/2011,29.58,0.005083895
13/12/2011,29.43,-0.002036661
12/12/2011,29.49,-0.006085211
09/12/2011,29.67,0.017338527
08/12/2011,29.16,-0.020367303
07/12/2011,29.76,0.00404041
06/12/2011,29.64,0.010513917
05/12/2011,29.33,0.014077486
02/12/2011,28.92,-0.002762433
01/12/2011,29,-0.022166295
30/11/2011,29.65,0.053692549
29/11/2011,28.1,-0.004615666
28/11/2011,28.23,0.026926775
25/11/2011,27.48,0.006938133
23/11/2011,27.29,-0.026398206
22/11/2011,28.02,0.002143624
21/11/2011,27.96,-0.026818827
18/11/2011,28.72,0.010148819
17/11/2011,28.43,-0.00316067
16/11/2011,28.52,-0.021162975
15/11/2011,29.13,0.005507759
14/11/2011,28.97,-0.009960584
11/11/2011,29.26,0.017931515
10/11/2011,28.74,0.014721612
09/11/2011,28.32,-0.040821995
08/11/2011,29.5,0.008852628
07/11/2011,29.24,0.001026518
04/11/2011,29.21,-0.002393573
03/11/2011,29.28,0.026649786
02/11/2011,28.51,0.027379488
01/11/2011,27.74,-0.042349306
31/10/2011,28.94,-0.015769953
28/10/2011,29.4,-0.031142647
27/10/2011,30.33,0.045531385
26/10/2011,28.98,0.020216792
25/10/2011,28.4,-0.027094398
24/10/2011,29.18,0.021476406
21/10/2011,28.56,0.03964097
20/10/2011,27.45,0.011357514
19/10/2011,27.14,0.006654368
18/10/2011,26.96,0.045531385
17/10/2011,25.76,-0.035466062
14/10/2011,26.69,0.00752166
13/10/2011,26.49,-0.001131862
12/10/2011,26.52,0.000754432
11/10/2011,26.5,-0.02091189
10/10/2011,27.06,0.028867984
07/10/2011,26.29,-0.027018529
06/10/2011,27.01,0.008551828
05/10/2011,26.78,0.028021523
04/10/2011,26.04,0.038360868
03/10/2011,25.06,-0.049436024
30/09/2011,26.33,-0.01731971
29/09/2011,26.79,0.033785715
28/09/2011,25.9,-0.025163356
27/09/2011,26.56,0.011740336
26/09/2011,26.25,0.030950246
23/09/2011,25.45,-0.001570475
22/09/2011,25.49,-0.016342776
21/09/2011,25.91,-0.05299004
20/09/2011,27.32,0.015864564
19/09/2011,26.89,-0.034360105
16/09/2011,27.83,0.005043238
15/09/2011,27.69,0.012354808
14/09/2011,27.35,0.006603105
13/09/2011,27.17,0.003317975
12/09/2011,27.08,0.007412932
09/09/2011,26.88,-0.020983652
08/09/2011,27.45,-0.0130295
07/09/2011,27.81,0.0471195
06/09/2011,26.53,-0.013106348
02/09/2011,26.88,-0.019890158
01/09/2011,27.42,-0.018070604
31/08/2011,27.92,0.014066959
30/08/2011,27.53,-0.003263829
29/08/2011,27.62,0.038381095
26/08/2011,26.58,0.00339175
25/08/2011,26.49,-0.020549948
24/08/2011,27.04,0.023953241
23/08/2011,26.4,0.037434431
22/08/2011,25.43,-0.006272071
19/08/2011,25.59,-0.004678371
18/08/2011,25.71,-0.026862705
17/08/2011,26.41,0.00341362
16/08/2011,26.32,-0.004927052
15/08/2011,26.45,0.036185626
12/08/2011,25.51,-0.004693008
11/08/2011,25.63,0.064460491
10/08/2011,24.03,-0.057805543
09/08/2011,25.46,0.056973597
08/08/2011,24.05,-0.076807029
05/08/2011,25.97,-0.006524683
04/08/2011,26.14,-0.031258429
03/08/2011,26.97,0.015695389
02/08/2011,26.55,-0.0197657
01/08/2011,27.08,-0.009189552
29/07/2011,27.33,-0.013808359
28/07/2011,27.71,-0.001082056
27/07/2011,27.74,-0.01963297
26/07/2011,28.29,-0.002471316
25/07/2011,28.36,-0.001409444
22/07/2011,28.4,-0.006318027
21/07/2011,28.58,0.024438971
20/07/2011,27.89,0.001076233
19/07/2011,27.86,0.014461568
18/07/2011,27.46,-0.013024786
15/07/2011,27.82,-0.009302393
14/07/2011,28.08,-0.01027467
13/07/2011,28.37,-0.002815912
12/07/2011,28.45,-0.000702741
11/07/2011,28.47,-0.019134346
08/07/2011,29.02,-0.012669233
07/07/2011,29.39,0.010260008
06/07/2011,29.09,-0.003774237
05/07/2011,29.2,-0.009204087
01/07/2011,29.47,0.009889254
30/06/2011,29.18,0.0065326
29/06/2011,28.99,0.01845135
28/06/2011,28.46,0.003872562
27/06/2011,28.35,0.007790408
24/06/2011,28.13,-0.001775884
23/06/2011,28.18,-0.005661728
22/06/2011,28.34,-0.007032378
21/06/2011,28.54,0
20/06/2011,28.54,-0.011842702
17/06/2011,28.88,0
16/06/2011,28.88,0.006252191
15/06/2011,28.7,-0.017956284
14/06/2011,29.22,0.012396853
13/06/2011,28.86,-0.011369632
10/06/2011,29.19,-0.00784853
09/06/2011,29.42,0.012312057
08/06/2011,29.06,-0.007542031
07/06/2011,29.28,0.003421146
06/06/2011,29.18,-0.008870751
