Date,Close,TDC
31/08/2012,76.38,-0.001439132
30/08/2012,76.49,-0.016595739
29/08/2012,77.77,0.019476077
28/08/2012,76.27,0.002362826
27/08/2012,76.09,0.008181624
24/08/2012,75.47,0.012265185
23/08/2012,74.55,-0.002143911
22/08/2012,74.71,-0.008795366
21/08/2012,75.37,0.00185923
20/08/2012,75.23,-0.011366763
17/08/2012,76.09,0.005535069
16/08/2012,75.67,0.003574506
15/08/2012,75.4,-0.001060445
14/08/2012,75.48,-0.006602427
13/08/2012,75.98,0.003691987
10/08/2012,75.7,0.007691326
09/08/2012,75.12,0.009093403
08/08/2012,74.44,0.0086347
07/08/2012,73.8,0.022611446
06/08/2012,72.15,-0.007594099
03/08/2012,72.7,0.077181148
02/08/2012,67.3,0.01799149
01/08/2012,66.1,-0.02273505
31/07/2012,67.62,-0.000591366
30/07/2012,67.66,-0.00882878
27/07/2012,68.26,0.00484618
26/07/2012,67.93,0.032313956
25/07/2012,65.77,0.003350597
24/07/2012,65.55,-0.012431937
23/07/2012,66.37,-0.008999611
20/07/2012,66.97,-0.019665009
19/07/2012,68.3,0.02041189
18/07/2012,66.92,0.026498636
17/07/2012,65.17,0.00847528
16/07/2012,64.62,-0.014899285
13/07/2012,65.59,0.011500548
12/07/2012,64.84,0.031171762
11/07/2012,62.85,0.00095511
10/07/2012,62.79,-0.040879327
09/07/2012,65.41,0.006134048
06/07/2012,65.01,-0.110699262
05/07/2012,72.62,0.002757862
03/07/2012,72.42,0.007484442
02/07/2012,71.88,-0.001806936
29/06/2012,72.01,0.056856214
28/06/2012,68.03,-0.023677481
27/06/2012,69.66,0.010099639
26/06/2012,68.96,-0.016396168
25/06/2012,70.1,-0.018094924
22/06/2012,71.38,0.0238174
21/06/2012,69.7,-0.036070408
20/06/2012,72.26,-0.009777672
19/06/2012,72.97,0.002744615
18/06/2012,72.77,0.009111051
15/06/2012,72.11,0.039892135
14/06/2012,69.29,0.011174922
13/06/2012,68.52,-0.002477955
12/06/2012,68.69,0.012009518
11/06/2012,67.87,-0.011572677
08/06/2012,68.66,0.006868861
07/06/2012,68.19,-0.01238812
06/06/2012,69.04,0.033881573
05/06/2012,66.74,0.023191642
04/06/2012,65.21,0.008779417
01/06/2012,64.64,-0.028067736
31/05/2012,66.48,-0.049019351
30/05/2012,69.82,-0.025314227
29/05/2012,71.61,0.015054804
25/05/2012,70.54,0.008113346
24/05/2012,69.97,-0.007120509
23/05/2012,70.47,0.012709918
22/05/2012,69.58,0.02164681
21/05/2012,68.09,0.040613958
18/05/2012,65.38,-0.014425882
17/05/2012,66.33,-0.022657103
16/05/2012,67.85,-0.025608849
15/05/2012,69.61,0.000143668
14/05/2012,69.6,-0.021885199
11/05/2012,71.14,-0.001545053
10/05/2012,71.25,-0.015320634
09/05/2012,72.35,0.014198457
08/05/2012,71.33,-0.011984536
07/05/2012,72.19,-0.013073881
04/05/2012,73.14,-0.05324654
03/05/2012,77.14,0.066320421
02/05/2012,72.19,0.015354852
01/05/2012,71.09,0.018599244
30/04/2012,69.78,-0.015640871
27/04/2012,70.88,0.006795043
26/04/2012,70.4,0.019507216
25/04/2012,69.04,0.032833277
24/04/2012,66.81,-0.024396863
23/04/2012,68.46,-0.006406545
20/04/2012,68.9,-0.000870448
19/04/2012,68.96,-0.010099639
18/04/2012,69.66,0.003595316
17/04/2012,69.41,0.02953431
16/04/2012,67.39,-0.023899679
13/04/2012,69.02,0.00174014
12/04/2012,68.9,0.020232328
11/04/2012,67.52,0.0203478
10/04/2012,66.16,-0.017084186
09/04/2012,67.3,-0.011816977
05/04/2012,68.1,0.004415018
04/04/2012,67.8,-0.029501522
03/04/2012,69.83,0.01137767
02/04/2012,69.04,0.012974889
30/03/2012,68.15,0.000587113
29/03/2012,68.11,0.002499083
28/03/2012,67.94,-0.00762467
27/03/2012,68.46,-0.013349008
26/03/2012,69.38,0.011014604
23/03/2012,68.62,0.007606824
22/03/2012,68.1,-0.001760564
21/03/2012,68.22,0.021334142
20/03/2012,66.78,-0.022213263
19/03/2012,68.28,0.000585995
16/03/2012,68.24,0.002347419
15/03/2012,68.08,0.007075501
14/03/2012,67.6,0.004150614
13/03/2012,67.32,0.013910927
12/03/2012,66.39,-0.000301205
09/03/2012,66.41,0.003771597
08/03/2012,66.16,0.009415407
07/03/2012,65.54,0.029732757
06/03/2012,63.62,-0.023303835
05/03/2012,65.12,-0.022322694
02/03/2012,66.59,-0.006436666
01/03/2012,67.02,0.007037537
29/02/2012,66.55,0.009511659
28/02/2012,65.92,0.00364742
27/02/2012,65.68,0.003049713
24/02/2012,65.48,0.028502549
23/02/2012,63.64,-0.005953331
22/02/2012,64.02,0.029001319
21/02/2012,62.19,-0.007050181
17/02/2012,62.63,0.002237853
16/02/2012,62.49,0.011912568
15/02/2012,61.75,-0.006617731
14/02/2012,62.16,0.008725213
13/02/2012,61.62,-0.007115166
10/02/2012,62.06,-0.029843485
09/02/2012,63.94,0.096812716
08/02/2012,58.04,0.003106128
07/02/2012,57.86,0.017258338
06/02/2012,56.87,0.000527658
03/02/2012,56.84,0.046268715
02/02/2012,54.27,-0.000920895
01/02/2012,54.32,0.014089962
31/01/2012,53.56,0.00486619
30/01/2012,53.3,-0.001312459
27/01/2012,53.37,0.007334307
26/01/2012,52.98,-0.019254731
25/01/2012,54.01,0.014547067
24/01/2012,53.23,0.006596952
23/01/2012,52.88,0.006640761
20/01/2012,52.53,-0.001521781
19/01/2012,52.61,0.026776135
18/01/2012,51.22,0.030527643
17/01/2012,49.68,0.017872125
13/01/2012,48.8,0.007817361
12/01/2012,48.42,0.007878954
11/01/2012,48.04,-0.009323594
10/01/2012,48.49,-0.001236604
09/01/2012,48.55,0.024605078
06/01/2012,47.37,-0.034443239
05/01/2012,49.03,-0.008529702
04/01/2012,49.45,-0.001616489
03/01/2012,49.53,0.020808584
30/12/2011,48.51,-0.02161585
29/12/2011,49.57,0.010953456
28/12/2011,49.03,-0.010751701
27/12/2011,49.56,0.011976191
23/12/2011,48.97,0.016886727
22/12/2011,48.15,0.00938974
21/12/2011,47.7,-0.05664582
20/12/2011,50.48,0.030165167
19/12/2011,48.98,-0.006106268
16/12/2011,49.28,0.006310454
15/12/2011,48.97,0
14/12/2011,48.97,-0.014797067
13/12/2011,49.7,-0.030515544
12/12/2011,51.24,-0.02942237
09/12/2011,52.77,0.017009488
08/12/2011,51.88,-0.007680529
07/12/2011,52.28,-0.006292327
06/12/2011,52.61,-0.01490453
05/12/2011,53.4,-0.006346857
02/12/2011,53.74,-0.004641241
01/12/2011,53.99,-0.004435417
30/11/2011,54.23,0.06730835
29/11/2011,50.7,-0.007858587
28/11/2011,51.1,0.03221595
