Date,Close,TMK
08/10/2012,51.75,-0.003472226
05/10/2012,51.93,0.004632319
04/10/2012,51.69,0.012850644
03/10/2012,51.03,0
02/10/2012,51.03,-0.00547197
01/10/2012,51.31,-0.000779271
28/09/2012,51.35,0.003902444
27/09/2012,51.15,0.006472515
26/09/2012,50.82,-0.009595687
25/09/2012,51.31,-0.012973364
24/09/2012,51.98,0.001154957
21/09/2012,51.92,-0.00595297
20/09/2012,52.23,0.001916444
19/09/2012,52.13,0.000767607
18/09/2012,52.09,-0.002875493
17/09/2012,52.24,-0.009904843
14/09/2012,52.76,0.003607713
13/09/2012,52.57,0.007254709
12/09/2012,52.19,-0.002869991
11/09/2012,52.34,0.008634804
10/09/2012,51.89,-0.007296499
07/09/2012,52.27,0.002490184
06/09/2012,52.14,0.0109923
05/09/2012,51.57,0.001164144
04/09/2012,51.51,0.006427133
31/08/2012,51.18,0.006862099
30/08/2012,50.83,-0.005297766
29/08/2012,51.1,0.002351098
28/08/2012,50.98,-0.002742411
27/08/2012,51.12,0.003527341
24/08/2012,50.94,0.009269369
23/08/2012,50.47,-0.001979415
22/08/2012,50.57,-0.001580716
21/08/2012,50.65,-0.00825801
20/08/2012,51.07,-0.000782932
17/08/2012,51.11,0.003920805
16/08/2012,50.91,0.007492149
15/08/2012,50.53,0.004164607
14/08/2012,50.32,-0.003174606
13/08/2012,50.48,0.003373354
10/08/2012,50.31,0.01018888
09/08/2012,49.8,-0.018108146
08/08/2012,50.71,-0.012931215
07/08/2012,51.37,0
06/08/2012,51.37,0.000194685
03/08/2012,51.36,0.019066917
02/08/2012,50.39,0.014794352
01/08/2012,49.65,-0.002012073
31/07/2012,49.75,-0.005812222
30/07/2012,50.04,0.0005997
27/07/2012,50.01,0.018363951
26/07/2012,49.1,-0.025536725
25/07/2012,50.37,-0.000992162
24/07/2012,50.42,-0.007902056
23/07/2012,50.82,-0.007254223
20/07/2012,51.19,-0.0075898
19/07/2012,51.58,-0.005799359
18/07/2012,51.88,0.005799359
17/07/2012,51.58,0.001746386
16/07/2012,51.49,-0.007931176
13/07/2012,51.9,0.022604236
12/07/2012,50.74,-0.006482686
11/07/2012,51.07,0.007863221
10/07/2012,50.67,-0.002562335
09/07/2012,50.8,-0.001770086
06/07/2012,50.89,-0.006268385
05/07/2012,51.21,-0.002924834
03/07/2012,51.36,0.012145105
02/07/2012,50.74,0.003751609
29/06/2012,50.55,0.018972112
28/06/2012,49.6,0.00404041
27/06/2012,49.4,0.015504187
26/06/2012,48.64,0.006393752
25/06/2012,48.33,-0.009267907
22/06/2012,48.78,0.002257569
21/06/2012,48.67,-0.018121233
20/06/2012,49.56,-0.005232453
19/06/2012,49.82,0.011304117
18/06/2012,49.26,0.019266839
15/06/2012,48.32,0.007061296
14/06/2012,47.98,0.013851218
13/06/2012,47.32,-0.010929071
12/06/2012,47.84,0.010506506
11/06/2012,47.34,-0.003374107
08/06/2012,47.5,0.004853866
07/06/2012,47.27,0.001905771
06/06/2012,47.18,0.02511131
05/06/2012,46.01,0.015772507
04/06/2012,45.29,-0.005943881
01/06/2012,45.56,-0.023857128
31/05/2012,46.66,0.010773644
30/05/2012,46.16,-0.009272304
29/05/2012,46.59,0.002578983
25/05/2012,46.47,-0.012828912
24/05/2012,47.07,0.01325939
23/05/2012,46.45,0.003666563
22/05/2012,46.28,0.002379666
21/05/2012,46.17,0.014617911
18/05/2012,45.5,-0.005479466
17/05/2012,45.75,-0.0130295
16/05/2012,46.35,-0.013713521
15/05/2012,46.99,-0.01310801
14/05/2012,47.61,-0.012523645
11/05/2012,48.21,0.004573813
10/05/2012,47.99,0.007949833
09/05/2012,47.61,-0.011901174
08/05/2012,48.18,0.006663915
07/05/2012,47.86,0.006288011
04/05/2012,47.56,-0.014818178
03/05/2012,48.27,-0.008458018
02/05/2012,48.68,-0.00532679
01/05/2012,48.94,0.00471071
30/04/2012,48.71,-0.007771
27/04/2012,49.09,0.009003539
26/04/2012,48.65,0.012617811
25/04/2012,48.04,-0.017538879
24/04/2012,48.89,0.011934298
23/04/2012,48.31,-0.006602046
20/04/2012,48.63,0
19/04/2012,48.63,-0.013074752
18/04/2012,49.27,-0.00526317
17/04/2012,49.53,0.015668242
16/04/2012,48.76,0.004728141
13/04/2012,48.53,-0.015336156
12/04/2012,49.28,0.013072082
11/04/2012,48.64,0.01366198
10/04/2012,47.98,-0.008095529
09/04/2012,48.37,-0.014571833
05/04/2012,49.08,-0.002645235
04/04/2012,49.21,-0.013924148
03/04/2012,49.9,-0.006193207
02/04/2012,50.21,0.007195714
30/03/2012,49.85,0.004221536
29/03/2012,49.64,-0.011815497
28/03/2012,50.23,-0.001790155
27/03/2012,50.32,-0.003570724
26/03/2012,50.5,0.01878928
23/03/2012,49.56,0.002626529
22/03/2012,49.43,-0.013064199
21/03/2012,50.08,-0.006171016
20/03/2012,50.39,0.001588878
19/03/2012,50.31,-0.004759081
16/03/2012,50.55,0.002376709
15/03/2012,50.43,0.016797036
14/03/2012,49.59,0.002422775
13/03/2012,49.47,0.018360369
12/03/2012,48.57,-0.004109313
09/03/2012,48.77,0.005551572
08/03/2012,48.5,0.004132237
07/03/2012,48.3,0.002487563
06/03/2012,48.18,-0.020746354
05/03/2012,49.19,0.012890204
02/03/2012,48.56,-0.002262677
01/03/2012,48.67,0.004736905
29/02/2012,48.44,-0.00617413
28/02/2012,48.74,0.002670777
27/02/2012,48.61,-0.003901042
24/02/2012,48.8,0.00040992
23/02/2012,48.78,0.001230769
22/02/2012,48.72,-0.007565725
21/02/2012,49.09,0.007565725
17/02/2012,48.72,0.001232286
16/02/2012,48.66,0.019087716
15/02/2012,47.74,-0.007512556
14/02/2012,48.1,0.001664586
13/02/2012,48.02,0.017223698
10/02/2012,47.2,0.011292333
09/02/2012,46.67,-0.010444516
08/02/2012,47.16,-0.001694916
07/02/2012,47.24,-0.002536999
06/02/2012,47.36,-0.006524279
03/02/2012,47.67,0.019915913
02/02/2012,46.73,0.010324893
01/02/2012,46.25,0.012619837
31/01/2012,45.67,0.01211602
30/01/2012,45.12,-0.013866185
27/01/2012,45.75,0.016529302
26/01/2012,45,-0.011269592
25/01/2012,45.51,0.003521905
24/01/2012,45.35,-0.003082345
23/01/2012,45.49,0.003744085
20/01/2012,45.32,0.009756175
19/01/2012,44.88,0.007380107
18/01/2012,44.55,0.014470069
17/01/2012,43.91,-0.001138045
13/01/2012,43.96,-0.003406385
12/01/2012,44.11,0.004316717
11/01/2012,43.92,0.000683294
10/01/2012,43.89,0.012149147
09/01/2012,43.36,-0.002303618
06/01/2012,43.46,-0.01189401
05/01/2012,43.98,0.012124133
04/01/2012,43.45,-0.006652164
03/01/2012,43.74,0.008034015
30/12/2011,43.39,-0.006432368
29/12/2011,43.67,0.020123265
28/12/2011,42.8,-0.014842573
27/12/2011,43.44,-0.001610121
23/12/2011,43.51,0.011790681
22/12/2011,43,0.009111148
21/12/2011,42.61,0.003526511
20/12/2011,42.46,0.020221933
19/12/2011,41.61,-0.012656885
16/12/2011,42.14,-0.004971013
15/12/2011,42.35,0.001181335
14/12/2011,42.3,0.008547061
13/12/2011,41.94,-0.02496009
12/12/2011,43,-0.003714025
09/12/2011,43.16,0.019654353
08/12/2011,42.32,-0.028879511
07/12/2011,43.56,-0.004123717
06/12/2011,43.74,0.013812374
05/12/2011,43.14,0.012127014
02/12/2011,42.62,0.001173847
01/12/2011,42.57,-0.000469704
30/11/2011,42.59,0.036098099
29/11/2011,41.08,0.003169575
28/11/2011,40.95,0.031504528
25/11/2011,39.68,-0.00301963
23/11/2011,39.8,-0.036511209
22/11/2011,41.28,-0.001452433
21/11/2011,41.34,-0.017266616
18/11/2011,42.06,0.011959004
17/11/2011,41.56,-0.007192551
16/11/2011,41.86,-0.019633984
15/11/2011,42.69,0.010360347
14/11/2011,42.25,-0.002127912
11/11/2011,42.34,0.01595082
10/11/2011,41.67,0.016697303
09/11/2011,40.98,-0.03877011
08/11/2011,42.6,0.009197093
07/11/2011,42.21,0.014556993
04/11/2011,41.6,0.002165805
03/11/2011,41.51,0.009926241
02/11/2011,41.1,0.040467232
01/11/2011,39.47,-0.036322401
31/10/2011,40.93,-0.015515463
28/10/2011,41.57,0.017961648
27/10/2011,40.83,0.025550193
26/10/2011,39.8,0.020818218
25/10/2011,38.98,-0.034790501
24/10/2011,40.36,0.013972283
21/10/2011,39.8,0.023386933
20/10/2011,38.88,0.028700118
19/10/2011,37.78,-0.031012257
18/10/2011,38.97,0.034193596
17/10/2011,37.66,-0.022059718
14/10/2011,38.5,0.026050677
13/10/2011,37.51,-0.01429352
12/10/2011,38.05,0.020712371
11/10/2011,37.27,-0.005084984
10/10/2011,37.46,0.048123008
07/10/2011,35.7,-0.024077543
06/10/2011,36.57,0.026320954
05/10/2011,35.62,0.027032518
04/10/2011,34.67,0.027783627
03/10/2011,33.72,-0.033248907
30/09/2011,34.86,-0.026049038
29/09/2011,35.78,0.034981528
28/09/2011,34.55,-0.02796986
27/09/2011,35.53,0.007911881
26/09/2011,35.25,0.027028672
23/09/2011,34.31,-0.003781823
22/09/2011,34.44,0.003490405
21/09/2011,34.32,-0.047234954
20/09/2011,35.98,-0.008027725
19/09/2011,36.27,-0.024511031
16/09/2011,37.17,0.007290433
15/09/2011,36.9,0.005162354
