Date,Close,EA
21/08/2013,26.66,-0.003370159
20/08/2013,26.75,0.006751714
19/08/2013,26.57,-0.011971711
16/08/2013,26.89,0.015364739
15/08/2013,26.48,-0.006774584
14/08/2013,26.66,0.004134567
13/08/2013,26.55,-0.004884473
12/08/2013,26.68,0.00112507
09/08/2013,26.65,0.000375305
08/08/2013,26.64,0.011325149
07/08/2013,26.34,-0.003789319
06/08/2013,26.44,-0.003398153
05/08/2013,26.53,-0.001506592
02/08/2013,26.57,0.001506592
01/08/2013,26.53,0.015574864
31/07/2013,26.12,0.001916076
30/07/2013,26.07,0.022891397
29/07/2013,25.48,-0.013255555
26/07/2013,25.82,0.046778247
25/07/2013,24.64,-0.030771659
24/07/2013,25.41,0.064197506
23/07/2013,23.83,-0.007525119
22/07/2013,24.01,-0.01077061
19/07/2013,24.27,0.004542647
18/07/2013,24.16,0.014592713
17/07/2013,23.81,-0.015833664
16/07/2013,24.19,0
15/07/2013,24.19,-0.005359732
12/07/2013,24.32,0.002058037
11/07/2013,24.27,0.015362561
10/07/2013,23.9,0.013903742
09/07/2013,23.57,0.001273615
08/07/2013,23.54,-0.012244189
05/07/2013,23.83,0.022062838
03/07/2013,23.31,-0.00896867
02/07/2013,23.52,0.014561285
01/07/2013,23.18,0.008230499
28/06/2013,22.99,0.034516701
27/06/2013,22.21,0.019091489
26/06/2013,21.79,0.000459031
25/06/2013,21.78,0.007835947
24/06/2013,21.61,-0.016976778
21/06/2013,21.98,-0.007704548
20/06/2013,22.15,-0.030675888
19/06/2013,22.84,-0.008284329
18/06/2013,23.03,0.026398365
17/06/2013,22.43,0.028030768
14/06/2013,21.81,0.01478087
13/06/2013,21.49,-0.002323961
12/06/2013,21.54,-0.048038235
11/06/2013,22.6,-0.011876102
10/06/2013,22.87,-0.031844343
07/06/2013,23.61,0.014075728
06/06/2013,23.28,0.017331456
05/06/2013,22.88,0.007017573
04/06/2013,22.72,-0.011813745
03/06/2013,22.99,0
31/05/2013,22.99,-0.015537645
30/05/2013,23.35,0.008170331
29/05/2013,23.16,-0.004308494
28/05/2013,23.26,0.021291267
24/05/2013,22.77,0.005284028
23/05/2013,22.65,0.040546094
22/05/2013,21.75,-0.010064129
21/05/2013,21.97,0.008226737
20/05/2013,21.79,-0.019091489
17/05/2013,22.21,0.008591507
16/05/2013,22.02,-0.027767122
15/05/2013,22.64,0.010210966
14/05/2013,22.41,0.030353406
13/05/2013,21.74,-0.033472143
10/05/2013,22.48,0.038082571
09/05/2013,21.64,0.003703708
08/05/2013,21.56,0.157945751
07/05/2013,18.41,0.006539533
06/05/2013,18.29,0.0182074
03/05/2013,17.96,0.023663076
02/05/2013,17.54,0.013777485
01/05/2013,17.3,-0.017760421
30/04/2013,17.61,-0.00904472
29/04/2013,17.77,-0.006171128
26/04/2013,17.88,-0.003350087
25/04/2013,17.94,0.007834399
24/04/2013,17.8,0.021579486
23/04/2013,17.42,0.008069208
22/04/2013,17.28,0.011056266
19/04/2013,17.09,0.008815808
18/04/2013,16.94,-0.004123717
17/04/2013,17.01,-0.020943174
16/04/2013,17.37,0.026839417
15/04/2013,16.91,-0.038856729
12/04/2013,17.58,-0.002840104
11/04/2013,17.63,-0.009596461
10/04/2013,17.8,0.019858809
09/04/2013,17.45,0.010368756
08/04/2013,17.27,-0.004621614
05/04/2013,17.35,0.005780363
04/04/2013,17.25,0.000579878
03/04/2013,17.24,-0.017821685
02/04/2013,17.55,-0.020863458
01/04/2013,17.92,0.012352768
28/03/2013,17.7,-0.005071862
27/03/2013,17.79,0.00112486
26/03/2013,17.77,0.011888054
25/03/2013,17.56,-0.023080113
22/03/2013,17.97,0.015139061
21/03/2013,17.7,0.020548668
20/03/2013,17.34,0.011017798
19/03/2013,17.15,-0.087059967
18/03/2013,18.71,-0.00904502
15/03/2013,18.88,-0.024072329
14/03/2013,19.34,0.020899402
13/03/2013,18.94,-0.016234973
12/03/2013,19.25,0.006253277
11/03/2013,19.13,0.02917205
08/03/2013,18.58,-0.006972407
07/03/2013,18.71,0.004821868
06/03/2013,18.62,0.005925145
05/03/2013,18.51,0.016889533
04/03/2013,18.2,0.008830079
01/03/2013,18.04,0.028677816
28/02/2013,17.53,-0.033102602
27/02/2013,18.12,0.024016792
26/02/2013,17.69,-0.000565131
25/02/2013,17.7,-0.006195458
22/02/2013,17.81,0.009591047
21/02/2013,17.64,0.00911168
20/02/2013,17.48,-0.006273189
19/02/2013,17.59,0.03588348
15/02/2013,16.97,-0.010551094
14/02/2013,17.15,-0.001165501
13/02/2013,17.17,-0.021320312
12/02/2013,17.54,0.007439233
11/02/2013,17.41,0.002300174
08/02/2013,17.37,0.029207684
