Date,Close,AMT
02/07/2012,71.5,0.022488749
29/06/2012,69.91,0.003295368
28/06/2012,69.68,0.000717824
27/06/2012,69.63,0.015632103
26/06/2012,68.55,0.017512036
25/06/2012,67.36,-0.007395389
22/06/2012,67.86,0.010815721
21/06/2012,67.13,-0.019764655
20/06/2012,68.47,-0.007565873
19/06/2012,68.99,0.005377529
18/06/2012,68.62,0.012611987
15/06/2012,67.76,0.008298803
14/06/2012,67.2,0.014690715
13/06/2012,66.22,-0.002563911
12/06/2012,66.39,0.011361177
11/06/2012,65.64,-0.010004631
08/06/2012,66.3,0.014585491
07/06/2012,65.34,-0.006863445
06/06/2012,65.79,0.026179506
05/06/2012,64.09,0.015726067
04/06/2012,63.09,-0.00095057
01/06/2012,63.15,-0.027026561
31/05/2012,64.88,-0.004766673
30/05/2012,65.19,-0.017034632
29/05/2012,66.31,0.008481044
25/05/2012,65.75,-0.001519757
24/05/2012,65.85,0.010226755
23/05/2012,65.18,0.00168906
22/05/2012,65.07,-0.006739189
21/05/2012,65.51,0.016778659
18/05/2012,64.42,-0.005881459
17/05/2012,64.8,-0.030696834
16/05/2012,66.82,-0.014117182
15/05/2012,67.77,0.008446372
14/05/2012,67.2,-0.00623055
11/05/2012,67.62,0.001183782
10/05/2012,67.54,0.008027396
09/05/2012,67,-0.01113184
08/05/2012,67.75,0.007407441
07/05/2012,67.25,0.012117734
04/05/2012,66.44,-0.009139325
03/05/2012,67.05,0.016996724
02/05/2012,65.92,0.007461017
01/05/2012,65.43,-0.002289903
30/04/2012,65.58,0.007346222
27/04/2012,65.1,0.003693448
26/04/2012,64.86,0.001851852
25/04/2012,64.74,0.018867013
24/04/2012,63.53,0.006316143
23/04/2012,63.13,-0.013686991
20/04/2012,64,0.002346501
19/04/2012,63.85,-0.003907781
18/04/2012,64.1,-0.004047958
17/04/2012,64.36,0.009993837
16/04/2012,63.72,0.008827296
13/04/2012,63.16,-0.010238728
12/04/2012,63.81,0.011347639
11/04/2012,63.09,0.023575785
10/04/2012,61.62,-0.010974933
09/04/2012,62.3,-0.017660152
05/04/2012,63.41,0.012057896
04/04/2012,62.65,-0.009373331
03/04/2012,63.24,-0.012102309
02/04/2012,64.01,0.015587185
30/03/2012,63.02,0.010207425
29/03/2012,62.38,0.001925546
28/03/2012,62.26,0.002573176
27/03/2012,62.1,-0.00273378
26/03/2012,62.27,0.008385793
23/03/2012,61.75,-0.003717777
22/03/2012,61.98,-0.007394343
21/03/2012,62.44,-0.007816902
20/03/2012,62.93,-0.014513585
19/03/2012,63.85,0.008019541
16/03/2012,63.34,0.002687536
15/03/2012,63.17,0.003329901
14/03/2012,62.96,0.016979424
13/03/2012,61.9,-0.001614205
12/03/2012,62,-0.003542106
09/03/2012,62.22,-0.003529604
08/03/2012,62.44,0.004172691
07/03/2012,62.18,0
06/03/2012,62.18,-0.011353764
05/03/2012,62.89,0.004781648
02/03/2012,62.59,-0.007163925
01/03/2012,63.04,0.007323707
29/02/2012,62.58,0.004965969
28/02/2012,62.27,-0.013241001
27/02/2012,63.1,-0.016659194
24/02/2012,64.16,0.00390412
23/02/2012,63.91,0.010222626
22/02/2012,63.26,0.004277234
21/02/2012,62.99,0.007809427
17/02/2012,62.5,-0.000959539
16/02/2012,62.56,-0.015700901
15/02/2012,63.55,-0.012976028
14/02/2012,64.38,0.005763705
13/02/2012,64.01,0.011311982
10/02/2012,63.29,-0.007869099
09/02/2012,63.79,-0.000940144
08/02/2012,63.85,0.007546019
07/02/2012,63.37,0.003794471
06/02/2012,63.13,-0.003794471
03/02/2012,63.37,0.002211691
02/02/2012,63.23,-0.001896035
01/02/2012,63.35,-0.002522467
31/01/2012,63.51,0.010287342
30/01/2012,62.86,-0.002383413
27/01/2012,63.01,0.013742626
26/01/2012,62.15,-0.013107605
25/01/2012,62.97,0.007971981
24/01/2012,62.47,0.010621278
23/01/2012,61.81,0.0048654
20/01/2012,61.51,-0.011155237
19/01/2012,62.2,-0.003530737
18/01/2012,62.42,0.009497053
17/01/2012,61.83,-0.007893718
13/01/2012,62.32,-0.002083835
12/01/2012,62.45,0.003207701
11/01/2012,62.25,0.015215574
10/01/2012,61.31,0.014622786
09/01/2012,60.42,0.002817604
06/01/2012,60.25,-0.001658375
05/01/2012,60.35,0.011499168
04/01/2012,59.66,0.014349871
03/01/2012,58.81,-0.020199307
30/12/2011,60.01,-0.009618648
29/12/2011,60.59,0.008619314
28/12/2011,60.07,-0.010433149
27/12/2011,60.7,0.004292561
23/12/2011,60.44,0.007473256
22/12/2011,59.99,0.01005202
21/12/2011,59.39,-0.006879799
20/12/2011,59.8,0.044801474
19/12/2011,57.18,-0.033703328
16/12/2011,59.14,0.00576566
15/12/2011,58.8,0.013871273
14/12/2011,57.99,-0.0024113
13/12/2011,58.13,-0.000343997
12/12/2011,58.15,-0.007538155
09/12/2011,58.59,0.013229297
08/12/2011,57.82,-0.025274569
