Date,Close,GE
30/07/2012,20.8,-0.005752652
27/07/2012,20.92,0.017358199
26/07/2012,20.56,0.027615167
25/07/2012,20,0.001501126
24/07/2012,19.97,-0.005991031
23/07/2012,20.09,0.011011122
20/07/2012,19.87,0.003529119
19/07/2012,19.8,-0.002018164
18/07/2012,19.84,0.006066753
17/07/2012,19.72,0.006614117
16/07/2012,19.59,-0.009146405
13/07/2012,19.77,0.016832838
12/07/2012,19.44,-0.012270093
11/07/2012,19.68,0.003053437
10/07/2012,19.62,-0.021180822
09/07/2012,20.04,0.001998003
06/07/2012,20,-0.016365354
05/07/2012,20.33,-0.004906781
03/07/2012,20.43,-0.002932553
02/07/2012,20.49,-0.016937255
29/06/2012,20.84,0.031191612
28/06/2012,20.2,0.003471365
27/06/2012,20.13,0.016529302
26/06/2012,19.8,0.014242357
25/06/2012,19.52,-0.01474728
22/06/2012,19.81,0.014235116
21/06/2012,19.53,-0.02876807
20/06/2012,20.1,0.004987542
19/06/2012,20,0.012578782
18/06/2012,19.75,-0.012578782
15/06/2012,20,0.014098924
14/06/2012,19.72,0.017907872
13/06/2012,19.37,-0.005662821
12/06/2012,19.48,0.01917654
11/06/2012,19.11,-0.004698521
08/06/2012,19.2,0.0104713
07/06/2012,19,0.006335818
06/06/2012,18.88,0.034486176
05/06/2012,18.24,0.004946424
04/06/2012,18.15,-0.021259999
01/06/2012,18.54,-0.029234078
31/05/2012,19.09,0.002622608
30/05/2012,19.04,-0.01615039
29/05/2012,19.35,0.00778214
25/05/2012,19.2,-0.002600782
24/05/2012,19.25,0.003642991
23/05/2012,19.18,0
22/05/2012,19.18,0.003133162
21/05/2012,19.12,0.008930976
18/05/2012,18.95,0.003700771
17/05/2012,18.88,-0.006335818
16/05/2012,19,0.032088315
15/05/2012,18.4,-0.010810916
14/05/2012,18.6,-0.021803576
11/05/2012,19.01,-0.004199481
10/05/2012,19.09,0.009473755
09/05/2012,18.91,-0.017820178
08/05/2012,19.25,-0.003629768
07/05/2012,19.32,-0.001034661
04/05/2012,19.34,-0.01386415
03/05/2012,19.61,-0.008125997
02/05/2012,19.77,-0.001516301
01/05/2012,19.8,0.011173301
30/04/2012,19.58,-0.010162689
27/04/2012,19.78,0.008121872
26/04/2012,19.62,0.008702384
25/04/2012,19.45,-0.004616577
24/04/2012,19.54,0.024347227
23/04/2012,19.07,-0.015092662
20/04/2012,19.36,0.011428696
19/04/2012,19.14,0.002092051
18/04/2012,19.1,-0.012487155
17/04/2012,19.34,0.023013568
16/04/2012,18.9,0.001058761
13/04/2012,18.88,-0.022001935
12/04/2012,19.3,0.015139939
11/04/2012,19.01,0.01430488
10/04/2012,18.74,-0.024250002
09/04/2012,19.2,-0.014991234
05/04/2012,19.49,-0.01274552
04/04/2012,19.74,-0.011083237
03/04/2012,19.96,-0.003001503
02/04/2012,20.02,-0.002494389
30/03/2012,20.07,0.005997019
29/03/2012,19.95,-0.003003005
28/03/2012,20.01,-0.001498128
27/03/2012,20.04,-0.000498878
26/03/2012,20.05,0.013557828
23/03/2012,19.78,-0.003532681
22/03/2012,19.85,-0.011022156
21/03/2012,20.07,0
20/03/2012,20.07,-0.006951369
19/03/2012,20.21,0.000494927
16/03/2012,20.2,0.001982161
15/03/2012,20.16,0.018523684
14/03/2012,19.79,0.010157528
13/03/2012,19.59,0.023761449
12/03/2012,19.13,0.004715754
09/03/2012,19.04,0.000525348
08/03/2012,19.03,0.013756831
07/03/2012,18.77,0.01882282
06/03/2012,18.42,-0.023075883
05/03/2012,18.85,-0.00634587
02/03/2012,18.97,-0.007876124
01/03/2012,19.12,0.003667806
29/02/2012,19.05,-0.005757671
28/02/2012,19.16,0.004708353
27/02/2012,19.07,-0.008875026
24/02/2012,19.24,-0.003631651
23/02/2012,19.31,-0.004134373
22/02/2012,19.39,-0.001030928
21/02/2012,19.41,0.006720108
17/02/2012,19.28,0.014103133
16/02/2012,19.01,0.013238213
15/02/2012,18.76,-0.009549144
14/02/2012,18.94,-0.006840332
13/02/2012,19.07,0.010013259
10/02/2012,18.88,-0.013154623
09/02/2012,19.13,-0.005733662
08/02/2012,19.24,0.003123376
07/02/2012,19.18,0.006800968
06/02/2012,19.05,0.001576044
03/02/2012,19.02,0.014297305
02/02/2012,18.75,-0.001066098
01/02/2012,18.77,0.00320171
31/01/2012,18.71,-0.010103782
30/01/2012,18.9,-0.006854759
27/01/2012,19.03,-0.002099738
26/01/2012,19.07,-0.003141364
25/01/2012,19.13,0.015275514
24/01/2012,18.84,-0.005293819
23/01/2012,18.94,-0.011026628
20/01/2012,19.15,0
19/01/2012,19.15,0.006811659
18/01/2012,19.02,0.01483078
17/01/2012,18.74,-0.005321992
13/01/2012,18.84,-0.004765696
12/01/2012,18.93,0.002644805
11/01/2012,18.88,0.00851069
10/01/2012,18.72,-0.007450806
09/01/2012,18.86,0.011197131
06/01/2012,18.65,0.005376357
05/01/2012,18.55,-0.000538938
04/01/2012,18.56,0.010834342
03/01/2012,18.36,0.024815169
30/12/2011,17.91,-0.008893889
29/12/2011,18.07,0.013370673
28/12/2011,17.83,-0.010044727
27/12/2011,18.01,-0.01214143
23/12/2011,18.23,0.009922904
22/12/2011,18.05,0.020146177
21/12/2011,17.69,0.023449745
20/12/2011,17.28,0.024605811
19/12/2011,16.86,-0.008857454
16/12/2011,17.01,0.013017935
15/12/2011,16.79,0.010778547
14/12/2011,16.61,0.01150482
13/12/2011,16.42,-0.002433091
12/12/2011,16.46,-0.022823814
09/12/2011,16.84,0.031978592
08/12/2011,16.31,-0.026022648
07/12/2011,16.74,0.001195457
06/12/2011,16.72,0.023601701
05/12/2011,16.33,0.014805946
02/12/2011,16.09,0.011250119
01/12/2011,15.91,0
30/11/2011,15.91,0.064245248
29/11/2011,14.92,0.008075414
28/11/2011,14.8,0.006779687
25/11/2011,14.7,-0.002038737
23/11/2011,14.73,-0.017497082
22/11/2011,14.99,-0.016540238
21/11/2011,15.24,-0.026547367
18/11/2011,15.65,0.000639182
17/11/2011,15.64,-0.019627094
16/11/2011,15.95,-0.015552413
15/11/2011,16.2,0.00619197
14/11/2011,16.1,-0.012345836
11/11/2011,16.3,0.014833399
10/11/2011,16.06,0.013162208
09/11/2011,15.85,-0.038978024
08/11/2011,16.48,0.005476132
07/11/2011,16.39,0
04/11/2011,16.39,-0.016939304
03/11/2011,16.67,0.025517788
02/11/2011,16.25,0.014254967
01/11/2011,16.02,-0.042169401
31/10/2011,16.71,-0.031804801
28/10/2011,17.25,-0.006932437
27/10/2011,17.37,0.060516683
26/10/2011,16.35,0.007982849
25/10/2011,16.22,-0.014080429
24/10/2011,16.45,0.008547061
21/10/2011,16.31,-0.019429877
20/10/2011,16.63,0.006636525
19/10/2011,16.52,-0.011435575
18/10/2011,16.71,0.029145961
17/10/2011,16.23,-0.022541314
14/10/2011,16.6,0.023157647
13/10/2011,16.22,-0.011036286
12/10/2011,16.4,0.015980672
11/10/2011,16.14,0
10/10/2011,16.14,0.040460639
07/10/2011,15.5,-0.001933613
06/10/2011,15.53,0.016883518
05/10/2011,15.27,0.02721708
04/10/2011,14.86,0.011506049
03/10/2011,14.69,-0.035443362
30/09/2011,15.22,-0.041189864
29/09/2011,15.86,0.026191213
28/09/2011,15.45,-0.019866081
27/09/2011,15.76,0.012129099
26/09/2011,15.57,0.02339288
23/09/2011,15.21,0.011239788
22/09/2011,15.04,-0.022354646
21/09/2011,15.38,-0.042017638
20/09/2011,16.04,-0.008690309
19/09/2011,16.18,-0.009227995
16/09/2011,16.33,0.015427643
15/09/2011,16.08,0.018199435
14/09/2011,15.79,0.024360179
13/09/2011,15.41,0.026300004
12/09/2011,15.01,-0.005315627
09/09/2011,15.09,-0.03259741
08/09/2011,15.59,-0.013380257
07/09/2011,15.8,0.035430437
06/09/2011,15.25,-0.032895581
02/09/2011,15.76,-0.027536158
01/09/2011,16.2,-0.006767174
31/08/2011,16.31,0.01171768
30/08/2011,16.12,0.004975135
29/08/2011,16.04,0.031668257
26/08/2011,15.54,0.005808342
25/08/2011,15.45,-0.017324784
24/08/2011,15.72,0.011516442
23/08/2011,15.54,0.028060569
22/08/2011,15.11,0.001324504
19/08/2011,15.09,-0.016431523
18/08/2011,15.34,-0.056397586
17/08/2011,16.23,0.004941332
16/08/2011,16.15,-0.014751343
15/08/2011,16.39,0.031610937
12/08/2011,15.88,0.012674441
11/08/2011,15.68,0.038353742
10/08/2011,15.09,-0.056053319
09/08/2011,15.96,0.033771926
08/08/2011,15.43,-0.067652592
05/08/2011,16.51,0.002425714
04/08/2011,16.47,-0.05894458
03/08/2011,17.47,0.014994514
02/08/2011,17.21,-0.043213091
01/08/2011,17.97,0.003344485
29/07/2011,17.91,-0.011105056
28/07/2011,18.11,0
27/07/2011,18.11,-0.024544455
26/07/2011,18.56,-0.021322769
25/07/2011,18.96,-0.004210533
22/07/2011,19.04,-0.006282743
21/07/2011,19.16,0.019499959
20/07/2011,18.79,0.01123908
19/07/2011,18.58,0.015731271
18/07/2011,18.29,-0.006539533
15/07/2011,18.41,-0.006497045
14/07/2011,18.53,0.001079914
13/07/2011,18.51,0.00704801
12/07/2011,18.38,-0.013510068
11/07/2011,18.63,-0.01913934
08/07/2011,18.99,-0.016192571
07/07/2011,19.3,0.013037994
06/07/2011,19.05,0.000525072
05/07/2011,19.04,-0.00836825
01/07/2011,19.2,0.017867002
30/06/2011,18.86,0.01603455
29/06/2011,18.56,0.006486509
28/06/2011,18.44,0.008714652
27/06/2011,18.28,0.017103865
24/06/2011,17.97,-0.022559416
23/06/2011,18.38,-0.00974561
22/06/2011,18.56,-0.013379916
21/06/2011,18.81,0.017699577
20/06/2011,18.48,-0.000540979
17/06/2011,18.49,0.002707827
16/06/2011,18.44,0.00271518
15/06/2011,18.39,-0.011354542
14/06/2011,18.6,0.011354542
13/06/2011,18.39,0.003813679
10/06/2011,18.32,-0.014092374
09/06/2011,18.58,0.003774607
08/06/2011,18.51,0.00162206
07/06/2011,18.48,0.001082837
06/06/2011,18.46,-0.019313905
03/06/2011,18.82,-0.014244504
02/06/2011,19.09,-0.002093146
01/06/2011,19.13,-0.026310519
31/05/2011,19.64,0.010235504
27/05/2011,19.44,0.001029336
26/05/2011,19.42,0.010352059
25/05/2011,19.22,0.006263068
24/05/2011,19.1,-0.015069134
23/05/2011,19.39,-0.011791985
20/05/2011,19.62,-0.017180817
19/05/2011,19.96,0.010070579
18/05/2011,19.76,0.00864046
17/05/2011,19.59,-0.00864046
16/05/2011,19.76,-0.006557401
13/05/2011,19.89,-0.012490794
12/05/2011,20.14,0.002485708
11/05/2011,20.09,-0.010398707
10/05/2011,20.3,0.011394723
09/05/2011,20.07,0.002994014
06/05/2011,20.01,0.005512417
05/05/2011,19.9,-0.018422229
04/05/2011,20.27,-0.01808898
03/05/2011,20.64,0.00778214
02/05/2011,20.48,0.001465918
29/04/2011,20.45,-0.007308193
28/04/2011,20.6,-0.002424244
27/04/2011,20.65,0.026995504
26/04/2011,20.1,0.010502722
