Date,Close,ETFC
10/06/2013,11.87,0.009310266
07/06/2013,11.76,0.031968165
06/06/2013,11.39,0.025790669
05/06/2013,11.1,-0.031917603
04/06/2013,11.46,-0.010416761
03/06/2013,11.58,-0.003448279
31/05/2013,11.62,-0.01537178
30/05/2013,11.8,0.004246291
29/05/2013,11.75,-0.000850702
28/05/2013,11.76,0.039016652
24/05/2013,11.31,-0.007926065
23/05/2013,11.4,0.007042283
22/05/2013,11.32,-0.013163858
21/05/2013,11.47,-0.004349724
20/05/2013,11.52,-0.000867679
17/05/2013,11.53,0.018381262
16/05/2013,11.32,-0.001765226
15/05/2013,11.34,-0.015748357
14/05/2013,11.52,0.029064133
13/05/2013,11.19,0.002684565
10/05/2013,11.16,0.02449102
09/05/2013,10.89,0
08/05/2013,10.89,-0.001834863
07/05/2013,10.91,0.004593485
06/05/2013,10.86,0.000921235
03/05/2013,10.85,0.039478811
02/05/2013,10.43,0.034133006
01/05/2013,10.08,-0.020619287
30/04/2013,10.29,-0.001941748
29/04/2013,10.31,0.010726578
26/04/2013,10.2,-0.006839304
25/04/2013,10.27,0.008802013
24/04/2013,10.18,0.02285246
23/04/2013,9.95,0.020305266
22/04/2013,9.75,-0.008171649
19/04/2013,9.83,0.029945449
18/04/2013,9.54,-0.017662797
17/04/2013,9.71,-0.001029336
16/04/2013,9.72,-0.003081667
15/04/2013,9.75,-0.042174925
12/04/2013,10.17,-0.021401595
11/04/2013,10.39,0.00869991
10/04/2013,10.3,0.011718884
09/04/2013,10.18,0.004923693
08/04/2013,10.13,0.017928767
05/04/2013,9.95,-0.015952482
04/04/2013,10.11,-0.009842599
03/04/2013,10.21,-0.01554939
02/04/2013,10.37,-0.001926783
01/04/2013,10.39,-0.030334079
28/03/2013,10.71,0.005617992
27/03/2013,10.65,0.00376294
26/03/2013,10.61,0.004723674
25/03/2013,10.56,-0.00942514
22/03/2013,10.66,0.001877935
21/03/2013,10.64,-0.013999295
20/03/2013,10.79,0.032975197
19/03/2013,10.44,-0.005730675
18/03/2013,10.5,-0.015123162
15/03/2013,10.66,-0.017666661
14/03/2013,10.85,-0.085627932
13/03/2013,11.82,0.036179657
12/03/2013,11.4,0.002635048
11/03/2013,11.37,0.006175582
08/03/2013,11.3,-0.000884564
07/03/2013,11.31,0.027792017
06/03/2013,11,0.010050336
05/03/2013,10.89,0.009225158
04/03/2013,10.79,0.014939587
