Date,Close,SYMC
29/03/2012,18.4,0.00272109
28/03/2012,18.35,-0.012456159
27/03/2012,18.58,-0.004832224
26/03/2012,18.67,0.025496363
23/03/2012,18.2,0
22/03/2012,18.2,0.001649712
21/03/2012,18.17,-0.007129177
20/03/2012,18.3,-0.001092299
19/03/2012,18.32,0.008221477
16/03/2012,18.17,-0.00110011
15/03/2012,18.19,0.018308417
14/03/2012,17.86,-0.017758513
13/03/2012,18.18,0.021123631
12/03/2012,17.8,0.003940337
09/03/2012,17.73,0.009065218
08/03/2012,17.57,0.01722201
07/03/2012,17.27,0.009892429
06/03/2012,17.1,-0.023693683
05/03/2012,17.51,-0.013049831
02/03/2012,17.74,-0.008419921
01/03/2012,17.89,0.00279877
29/02/2012,17.84,-0.00447428
28/02/2012,17.92,0.001116695
27/02/2012,17.9,0.001117943
24/02/2012,17.88,-0.001676446
23/02/2012,17.91,0.001676446
22/02/2012,17.88,-0.003350087
21/02/2012,17.94,-0.000557258
17/02/2012,17.95,-0.011080446
16/02/2012,18.15,0.011637704
15/02/2012,17.94,0.001115449
14/02/2012,17.92,-0.00055788
13/02/2012,17.93,0.008401058
10/02/2012,17.78,-0.013408022
09/02/2012,18.02,0.015096736
08/02/2012,17.75,0.007350895
07/02/2012,17.62,0.005120922
06/02/2012,17.53,-0.005120922
03/02/2012,17.62,0.010841761
02/02/2012,17.43,-0.001146789
01/02/2012,17.45,0.015011829
31/01/2012,17.19,0.009351325
30/01/2012,17.03,-0.002931694
27/01/2012,17.08,0.011778699
26/01/2012,16.88,-0.011193048
25/01/2012,17.07,0.01178564
24/01/2012,16.87,0.004753425
23/01/2012,16.79,0
20/01/2012,16.79,0.011983367
19/01/2012,16.59,0.002414002
18/01/2012,16.55,0.016448741
17/01/2012,16.28,0.024876905
13/01/2012,15.88,-0.012515808
12/01/2012,16.08,-0.009901071
11/01/2012,16.24,0.020529492
10/01/2012,15.91,0.015199786
09/01/2012,15.67,-0.006995259
06/01/2012,15.78,-0.001266625
05/01/2012,15.8,0.003169575
04/01/2012,15.75,-0.00190295
03/01/2012,15.78,0.008272398
30/12/2011,15.65,-0.003189795
29/12/2011,15.7,0.005108568
28/12/2011,15.62,-0.014617356
27/12/2011,15.85,0.003792672
23/12/2011,15.79,0.01467331
22/12/2011,15.56,0.026702987
21/12/2011,15.15,-0.031191612
20/12/2011,15.63,0.021993124
19/12/2011,15.29,-0.011057023
16/12/2011,15.46,0.006489315
15/12/2011,15.36,-0.00195122
14/12/2011,15.39,-0.017391743
13/12/2011,15.66,-0.011428696
12/12/2011,15.84,-0.021855381
09/12/2011,16.19,0.031370201
08/12/2011,15.69,-0.033221482
07/12/2011,16.22,0.001851281
06/12/2011,16.19,-0.020178
05/12/2011,16.52,0.025752496
02/12/2011,16.1,-0.008658063
01/12/2011,16.24,-0.006750563
30/11/2011,16.35,0.046956983
29/11/2011,15.6,-0.029683265
28/11/2011,16.07,0.047142487
25/11/2011,15.33,-0.013605652
23/11/2011,15.54,-0.019121041
22/11/2011,15.84,0.001263424
21/11/2011,15.82,-0.023118805
18/11/2011,16.19,0.001236094
17/11/2011,16.17,-0.030453023
16/11/2011,16.67,-0.030717123
15/11/2011,17.19,0.01465013
14/11/2011,16.94,-0.010569681
11/11/2011,17.12,0.024838651
10/11/2011,16.7,0.007814888
09/11/2011,16.57,-0.055749254
08/11/2011,17.52,0.023095715
07/11/2011,17.12,0.00821119
04/11/2011,16.98,-0.002940314
03/11/2011,17.03,0.031616114
02/11/2011,16.5,0.004251449
01/11/2011,16.43,-0.034692474
31/10/2011,17.01,-0.056014642
28/10/2011,17.99,0.013994071
27/10/2011,17.74,-0.041408069
26/10/2011,18.49,-0.003239744
25/10/2011,18.55,-0.004303396
24/10/2011,18.63,0.011336154
21/10/2011,18.42,0.026404174
20/10/2011,17.94,-0.002783191
19/10/2011,17.99,-0.008303397
18/10/2011,18.14,0.029084824
17/10/2011,17.62,-0.020781427
14/10/2011,17.99,0.011741818
13/10/2011,17.78,0.010175328
12/10/2011,17.6,-0.0107376
11/10/2011,17.79,0.009601881
10/10/2011,17.62,0.029956157
07/10/2011,17.1,-0.001168907
06/10/2011,17.12,0.032653539
05/10/2011,16.57,0.025054778
04/10/2011,16.16,0.02633381
03/10/2011,15.74,-0.034959865
30/09/2011,16.3,-0.035556623
29/09/2011,16.89,0.001777778
28/09/2011,16.86,-0.017054221
27/09/2011,17.15,0.017647517
26/09/2011,16.85,0.028900265
23/09/2011,16.37,0.019741542
22/09/2011,16.05,-0.059267645
21/09/2011,17.03,-0.018616012
20/09/2011,17.35,-0.0028777
19/09/2011,17.4,-0.008013781
16/09/2011,17.54,0.010315278
15/09/2011,17.36,0.0304117
14/09/2011,16.84,0.030753102
13/09/2011,16.33,0.004910998
12/09/2011,16.25,0.012384059
09/09/2011,16.05,-0.026438675
08/09/2011,16.48,-0.013859818
07/09/2011,16.71,0.038431079
06/09/2011,16.08,-0.017263067
02/09/2011,16.36,-0.034838358
01/09/2011,16.94,-0.012320484
31/08/2011,17.15,0.010551094
30/08/2011,16.97,0.00769007
29/08/2011,16.84,0.02769593
26/08/2011,16.38,0.026602249
25/08/2011,15.95,-0.026602249
24/08/2011,16.38,0.011049836
23/08/2011,16.2,0.034540325
22/08/2011,15.65,0.014805549
19/08/2011,15.42,-0.024977283
18/08/2011,15.81,-0.05954505
17/08/2011,16.78,-0.009489988
16/08/2011,16.94,-0.003535655
15/08/2011,17,0.012429873
12/08/2011,16.79,0.005973733
11/08/2011,16.69,0.042846211
10/08/2011,15.99,-0.055941636
09/08/2011,16.91,0.055316441
08/08/2011,16,-0.066489741
05/08/2011,17.1,-0.001168907
04/08/2011,17.12,-0.065013
03/08/2011,18.27,-0.013050756
02/08/2011,18.51,-0.028230903
01/08/2011,19.04,-0.001049869
29/07/2011,19.06,-0.022309615
28/07/2011,19.49,0.056464483
27/07/2011,18.42,-0.034679389
26/07/2011,19.07,-0.001048218
25/07/2011,19.09,0.00157274
22/07/2011,19.06,0.001575217
21/07/2011,19.03,0.007384
20/07/2011,18.89,-0.029728395
19/07/2011,19.46,0.030787717
18/07/2011,18.87,-0.005285425
15/07/2011,18.97,0
14/07/2011,18.97,-0.015690698
13/07/2011,19.27,0.002077923
12/07/2011,19.23,-0.006737522
11/07/2011,19.36,-0.018931238
08/07/2011,19.73,-0.006567339
07/07/2011,19.86,0.003530899
06/07/2011,19.79,0.001517067
05/07/2011,19.76,-0.00353625
01/07/2011,19.83,0.005562593
30/06/2011,19.72,0.009681604
29/06/2011,19.53,0.001537279
28/06/2011,19.5,0.023872436
27/06/2011,19.04,0.015348277
24/06/2011,18.75,-0.009554213
23/06/2011,18.93,0.003704688
22/06/2011,18.86,-0.012121361
21/06/2011,19.09,0.015307768
20/06/2011,18.8,0.013387081
17/06/2011,18.55,-0.003766483
16/06/2011,18.62,0.004845232
15/06/2011,18.53,-0.006991155
14/06/2011,18.66,0.011317825
13/06/2011,18.45,-0.002706362
10/06/2011,18.5,-0.018742182
09/06/2011,18.85,-0.000530363
08/06/2011,18.86,0.006916761
07/06/2011,18.73,0.015604298
06/06/2011,18.44,-0.003788908
03/06/2011,18.51,-0.015545743
02/06/2011,18.8,-0.011634187
01/06/2011,19.02,-0.027484229
31/05/2011,19.55,0.017023883
27/05/2011,19.22,-0.004671693
26/05/2011,19.31,0.019875131
25/05/2011,18.93,0.001057083
24/05/2011,18.91,-0.004748096
23/05/2011,19,-0.022379284
20/05/2011,19.43,-0.007179518
19/05/2011,19.57,-0.00560511
18/05/2011,19.68,0.000508259
17/05/2011,19.67,-0.001524003
16/05/2011,19.7,-0.018109147
13/05/2011,20.06,-0.01778703
12/05/2011,20.42,0.050726416
11/05/2011,19.41,-0.007698267
10/05/2011,19.56,0.008213599
09/05/2011,19.4,-0.001030397
06/05/2011,19.42,0.008792402
05/05/2011,19.25,-0.014952586
04/05/2011,19.54,-0.00306592
03/05/2011,19.6,0.00255428
02/05/2011,19.55,-0.005102052
29/04/2011,19.65,-0.001525553
28/04/2011,19.68,-0.002537428
27/04/2011,19.73,0.01996483
26/04/2011,19.34,0.008828933
25/04/2011,19.17,0.007329876
21/04/2011,19.03,0.004740594
20/04/2011,18.94,0.043708063
19/04/2011,18.13,-0.003853569
18/04/2011,18.2,-0.017429635
15/04/2011,18.52,0.004329011
14/04/2011,18.44,0.005983156
13/04/2011,18.33,0.004373982
12/04/2011,18.25,-0.009271951
11/04/2011,18.42,0.011466137
08/04/2011,18.21,-0.002741981
07/04/2011,18.26,-0.006550242
06/04/2011,18.38,0.00217865
05/04/2011,18.34,-0.001089918
04/04/2011,18.36,-0.005431844
01/04/2011,18.46,-0.004324331
31/03/2011,18.54,0.026784875
30/03/2011,18.05,-0.008825209
29/03/2011,18.21,0.013267193
28/03/2011,17.97,-0.007760571
25/03/2011,18.11,0.001104972
24/03/2011,18.09,0.021229848
23/03/2011,17.71,0.004527455
22/03/2011,17.63,-0.00226629
21/03/2011,17.67,0.022897394
18/03/2011,17.27,0.001738627
17/03/2011,17.24,0.010495723
16/03/2011,17.06,-0.028887046
15/03/2011,17.56,-0.02807596
14/03/2011,18.06,-0.003316753
11/03/2011,18.12,0.005534048
10/03/2011,18.02,-0.024123977
09/03/2011,18.46,0.023569192
08/03/2011,18.03,0.008354267
07/03/2011,17.88,0.008988825
04/03/2011,17.72,-0.013453118
03/03/2011,17.96,0.028234512
02/03/2011,17.46,0.002293579
01/03/2011,17.42,-0.034418066
28/02/2011,18.03,-0.006633523
25/02/2011,18.15,0.018349139
24/02/2011,17.82,0.006756782
23/02/2011,17.7,-0.012910648
22/02/2011,17.93,-0.035610446
18/02/2011,18.58,-0.002687451
17/02/2011,18.63,0.016234123
16/02/2011,18.33,-0.010851978
15/02/2011,18.53,0.005954009
14/02/2011,18.42,-0.001085187
11/02/2011,18.44,-0.003248514
10/02/2011,18.5,0.007051833
09/02/2011,18.37,-0.006511146
08/02/2011,18.49,0.01251717
07/02/2011,18.26,0.005491502
04/02/2011,18.16,0.011631258
03/02/2011,17.95,0.002230899
02/02/2011,17.91,-0.004456832
01/02/2011,17.99,0.021349125
31/01/2011,17.61,0.008554372
28/01/2011,17.46,-0.025446666
27/01/2011,17.91,0.006160759
26/01/2011,17.8,-0.001683975
25/01/2011,17.83,-0.004476784
24/01/2011,17.91,0.003355708
21/01/2011,17.85,0.002243411
20/01/2011,17.81,-0.008943603
19/01/2011,17.97,-0.013816191
18/01/2011,18.22,0.039176806
14/01/2011,17.52,0.007447757
13/01/2011,17.39,-0.013706668
12/01/2011,17.63,0.031108499
11/01/2011,17.09,0.002343293
10/01/2011,17.05,-0.028903746
07/01/2011,17.55,-0.007945558
06/01/2011,17.69,0.003964888
05/01/2011,17.62,0.026453526
04/01/2011,17.16,0
03/01/2011,17.16,0.024780029
31/12/2010,16.74,-0.001790511
30/12/2010,16.77,-0.002382372
29/12/2010,16.81,0.001786246
28/12/2010,16.78,0.000596125
27/12/2010,16.77,0.015019808
23/12/2010,16.52,-0.011435575
22/12/2010,16.71,0.000598623
21/12/2010,16.7,0
20/12/2010,16.7,-0.01426897
17/12/2010,16.94,-0.019293203
16/12/2010,17.27,0.006972719
15/12/2010,17.15,-0.006393512
14/12/2010,17.26,0.007560373
13/12/2010,17.13,-0.004078071
10/12/2010,17.2,0.014051753
09/12/2010,16.96,-0.003531493
08/12/2010,17.02,0.004711434
07/12/2010,16.94,-0.004123717
06/12/2010,17.01,-0.004692091
03/12/2010,17.09,-0.009318646
02/12/2010,17.25,0.00639723
01/12/2010,17.14,0.020036027
30/11/2010,16.8,0.007168489
29/11/2010,16.68,-0.018414539
26/11/2010,16.99,-0.012284448
24/11/2010,17.2,0.027705869
23/11/2010,16.73,-0.018946689
22/11/2010,17.05,-0.010501847
19/11/2010,17.23,0.005237137
18/11/2010,17.14,0.012327717
17/11/2010,16.93,0.013079854
16/11/2010,16.71,-0.021900846
15/11/2010,17.08,-0.008743862
12/11/2010,17.23,0.009329514
11/11/2010,17.07,-0.03454575
10/11/2010,17.67,0.006244698
09/11/2010,17.56,0
08/11/2010,17.56,0.020132978
05/11/2010,17.21,0.037896779
04/11/2010,16.57,0.0127545
03/11/2010,16.36,-0.019970406
02/11/2010,16.69,0.018748659
01/11/2010,16.38,0.011667311
29/10/2010,16.19,-0.01593171
28/10/2010,16.45,0.040315537
27/10/2010,15.8,-0.005680041
26/10/2010,15.89,0.006946665
25/10/2010,15.78,0.005082603
22/10/2010,15.7,0.008957194
21/10/2010,15.56,-0.001926164
20/10/2010,15.59,0.005144706
19/10/2010,15.51,-0.006426757
18/10/2010,15.61,-0.007657983
15/10/2010,15.73,0.010866198
14/10/2010,15.56,-0.002567396
13/10/2010,15.6,0.013552966
12/10/2010,15.39,0.014398154
11/10/2010,15.17,0.010603148
08/10/2010,15.01,-0.001331558
07/10/2010,15.03,0.006675592
06/10/2010,14.93,-0.023172172
05/10/2010,15.28,0.017162137
04/10/2010,15.02,-0.024984863
01/10/2010,15.4,0.017687982
30/09/2010,15.13,-0.031232207
29/09/2010,15.61,0.003851096
28/09/2010,15.55,0.00839527
27/09/2010,15.42,0.01832512
24/09/2010,15.14,0.015308119
23/09/2010,14.91,0
22/09/2010,14.91,-0.010010094
21/09/2010,15.06,-0.00199005
20/09/2010,15.09,0.007316295
17/09/2010,14.98,0.002673798
16/09/2010,14.94,-0.003341132
15/09/2010,14.99,-0.000666889
14/09/2010,15,-0.000666445
13/09/2010,15.01,0.010043606
10/09/2010,14.86,0.016282585
09/09/2010,14.62,0.002739728
08/09/2010,14.58,0.042738553
